Load_Shape_Data
LoadAreaName,Year,LoadFile,PatternName
ISO-NE,2035,Load_Area_ISO-NE_2035.dat,
NYISO,2035,Load_Area_NYISO_2035.dat,
IESO,2035,Load_Area_IESO_2035.dat,
TE,2035,Load_Area_TE_2035.dat,
NB,2035,Load_Area_NB_2035.dat,
NS,2035,Load_Area_NS_2035.dat,
CORNWALL,2035,Load_Area_CORNWALL_2035.dat,
NF,2035,Load_NF_2035.dat,
APS,2035,Load_Area_APS_2035.dat,
ATSI,2035,Load_Area_ATSI_2035.dat,
AEP,2035,Load_Area_AEP_2035.dat,
OVEC,2035,Load_Area_OVEC_2035.dat,
HE,2035,Load_Area_HE_2035.dat,
DEI,2035,Load_Area_DEI_2035.dat,
DAY,2035,Load_Area_DAY_2035.dat,
SIGE,2035,Load_Area_SIGE_2035.dat,
DEO&K,2035,Load_Area_DEO&K_2035.dat,
DLCO,2035,Load_Area_DLCO_2035.dat,
IPL,2035,Load_Area_IPL_2035.dat,
NIPS,2035,Load_Area_NIPS_2035.dat,
METC,2035,Load_Area_METC_2035.dat,
ITCT,2035,Load_Area_ITCT_2035.dat,
CE,2035,Load_Area_CE_2035.dat,
PJM,2035,Load_PJM_2035.dat,
PENELEC,2035,Load_Area_PENELEC_2035.dat,
ME,2035,Load_Area_ME_2035.dat,
JCPL,2035,Load_Area_JCPL_2035.dat,
PL,2035,Load_Area_PL_2035.dat,
PECO,2035,Load_Area_PECO_2035.dat,
PSEG,2035,Load_Area_PSEG_2035.dat,
BGE,2035,Load_Area_BGE_2035.dat,
PEPCO,2035,Load_Area_PEPCO_2035.dat,
AE,2035,Load_Area_AE_2035.dat,
DP&L,2035,Load_Area_DP&L_2035.dat,
UGI,2035,Load_Area_UGI_2035.dat,
RECO,2035,Load_Area_RECO_2035.dat,
SMECO,2035,Load_Area_SMECO_2035.dat,
WEC,2035,Load_Area_WEC_2035.dat,
MIUP,2035,Load_Area_MIUP_2035.dat,
BREC,2035,Load_Area_BREC_2035.dat,
HMPL,2035,Load_Area_HMPL_2035.dat,
EKPC,2035,Load_Area_EKPC_2035.dat,
EES-EMI,2035,Load_Area_EES-EMI_2035.dat,
EES-EAI,2035,Load_Area_EES-EAI_2035.dat,
AECI,2035,Load_Area_AECI_2035.dat,
LAGN,2035,Load_Area_LAGN_2035.dat,
CWLD,2035,Load_Area_CWLD_2035.dat,
CPLE,2035,Load_Area_CPLE_2035.dat,
CPLW,2035,Load_Area_CPLW_2035.dat,
DUK,2035,Load_Area_DUK_2035.dat,
SCEG,2035,Load_Area_SCEG_2035.dat,
SC,2035,Load_Area_SC_2035.dat,
DVP,2035,Load_Area_DVP_2035.dat,
SOCO,2035,Load_Area_SOCO_2035.dat,
TVA,2035,Load_Area_TVA_2035.dat,
GULF,2035,Load_Area_GULF_2035.dat,
SMEPA,2035,Load_Area_SMEPA_2035.dat,
PS,2035,Load_Area_PS_2035.dat,
EES,2035,Load_Area_EES_2035.dat,
YAD,2035,Load_Area_YAD_2035.dat,
SEHA,2035,Load_SEHA_2035.dat,
SERU,2035,Load_SERU_2035.dat,
SETH,2035,Load_SETH_2035.dat,
AMMO,2035,Load_Area_AMMO_2035.dat,
AMIL,2035,Load_Area_AMIL_2035.dat,
CWLP,2035,Load_Area_CWLP_2035.dat,
SIPC,2035,Load_Area_SIPC_2035.dat,
GLH,2035,Load_Area_GLH_2035.dat,
LGEE,2035,Load_Area_LGEE_2035.dat,
OMUA,2035,Load_Area_OMUA_2035.dat,
SMT,2035,Load_SMT_2035.dat,
FPL,2035,Load_Area_FPL_2035.dat,
DEF,2035,Load_Area_DEF_2035.dat,
FTP,2035,Load_Area_FTP_2035.dat,
GVL,2035,Load_Area_GVL_2035.dat,
HST,2035,Load_Area_HST_2035.dat,
JEA,2035,Load_Area_JEA_2035.dat,
KEY,2035,Load_Area_KEY_2035.dat,
LWU,2035,Load_Area_LWU_2035.dat,
FMPP,2035,Load_Area_FMPP_2035.dat,
SEC,2035,Load_Area_SEC_2035.dat,
TAL,2035,Load_Area_TAL_2035.dat,
TECO,2035,Load_Area_TECO_2035.dat,
RCU,2035,Load_Area_RCU_2035.dat,
TCEC,2035,Load_Area_TCEC_2035.dat,
OSC,2035,Load_Area_OSC_2035.dat,
OLEANDER,2035,Load_OLEANDER_2035.dat,
IPP-REL,2035,Load_IPP-REL_2035.dat,
CLEC,2035,Load_Area_CLEC_2035.dat,
LAFA,2035,Load_Area_LAFA_2035.dat,
LEPA,2035,Load_Area_LEPA_2035.dat,
MJMEUC,2035,Load_MJMEUC_2035.dat,
SWPA,2035,Load_Area_SWPA_2035.dat,
AEPW,2035,Load_Area_AEPW_2035.dat,
GRDA,2035,Load_Area_GRDA_2035.dat,
OKGE,2035,Load_Area_OKGE_2035.dat,
WFEC,2035,Load_Area_WFEC_2035.dat,
SPS,2035,Load_Area_SPS_2035.dat,
OMPA,2035,Load_Area_OMPA_2035.dat,
MIDW,2035,Load_Area_MIDW_2035.dat,
SUNC,2035,Load_Area_SUNC_2035.dat,
WERE,2035,Load_Area_WERE_2035.dat,
KCPL,2035,Load_Area_KCPL_2035.dat,
KACY,2035,Load_Area_KACY_2035.dat,
EMDE,2035,Load_Area_EMDE_2035.dat,
INDN,2035,Load_Area_INDN_2035.dat,
SPRM,2035,Load_Area_SPRM_2035.dat,
XEL,2035,Load_Area_XEL_2035.dat,
MP,2035,Load_Area_MP_2035.dat,
SMMPA,2035,Load_Area_SMMPA_2035.dat,
GRE,2035,Load_Area_GRE_2035.dat,
OTP,2035,Load_Area_OTP_2035.dat,
ALTW,2035,Load_Area_ALTW_2035.dat,
MPW,2035,Load_Area_MPW_2035.dat,
MEC,2035,Load_Area_MEC_2035.dat,
NPPD,2035,Load_Area_NPPD_2035.dat,
HAST,2035,Load_Area_HAST_2035.dat,
GRIS,2035,Load_Area_GRIS_2035.dat,
OPPD,2035,Load_Area_OPPD_2035.dat,
LES,2035,Load_Area_LES_2035.dat,
WAPA,2035,Load_Area_WAPA_2035.dat,
BEPC-SPP,2035,Load_Area_BEPC-SPP_2035.dat,
MDU,2035,Load_Area_MDU_2035.dat,
BEPC-MISO,2035,Load_BEPC-MISO_2035.dat,
MH,2035,Load_Area_MH_2035.dat,
SPC,2035,Load_Area_SPC_2035.dat,
DPC,2035,Load_Area_DPC_2035.dat,
ALTE,2035,Load_Area_ALTE_2035.dat,
WPS,2035,Load_Area_WPS_2035.dat,
MGE,2035,Load_Area_MGE_2035.dat,
UPPC,2035,Load_Area_UPPC_2035.dat,
WBDC-WECC,2035,Load_Area_WBDC-WECC_2035.dat,
ERCOT,2035,Load_Area_ERCOT_2035.dat,
WECC,2035,Load_Area_WECC_2035.dat,
