Time_UTC,Load,BA
2015-01-01 00:00:00,3437.53,AECI
2015-01-01 01:00:00,3486.19,AECI
2015-01-01 02:00:00,3529.16,AECI
2015-01-01 03:00:00,3426.53,AECI
2015-01-01 04:00:00,3291.86,AECI
2015-01-01 05:00:00,3166.74,AECI
2015-01-01 06:00:00,3051.89,AECI
2015-01-01 07:00:00,2974.21,AECI
2015-01-01 08:00:00,2926.27,AECI
2015-01-01 09:00:00,2945.07,AECI
2015-01-01 10:00:00,2977.71,AECI
2015-01-01 11:00:00,3012.19,AECI
2015-01-01 12:00:00,3046.17,AECI
2015-01-01 13:00:00,3087.69,AECI
2015-01-01 14:00:00,3157.74,AECI
2015-01-01 15:00:00,3230.69,AECI
2015-01-01 16:00:00,3217.9,AECI
2015-01-01 17:00:00,3159.48,AECI
2015-01-01 18:00:00,3101.7,AECI
2015-01-01 19:00:00,3035.8,AECI
2015-01-01 20:00:00,2982.37,AECI
2015-01-01 21:00:00,2934.62,AECI
2015-01-01 22:00:00,2888.76,AECI
2015-01-01 23:00:00,2881.94,AECI
2015-01-02 00:00:00,3159.13,AECI
2015-01-02 01:00:00,3228.15,AECI
2015-01-02 02:00:00,3277.71,AECI
2015-01-02 03:00:00,3205.3,AECI
2015-01-02 04:00:00,3086.79,AECI
2015-01-02 05:00:00,2956.16,AECI
2015-01-02 06:00:00,2817.52,AECI
2015-01-02 07:00:00,2741.13,AECI
2015-01-02 08:00:00,2764.54,AECI
2015-01-02 09:00:00,2819.14,AECI
2015-01-02 10:00:00,2858.94,AECI
2015-01-02 11:00:00,2889.61,AECI
2015-01-02 12:00:00,2927.15,AECI
2015-01-02 13:00:00,2974.17,AECI
2015-01-02 14:00:00,3029.21,AECI
2015-01-02 15:00:00,3047.33,AECI
2015-01-02 16:00:00,3000.28,AECI
2015-01-02 17:00:00,2952.63,AECI
2015-01-02 18:00:00,2903.3,AECI
2015-01-02 19:00:00,2852.42,AECI
2015-01-02 20:00:00,2827.16,AECI
2015-01-02 21:00:00,2810.37,AECI
2015-01-02 22:00:00,2811.98,AECI
2015-01-02 23:00:00,2873.32,AECI
2015-01-03 00:00:00,2612.15,AECI
2015-01-03 01:00:00,2671.05,AECI
2015-01-03 02:00:00,2751.34,AECI
2015-01-03 03:00:00,2751.49,AECI
2015-01-03 04:00:00,2645.83,AECI
2015-01-03 05:00:00,2513.76,AECI
2015-01-03 06:00:00,2401.93,AECI
2015-01-03 07:00:00,2321.2,AECI
2015-01-03 08:00:00,2279.6,AECI
2015-01-03 09:00:00,2273.27,AECI
2015-01-03 10:00:00,2309.17,AECI
2015-01-03 11:00:00,2361.96,AECI
2015-01-03 12:00:00,2411.03,AECI
2015-01-03 13:00:00,2458.68,AECI
2015-01-03 14:00:00,2498.77,AECI
2015-01-03 15:00:00,2559.46,AECI
2015-01-03 16:00:00,2553.11,AECI
2015-01-03 17:00:00,2543.35,AECI
2015-01-03 18:00:00,2523.64,AECI
2015-01-03 19:00:00,2516.48,AECI
2015-01-03 20:00:00,2519.84,AECI
2015-01-03 21:00:00,2526.43,AECI
2015-01-03 22:00:00,2536.36,AECI
2015-01-03 23:00:00,2561.55,AECI
2015-01-04 00:00:00,2454.8,AECI
2015-01-04 01:00:00,2545.43,AECI
2015-01-04 02:00:00,2648.83,AECI
2015-01-04 03:00:00,2710.93,AECI
2015-01-04 04:00:00,2657.4,AECI
2015-01-04 05:00:00,2608.96,AECI
2015-01-04 06:00:00,2616.95,AECI
2015-01-04 07:00:00,2731.9,AECI
2015-01-04 08:00:00,2832.61,AECI
2015-01-04 09:00:00,2959.21,AECI
2015-01-04 10:00:00,3102.38,AECI
2015-01-04 11:00:00,3264.46,AECI
2015-01-04 12:00:00,3399.32,AECI
2015-01-04 13:00:00,3530.9,AECI
2015-01-04 14:00:00,3674.38,AECI
2015-01-04 15:00:00,3859.71,AECI
2015-01-04 16:00:00,3914.55,AECI
2015-01-04 17:00:00,3873.14,AECI
2015-01-04 18:00:00,3768.77,AECI
2015-01-04 19:00:00,3663.97,AECI
2015-01-04 20:00:00,3534.23,AECI
2015-01-04 21:00:00,3407.29,AECI
