Time_UTC,Load,BA
2015-01-01 00:00:00,523.41,AEC
2015-01-01 01:00:00,560.25,AEC
2015-01-01 02:00:00,578.04,AEC
2015-01-01 03:00:00,559.36,AEC
2015-01-01 04:00:00,544.0,AEC
2015-01-01 05:00:00,533.59,AEC
2015-01-01 06:00:00,524.85,AEC
2015-01-01 07:00:00,519.87,AEC
2015-01-01 08:00:00,529.74,AEC
2015-01-01 09:00:00,550.66,AEC
2015-01-01 10:00:00,576.09,AEC
2015-01-01 11:00:00,599.36,AEC
2015-01-01 12:00:00,618.81,AEC
2015-01-01 13:00:00,646.68,AEC
2015-01-01 14:00:00,652.85,AEC
2015-01-01 15:00:00,605.99,AEC
2015-01-01 16:00:00,571.14,AEC
2015-01-01 17:00:00,532.94,AEC
2015-01-01 18:00:00,494.85,AEC
2015-01-01 19:00:00,465.98,AEC
2015-01-01 20:00:00,444.83,AEC
2015-01-01 21:00:00,437.71,AEC
2015-01-01 22:00:00,434.39,AEC
2015-01-01 23:00:00,434.4,AEC
2015-01-02 00:00:00,545.88,AEC
2015-01-02 01:00:00,571.02,AEC
2015-01-02 02:00:00,581.33,AEC
2015-01-02 03:00:00,550.2,AEC
2015-01-02 04:00:00,514.09,AEC
2015-01-02 05:00:00,480.82,AEC
2015-01-02 06:00:00,451.75,AEC
2015-01-02 07:00:00,432.7,AEC
2015-01-02 08:00:00,431.18,AEC
2015-01-02 09:00:00,443.78,AEC
2015-01-02 10:00:00,457.99,AEC
2015-01-02 11:00:00,473.3,AEC
2015-01-02 12:00:00,484.73,AEC
2015-01-02 13:00:00,494.19,AEC
2015-01-02 14:00:00,507.42,AEC
2015-01-02 15:00:00,497.83,AEC
2015-01-02 16:00:00,479.85,AEC
2015-01-02 17:00:00,462.66,AEC
2015-01-02 18:00:00,448.09,AEC
2015-01-02 19:00:00,437.81,AEC
2015-01-02 20:00:00,433.85,AEC
2015-01-02 21:00:00,433.91,AEC
2015-01-02 22:00:00,432.78,AEC
2015-01-02 23:00:00,436.34,AEC
2015-01-03 00:00:00,488.52,AEC
2015-01-03 01:00:00,510.17,AEC
2015-01-03 02:00:00,515.24,AEC
2015-01-03 03:00:00,481.07,AEC
2015-01-03 04:00:00,450.81,AEC
2015-01-03 05:00:00,424.3,AEC
2015-01-03 06:00:00,399.3,AEC
