Time_UTC,Load,BA
2015-01-01 00:00:00,1923.97,AVA
2015-01-01 01:00:00,1981.44,AVA
2015-01-01 02:00:00,2031.81,AVA
2015-01-01 03:00:00,2066.6,AVA
2015-01-01 04:00:00,2020.26,AVA
2015-01-01 05:00:00,1968.48,AVA
2015-01-01 06:00:00,1911.31,AVA
2015-01-01 07:00:00,1849.97,AVA
2015-01-01 08:00:00,1786.6,AVA
2015-01-01 09:00:00,1740.77,AVA
2015-01-01 10:00:00,1711.45,AVA
2015-01-01 11:00:00,1715.71,AVA
2015-01-01 12:00:00,1740.93,AVA
2015-01-01 13:00:00,1783.87,AVA
2015-01-01 14:00:00,1847.18,AVA
2015-01-01 15:00:00,1897.82,AVA
2015-01-01 16:00:00,1978.94,AVA
2015-01-01 17:00:00,2046.43,AVA
2015-01-01 18:00:00,2063.29,AVA
2015-01-01 19:00:00,2067.2,AVA
2015-01-01 20:00:00,2047.98,AVA
2015-01-01 21:00:00,2016.61,AVA
2015-01-01 22:00:00,1973.69,AVA
2015-01-01 23:00:00,1941.61,AVA
2015-01-02 00:00:00,2001.44,AVA
2015-01-02 01:00:00,2051.14,AVA
2015-01-02 02:00:00,2091.16,AVA
2015-01-02 03:00:00,2125.24,AVA
2015-01-02 04:00:00,2087.61,AVA
2015-01-02 05:00:00,2002.86,AVA
2015-01-02 06:00:00,1916.72,AVA
2015-01-02 07:00:00,1837.5,AVA
2015-01-02 08:00:00,1763.4,AVA
2015-01-02 09:00:00,1696.45,AVA
2015-01-02 10:00:00,1660.54,AVA
2015-01-02 11:00:00,1675.08,AVA
2015-01-02 12:00:00,1726.98,AVA
2015-01-02 13:00:00,1796.64,AVA
2015-01-02 14:00:00,1868.23,AVA
2015-01-02 15:00:00,1926.01,AVA
2015-01-02 16:00:00,2004.77,AVA
2015-01-02 17:00:00,2080.39,AVA
2015-01-02 18:00:00,2063.33,AVA
2015-01-02 19:00:00,2034.63,AVA
2015-01-02 20:00:00,2003.49,AVA
2015-01-02 21:00:00,1968.32,AVA
2015-01-02 22:00:00,1944.92,AVA
2015-01-02 23:00:00,1940.51,AVA
2015-01-03 00:00:00,1869.0,AVA
2015-01-03 01:00:00,1918.83,AVA
2015-01-03 02:00:00,1945.77,AVA
2015-01-03 03:00:00,1967.18,AVA
2015-01-03 04:00:00,1934.42,AVA
2015-01-03 05:00:00,1860.19,AVA
2015-01-03 06:00:00,1788.57,AVA
2015-01-03 07:00:00,1712.23,AVA
2015-01-03 08:00:00,1618.04,AVA
2015-01-03 09:00:00,1551.99,AVA
2015-01-03 10:00:00,1530.68,AVA
2015-01-03 11:00:00,1553.37,AVA
2015-01-03 12:00:00,1590.2,AVA
2015-01-03 13:00:00,1630.82,AVA
2015-01-03 14:00:00,1676.93,AVA
2015-01-03 15:00:00,1721.86,AVA
2015-01-03 16:00:00,1771.55,AVA
2015-01-03 17:00:00,1810.59,AVA
2015-01-03 18:00:00,1847.43,AVA
2015-01-03 19:00:00,1860.07,AVA
2015-01-03 20:00:00,1834.86,AVA
2015-01-03 21:00:00,1811.14,AVA
2015-01-03 22:00:00,1774.1,AVA
2015-01-03 23:00:00,1735.43,AVA
2015-01-04 00:00:00,1810.74,AVA
2015-01-04 01:00:00,1833.94,AVA
2015-01-04 02:00:00,1857.71,AVA
2015-01-04 03:00:00,1894.68,AVA
2015-01-04 04:00:00,1844.57,AVA
2015-01-04 05:00:00,1774.07,AVA
2015-01-04 06:00:00,1684.85,AVA
2015-01-04 07:00:00,1592.42,AVA
2015-01-04 08:00:00,1512.6,AVA
2015-01-04 09:00:00,1454.35,AVA
2015-01-04 10:00:00,1417.07,AVA
2015-01-04 11:00:00,1427.77,AVA
2015-01-04 12:00:00,1473.4,AVA
2015-01-04 13:00:00,1534.59,AVA
2015-01-04 14:00:00,1592.03,AVA
2015-01-04 15:00:00,1643.66,AVA
2015-01-04 16:00:00,1699.78,AVA
2015-01-04 17:00:00,1781.87,AVA
2015-01-04 18:00:00,1835.4,AVA
2015-01-04 19:00:00,1820.95,AVA
2015-01-04 20:00:00,1811.77,AVA
2015-01-04 21:00:00,1796.85,AVA
2015-01-04 22:00:00,1784.65,AVA
2015-01-04 23:00:00,1756.28,AVA
2015-01-05 00:00:00,1892.71,AVA
2015-01-05 01:00:00,1923.36,AVA
2015-01-05 02:00:00,1947.04,AVA
2015-01-05 03:00:00,1950.64,AVA
2015-01-05 04:00:00,1920.05,AVA
2015-01-05 05:00:00,1822.66,AVA
2015-01-05 06:00:00,1718.03,AVA
2015-01-05 07:00:00,1611.66,AVA
2015-01-05 08:00:00,1505.95,AVA
2015-01-05 09:00:00,1423.15,AVA
2015-01-05 10:00:00,1371.3,AVA
2015-01-05 11:00:00,1360.25,AVA
2015-01-05 12:00:00,1409.05,AVA
2015-01-05 13:00:00,1473.94,AVA
2015-01-05 14:00:00,1537.48,AVA
2015-01-05 15:00:00,1605.48,AVA
2015-01-05 16:00:00,1680.18,AVA
2015-01-05 17:00:00,1729.36,AVA
2015-01-05 18:00:00,1743.16,AVA
2015-01-05 19:00:00,1743.18,AVA
2015-01-05 20:00:00,1735.59,AVA
2015-01-05 21:00:00,1729.1,AVA
2015-01-05 22:00:00,1724.81,AVA
2015-01-05 23:00:00,1722.62,AVA
2015-01-06 00:00:00,1740.7,AVA
2015-01-06 01:00:00,1754.7,AVA
2015-01-06 02:00:00,1757.01,AVA
2015-01-06 03:00:00,1757.84,AVA
2015-01-06 04:00:00,1746.83,AVA
2015-01-06 05:00:00,1675.08,AVA
2015-01-06 06:00:00,1587.82,AVA
2015-01-06 07:00:00,1489.61,AVA
2015-01-06 08:00:00,1399.26,AVA
2015-01-06 09:00:00,1325.45,AVA
2015-01-06 10:00:00,1297.81,AVA
2015-01-06 11:00:00,1289.61,AVA
2015-01-06 12:00:00,1335.33,AVA
2015-01-06 13:00:00,1394.45,AVA
2015-01-06 14:00:00,1454.15,AVA
2015-01-06 15:00:00,1525.38,AVA
2015-01-06 16:00:00,1615.81,AVA
2015-01-06 17:00:00,1678.46,AVA
2015-01-06 18:00:00,1685.07,AVA
2015-01-06 19:00:00,1679.74,AVA
2015-01-06 20:00:00,1672.1,AVA
2015-01-06 21:00:00,1651.53,AVA
