Time_UTC,Load,BA
2015-01-01 00:00:00,3167.52,AZPS
2015-01-01 01:00:00,3350.69,AZPS
2015-01-01 02:00:00,3479.13,AZPS
2015-01-01 03:00:00,3578.77,AZPS
2015-01-01 04:00:00,3533.72,AZPS
2015-01-01 05:00:00,3422.16,AZPS
2015-01-01 06:00:00,3305.19,AZPS
2015-01-01 07:00:00,3182.64,AZPS
2015-01-01 08:00:00,3142.72,AZPS
2015-01-01 09:00:00,3201.16,AZPS
2015-01-01 10:00:00,3351.24,AZPS
2015-01-01 11:00:00,3513.84,AZPS
2015-01-01 12:00:00,3644.64,AZPS
2015-01-01 13:00:00,3738.42,AZPS
2015-01-01 14:00:00,3860.3,AZPS
2015-01-01 15:00:00,3949.49,AZPS
2015-01-01 16:00:00,3969.62,AZPS
2015-01-01 17:00:00,3817.39,AZPS
2015-01-01 18:00:00,3597.63,AZPS
2015-01-01 19:00:00,3431.31,AZPS
2015-01-01 20:00:00,3332.99,AZPS
2015-01-01 21:00:00,3318.86,AZPS
2015-01-01 22:00:00,3325.91,AZPS
2015-01-01 23:00:00,3324.9,AZPS
2015-01-02 00:00:00,3356.86,AZPS
2015-01-02 01:00:00,3655.94,AZPS
2015-01-02 02:00:00,3837.7,AZPS
2015-01-02 03:00:00,4012.71,AZPS
2015-01-02 04:00:00,3939.95,AZPS
2015-01-02 05:00:00,3835.29,AZPS
2015-01-02 06:00:00,3715.03,AZPS
2015-01-02 07:00:00,3631.56,AZPS
2015-01-02 08:00:00,3607.02,AZPS
2015-01-02 09:00:00,3662.32,AZPS
2015-01-02 10:00:00,3721.37,AZPS
2015-01-02 11:00:00,3819.89,AZPS
2015-01-02 12:00:00,3936.93,AZPS
2015-01-02 13:00:00,4062.58,AZPS
2015-01-02 14:00:00,4158.77,AZPS
2015-01-02 15:00:00,4260.8,AZPS
2015-01-02 16:00:00,4211.08,AZPS
2015-01-02 17:00:00,3899.01,AZPS
2015-01-02 18:00:00,3579.5,AZPS
2015-01-02 19:00:00,3370.93,AZPS
2015-01-02 20:00:00,3256.29,AZPS
