Time_UTC,Load,BA
2015-01-01 00:00:00,1590.88,BANC
2015-01-01 01:00:00,1793.91,BANC
2015-01-01 02:00:00,1879.02,BANC
2015-01-01 03:00:00,1981.62,BANC
2015-01-01 04:00:00,2020.77,BANC
2015-01-01 05:00:00,1973.32,BANC
2015-01-01 06:00:00,1894.76,BANC
2015-01-01 07:00:00,1825.28,BANC
2015-01-01 08:00:00,1752.77,BANC
2015-01-01 09:00:00,1674.27,BANC
2015-01-01 10:00:00,1609.35,BANC
2015-01-01 11:00:00,1587.33,BANC
2015-01-01 12:00:00,1619.6,BANC
2015-01-01 13:00:00,1658.4,BANC
2015-01-01 14:00:00,1709.8,BANC
2015-01-01 15:00:00,1733.71,BANC
2015-01-01 16:00:00,1818.74,BANC
2015-01-01 17:00:00,1884.94,BANC
2015-01-01 18:00:00,1895.34,BANC
2015-01-01 19:00:00,1879.9,BANC
2015-01-01 20:00:00,1857.67,BANC
2015-01-01 21:00:00,1829.54,BANC
2015-01-01 22:00:00,1819.75,BANC
2015-01-01 23:00:00,1833.89,BANC
2015-01-02 00:00:00,1992.26,BANC
2015-01-02 01:00:00,2176.54,BANC
2015-01-02 02:00:00,2247.7,BANC
2015-01-02 03:00:00,2300.7,BANC
2015-01-02 04:00:00,2317.61,BANC
2015-01-02 05:00:00,2219.24,BANC
2015-01-02 06:00:00,2092.27,BANC
2015-01-02 07:00:00,1960.81,BANC
2015-01-02 08:00:00,1835.29,BANC
2015-01-02 09:00:00,1741.81,BANC
2015-01-02 10:00:00,1698.54,BANC
2015-01-02 11:00:00,1690.12,BANC
2015-01-02 12:00:00,1729.35,BANC
2015-01-02 13:00:00,1792.91,BANC
2015-01-02 14:00:00,1876.32,BANC
2015-01-02 15:00:00,1966.28,BANC
2015-01-02 16:00:00,2129.26,BANC
2015-01-02 17:00:00,2164.44,BANC
2015-01-02 18:00:00,2090.93,BANC
2015-01-02 19:00:00,2038.1,BANC
2015-01-02 20:00:00,1996.6,BANC
2015-01-02 21:00:00,1976.42,BANC
2015-01-02 22:00:00,1972.41,BANC
2015-01-02 23:00:00,2027.59,BANC
2015-01-03 00:00:00,1848.38,BANC
2015-01-03 01:00:00,2048.17,BANC
2015-01-03 02:00:00,2113.94,BANC
2015-01-03 03:00:00,2173.91,BANC
2015-01-03 04:00:00,2197.51,BANC
2015-01-03 05:00:00,2115.69,BANC
2015-01-03 06:00:00,2002.34,BANC
2015-01-03 07:00:00,1889.4,BANC
2015-01-03 08:00:00,1787.29,BANC
2015-01-03 09:00:00,1696.63,BANC
2015-01-03 10:00:00,1634.76,BANC
2015-01-03 11:00:00,1610.24,BANC
2015-01-03 12:00:00,1609.2,BANC
2015-01-03 13:00:00,1647.84,BANC
2015-01-03 14:00:00,1704.35,BANC
2015-01-03 15:00:00,1772.57,BANC
2015-01-03 16:00:00,1853.53,BANC
2015-01-03 17:00:00,1889.98,BANC
2015-01-03 18:00:00,1886.14,BANC
2015-01-03 19:00:00,1861.49,BANC
2015-01-03 20:00:00,1824.16,BANC
2015-01-03 21:00:00,1790.84,BANC
2015-01-03 22:00:00,1771.19,BANC
2015-01-03 23:00:00,1771.86,BANC
2015-01-04 00:00:00,1793.8,BANC
2015-01-04 01:00:00,2020.6,BANC
2015-01-04 02:00:00,2081.8,BANC
2015-01-04 03:00:00,2134.77,BANC
2015-01-04 04:00:00,2162.61,BANC
2015-01-04 05:00:00,2086.95,BANC
2015-01-04 06:00:00,1965.1,BANC
2015-01-04 07:00:00,1855.74,BANC
2015-01-04 08:00:00,1758.79,BANC
2015-01-04 09:00:00,1678.62,BANC
2015-01-04 10:00:00,1626.37,BANC
2015-01-04 11:00:00,1605.99,BANC
2015-01-04 12:00:00,1621.71,BANC
2015-01-04 13:00:00,1663.93,BANC
2015-01-04 14:00:00,1719.81,BANC
2015-01-04 15:00:00,1775.35,BANC
2015-01-04 16:00:00,1829.78,BANC
2015-01-04 17:00:00,1902.75,BANC
2015-01-04 18:00:00,1868.87,BANC
2015-01-04 19:00:00,1839.39,BANC
2015-01-04 20:00:00,1803.61,BANC
2015-01-04 21:00:00,1768.78,BANC
2015-01-04 22:00:00,1754.41,BANC
2015-01-04 23:00:00,1755.88,BANC
2015-01-05 00:00:00,1975.57,BANC
2015-01-05 01:00:00,2156.0,BANC
2015-01-05 02:00:00,2204.37,BANC
2015-01-05 03:00:00,2251.71,BANC
2015-01-05 04:00:00,2288.08,BANC
2015-01-05 05:00:00,2186.15,BANC
2015-01-05 06:00:00,2050.86,BANC
2015-01-05 07:00:00,1920.88,BANC
2015-01-05 08:00:00,1800.94,BANC
2015-01-05 09:00:00,1721.66,BANC
2015-01-05 10:00:00,1657.71,BANC
2015-01-05 11:00:00,1644.54,BANC
2015-01-05 12:00:00,1693.97,BANC
2015-01-05 13:00:00,1772.64,BANC
2015-01-05 14:00:00,1854.52,BANC
2015-01-05 15:00:00,1943.37,BANC
2015-01-05 16:00:00,2137.67,BANC
2015-01-05 17:00:00,2129.38,BANC
2015-01-05 18:00:00,2073.5,BANC
2015-01-05 19:00:00,2023.35,BANC
2015-01-05 20:00:00,1983.02,BANC
2015-01-05 21:00:00,1949.18,BANC
2015-01-05 22:00:00,1912.45,BANC
2015-01-05 23:00:00,1923.12,BANC
2015-01-06 00:00:00,1922.5,BANC
2015-01-06 01:00:00,2113.07,BANC
2015-01-06 02:00:00,2149.22,BANC
2015-01-06 03:00:00,2176.6,BANC
2015-01-06 04:00:00,2205.54,BANC
2015-01-06 05:00:00,2133.66,BANC
2015-01-06 06:00:00,1999.31,BANC
2015-01-06 07:00:00,1861.43,BANC
2015-01-06 08:00:00,1726.61,BANC
2015-01-06 09:00:00,1609.32,BANC
2015-01-06 10:00:00,1549.63,BANC
2015-01-06 11:00:00,1560.84,BANC
2015-01-06 12:00:00,1611.74,BANC
2015-01-06 13:00:00,1683.07,BANC
2015-01-06 14:00:00,1772.72,BANC
2015-01-06 15:00:00,1858.54,BANC
2015-01-06 16:00:00,2028.87,BANC
2015-01-06 17:00:00,2044.32,BANC
2015-01-06 18:00:00,2008.49,BANC
2015-01-06 19:00:00,1972.47,BANC
2015-01-06 20:00:00,1934.84,BANC
2015-01-06 21:00:00,1894.52,BANC
2015-01-06 22:00:00,1856.96,BANC
2015-01-06 23:00:00,1848.81,BANC
2015-01-07 00:00:00,1859.7,BANC
2015-01-07 01:00:00,2051.42,BANC
2015-01-07 02:00:00,2093.75,BANC
2015-01-07 03:00:00,2135.01,BANC
2015-01-07 04:00:00,2155.14,BANC
2015-01-07 05:00:00,2108.48,BANC
2015-01-07 06:00:00,1965.78,BANC
2015-01-07 07:00:00,1820.74,BANC
2015-01-07 08:00:00,1688.77,BANC
2015-01-07 09:00:00,1579.7,BANC
2015-01-07 10:00:00,1512.9,BANC
2015-01-07 11:00:00,1527.32,BANC
2015-01-07 12:00:00,1584.03,BANC
2015-01-07 13:00:00,1651.87,BANC
2015-01-07 14:00:00,1744.69,BANC
2015-01-07 15:00:00,1835.91,BANC
2015-01-07 16:00:00,2032.02,BANC
2015-01-07 17:00:00,2024.49,BANC
2015-01-07 18:00:00,1988.79,BANC
2015-01-07 19:00:00,1951.4,BANC
2015-01-07 20:00:00,1907.89,BANC
2015-01-07 21:00:00,1872.26,BANC
2015-01-07 22:00:00,1845.27,BANC
2015-01-07 23:00:00,1830.37,BANC
2015-01-08 00:00:00,1863.55,BANC
2015-01-08 01:00:00,2037.04,BANC
2015-01-08 02:00:00,2071.61,BANC
2015-01-08 03:00:00,2113.77,BANC
2015-01-08 04:00:00,2144.31,BANC
2015-01-08 05:00:00,2103.4,BANC
2015-01-08 06:00:00,1960.78,BANC
2015-01-08 07:00:00,1819.74,BANC
2015-01-08 08:00:00,1685.17,BANC
2015-01-08 09:00:00,1583.95,BANC
2015-01-08 10:00:00,1517.95,BANC
2015-01-08 11:00:00,1523.59,BANC
2015-01-08 12:00:00,1582.61,BANC
2015-01-08 13:00:00,1645.7,BANC
2015-01-08 14:00:00,1724.96,BANC
2015-01-08 15:00:00,1800.23,BANC
2015-01-08 16:00:00,1952.49,BANC
2015-01-08 17:00:00,1998.05,BANC
2015-01-08 18:00:00,1948.93,BANC
