Time_UTC,Load,BA
2015-01-01 00:00:00,8094.78,BPAT
2015-01-01 01:00:00,8544.85,BPAT
2015-01-01 02:00:00,8805.39,BPAT
2015-01-01 03:00:00,8996.04,BPAT
2015-01-01 04:00:00,8787.3,BPAT
2015-01-01 05:00:00,8464.29,BPAT
2015-01-01 06:00:00,8137.99,BPAT
2015-01-01 07:00:00,7787.97,BPAT
2015-01-01 08:00:00,7520.25,BPAT
2015-01-01 09:00:00,7371.7,BPAT
2015-01-01 10:00:00,7278.69,BPAT
2015-01-01 11:00:00,7372.58,BPAT
2015-01-01 12:00:00,7602.84,BPAT
2015-01-01 13:00:00,7892.67,BPAT
2015-01-01 14:00:00,8266.39,BPAT
2015-01-01 15:00:00,8646.13,BPAT
2015-01-01 16:00:00,9104.0,BPAT
2015-01-01 17:00:00,9326.52,BPAT
2015-01-01 18:00:00,9175.38,BPAT
2015-01-01 19:00:00,8919.69,BPAT
2015-01-01 20:00:00,8647.08,BPAT
2015-01-01 21:00:00,8443.72,BPAT
2015-01-01 22:00:00,8299.55,BPAT
2015-01-01 23:00:00,8258.98,BPAT
2015-01-02 00:00:00,8057.01,BPAT
2015-01-02 01:00:00,8534.35,BPAT
2015-01-02 02:00:00,8805.48,BPAT
2015-01-02 03:00:00,9004.84,BPAT
2015-01-02 04:00:00,8883.57,BPAT
2015-01-02 05:00:00,8642.06,BPAT
2015-01-02 06:00:00,8226.52,BPAT
2015-01-02 07:00:00,7800.31,BPAT
2015-01-02 08:00:00,7399.86,BPAT
2015-01-02 09:00:00,7127.06,BPAT
2015-01-02 10:00:00,7056.61,BPAT
2015-01-02 11:00:00,7188.1,BPAT
2015-01-02 12:00:00,7511.85,BPAT
2015-01-02 13:00:00,7886.94,BPAT
2015-01-02 14:00:00,8280.21,BPAT
2015-01-02 15:00:00,8651.1,BPAT
2015-01-02 16:00:00,9019.46,BPAT
2015-01-02 17:00:00,9191.59,BPAT
2015-01-02 18:00:00,8804.62,BPAT
2015-01-02 19:00:00,8445.73,BPAT
2015-01-02 20:00:00,8133.67,BPAT
2015-01-02 21:00:00,7947.18,BPAT
2015-01-02 22:00:00,7949.36,BPAT
2015-01-02 23:00:00,8059.76,BPAT
2015-01-03 00:00:00,7626.04,BPAT
2015-01-03 01:00:00,7966.61,BPAT
2015-01-03 02:00:00,8249.21,BPAT
2015-01-03 03:00:00,8195.65,BPAT
2015-01-03 04:00:00,8034.96,BPAT
2015-01-03 05:00:00,7777.62,BPAT
2015-01-03 06:00:00,7455.11,BPAT
2015-01-03 07:00:00,7140.99,BPAT
2015-01-03 08:00:00,6802.46,BPAT
2015-01-03 09:00:00,6567.52,BPAT
2015-01-03 10:00:00,6481.76,BPAT
2015-01-03 11:00:00,6543.09,BPAT
2015-01-03 12:00:00,6719.4,BPAT
2015-01-03 13:00:00,7000.81,BPAT
2015-01-03 14:00:00,7302.18,BPAT
2015-01-03 15:00:00,7595.64,BPAT
2015-01-03 16:00:00,7887.58,BPAT
2015-01-03 17:00:00,8233.14,BPAT
2015-01-03 18:00:00,8207.59,BPAT
2015-01-03 19:00:00,7939.2,BPAT
2015-01-03 20:00:00,7665.44,BPAT
2015-01-03 21:00:00,7440.91,BPAT
2015-01-03 22:00:00,7239.87,BPAT
2015-01-03 23:00:00,6989.93,BPAT
2015-01-04 00:00:00,6905.76,BPAT
2015-01-04 01:00:00,7503.99,BPAT
2015-01-04 02:00:00,7818.01,BPAT
2015-01-04 03:00:00,7870.89,BPAT
2015-01-04 04:00:00,7902.36,BPAT
2015-01-04 05:00:00,7681.33,BPAT
2015-01-04 06:00:00,7369.03,BPAT
2015-01-04 07:00:00,7048.66,BPAT
2015-01-04 08:00:00,6745.82,BPAT
2015-01-04 09:00:00,6496.47,BPAT
2015-01-04 10:00:00,6406.29,BPAT
2015-01-04 11:00:00,6456.56,BPAT
2015-01-04 12:00:00,6678.52,BPAT
2015-01-04 13:00:00,6893.7,BPAT
2015-01-04 14:00:00,7096.83,BPAT
2015-01-04 15:00:00,7295.9,BPAT
2015-01-04 16:00:00,7460.36,BPAT
2015-01-04 17:00:00,7719.57,BPAT
2015-01-04 18:00:00,7780.26,BPAT
2015-01-04 19:00:00,7738.22,BPAT
2015-01-04 20:00:00,7657.47,BPAT
2015-01-04 21:00:00,7516.9,BPAT
2015-01-04 22:00:00,7396.2,BPAT
2015-01-04 23:00:00,7272.18,BPAT
2015-01-05 00:00:00,7924.35,BPAT
2015-01-05 01:00:00,8078.97,BPAT
2015-01-05 02:00:00,8201.19,BPAT
2015-01-05 03:00:00,8264.18,BPAT
2015-01-05 04:00:00,8054.39,BPAT
2015-01-05 05:00:00,7723.75,BPAT
2015-01-05 06:00:00,7362.71,BPAT
2015-01-05 07:00:00,6876.08,BPAT
2015-01-05 08:00:00,6438.05,BPAT
2015-01-05 09:00:00,6120.44,BPAT
2015-01-05 10:00:00,5896.26,BPAT
2015-01-05 11:00:00,5824.67,BPAT
2015-01-05 12:00:00,5939.79,BPAT
2015-01-05 13:00:00,6200.43,BPAT
2015-01-05 14:00:00,6526.88,BPAT
2015-01-05 15:00:00,6862.77,BPAT
2015-01-05 16:00:00,7155.95,BPAT
2015-01-05 17:00:00,7334.98,BPAT
2015-01-05 18:00:00,7299.59,BPAT
2015-01-05 19:00:00,7163.93,BPAT
2015-01-05 20:00:00,7038.26,BPAT
2015-01-05 21:00:00,6945.93,BPAT
2015-01-05 22:00:00,6848.14,BPAT
2015-01-05 23:00:00,6799.14,BPAT
2015-01-06 00:00:00,6990.47,BPAT
2015-01-06 01:00:00,7151.18,BPAT
2015-01-06 02:00:00,7308.9,BPAT
2015-01-06 03:00:00,7461.16,BPAT
2015-01-06 04:00:00,7362.86,BPAT
2015-01-06 05:00:00,7078.27,BPAT
2015-01-06 06:00:00,6747.74,BPAT
2015-01-06 07:00:00,6318.09,BPAT
2015-01-06 08:00:00,5834.55,BPAT
2015-01-06 09:00:00,5513.72,BPAT
2015-01-06 10:00:00,5386.41,BPAT
2015-01-06 11:00:00,5453.02,BPAT
2015-01-06 12:00:00,5723.76,BPAT
2015-01-06 13:00:00,6104.09,BPAT
2015-01-06 14:00:00,6484.49,BPAT
2015-01-06 15:00:00,6861.9,BPAT
2015-01-06 16:00:00,7268.73,BPAT
2015-01-06 17:00:00,7376.13,BPAT
2015-01-06 18:00:00,7163.94,BPAT
2015-01-06 19:00:00,6884.53,BPAT
2015-01-06 20:00:00,6649.05,BPAT
2015-01-06 21:00:00,6526.2,BPAT
2015-01-06 22:00:00,6427.64,BPAT
2015-01-06 23:00:00,6461.34,BPAT
2015-01-07 00:00:00,6485.22,BPAT
2015-01-07 01:00:00,6777.16,BPAT
2015-01-07 02:00:00,6972.87,BPAT
2015-01-07 03:00:00,7137.56,BPAT
2015-01-07 04:00:00,7055.38,BPAT
2015-01-07 05:00:00,6803.28,BPAT
2015-01-07 06:00:00,6542.42,BPAT
2015-01-07 07:00:00,6175.41,BPAT
2015-01-07 08:00:00,5797.1,BPAT
2015-01-07 09:00:00,5558.42,BPAT
2015-01-07 10:00:00,5521.33,BPAT
2015-01-07 11:00:00,5609.39,BPAT
2015-01-07 12:00:00,5885.11,BPAT
2015-01-07 13:00:00,6252.3,BPAT
2015-01-07 14:00:00,6637.95,BPAT
2015-01-07 15:00:00,7016.17,BPAT
2015-01-07 16:00:00,7497.31,BPAT
2015-01-07 17:00:00,7564.89,BPAT
2015-01-07 18:00:00,7184.31,BPAT
2015-01-07 19:00:00,6836.67,BPAT
2015-01-07 20:00:00,6607.41,BPAT
2015-01-07 21:00:00,6426.95,BPAT
2015-01-07 22:00:00,6333.88,BPAT
2015-01-07 23:00:00,6321.14,BPAT
