Time_UTC,Load,BA
2015-01-01 00:00:00,345.08,CHPD
2015-01-01 01:00:00,346.97,CHPD
2015-01-01 02:00:00,338.28,CHPD
2015-01-01 03:00:00,329.41,CHPD
2015-01-01 04:00:00,322.74,CHPD
2015-01-01 05:00:00,316.47,CHPD
2015-01-01 06:00:00,310.86,CHPD
2015-01-01 07:00:00,301.85,CHPD
2015-01-01 08:00:00,297.08,CHPD
2015-01-01 09:00:00,298.42,CHPD
2015-01-01 10:00:00,304.86,CHPD
2015-01-01 11:00:00,312.58,CHPD
2015-01-01 12:00:00,323.22,CHPD
2015-01-01 13:00:00,333.18,CHPD
2015-01-01 14:00:00,343.46,CHPD
2015-01-01 15:00:00,353.53,CHPD
2015-01-01 16:00:00,362.81,CHPD
2015-01-01 17:00:00,374.06,CHPD
2015-01-01 18:00:00,365.42,CHPD
2015-01-01 19:00:00,352.64,CHPD
2015-01-01 20:00:00,344.66,CHPD
2015-01-01 21:00:00,339.08,CHPD
2015-01-01 22:00:00,338.74,CHPD
2015-01-01 23:00:00,339.94,CHPD
2015-01-02 00:00:00,337.09,CHPD
2015-01-02 01:00:00,362.35,CHPD
2015-01-02 02:00:00,363.44,CHPD
2015-01-02 03:00:00,359.42,CHPD
2015-01-02 04:00:00,353.35,CHPD
2015-01-02 05:00:00,345.7,CHPD
2015-01-02 06:00:00,337.17,CHPD
2015-01-02 07:00:00,327.94,CHPD
2015-01-02 08:00:00,318.28,CHPD
2015-01-02 09:00:00,314.45,CHPD
2015-01-02 10:00:00,321.5,CHPD
2015-01-02 11:00:00,332.16,CHPD
2015-01-02 12:00:00,341.54,CHPD
2015-01-02 13:00:00,349.15,CHPD
2015-01-02 14:00:00,359.51,CHPD
2015-01-02 15:00:00,369.62,CHPD
2015-01-02 16:00:00,376.19,CHPD
2015-01-02 17:00:00,370.14,CHPD
2015-01-02 18:00:00,354.97,CHPD
2015-01-02 19:00:00,343.89,CHPD
2015-01-02 20:00:00,332.48,CHPD
2015-01-02 21:00:00,326.64,CHPD
2015-01-02 22:00:00,330.76,CHPD
2015-01-02 23:00:00,340.47,CHPD
2015-01-03 00:00:00,325.04,CHPD
2015-01-03 01:00:00,316.34,CHPD
2015-01-03 02:00:00,303.26,CHPD
2015-01-03 03:00:00,287.77,CHPD
2015-01-03 04:00:00,286.18,CHPD
2015-01-03 05:00:00,280.23,CHPD
2015-01-03 06:00:00,273.8,CHPD
2015-01-03 07:00:00,273.52,CHPD
2015-01-03 08:00:00,266.47,CHPD
2015-01-03 09:00:00,267.37,CHPD
2015-01-03 10:00:00,268.72,CHPD
2015-01-03 11:00:00,274.21,CHPD
2015-01-03 12:00:00,283.64,CHPD
2015-01-03 13:00:00,296.18,CHPD
