Time_UTC,Load,BA
2015-01-01 00:00:00,22678.56,CISO
2015-01-01 01:00:00,25162.93,CISO
2015-01-01 02:00:00,26721.45,CISO
2015-01-01 03:00:00,28210.23,CISO
2015-01-01 04:00:00,29591.9,CISO
2015-01-01 05:00:00,28833.56,CISO
2015-01-01 06:00:00,27639.7,CISO
2015-01-01 07:00:00,26449.53,CISO
2015-01-01 08:00:00,25228.79,CISO
2015-01-01 09:00:00,24127.06,CISO
2015-01-01 10:00:00,23386.19,CISO
2015-01-01 11:00:00,23113.72,CISO
2015-01-01 12:00:00,23251.53,CISO
2015-01-01 13:00:00,23810.11,CISO
2015-01-01 14:00:00,24180.75,CISO
2015-01-01 15:00:00,24318.76,CISO
2015-01-01 16:00:00,25763.45,CISO
2015-01-01 17:00:00,25476.55,CISO
2015-01-01 18:00:00,25065.32,CISO
2015-01-01 19:00:00,24636.92,CISO
2015-01-01 20:00:00,24369.59,CISO
2015-01-01 21:00:00,24467.63,CISO
2015-01-01 22:00:00,24811.73,CISO
2015-01-01 23:00:00,25119.2,CISO
2015-01-02 00:00:00,25712.83,CISO
2015-01-02 01:00:00,28657.68,CISO
2015-01-02 02:00:00,29701.44,CISO
2015-01-02 03:00:00,30642.13,CISO
2015-01-02 04:00:00,31301.04,CISO
2015-01-02 05:00:00,30462.07,CISO
2015-01-02 06:00:00,28840.35,CISO
2015-01-02 07:00:00,27192.08,CISO
2015-01-02 08:00:00,25747.4,CISO
2015-01-02 09:00:00,24451.49,CISO
2015-01-02 10:00:00,23336.88,CISO
2015-01-02 11:00:00,23121.28,CISO
2015-01-02 12:00:00,23421.72,CISO
2015-01-02 13:00:00,23824.44,CISO
2015-01-02 14:00:00,24248.85,CISO
2015-01-02 15:00:00,24681.93,CISO
2015-01-02 16:00:00,27011.37,CISO
2015-01-02 17:00:00,26953.0,CISO
2015-01-02 18:00:00,26480.53,CISO
2015-01-02 19:00:00,26106.44,CISO
2015-01-02 20:00:00,25911.67,CISO
2015-01-02 21:00:00,25951.1,CISO
2015-01-02 22:00:00,26133.96,CISO
2015-01-02 23:00:00,26470.1,CISO
2015-01-03 00:00:00,24302.97,CISO
2015-01-03 01:00:00,27131.52,CISO
2015-01-03 02:00:00,27858.0,CISO
2015-01-03 03:00:00,28591.15,CISO
2015-01-03 04:00:00,29281.75,CISO
2015-01-03 05:00:00,28377.24,CISO
2015-01-03 06:00:00,26900.63,CISO
2015-01-03 07:00:00,25446.29,CISO
2015-01-03 08:00:00,24357.89,CISO
2015-01-03 09:00:00,23333.97,CISO
2015-01-03 10:00:00,22362.45,CISO
2015-01-03 11:00:00,21882.86,CISO
2015-01-03 12:00:00,21864.2,CISO
2015-01-03 13:00:00,21980.97,CISO
2015-01-03 14:00:00,22200.95,CISO
2015-01-03 15:00:00,22484.7,CISO
2015-01-03 16:00:00,23528.78,CISO
2015-01-03 17:00:00,23407.72,CISO
2015-01-03 18:00:00,23112.58,CISO
2015-01-03 19:00:00,22790.89,CISO
2015-01-03 20:00:00,22591.06,CISO
2015-01-03 21:00:00,22486.29,CISO
2015-01-03 22:00:00,22446.5,CISO
2015-01-03 23:00:00,22325.09,CISO
2015-01-04 00:00:00,23918.06,CISO
2015-01-04 01:00:00,27088.24,CISO
2015-01-04 02:00:00,27624.93,CISO
2015-01-04 03:00:00,28180.93,CISO
2015-01-04 04:00:00,28676.25,CISO
2015-01-04 05:00:00,27794.6,CISO
2015-01-04 06:00:00,26343.8,CISO
2015-01-04 07:00:00,24914.15,CISO
2015-01-04 08:00:00,23700.23,CISO
2015-01-04 09:00:00,22638.33,CISO
2015-01-04 10:00:00,21774.4,CISO
2015-01-04 11:00:00,21385.35,CISO
2015-01-04 12:00:00,21382.68,CISO
2015-01-04 13:00:00,21529.35,CISO
2015-01-04 14:00:00,21729.63,CISO
2015-01-04 15:00:00,21878.32,CISO
2015-01-04 16:00:00,23023.19,CISO
2015-01-04 17:00:00,23124.2,CISO
2015-01-04 18:00:00,22769.75,CISO
2015-01-04 19:00:00,22394.12,CISO
2015-01-04 20:00:00,22166.02,CISO
2015-01-04 21:00:00,22061.81,CISO
2015-01-04 22:00:00,22003.35,CISO
2015-01-04 23:00:00,22073.52,CISO
2015-01-05 00:00:00,25406.09,CISO
2015-01-05 01:00:00,27492.66,CISO
2015-01-05 02:00:00,28173.31,CISO
2015-01-05 03:00:00,28915.1,CISO
2015-01-05 04:00:00,29619.12,CISO
2015-01-05 05:00:00,28856.71,CISO
2015-01-05 06:00:00,27263.4,CISO
2015-01-05 07:00:00,25653.4,CISO
