Time_UTC,Load,BA
2015-01-01 00:00:00,9101.28,CPLE
2015-01-01 01:00:00,8998.12,CPLE
2015-01-01 02:00:00,8883.57,CPLE
2015-01-01 03:00:00,8701.88,CPLE
2015-01-01 04:00:00,8483.51,CPLE
2015-01-01 05:00:00,8286.75,CPLE
2015-01-01 06:00:00,8112.01,CPLE
2015-01-01 07:00:00,8077.24,CPLE
2015-01-01 08:00:00,8094.75,CPLE
2015-01-01 09:00:00,8252.25,CPLE
2015-01-01 10:00:00,8435.35,CPLE
2015-01-01 11:00:00,8632.38,CPLE
2015-01-01 12:00:00,8883.3,CPLE
2015-01-01 13:00:00,9163.63,CPLE
2015-01-01 14:00:00,8633.95,CPLE
2015-01-01 15:00:00,7849.72,CPLE
2015-01-01 16:00:00,7156.13,CPLE
2015-01-01 17:00:00,6542.99,CPLE
2015-01-01 18:00:00,6134.13,CPLE
2015-01-01 19:00:00,5893.98,CPLE
2015-01-01 20:00:00,5749.76,CPLE
2015-01-01 21:00:00,5909.35,CPLE
2015-01-01 22:00:00,6458.78,CPLE
2015-01-01 23:00:00,6772.5,CPLE
2015-01-02 00:00:00,8296.06,CPLE
2015-01-02 01:00:00,8063.66,CPLE
2015-01-02 02:00:00,7786.15,CPLE
2015-01-02 03:00:00,7476.8,CPLE
2015-01-02 04:00:00,7174.0,CPLE
2015-01-02 05:00:00,6895.45,CPLE
2015-01-02 06:00:00,6634.26,CPLE
2015-01-02 07:00:00,6522.41,CPLE
2015-01-02 08:00:00,6719.71,CPLE
2015-01-02 09:00:00,7049.96,CPLE
2015-01-02 10:00:00,7352.03,CPLE
2015-01-02 11:00:00,7636.27,CPLE
2015-01-02 12:00:00,7871.14,CPLE
2015-01-02 13:00:00,8111.36,CPLE
2015-01-02 14:00:00,8266.94,CPLE
2015-01-02 15:00:00,8156.8,CPLE
2015-01-02 16:00:00,7839.32,CPLE
2015-01-02 17:00:00,7672.3,CPLE
2015-01-02 18:00:00,7582.28,CPLE
2015-01-02 19:00:00,7555.73,CPLE
2015-01-02 20:00:00,7540.02,CPLE
2015-01-02 21:00:00,7560.17,CPLE
2015-01-02 22:00:00,7572.7,CPLE
2015-01-02 23:00:00,7634.6,CPLE
2015-01-03 00:00:00,7674.65,CPLE
2015-01-03 01:00:00,7379.51,CPLE
2015-01-03 02:00:00,7104.51,CPLE
2015-01-03 03:00:00,6848.72,CPLE
2015-01-03 04:00:00,6535.46,CPLE
2015-01-03 05:00:00,6225.54,CPLE
2015-01-03 06:00:00,5998.93,CPLE
2015-01-03 07:00:00,5805.19,CPLE
2015-01-03 08:00:00,5645.67,CPLE
2015-01-03 09:00:00,5686.26,CPLE
2015-01-03 10:00:00,5796.46,CPLE
2015-01-03 11:00:00,5995.91,CPLE
2015-01-03 12:00:00,6095.42,CPLE
2015-01-03 13:00:00,6154.74,CPLE
2015-01-03 14:00:00,6234.72,CPLE
2015-01-03 15:00:00,6317.46,CPLE
2015-01-03 16:00:00,6318.32,CPLE
2015-01-03 17:00:00,6324.24,CPLE
2015-01-03 18:00:00,6290.51,CPLE
2015-01-03 19:00:00,6253.31,CPLE
2015-01-03 20:00:00,6209.58,CPLE
2015-01-03 21:00:00,6166.2,CPLE
2015-01-03 22:00:00,6173.77,CPLE
2015-01-03 23:00:00,6228.67,CPLE
2015-01-04 00:00:00,7013.5,CPLE
2015-01-04 01:00:00,6750.53,CPLE
2015-01-04 02:00:00,6477.93,CPLE
2015-01-04 03:00:00,6203.73,CPLE
2015-01-04 04:00:00,5931.55,CPLE
2015-01-04 05:00:00,5653.13,CPLE
2015-01-04 06:00:00,5365.78,CPLE
2015-01-04 07:00:00,5084.54,CPLE
