Time_UTC,Load,BA
2015-01-01 00:00:00,14187.32,DUK
2015-01-01 01:00:00,14413.89,DUK
2015-01-01 02:00:00,14568.83,DUK
2015-01-01 03:00:00,14134.58,DUK
2015-01-01 04:00:00,13664.61,DUK
2015-01-01 05:00:00,13233.06,DUK
2015-01-01 06:00:00,12854.87,DUK
2015-01-01 07:00:00,12593.55,DUK
2015-01-01 08:00:00,12660.84,DUK
2015-01-01 09:00:00,12942.05,DUK
2015-01-01 10:00:00,13359.65,DUK
2015-01-01 11:00:00,13797.83,DUK
2015-01-01 12:00:00,14258.37,DUK
2015-01-01 13:00:00,14820.97,DUK
2015-01-01 14:00:00,14340.33,DUK
2015-01-01 15:00:00,13630.61,DUK
2015-01-01 16:00:00,12743.73,DUK
2015-01-01 17:00:00,11999.61,DUK
2015-01-01 18:00:00,11477.0,DUK
2015-01-01 19:00:00,11200.08,DUK
2015-01-01 20:00:00,10969.26,DUK
2015-01-01 21:00:00,10971.25,DUK
2015-01-01 22:00:00,12007.95,DUK
2015-01-01 23:00:00,12464.25,DUK
2015-01-02 00:00:00,13546.25,DUK
2015-01-02 01:00:00,13653.71,DUK
2015-01-02 02:00:00,13523.53,DUK
2015-01-02 03:00:00,12925.6,DUK
2015-01-02 04:00:00,12348.86,DUK
2015-01-02 05:00:00,11757.43,DUK
2015-01-02 06:00:00,11297.5,DUK
2015-01-02 07:00:00,11064.56,DUK
2015-01-02 08:00:00,11194.74,DUK
2015-01-02 09:00:00,11519.76,DUK
2015-01-02 10:00:00,11950.58,DUK
2015-01-02 11:00:00,12356.8,DUK
2015-01-02 12:00:00,12755.8,DUK
2015-01-02 13:00:00,13338.5,DUK
2015-01-02 14:00:00,13830.73,DUK
2015-01-02 15:00:00,13464.32,DUK
2015-01-02 16:00:00,13106.63,DUK
2015-01-02 17:00:00,12885.97,DUK
2015-01-02 18:00:00,12725.32,DUK
2015-01-02 19:00:00,12671.1,DUK
2015-01-02 20:00:00,12611.86,DUK
2015-01-02 21:00:00,12603.13,DUK
2015-01-02 22:00:00,12770.78,DUK
2015-01-02 23:00:00,12911.13,DUK
2015-01-03 00:00:00,12032.79,DUK
2015-01-03 01:00:00,12124.97,DUK
2015-01-03 02:00:00,12085.38,DUK
2015-01-03 03:00:00,11464.36,DUK
2015-01-03 04:00:00,10895.13,DUK
2015-01-03 05:00:00,10489.08,DUK
2015-01-03 06:00:00,10127.86,DUK
2015-01-03 07:00:00,9907.41,DUK
2015-01-03 08:00:00,9839.34,DUK
2015-01-03 09:00:00,9774.13,DUK
2015-01-03 10:00:00,10008.23,DUK
2015-01-03 11:00:00,10293.79,DUK
2015-01-03 12:00:00,10568.95,DUK
2015-01-03 13:00:00,10882.91,DUK
2015-01-03 14:00:00,11143.04,DUK
2015-01-03 15:00:00,11309.09,DUK
2015-01-03 16:00:00,11237.95,DUK
2015-01-03 17:00:00,11188.28,DUK
2015-01-03 18:00:00,11159.16,DUK
2015-01-03 19:00:00,11096.0,DUK
2015-01-03 20:00:00,11090.06,DUK
2015-01-03 21:00:00,11120.4,DUK
2015-01-03 22:00:00,11178.08,DUK
2015-01-03 23:00:00,11248.26,DUK
2015-01-04 00:00:00,11985.71,DUK
2015-01-04 01:00:00,12076.67,DUK
2015-01-04 02:00:00,11969.45,DUK
2015-01-04 03:00:00,11361.07,DUK
2015-01-04 04:00:00,10727.85,DUK
2015-01-04 05:00:00,10292.99,DUK
2015-01-04 06:00:00,9874.67,DUK
2015-01-04 07:00:00,9616.76,DUK
2015-01-04 08:00:00,9440.06,DUK
2015-01-04 09:00:00,9273.83,DUK
2015-01-04 10:00:00,9347.55,DUK
2015-01-04 11:00:00,9498.8,DUK
2015-01-04 12:00:00,9550.32,DUK
2015-01-04 13:00:00,9729.76,DUK
2015-01-04 14:00:00,9971.76,DUK
2015-01-04 15:00:00,10097.32,DUK
2015-01-04 16:00:00,9987.92,DUK
2015-01-04 17:00:00,9864.11,DUK
2015-01-04 18:00:00,9741.45,DUK
2015-01-04 19:00:00,9634.24,DUK
2015-01-04 20:00:00,9525.77,DUK
2015-01-04 21:00:00,9462.43,DUK
2015-01-04 22:00:00,9474.64,DUK
2015-01-04 23:00:00,9512.12,DUK
2015-01-05 00:00:00,11768.9,DUK
2015-01-05 01:00:00,11871.99,DUK
2015-01-05 02:00:00,11494.14,DUK
2015-01-05 03:00:00,10907.28,DUK
2015-01-05 04:00:00,10572.34,DUK
2015-01-05 05:00:00,10171.76,DUK
2015-01-05 06:00:00,9895.02,DUK
2015-01-05 07:00:00,10088.51,DUK
2015-01-05 08:00:00,10486.93,DUK
2015-01-05 09:00:00,11354.51,DUK
2015-01-05 10:00:00,12340.76,DUK
2015-01-05 11:00:00,13293.94,DUK
2015-01-05 12:00:00,14108.36,DUK
2015-01-05 13:00:00,15352.06,DUK
2015-01-05 14:00:00,15307.34,DUK
2015-01-05 15:00:00,15030.03,DUK
2015-01-05 16:00:00,14447.74,DUK
2015-01-05 17:00:00,13823.38,DUK
2015-01-05 18:00:00,13344.45,DUK
2015-01-05 19:00:00,12988.92,DUK
2015-01-05 20:00:00,12712.63,DUK
2015-01-05 21:00:00,12628.75,DUK
2015-01-05 22:00:00,13090.31,DUK
2015-01-05 23:00:00,13629.33,DUK
2015-01-06 00:00:00,14630.25,DUK
2015-01-06 01:00:00,14917.28,DUK
2015-01-06 02:00:00,14867.03,DUK
2015-01-06 03:00:00,14418.98,DUK
2015-01-06 04:00:00,13845.61,DUK
2015-01-06 05:00:00,13307.88,DUK
2015-01-06 06:00:00,12915.65,DUK
2015-01-06 07:00:00,12797.36,DUK
2015-01-06 08:00:00,12950.09,DUK
2015-01-06 09:00:00,13496.99,DUK
2015-01-06 10:00:00,14025.01,DUK
2015-01-06 11:00:00,14548.97,DUK
2015-01-06 12:00:00,15052.71,DUK
2015-01-06 13:00:00,16063.26,DUK
2015-01-06 14:00:00,15748.36,DUK
2015-01-06 15:00:00,14840.94,DUK
2015-01-06 16:00:00,13991.54,DUK
2015-01-06 17:00:00,13015.04,DUK
