Time_UTC,Load,BA
2015-01-01 00:00:00,874.96,EPE
2015-01-01 01:00:00,935.02,EPE
2015-01-01 02:00:00,988.76,EPE
2015-01-01 03:00:00,1005.79,EPE
2015-01-01 04:00:00,988.93,EPE
2015-01-01 05:00:00,956.09,EPE
2015-01-01 06:00:00,908.3,EPE
2015-01-01 07:00:00,862.31,EPE
2015-01-01 08:00:00,820.07,EPE
2015-01-01 09:00:00,788.16,EPE
2015-01-01 10:00:00,787.28,EPE
2015-01-01 11:00:00,799.49,EPE
2015-01-01 12:00:00,812.56,EPE
2015-01-01 13:00:00,825.93,EPE
2015-01-01 14:00:00,839.81,EPE
2015-01-01 15:00:00,869.8,EPE
2015-01-01 16:00:00,887.28,EPE
2015-01-01 17:00:00,897.99,EPE
2015-01-01 18:00:00,905.46,EPE
2015-01-01 19:00:00,914.47,EPE
2015-01-01 20:00:00,927.6,EPE
2015-01-01 21:00:00,940.42,EPE
2015-01-01 22:00:00,944.96,EPE
2015-01-01 23:00:00,945.71,EPE
2015-01-02 00:00:00,907.0,EPE
2015-01-02 01:00:00,971.54,EPE
2015-01-02 02:00:00,1033.02,EPE
2015-01-02 03:00:00,1055.1,EPE
2015-01-02 04:00:00,1013.66,EPE
2015-01-02 05:00:00,949.99,EPE
2015-01-02 06:00:00,888.27,EPE
2015-01-02 07:00:00,837.43,EPE
2015-01-02 08:00:00,803.45,EPE
2015-01-02 09:00:00,783.96,EPE
2015-01-02 10:00:00,779.41,EPE
2015-01-02 11:00:00,797.28,EPE
2015-01-02 12:00:00,816.34,EPE
2015-01-02 13:00:00,833.21,EPE
2015-01-02 14:00:00,849.15,EPE
2015-01-02 15:00:00,898.69,EPE
2015-01-02 16:00:00,937.66,EPE
2015-01-02 17:00:00,959.6,EPE
2015-01-02 18:00:00,980.88,EPE
2015-01-02 19:00:00,982.56,EPE
2015-01-02 20:00:00,979.52,EPE
2015-01-02 21:00:00,972.67,EPE
2015-01-02 22:00:00,973.65,EPE
2015-01-02 23:00:00,974.36,EPE
2015-01-03 00:00:00,862.28,EPE
2015-01-03 01:00:00,926.48,EPE
2015-01-03 02:00:00,1000.33,EPE
2015-01-03 03:00:00,1008.43,EPE
2015-01-03 04:00:00,971.1,EPE
2015-01-03 05:00:00,919.1,EPE
2015-01-03 06:00:00,879.27,EPE
2015-01-03 07:00:00,824.04,EPE
2015-01-03 08:00:00,786.37,EPE
2015-01-03 09:00:00,777.21,EPE
2015-01-03 10:00:00,774.79,EPE
2015-01-03 11:00:00,785.41,EPE
2015-01-03 12:00:00,806.5,EPE
2015-01-03 13:00:00,823.18,EPE
2015-01-03 14:00:00,842.09,EPE
2015-01-03 15:00:00,874.64,EPE
2015-01-03 16:00:00,885.85,EPE
2015-01-03 17:00:00,883.68,EPE
2015-01-03 18:00:00,881.91,EPE
2015-01-03 19:00:00,873.77,EPE
2015-01-03 20:00:00,858.43,EPE
2015-01-03 21:00:00,839.51,EPE
2015-01-03 22:00:00,825.52,EPE
2015-01-03 23:00:00,820.37,EPE
2015-01-04 00:00:00,902.93,EPE
2015-01-04 01:00:00,965.41,EPE
2015-01-04 02:00:00,1038.74,EPE
2015-01-04 03:00:00,1023.56,EPE
2015-01-04 04:00:00,1001.78,EPE
2015-01-04 05:00:00,956.45,EPE
