Time_UTC,Load,BA
2015-01-01 00:00:00,12940.31,FPL
2015-01-01 01:00:00,12356.53,FPL
2015-01-01 02:00:00,11819.59,FPL
2015-01-01 03:00:00,11169.53,FPL
2015-01-01 04:00:00,10402.21,FPL
2015-01-01 05:00:00,9666.44,FPL
2015-01-01 06:00:00,8980.99,FPL
2015-01-01 07:00:00,8408.94,FPL
2015-01-01 08:00:00,8090.32,FPL
2015-01-01 09:00:00,8096.26,FPL
2015-01-01 10:00:00,8343.36,FPL
2015-01-01 11:00:00,8711.78,FPL
2015-01-01 12:00:00,9140.23,FPL
2015-01-01 13:00:00,9662.89,FPL
2015-01-01 14:00:00,10185.4,FPL
2015-01-01 15:00:00,10903.35,FPL
2015-01-01 16:00:00,11651.47,FPL
2015-01-01 17:00:00,12300.01,FPL
2015-01-01 18:00:00,12914.02,FPL
2015-01-01 19:00:00,13612.44,FPL
2015-01-01 20:00:00,14065.47,FPL
2015-01-01 21:00:00,14266.07,FPL
2015-01-01 22:00:00,14263.01,FPL
2015-01-01 23:00:00,14266.72,FPL
2015-01-02 00:00:00,15336.73,FPL
2015-01-02 01:00:00,14280.29,FPL
2015-01-02 02:00:00,13324.8,FPL
2015-01-02 03:00:00,12419.16,FPL
2015-01-02 04:00:00,11460.52,FPL
2015-01-02 05:00:00,10548.07,FPL
2015-01-02 06:00:00,9642.5,FPL
2015-01-02 07:00:00,8854.27,FPL
2015-01-02 08:00:00,8710.05,FPL
2015-01-02 09:00:00,8870.78,FPL
2015-01-02 10:00:00,9189.78,FPL
2015-01-02 11:00:00,9551.54,FPL
2015-01-02 12:00:00,9953.94,FPL
2015-01-02 13:00:00,10706.21,FPL
2015-01-02 14:00:00,11645.53,FPL
2015-01-02 15:00:00,12516.59,FPL
2015-01-02 16:00:00,13273.58,FPL
2015-01-02 17:00:00,13864.82,FPL
2015-01-02 18:00:00,14397.44,FPL
2015-01-02 19:00:00,14904.39,FPL
2015-01-02 20:00:00,15344.38,FPL
2015-01-02 21:00:00,15481.12,FPL
2015-01-02 22:00:00,15313.92,FPL
2015-01-02 23:00:00,14827.4,FPL
2015-01-03 00:00:00,15032.53,FPL
2015-01-03 01:00:00,14057.98,FPL
2015-01-03 02:00:00,13251.49,FPL
2015-01-03 03:00:00,12499.96,FPL
2015-01-03 04:00:00,11738.61,FPL
2015-01-03 05:00:00,10989.95,FPL
2015-01-03 06:00:00,10200.49,FPL
2015-01-03 07:00:00,9551.81,FPL
2015-01-03 08:00:00,9190.46,FPL
2015-01-03 09:00:00,9090.16,FPL
2015-01-03 10:00:00,9109.72,FPL
2015-01-03 11:00:00,9242.24,FPL
2015-01-03 12:00:00,9557.65,FPL
2015-01-03 13:00:00,10276.7,FPL
2015-01-03 14:00:00,11665.52,FPL
2015-01-03 15:00:00,12872.09,FPL
2015-01-03 16:00:00,13997.94,FPL
2015-01-03 17:00:00,15109.52,FPL
2015-01-03 18:00:00,15779.94,FPL
2015-01-03 19:00:00,16069.47,FPL
2015-01-03 20:00:00,16254.52,FPL
2015-01-03 21:00:00,16073.63,FPL
2015-01-03 22:00:00,15718.24,FPL
2015-01-03 23:00:00,15155.16,FPL
2015-01-04 00:00:00,16049.49,FPL
2015-01-04 01:00:00,14991.95,FPL
2015-01-04 02:00:00,14067.34,FPL
2015-01-04 03:00:00,13181.53,FPL
2015-01-04 04:00:00,12327.34,FPL
2015-01-04 05:00:00,11474.16,FPL
2015-01-04 06:00:00,10650.04,FPL
2015-01-04 07:00:00,10019.49,FPL
2015-01-04 08:00:00,9744.35,FPL
2015-01-04 09:00:00,9544.01,FPL
2015-01-04 10:00:00,9532.09,FPL
2015-01-04 11:00:00,9527.29,FPL
2015-01-04 12:00:00,9699.34,FPL
2015-01-04 13:00:00,10510.25,FPL
2015-01-04 14:00:00,12021.33,FPL
2015-01-04 15:00:00,13168.37,FPL
2015-01-04 16:00:00,14293.62,FPL
2015-01-04 17:00:00,15264.39,FPL
2015-01-04 18:00:00,15805.97,FPL
2015-01-04 19:00:00,16190.64,FPL
2015-01-04 20:00:00,16357.31,FPL
2015-01-04 21:00:00,16353.18,FPL
2015-01-04 22:00:00,16005.79,FPL
2015-01-04 23:00:00,15202.48,FPL
2015-01-05 00:00:00,17055.98,FPL
2015-01-05 01:00:00,15879.96,FPL
2015-01-05 02:00:00,14807.37,FPL
2015-01-05 03:00:00,13745.47,FPL
2015-01-05 04:00:00,12670.65,FPL
2015-01-05 05:00:00,11544.15,FPL
2015-01-05 06:00:00,10379.25,FPL
2015-01-05 07:00:00,9278.69,FPL
2015-01-05 08:00:00,8903.05,FPL
2015-01-05 09:00:00,9017.82,FPL
2015-01-05 10:00:00,9319.49,FPL
2015-01-05 11:00:00,9713.66,FPL
2015-01-05 12:00:00,10102.48,FPL
2015-01-05 13:00:00,10963.41,FPL
2015-01-05 14:00:00,11951.45,FPL
2015-01-05 15:00:00,12608.84,FPL
2015-01-05 16:00:00,13104.88,FPL
2015-01-05 17:00:00,13460.21,FPL
2015-01-05 18:00:00,13746.95,FPL
2015-01-05 19:00:00,13903.13,FPL
2015-01-05 20:00:00,14072.22,FPL
2015-01-05 21:00:00,13975.99,FPL
2015-01-05 22:00:00,13870.05,FPL
2015-01-05 23:00:00,13630.9,FPL
2015-01-06 00:00:00,14619.35,FPL
2015-01-06 01:00:00,13857.18,FPL
2015-01-06 02:00:00,13140.14,FPL
2015-01-06 03:00:00,12330.47,FPL
2015-01-06 04:00:00,11435.37,FPL
2015-01-06 05:00:00,10548.62,FPL
2015-01-06 06:00:00,9623.38,FPL
2015-01-06 07:00:00,8758.0,FPL
2015-01-06 08:00:00,8662.51,FPL
2015-01-06 09:00:00,8932.56,FPL
2015-01-06 10:00:00,9276.62,FPL
2015-01-06 11:00:00,9667.35,FPL
2015-01-06 12:00:00,10074.13,FPL
2015-01-06 13:00:00,10947.13,FPL
2015-01-06 14:00:00,11955.73,FPL
2015-01-06 15:00:00,12658.45,FPL
2015-01-06 16:00:00,13412.16,FPL
2015-01-06 17:00:00,14091.79,FPL
2015-01-06 18:00:00,14716.67,FPL
2015-01-06 19:00:00,15093.74,FPL
2015-01-06 20:00:00,15374.36,FPL
2015-01-06 21:00:00,15461.54,FPL
2015-01-06 22:00:00,15153.12,FPL
2015-01-06 23:00:00,14458.34,FPL
2015-01-07 00:00:00,15438.05,FPL
2015-01-07 01:00:00,14236.73,FPL
2015-01-07 02:00:00,13248.77,FPL
2015-01-07 03:00:00,12233.87,FPL
2015-01-07 04:00:00,11222.76,FPL
