Time_UTC,Load,BA
2015-01-01 00:00:00,578.31,GCPD
2015-01-01 01:00:00,583.76,GCPD
2015-01-01 02:00:00,587.62,GCPD
2015-01-01 03:00:00,585.07,GCPD
2015-01-01 04:00:00,580.38,GCPD
2015-01-01 05:00:00,574.5,GCPD
2015-01-01 06:00:00,567.6,GCPD
2015-01-01 07:00:00,560.87,GCPD
2015-01-01 08:00:00,556.97,GCPD
2015-01-01 09:00:00,559.18,GCPD
2015-01-01 10:00:00,563.56,GCPD
2015-01-01 11:00:00,569.17,GCPD
2015-01-01 12:00:00,573.62,GCPD
2015-01-01 13:00:00,578.53,GCPD
2015-01-01 14:00:00,584.71,GCPD
2015-01-01 15:00:00,589.56,GCPD
2015-01-01 16:00:00,591.68,GCPD
2015-01-01 17:00:00,608.08,GCPD
2015-01-01 18:00:00,611.01,GCPD
2015-01-01 19:00:00,608.77,GCPD
2015-01-01 20:00:00,600.19,GCPD
2015-01-01 21:00:00,593.21,GCPD
2015-01-01 22:00:00,582.98,GCPD
2015-01-01 23:00:00,568.62,GCPD
2015-01-02 00:00:00,631.73,GCPD
2015-01-02 01:00:00,637.44,GCPD
2015-01-02 02:00:00,641.27,GCPD
2015-01-02 03:00:00,639.87,GCPD
2015-01-02 04:00:00,635.2,GCPD
2015-01-02 05:00:00,628.38,GCPD
2015-01-02 06:00:00,622.83,GCPD
2015-01-02 07:00:00,617.29,GCPD
2015-01-02 08:00:00,611.46,GCPD
2015-01-02 09:00:00,614.23,GCPD
2015-01-02 10:00:00,617.44,GCPD
2015-01-02 11:00:00,626.59,GCPD
2015-01-02 12:00:00,636.76,GCPD
2015-01-02 13:00:00,647.46,GCPD
2015-01-02 14:00:00,657.78,GCPD
2015-01-02 15:00:00,665.27,GCPD
2015-01-02 16:00:00,669.96,GCPD
2015-01-02 17:00:00,679.05,GCPD
2015-01-02 18:00:00,682.23,GCPD
2015-01-02 19:00:00,678.36,GCPD
2015-01-02 20:00:00,662.19,GCPD
2015-01-02 21:00:00,645.55,GCPD
2015-01-02 22:00:00,632.58,GCPD
2015-01-02 23:00:00,618.92,GCPD
2015-01-03 00:00:00,594.16,GCPD
2015-01-03 01:00:00,629.26,GCPD
2015-01-03 02:00:00,647.23,GCPD
2015-01-03 03:00:00,644.26,GCPD
2015-01-03 04:00:00,627.23,GCPD
2015-01-03 05:00:00,613.84,GCPD
2015-01-03 06:00:00,601.87,GCPD
2015-01-03 07:00:00,593.87,GCPD
2015-01-03 08:00:00,583.0,GCPD
2015-01-03 09:00:00,575.6,GCPD
2015-01-03 10:00:00,571.64,GCPD
2015-01-03 11:00:00,574.81,GCPD
2015-01-03 12:00:00,581.27,GCPD
2015-01-03 13:00:00,588.18,GCPD
2015-01-03 14:00:00,593.97,GCPD
2015-01-03 15:00:00,600.08,GCPD
2015-01-03 16:00:00,605.01,GCPD
2015-01-03 17:00:00,612.06,GCPD
2015-01-03 18:00:00,614.38,GCPD
2015-01-03 19:00:00,600.91,GCPD
2015-01-03 20:00:00,586.28,GCPD
2015-01-03 21:00:00,573.43,GCPD
2015-01-03 22:00:00,564.55,GCPD
2015-01-03 23:00:00,549.77,GCPD
2015-01-04 00:00:00,573.61,GCPD
2015-01-04 01:00:00,587.36,GCPD
2015-01-04 02:00:00,598.83,GCPD
