Time_UTC,Load,BA
2015-01-01 00:00:00,209.71,GVL
2015-01-01 01:00:00,205.09,GVL
2015-01-01 02:00:00,201.72,GVL
2015-01-01 03:00:00,189.4,GVL
2015-01-01 04:00:00,174.94,GVL
2015-01-01 05:00:00,160.24,GVL
2015-01-01 06:00:00,149.11,GVL
2015-01-01 07:00:00,144.62,GVL
2015-01-01 08:00:00,143.19,GVL
2015-01-01 09:00:00,147.27,GVL
2015-01-01 10:00:00,154.03,GVL
2015-01-01 11:00:00,161.14,GVL
2015-01-01 12:00:00,167.54,GVL
2015-01-01 13:00:00,174.78,GVL
2015-01-01 14:00:00,181.84,GVL
2015-01-01 15:00:00,187.39,GVL
2015-01-01 16:00:00,192.42,GVL
2015-01-01 17:00:00,188.24,GVL
2015-01-01 18:00:00,186.08,GVL
2015-01-01 19:00:00,183.48,GVL
2015-01-01 20:00:00,183.56,GVL
2015-01-01 21:00:00,185.13,GVL
2015-01-01 22:00:00,187.13,GVL
2015-01-01 23:00:00,188.91,GVL
2015-01-02 00:00:00,229.69,GVL
2015-01-02 01:00:00,227.15,GVL
2015-01-02 02:00:00,224.71,GVL
2015-01-02 03:00:00,209.72,GVL
2015-01-02 04:00:00,193.5,GVL
2015-01-02 05:00:00,177.45,GVL
2015-01-02 06:00:00,162.7,GVL
2015-01-02 07:00:00,150.38,GVL
2015-01-02 08:00:00,149.43,GVL
2015-01-02 09:00:00,158.06,GVL
2015-01-02 10:00:00,163.83,GVL
2015-01-02 11:00:00,169.09,GVL
2015-01-02 12:00:00,174.34,GVL
2015-01-02 13:00:00,182.34,GVL
2015-01-02 14:00:00,189.47,GVL
2015-01-02 15:00:00,192.49,GVL
2015-01-02 16:00:00,192.04,GVL
2015-01-02 17:00:00,192.26,GVL
2015-01-02 18:00:00,193.87,GVL
2015-01-02 19:00:00,197.34,GVL
2015-01-02 20:00:00,203.38,GVL
2015-01-02 21:00:00,208.68,GVL
2015-01-02 22:00:00,211.92,GVL
2015-01-02 23:00:00,211.37,GVL
2015-01-03 00:00:00,230.16,GVL
2015-01-03 01:00:00,217.95,GVL
2015-01-03 02:00:00,209.49,GVL
2015-01-03 03:00:00,196.57,GVL
2015-01-03 04:00:00,180.13,GVL
2015-01-03 05:00:00,165.99,GVL
2015-01-03 06:00:00,155.56,GVL
2015-01-03 07:00:00,146.82,GVL
2015-01-03 08:00:00,140.1,GVL
2015-01-03 09:00:00,137.16,GVL
2015-01-03 10:00:00,139.47,GVL
2015-01-03 11:00:00,145.38,GVL
2015-01-03 12:00:00,150.68,GVL
2015-01-03 13:00:00,155.09,GVL
2015-01-03 14:00:00,161.21,GVL
2015-01-03 15:00:00,167.63,GVL
2015-01-03 16:00:00,174.26,GVL
2015-01-03 17:00:00,188.73,GVL
2015-01-03 18:00:00,204.4,GVL
2015-01-03 19:00:00,218.37,GVL
2015-01-03 20:00:00,227.26,GVL
2015-01-03 21:00:00,233.33,GVL
2015-01-03 22:00:00,229.44,GVL
2015-01-03 23:00:00,225.36,GVL
2015-01-04 00:00:00,264.65,GVL
2015-01-04 01:00:00,251.9,GVL
2015-01-04 02:00:00,242.29,GVL
2015-01-04 03:00:00,224.44,GVL
2015-01-04 04:00:00,202.81,GVL
2015-01-04 05:00:00,183.88,GVL
2015-01-04 06:00:00,174.4,GVL
2015-01-04 07:00:00,163.67,GVL
2015-01-04 08:00:00,156.1,GVL
2015-01-04 09:00:00,149.13,GVL
2015-01-04 10:00:00,147.17,GVL
2015-01-04 11:00:00,145.89,GVL
2015-01-04 12:00:00,148.61,GVL
2015-01-04 13:00:00,153.74,GVL
2015-01-04 14:00:00,166.53,GVL
2015-01-04 15:00:00,172.13,GVL
2015-01-04 16:00:00,181.91,GVL
2015-01-04 17:00:00,194.94,GVL
2015-01-04 18:00:00,207.25,GVL
2015-01-04 19:00:00,214.76,GVL
2015-01-04 20:00:00,215.58,GVL
2015-01-04 21:00:00,217.87,GVL
2015-01-04 22:00:00,216.39,GVL
2015-01-04 23:00:00,216.89,GVL
2015-01-05 00:00:00,256.17,GVL
2015-01-05 01:00:00,247.49,GVL
2015-01-05 02:00:00,239.43,GVL
2015-01-05 03:00:00,221.61,GVL
2015-01-05 04:00:00,204.65,GVL
2015-01-05 05:00:00,186.32,GVL
2015-01-05 06:00:00,166.18,GVL
2015-01-05 07:00:00,149.78,GVL
2015-01-05 08:00:00,143.02,GVL
2015-01-05 09:00:00,146.95,GVL
2015-01-05 10:00:00,153.6,GVL
2015-01-05 11:00:00,162.23,GVL
2015-01-05 12:00:00,173.67,GVL
2015-01-05 13:00:00,191.63,GVL
2015-01-05 14:00:00,206.56,GVL
2015-01-05 15:00:00,218.76,GVL
2015-01-05 16:00:00,221.7,GVL
2015-01-05 17:00:00,216.71,GVL
2015-01-05 18:00:00,210.59,GVL
2015-01-05 19:00:00,206.0,GVL
2015-01-05 20:00:00,202.37,GVL
2015-01-05 21:00:00,199.87,GVL
2015-01-05 22:00:00,200.59,GVL
2015-01-05 23:00:00,210.1,GVL
2015-01-06 00:00:00,248.0,GVL
2015-01-06 01:00:00,249.56,GVL
2015-01-06 02:00:00,250.0,GVL
2015-01-06 03:00:00,237.74,GVL
2015-01-06 04:00:00,223.43,GVL
2015-01-06 05:00:00,208.48,GVL
2015-01-06 06:00:00,194.06,GVL
2015-01-06 07:00:00,183.49,GVL
2015-01-06 08:00:00,185.05,GVL
2015-01-06 09:00:00,194.33,GVL
2015-01-06 10:00:00,203.7,GVL
2015-01-06 11:00:00,210.5,GVL
2015-01-06 12:00:00,221.03,GVL
2015-01-06 13:00:00,230.88,GVL
2015-01-06 14:00:00,235.27,GVL
2015-01-06 15:00:00,210.42,GVL
2015-01-06 16:00:00,198.98,GVL
2015-01-06 17:00:00,193.48,GVL
2015-01-06 18:00:00,191.54,GVL
2015-01-06 19:00:00,191.38,GVL
2015-01-06 20:00:00,190.82,GVL
2015-01-06 21:00:00,192.21,GVL
2015-01-06 22:00:00,191.96,GVL
2015-01-06 23:00:00,195.74,GVL
2015-01-07 00:00:00,237.65,GVL
2015-01-07 01:00:00,236.51,GVL
2015-01-07 02:00:00,235.33,GVL
2015-01-07 03:00:00,227.17,GVL
2015-01-07 04:00:00,217.23,GVL
2015-01-07 05:00:00,206.89,GVL
2015-01-07 06:00:00,195.62,GVL
2015-01-07 07:00:00,189.07,GVL
2015-01-07 08:00:00,192.68,GVL
2015-01-07 09:00:00,207.43,GVL
2015-01-07 10:00:00,224.87,GVL
2015-01-07 11:00:00,241.08,GVL
2015-01-07 12:00:00,253.85,GVL
2015-01-07 13:00:00,272.74,GVL
2015-01-07 14:00:00,264.69,GVL
2015-01-07 15:00:00,242.06,GVL
2015-01-07 16:00:00,227.79,GVL
2015-01-07 17:00:00,215.23,GVL
2015-01-07 18:00:00,202.68,GVL
2015-01-07 19:00:00,196.37,GVL
2015-01-07 20:00:00,193.73,GVL
2015-01-07 21:00:00,192.69,GVL
2015-01-07 22:00:00,194.92,GVL
2015-01-07 23:00:00,201.68,GVL
2015-01-08 00:00:00,249.32,GVL
2015-01-08 01:00:00,245.57,GVL
2015-01-08 02:00:00,247.08,GVL
2015-01-08 03:00:00,240.65,GVL
2015-01-08 04:00:00,238.55,GVL
2015-01-08 05:00:00,246.96,GVL
2015-01-08 06:00:00,247.52,GVL
2015-01-08 07:00:00,254.98,GVL
2015-01-08 08:00:00,263.65,GVL
2015-01-08 09:00:00,276.27,GVL
2015-01-08 10:00:00,293.26,GVL
2015-01-08 11:00:00,322.85,GVL
2015-01-08 12:00:00,344.51,GVL
2015-01-08 13:00:00,361.38,GVL
2015-01-08 14:00:00,368.31,GVL
2015-01-08 15:00:00,353.29,GVL
2015-01-08 16:00:00,329.51,GVL
2015-01-08 17:00:00,304.1,GVL
2015-01-08 18:00:00,272.1,GVL
2015-01-08 19:00:00,252.66,GVL
2015-01-08 20:00:00,240.42,GVL
2015-01-08 21:00:00,242.79,GVL
2015-01-08 22:00:00,248.6,GVL
2015-01-08 23:00:00,271.46,GVL
2015-01-09 00:00:00,312.57,GVL
2015-01-09 01:00:00,319.74,GVL
2015-01-09 02:00:00,323.02,GVL
2015-01-09 03:00:00,317.61,GVL
2015-01-09 04:00:00,313.96,GVL
2015-01-09 05:00:00,305.26,GVL
2015-01-09 06:00:00,299.45,GVL
2015-01-09 07:00:00,303.14,GVL
2015-01-09 08:00:00,318.44,GVL
2015-01-09 09:00:00,314.25,GVL
2015-01-09 10:00:00,317.82,GVL
2015-01-09 11:00:00,319.65,GVL
2015-01-09 12:00:00,320.11,GVL
2015-01-09 13:00:00,319.94,GVL
2015-01-09 14:00:00,321.91,GVL
2015-01-09 15:00:00,326.66,GVL
2015-01-09 16:00:00,312.62,GVL
2015-01-09 17:00:00,295.24,GVL
2015-01-09 18:00:00,269.54,GVL
2015-01-09 19:00:00,241.87,GVL
2015-01-09 20:00:00,229.76,GVL
2015-01-09 21:00:00,219.48,GVL
2015-01-09 22:00:00,220.89,GVL
2015-01-09 23:00:00,234.15,GVL
2015-01-10 00:00:00,248.3,GVL
2015-01-10 01:00:00,251.83,GVL
2015-01-10 02:00:00,255.24,GVL
2015-01-10 03:00:00,249.83,GVL
2015-01-10 04:00:00,241.49,GVL
2015-01-10 05:00:00,237.16,GVL
2015-01-10 06:00:00,238.51,GVL
2015-01-10 07:00:00,240.71,GVL
2015-01-10 08:00:00,243.79,GVL
2015-01-10 09:00:00,248.07,GVL
2015-01-10 10:00:00,254.94,GVL
2015-01-10 11:00:00,258.98,GVL
2015-01-10 12:00:00,265.05,GVL
2015-01-10 13:00:00,271.21,GVL
2015-01-10 14:00:00,266.95,GVL
2015-01-10 15:00:00,262.05,GVL
2015-01-10 16:00:00,249.93,GVL
2015-01-10 17:00:00,240.57,GVL
2015-01-10 18:00:00,226.9,GVL
2015-01-10 19:00:00,216.54,GVL
2015-01-10 20:00:00,207.04,GVL
2015-01-10 21:00:00,200.4,GVL
2015-01-10 22:00:00,196.8,GVL
2015-01-10 23:00:00,201.93,GVL
2015-01-11 00:00:00,228.72,GVL
2015-01-11 01:00:00,228.43,GVL
2015-01-11 02:00:00,227.75,GVL
2015-01-11 03:00:00,219.18,GVL
2015-01-11 04:00:00,209.91,GVL
2015-01-11 05:00:00,199.99,GVL
2015-01-11 06:00:00,193.68,GVL
2015-01-11 07:00:00,189.88,GVL
2015-01-11 08:00:00,186.63,GVL
2015-01-11 09:00:00,188.15,GVL
2015-01-11 10:00:00,193.0,GVL
2015-01-11 11:00:00,198.09,GVL
2015-01-11 12:00:00,205.95,GVL
2015-01-11 13:00:00,211.73,GVL
2015-01-11 14:00:00,208.98,GVL
2015-01-11 15:00:00,198.53,GVL
2015-01-11 16:00:00,189.98,GVL
2015-01-11 17:00:00,184.26,GVL
2015-01-11 18:00:00,184.53,GVL
2015-01-11 19:00:00,189.6,GVL
2015-01-11 20:00:00,193.78,GVL
2015-01-11 21:00:00,198.76,GVL
2015-01-11 22:00:00,199.8,GVL
