Time_UTC,Load,BA
2015-01-01 00:00:00,260.87,IID
2015-01-01 01:00:00,302.85,IID
2015-01-01 02:00:00,327.99,IID
2015-01-01 03:00:00,353.16,IID
2015-01-01 04:00:00,365.48,IID
2015-01-01 05:00:00,350.36,IID
2015-01-01 06:00:00,336.73,IID
2015-01-01 07:00:00,321.68,IID
2015-01-01 08:00:00,306.66,IID
2015-01-01 09:00:00,295.43,IID
2015-01-01 10:00:00,289.61,IID
2015-01-01 11:00:00,290.33,IID
2015-01-01 12:00:00,293.5,IID
2015-01-01 13:00:00,296.47,IID
2015-01-01 14:00:00,298.39,IID
2015-01-01 15:00:00,299.46,IID
2015-01-01 16:00:00,289.64,IID
2015-01-01 17:00:00,290.37,IID
2015-01-01 18:00:00,297.67,IID
2015-01-01 19:00:00,302.45,IID
2015-01-01 20:00:00,305.32,IID
2015-01-01 21:00:00,303.54,IID
2015-01-01 22:00:00,303.18,IID
2015-01-01 23:00:00,307.24,IID
2015-01-02 00:00:00,243.05,IID
2015-01-02 01:00:00,300.03,IID
2015-01-02 02:00:00,320.74,IID
2015-01-02 03:00:00,337.54,IID
2015-01-02 04:00:00,349.25,IID
2015-01-02 05:00:00,332.95,IID
2015-01-02 06:00:00,310.47,IID
2015-01-02 07:00:00,292.45,IID
2015-01-02 08:00:00,279.43,IID
2015-01-02 09:00:00,269.54,IID
2015-01-02 10:00:00,270.93,IID
2015-01-02 11:00:00,275.15,IID
2015-01-02 12:00:00,280.82,IID
2015-01-02 13:00:00,287.36,IID
2015-01-02 14:00:00,294.8,IID
2015-01-02 15:00:00,300.6,IID
2015-01-02 16:00:00,295.29,IID
2015-01-02 17:00:00,288.52,IID
2015-01-02 18:00:00,284.16,IID
2015-01-02 19:00:00,284.3,IID
2015-01-02 20:00:00,285.52,IID
2015-01-02 21:00:00,288.16,IID
2015-01-02 22:00:00,292.62,IID
2015-01-02 23:00:00,300.22,IID
2015-01-03 00:00:00,234.7,IID
2015-01-03 01:00:00,289.01,IID
2015-01-03 02:00:00,307.08,IID
2015-01-03 03:00:00,326.14,IID
2015-01-03 04:00:00,334.93,IID
2015-01-03 05:00:00,321.96,IID
2015-01-03 06:00:00,303.23,IID
2015-01-03 07:00:00,285.87,IID
2015-01-03 08:00:00,271.22,IID
2015-01-03 09:00:00,260.03,IID
2015-01-03 10:00:00,257.67,IID
2015-01-03 11:00:00,258.91,IID
2015-01-03 12:00:00,260.68,IID
2015-01-03 13:00:00,264.48,IID
2015-01-03 14:00:00,269.58,IID
2015-01-03 15:00:00,272.23,IID
2015-01-03 16:00:00,261.57,IID
2015-01-03 17:00:00,254.73,IID
2015-01-03 18:00:00,246.11,IID
2015-01-03 19:00:00,246.22,IID
2015-01-03 20:00:00,251.04,IID
2015-01-03 21:00:00,261.5,IID
2015-01-03 22:00:00,271.77,IID
2015-01-03 23:00:00,277.88,IID
2015-01-04 00:00:00,234.04,IID
2015-01-04 01:00:00,290.12,IID
2015-01-04 02:00:00,306.16,IID
2015-01-04 03:00:00,321.97,IID
2015-01-04 04:00:00,325.84,IID
2015-01-04 05:00:00,312.91,IID
2015-01-04 06:00:00,287.83,IID
2015-01-04 07:00:00,267.07,IID
2015-01-04 08:00:00,249.83,IID
2015-01-04 09:00:00,246.26,IID
2015-01-04 10:00:00,241.62,IID
2015-01-04 11:00:00,241.39,IID
2015-01-04 12:00:00,244.24,IID
2015-01-04 13:00:00,248.53,IID
2015-01-04 14:00:00,253.72,IID
2015-01-04 15:00:00,256.97,IID
2015-01-04 16:00:00,247.95,IID
2015-01-04 17:00:00,240.69,IID
2015-01-04 18:00:00,235.22,IID
2015-01-04 19:00:00,240.27,IID
2015-01-04 20:00:00,247.97,IID
2015-01-04 21:00:00,256.58,IID
2015-01-04 22:00:00,264.58,IID
2015-01-04 23:00:00,272.06,IID
2015-01-05 00:00:00,261.8,IID
2015-01-05 01:00:00,301.98,IID
2015-01-05 02:00:00,313.52,IID
2015-01-05 03:00:00,325.16,IID
2015-01-05 04:00:00,336.58,IID
2015-01-05 05:00:00,328.65,IID
2015-01-05 06:00:00,293.93,IID
2015-01-05 07:00:00,263.56,IID
2015-01-05 08:00:00,242.27,IID
2015-01-05 09:00:00,236.29,IID
2015-01-05 10:00:00,235.35,IID
2015-01-05 11:00:00,236.3,IID
2015-01-05 12:00:00,241.56,IID
2015-01-05 13:00:00,246.77,IID
2015-01-05 14:00:00,254.07,IID
2015-01-05 15:00:00,262.4,IID
2015-01-05 16:00:00,274.12,IID
2015-01-05 17:00:00,270.84,IID
2015-01-05 18:00:00,267.98,IID
2015-01-05 19:00:00,272.33,IID
2015-01-05 20:00:00,277.02,IID
2015-01-05 21:00:00,278.9,IID
2015-01-05 22:00:00,277.97,IID
2015-01-05 23:00:00,279.89,IID
2015-01-06 00:00:00,270.3,IID
2015-01-06 01:00:00,303.51,IID
2015-01-06 02:00:00,308.45,IID
2015-01-06 03:00:00,316.53,IID
2015-01-06 04:00:00,326.42,IID
2015-01-06 05:00:00,321.23,IID
2015-01-06 06:00:00,294.71,IID
2015-01-06 07:00:00,264.65,IID
2015-01-06 08:00:00,243.61,IID
2015-01-06 09:00:00,228.18,IID
2015-01-06 10:00:00,223.57,IID
2015-01-06 11:00:00,223.28,IID
2015-01-06 12:00:00,228.31,IID
2015-01-06 13:00:00,235.2,IID
2015-01-06 14:00:00,242.96,IID
2015-01-06 15:00:00,249.68,IID
2015-01-06 16:00:00,261.26,IID
2015-01-06 17:00:00,260.94,IID
2015-01-06 18:00:00,267.06,IID
2015-01-06 19:00:00,277.3,IID
2015-01-06 20:00:00,286.66,IID
2015-01-06 21:00:00,284.16,IID
2015-01-06 22:00:00,282.94,IID
2015-01-06 23:00:00,296.46,IID
2015-01-07 00:00:00,301.08,IID
2015-01-07 01:00:00,324.21,IID
2015-01-07 02:00:00,325.02,IID
2015-01-07 03:00:00,331.02,IID
2015-01-07 04:00:00,338.23,IID
2015-01-07 05:00:00,327.78,IID
2015-01-07 06:00:00,305.85,IID
2015-01-07 07:00:00,274.32,IID
2015-01-07 08:00:00,250.54,IID
2015-01-07 09:00:00,230.61,IID
2015-01-07 10:00:00,221.27,IID
2015-01-07 11:00:00,219.86,IID
2015-01-07 12:00:00,224.5,IID
2015-01-07 13:00:00,232.49,IID
2015-01-07 14:00:00,240.2,IID
2015-01-07 15:00:00,248.81,IID
2015-01-07 16:00:00,259.83,IID
2015-01-07 17:00:00,260.55,IID
2015-01-07 18:00:00,266.53,IID
2015-01-07 19:00:00,275.24,IID
2015-01-07 20:00:00,280.85,IID
2015-01-07 21:00:00,282.31,IID
2015-01-07 22:00:00,291.01,IID
2015-01-07 23:00:00,304.65,IID
2015-01-08 00:00:00,316.66,IID
2015-01-08 01:00:00,342.79,IID
2015-01-08 02:00:00,343.24,IID
2015-01-08 03:00:00,347.98,IID
2015-01-08 04:00:00,352.29,IID
2015-01-08 05:00:00,337.27,IID
2015-01-08 06:00:00,316.38,IID
2015-01-08 07:00:00,283.32,IID
2015-01-08 08:00:00,253.42,IID
2015-01-08 09:00:00,232.64,IID
2015-01-08 10:00:00,222.34,IID
2015-01-08 11:00:00,224.73,IID
2015-01-08 12:00:00,232.77,IID
2015-01-08 13:00:00,242.86,IID
2015-01-08 14:00:00,250.16,IID
2015-01-08 15:00:00,256.69,IID
2015-01-08 16:00:00,268.54,IID
2015-01-08 17:00:00,276.39,IID
2015-01-08 18:00:00,281.01,IID
2015-01-08 19:00:00,288.76,IID
2015-01-08 20:00:00,291.31,IID
2015-01-08 21:00:00,287.56,IID
2015-01-08 22:00:00,288.76,IID
2015-01-08 23:00:00,295.1,IID
2015-01-09 00:00:00,310.13,IID
2015-01-09 01:00:00,340.77,IID
2015-01-09 02:00:00,346.67,IID
2015-01-09 03:00:00,354.18,IID
2015-01-09 04:00:00,354.88,IID
2015-01-09 05:00:00,337.89,IID
2015-01-09 06:00:00,313.87,IID
2015-01-09 07:00:00,276.74,IID
2015-01-09 08:00:00,250.33,IID
2015-01-09 09:00:00,234.34,IID
2015-01-09 10:00:00,229.65,IID
2015-01-09 11:00:00,230.72,IID
2015-01-09 12:00:00,236.43,IID
2015-01-09 13:00:00,243.74,IID
2015-01-09 14:00:00,251.83,IID
2015-01-09 15:00:00,259.84,IID
2015-01-09 16:00:00,267.3,IID
2015-01-09 17:00:00,271.03,IID
2015-01-09 18:00:00,274.96,IID
2015-01-09 19:00:00,281.6,IID
2015-01-09 20:00:00,287.53,IID
2015-01-09 21:00:00,289.61,IID
2015-01-09 22:00:00,291.76,IID
2015-01-09 23:00:00,304.93,IID
2015-01-10 00:00:00,307.64,IID
2015-01-10 01:00:00,335.01,IID
2015-01-10 02:00:00,338.75,IID
2015-01-10 03:00:00,339.67,IID
2015-01-10 04:00:00,328.03,IID
2015-01-10 05:00:00,315.31,IID
2015-01-10 06:00:00,299.51,IID
2015-01-10 07:00:00,270.32,IID
2015-01-10 08:00:00,243.44,IID
2015-01-10 09:00:00,221.88,IID
2015-01-10 10:00:00,217.15,IID
2015-01-10 11:00:00,217.44,IID
2015-01-10 12:00:00,216.42,IID
2015-01-10 13:00:00,220.69,IID
2015-01-10 14:00:00,227.7,IID
2015-01-10 15:00:00,231.5,IID
2015-01-10 16:00:00,234.11,IID
2015-01-10 17:00:00,238.64,IID
2015-01-10 18:00:00,244.16,IID
2015-01-10 19:00:00,252.69,IID
2015-01-10 20:00:00,262.93,IID
2015-01-10 21:00:00,273.34,IID
2015-01-10 22:00:00,274.61,IID
2015-01-10 23:00:00,271.95,IID
2015-01-11 00:00:00,277.08,IID
2015-01-11 01:00:00,323.57,IID
2015-01-11 02:00:00,328.58,IID
2015-01-11 03:00:00,331.7,IID
2015-01-11 04:00:00,322.39,IID
2015-01-11 05:00:00,310.06,IID
2015-01-11 06:00:00,291.87,IID
2015-01-11 07:00:00,261.77,IID
2015-01-11 08:00:00,239.6,IID
2015-01-11 09:00:00,227.58,IID
2015-01-11 10:00:00,222.61,IID
2015-01-11 11:00:00,225.75,IID
2015-01-11 12:00:00,228.72,IID
2015-01-11 13:00:00,232.01,IID
2015-01-11 14:00:00,236.0,IID
2015-01-11 15:00:00,236.33,IID
2015-01-11 16:00:00,234.59,IID
2015-01-11 17:00:00,241.35,IID
2015-01-11 18:00:00,250.06,IID
2015-01-11 19:00:00,259.52,IID
2015-01-11 20:00:00,266.83,IID
2015-01-11 21:00:00,275.29,IID
2015-01-11 22:00:00,281.82,IID
2015-01-11 23:00:00,288.07,IID
2015-01-12 00:00:00,284.37,IID
2015-01-12 01:00:00,301.89,IID
2015-01-12 02:00:00,314.55,IID
2015-01-12 03:00:00,324.6,IID
2015-01-12 04:00:00,328.86,IID
2015-01-12 05:00:00,322.17,IID
2015-01-12 06:00:00,308.6,IID
2015-01-12 07:00:00,275.79,IID
2015-01-12 08:00:00,259.93,IID
2015-01-12 09:00:00,244.51,IID
2015-01-12 10:00:00,234.27,IID
2015-01-12 11:00:00,235.59,IID
2015-01-12 12:00:00,243.04,IID
2015-01-12 13:00:00,251.62,IID
2015-01-12 14:00:00,259.56,IID
2015-01-12 15:00:00,266.91,IID
2015-01-12 16:00:00,276.67,IID
2015-01-12 17:00:00,282.07,IID
2015-01-12 18:00:00,284.18,IID
2015-01-12 19:00:00,284.44,IID
2015-01-12 20:00:00,290.0,IID
2015-01-12 21:00:00,291.97,IID
2015-01-12 22:00:00,296.31,IID
2015-01-12 23:00:00,295.54,IID
2015-01-13 00:00:00,285.29,IID
2015-01-13 01:00:00,330.89,IID
2015-01-13 02:00:00,337.37,IID
2015-01-13 03:00:00,345.48,IID
2015-01-13 04:00:00,345.0,IID
2015-01-13 05:00:00,328.21,IID
2015-01-13 06:00:00,304.51,IID
2015-01-13 07:00:00,276.85,IID
2015-01-13 08:00:00,253.1,IID
2015-01-13 09:00:00,236.07,IID
2015-01-13 10:00:00,231.29,IID
2015-01-13 11:00:00,236.08,IID
2015-01-13 12:00:00,242.58,IID
2015-01-13 13:00:00,251.41,IID
2015-01-13 14:00:00,259.2,IID
2015-01-13 15:00:00,266.72,IID
2015-01-13 16:00:00,274.14,IID
2015-01-13 17:00:00,278.41,IID
2015-01-13 18:00:00,279.54,IID
2015-01-13 19:00:00,285.49,IID
2015-01-13 20:00:00,294.62,IID
2015-01-13 21:00:00,295.27,IID
2015-01-13 22:00:00,292.42,IID
2015-01-13 23:00:00,289.88,IID
2015-01-14 00:00:00,281.35,IID
2015-01-14 01:00:00,305.03,IID
2015-01-14 02:00:00,315.51,IID
2015-01-14 03:00:00,328.59,IID
2015-01-14 04:00:00,341.95,IID
2015-01-14 05:00:00,334.07,IID
2015-01-14 06:00:00,299.92,IID
2015-01-14 07:00:00,269.56,IID
2015-01-14 08:00:00,245.35,IID
2015-01-14 09:00:00,235.96,IID
2015-01-14 10:00:00,236.48,IID
2015-01-14 11:00:00,240.44,IID
2015-01-14 12:00:00,245.78,IID
2015-01-14 13:00:00,252.49,IID
2015-01-14 14:00:00,260.86,IID
2015-01-14 15:00:00,270.17,IID
2015-01-14 16:00:00,281.5,IID
2015-01-14 17:00:00,281.27,IID
2015-01-14 18:00:00,281.33,IID
2015-01-14 19:00:00,281.26,IID
2015-01-14 20:00:00,284.14,IID
2015-01-14 21:00:00,283.03,IID
2015-01-14 22:00:00,282.06,IID
2015-01-14 23:00:00,284.62,IID
2015-01-15 00:00:00,266.84,IID
2015-01-15 01:00:00,316.99,IID
2015-01-15 02:00:00,328.14,IID
2015-01-15 03:00:00,336.23,IID
2015-01-15 04:00:00,344.84,IID
2015-01-15 05:00:00,335.47,IID
2015-01-15 06:00:00,301.9,IID
2015-01-15 07:00:00,270.42,IID
2015-01-15 08:00:00,245.39,IID
2015-01-15 09:00:00,232.47,IID
2015-01-15 10:00:00,232.69,IID
2015-01-15 11:00:00,239.25,IID
2015-01-15 12:00:00,246.9,IID
2015-01-15 13:00:00,254.53,IID
2015-01-15 14:00:00,261.44,IID
2015-01-15 15:00:00,267.95,IID
2015-01-15 16:00:00,275.84,IID
2015-01-15 17:00:00,274.5,IID
2015-01-15 18:00:00,273.49,IID
2015-01-15 19:00:00,275.4,IID
