Time_UTC,Load,BA
2015-01-01 00:00:00,2158.52,IPCO
2015-01-01 01:00:00,2218.45,IPCO
2015-01-01 02:00:00,2265.52,IPCO
2015-01-01 03:00:00,2315.31,IPCO
2015-01-01 04:00:00,2293.16,IPCO
2015-01-01 05:00:00,2206.88,IPCO
2015-01-01 06:00:00,2121.99,IPCO
2015-01-01 07:00:00,2057.93,IPCO
2015-01-01 08:00:00,2014.18,IPCO
2015-01-01 09:00:00,1999.89,IPCO
2015-01-01 10:00:00,2030.08,IPCO
2015-01-01 11:00:00,2067.68,IPCO
2015-01-01 12:00:00,2112.31,IPCO
2015-01-01 13:00:00,2187.12,IPCO
2015-01-01 14:00:00,2267.23,IPCO
2015-01-01 15:00:00,2324.19,IPCO
2015-01-01 16:00:00,2404.7,IPCO
2015-01-01 17:00:00,2450.39,IPCO
2015-01-01 18:00:00,2392.16,IPCO
2015-01-01 19:00:00,2314.23,IPCO
2015-01-01 20:00:00,2259.19,IPCO
2015-01-01 21:00:00,2240.88,IPCO
2015-01-01 22:00:00,2234.22,IPCO
2015-01-01 23:00:00,2235.42,IPCO
2015-01-02 00:00:00,2299.53,IPCO
2015-01-02 01:00:00,2379.92,IPCO
2015-01-02 02:00:00,2423.76,IPCO
2015-01-02 03:00:00,2472.63,IPCO
2015-01-02 04:00:00,2431.86,IPCO
2015-01-02 05:00:00,2341.44,IPCO
2015-01-02 06:00:00,2254.14,IPCO
2015-01-02 07:00:00,2179.94,IPCO
2015-01-02 08:00:00,2109.39,IPCO
2015-01-02 09:00:00,2076.28,IPCO
2015-01-02 10:00:00,2082.0,IPCO
2015-01-02 11:00:00,2113.83,IPCO
2015-01-02 12:00:00,2167.98,IPCO
2015-01-02 13:00:00,2250.53,IPCO
2015-01-02 14:00:00,2340.52,IPCO
2015-01-02 15:00:00,2421.92,IPCO
2015-01-02 16:00:00,2482.99,IPCO
2015-01-02 17:00:00,2469.89,IPCO
2015-01-02 18:00:00,2346.57,IPCO
2015-01-02 19:00:00,2241.69,IPCO
2015-01-02 20:00:00,2172.59,IPCO
2015-01-02 21:00:00,2152.73,IPCO
2015-01-02 22:00:00,2158.7,IPCO
2015-01-02 23:00:00,2206.79,IPCO
2015-01-03 00:00:00,2174.69,IPCO
2015-01-03 01:00:00,2223.07,IPCO
2015-01-03 02:00:00,2244.93,IPCO
2015-01-03 03:00:00,2284.09,IPCO
2015-01-03 04:00:00,2265.25,IPCO
2015-01-03 05:00:00,2190.1,IPCO
2015-01-03 06:00:00,2097.27,IPCO
2015-01-03 07:00:00,2010.4,IPCO
2015-01-03 08:00:00,1941.38,IPCO
2015-01-03 09:00:00,1935.29,IPCO
2015-01-03 10:00:00,1952.41,IPCO
2015-01-03 11:00:00,1996.82,IPCO
2015-01-03 12:00:00,2042.94,IPCO
2015-01-03 13:00:00,2082.72,IPCO
2015-01-03 14:00:00,2112.87,IPCO
2015-01-03 15:00:00,2132.66,IPCO
2015-01-03 16:00:00,2209.92,IPCO
2015-01-03 17:00:00,2190.38,IPCO
2015-01-03 18:00:00,2113.04,IPCO
2015-01-03 19:00:00,2044.09,IPCO
2015-01-03 20:00:00,1983.72,IPCO
2015-01-03 21:00:00,1949.94,IPCO
2015-01-03 22:00:00,1954.36,IPCO
2015-01-03 23:00:00,1972.7,IPCO
2015-01-04 00:00:00,2088.52,IPCO
2015-01-04 01:00:00,2112.12,IPCO
2015-01-04 02:00:00,2132.05,IPCO
2015-01-04 03:00:00,2154.94,IPCO
2015-01-04 04:00:00,2148.79,IPCO
2015-01-04 05:00:00,2056.53,IPCO
2015-01-04 06:00:00,1964.02,IPCO
2015-01-04 07:00:00,1870.65,IPCO
2015-01-04 08:00:00,1773.78,IPCO
2015-01-04 09:00:00,1766.06,IPCO
