Time_UTC,Load,BA
2015-01-01 00:00:00,17581.3,ISNE
2015-01-01 01:00:00,16846.79,ISNE
2015-01-01 02:00:00,16111.11,ISNE
2015-01-01 03:00:00,15406.84,ISNE
2015-01-01 04:00:00,14688.71,ISNE
2015-01-01 05:00:00,13992.04,ISNE
2015-01-01 06:00:00,13451.12,ISNE
2015-01-01 07:00:00,13058.5,ISNE
2015-01-01 08:00:00,12886.6,ISNE
2015-01-01 09:00:00,12886.03,ISNE
2015-01-01 10:00:00,13100.93,ISNE
2015-01-01 11:00:00,13429.82,ISNE
2015-01-01 12:00:00,13829.49,ISNE
2015-01-01 13:00:00,15058.4,ISNE
2015-01-01 14:00:00,15531.39,ISNE
2015-01-01 15:00:00,15646.57,ISNE
2015-01-01 16:00:00,15646.8,ISNE
2015-01-01 17:00:00,15611.2,ISNE
2015-01-01 18:00:00,15576.18,ISNE
2015-01-01 19:00:00,15546.06,ISNE
2015-01-01 20:00:00,15516.18,ISNE
2015-01-01 21:00:00,16061.41,ISNE
2015-01-01 22:00:00,16674.27,ISNE
2015-01-01 23:00:00,17038.26,ISNE
2015-01-02 00:00:00,18251.63,ISNE
2015-01-02 01:00:00,17299.92,ISNE
2015-01-02 02:00:00,16314.86,ISNE
2015-01-02 03:00:00,15333.35,ISNE
2015-01-02 04:00:00,14381.54,ISNE
2015-01-02 05:00:00,13489.76,ISNE
2015-01-02 06:00:00,12743.18,ISNE
2015-01-02 07:00:00,12571.32,ISNE
2015-01-02 08:00:00,12635.27,ISNE
2015-01-02 09:00:00,12930.01,ISNE
2015-01-02 10:00:00,13279.5,ISNE
2015-01-02 11:00:00,13589.47,ISNE
2015-01-02 12:00:00,13906.39,ISNE
2015-01-02 13:00:00,15136.4,ISNE
2015-01-02 14:00:00,15553.45,ISNE
2015-01-02 15:00:00,15415.34,ISNE
2015-01-02 16:00:00,15197.11,ISNE
2015-01-02 17:00:00,15058.96,ISNE
2015-01-02 18:00:00,15016.74,ISNE
2015-01-02 19:00:00,15017.18,ISNE
2015-01-02 20:00:00,15130.69,ISNE
2015-01-02 21:00:00,15725.92,ISNE
2015-01-02 22:00:00,16285.16,ISNE
2015-01-02 23:00:00,16628.8,ISNE
2015-01-03 00:00:00,17003.84,ISNE
2015-01-03 01:00:00,16331.31,ISNE
2015-01-03 02:00:00,15628.58,ISNE
2015-01-03 03:00:00,14922.63,ISNE
2015-01-03 04:00:00,14166.51,ISNE
2015-01-03 05:00:00,13378.49,ISNE
2015-01-03 06:00:00,12820.82,ISNE
2015-01-03 07:00:00,12628.08,ISNE
2015-01-03 08:00:00,12527.32,ISNE
2015-01-03 09:00:00,12532.12,ISNE
2015-01-03 10:00:00,12643.9,ISNE
2015-01-03 11:00:00,12823.7,ISNE
2015-01-03 12:00:00,13052.63,ISNE
2015-01-03 13:00:00,13464.98,ISNE
2015-01-03 14:00:00,13829.47,ISNE
2015-01-03 15:00:00,14058.27,ISNE
2015-01-03 16:00:00,14244.83,ISNE
2015-01-03 17:00:00,14315.98,ISNE
2015-01-03 18:00:00,14508.97,ISNE
2015-01-03 19:00:00,14537.22,ISNE
2015-01-03 20:00:00,14774.65,ISNE
2015-01-03 21:00:00,15405.29,ISNE
2015-01-03 22:00:00,15818.44,ISNE
2015-01-03 23:00:00,16041.05,ISNE
2015-01-04 00:00:00,16573.75,ISNE
2015-01-04 01:00:00,15798.78,ISNE
2015-01-04 02:00:00,15043.47,ISNE
2015-01-04 03:00:00,14255.7,ISNE
2015-01-04 04:00:00,13416.78,ISNE
2015-01-04 05:00:00,12640.15,ISNE
2015-01-04 06:00:00,11925.49,ISNE
2015-01-04 07:00:00,11584.73,ISNE
2015-01-04 08:00:00,11411.16,ISNE
2015-01-04 09:00:00,11403.99,ISNE
2015-01-04 10:00:00,11545.86,ISNE
2015-01-04 11:00:00,11697.62,ISNE
2015-01-04 12:00:00,11896.3,ISNE
2015-01-04 13:00:00,12129.95,ISNE
2015-01-04 14:00:00,12396.45,ISNE
2015-01-04 15:00:00,12643.24,ISNE
2015-01-04 16:00:00,12921.51,ISNE
2015-01-04 17:00:00,13099.53,ISNE
2015-01-04 18:00:00,13220.4,ISNE
2015-01-04 19:00:00,13330.21,ISNE
2015-01-04 20:00:00,13412.65,ISNE
2015-01-04 21:00:00,13592.29,ISNE
2015-01-04 22:00:00,13795.33,ISNE
2015-01-04 23:00:00,14023.02,ISNE
2015-01-05 00:00:00,16360.52,ISNE
2015-01-05 01:00:00,15505.7,ISNE
2015-01-05 02:00:00,14648.62,ISNE
2015-01-05 03:00:00,13867.62,ISNE
2015-01-05 04:00:00,13201.71,ISNE
2015-01-05 05:00:00,12454.54,ISNE
2015-01-05 06:00:00,11835.04,ISNE
2015-01-05 07:00:00,11467.49,ISNE
2015-01-05 08:00:00,11435.6,ISNE
2015-01-05 09:00:00,11710.07,ISNE
