Time_UTC,Load,BA
2015-01-01 00:00:00,1612.42,JEA
2015-01-01 01:00:00,1535.78,JEA
2015-01-01 02:00:00,1471.27,JEA
2015-01-01 03:00:00,1409.87,JEA
2015-01-01 04:00:00,1348.99,JEA
2015-01-01 05:00:00,1286.56,JEA
2015-01-01 06:00:00,1226.96,JEA
2015-01-01 07:00:00,1177.01,JEA
2015-01-01 08:00:00,1152.86,JEA
2015-01-01 09:00:00,1156.46,JEA
2015-01-01 10:00:00,1188.48,JEA
2015-01-01 11:00:00,1242.23,JEA
2015-01-01 12:00:00,1302.01,JEA
2015-01-01 13:00:00,1383.13,JEA
2015-01-01 14:00:00,1444.63,JEA
2015-01-01 15:00:00,1479.47,JEA
2015-01-01 16:00:00,1486.92,JEA
2015-01-01 17:00:00,1467.94,JEA
2015-01-01 18:00:00,1458.39,JEA
2015-01-01 19:00:00,1441.75,JEA
2015-01-01 20:00:00,1423.24,JEA
2015-01-01 21:00:00,1391.26,JEA
2015-01-01 22:00:00,1388.1,JEA
2015-01-01 23:00:00,1420.19,JEA
2015-01-02 00:00:00,1634.28,JEA
2015-01-02 01:00:00,1561.7,JEA
2015-01-02 02:00:00,1489.89,JEA
2015-01-02 03:00:00,1415.22,JEA
2015-01-02 04:00:00,1335.06,JEA
2015-01-02 05:00:00,1249.63,JEA
2015-01-02 06:00:00,1161.64,JEA
2015-01-02 07:00:00,1112.58,JEA
2015-01-02 08:00:00,1124.16,JEA
2015-01-02 09:00:00,1150.43,JEA
2015-01-02 10:00:00,1194.09,JEA
2015-01-02 11:00:00,1240.24,JEA
2015-01-02 12:00:00,1280.26,JEA
2015-01-02 13:00:00,1326.02,JEA
2015-01-02 14:00:00,1370.84,JEA
2015-01-02 15:00:00,1352.57,JEA
2015-01-02 16:00:00,1331.04,JEA
2015-01-02 17:00:00,1326.42,JEA
2015-01-02 18:00:00,1327.6,JEA
2015-01-02 19:00:00,1336.0,JEA
2015-01-02 20:00:00,1333.62,JEA
2015-01-02 21:00:00,1340.85,JEA
2015-01-02 22:00:00,1360.28,JEA
2015-01-02 23:00:00,1376.71,JEA
2015-01-03 00:00:00,1487.82,JEA
2015-01-03 01:00:00,1414.47,JEA
2015-01-03 02:00:00,1343.9,JEA
2015-01-03 03:00:00,1276.62,JEA
2015-01-03 04:00:00,1199.05,JEA
2015-01-03 05:00:00,1119.89,JEA
2015-01-03 06:00:00,1050.37,JEA
2015-01-03 07:00:00,988.46,JEA
2015-01-03 08:00:00,965.08,JEA
2015-01-03 09:00:00,968.71,JEA
2015-01-03 10:00:00,991.64,JEA
2015-01-03 11:00:00,1014.22,JEA
2015-01-03 12:00:00,1042.54,JEA
2015-01-03 13:00:00,1077.68,JEA
2015-01-03 14:00:00,1125.85,JEA
2015-01-03 15:00:00,1205.08,JEA
2015-01-03 16:00:00,1251.7,JEA
2015-01-03 17:00:00,1332.16,JEA
2015-01-03 18:00:00,1409.26,JEA
2015-01-03 19:00:00,1462.59,JEA
2015-01-03 20:00:00,1484.39,JEA
2015-01-03 21:00:00,1459.3,JEA
2015-01-03 22:00:00,1407.49,JEA
2015-01-03 23:00:00,1367.14,JEA
2015-01-04 00:00:00,1603.15,JEA
2015-01-04 01:00:00,1520.01,JEA
