Time_UTC,Load,BA
2015-01-01 00:00:00,3082.33,LDWP
2015-01-01 01:00:00,3448.13,LDWP
2015-01-01 02:00:00,3542.02,LDWP
2015-01-01 03:00:00,3633.5,LDWP
2015-01-01 04:00:00,3721.2,LDWP
2015-01-01 05:00:00,3686.17,LDWP
2015-01-01 06:00:00,3512.51,LDWP
2015-01-01 07:00:00,3333.8,LDWP
2015-01-01 08:00:00,3169.32,LDWP
2015-01-01 09:00:00,3020.28,LDWP
2015-01-01 10:00:00,2899.15,LDWP
2015-01-01 11:00:00,2830.15,LDWP
2015-01-01 12:00:00,2832.47,LDWP
2015-01-01 13:00:00,2852.18,LDWP
2015-01-01 14:00:00,2871.93,LDWP
2015-01-01 15:00:00,2877.95,LDWP
2015-01-01 16:00:00,3054.51,LDWP
2015-01-01 17:00:00,3057.25,LDWP
2015-01-01 18:00:00,3034.6,LDWP
2015-01-01 19:00:00,3024.64,LDWP
2015-01-01 20:00:00,3031.42,LDWP
2015-01-01 21:00:00,3053.84,LDWP
2015-01-01 22:00:00,3099.73,LDWP
2015-01-01 23:00:00,3174.16,LDWP
2015-01-02 00:00:00,3360.95,LDWP
2015-01-02 01:00:00,3692.63,LDWP
2015-01-02 02:00:00,3717.96,LDWP
2015-01-02 03:00:00,3748.34,LDWP
2015-01-02 04:00:00,3773.29,LDWP
2015-01-02 05:00:00,3677.71,LDWP
2015-01-02 06:00:00,3463.98,LDWP
2015-01-02 07:00:00,3235.78,LDWP
2015-01-02 08:00:00,3056.5,LDWP
2015-01-02 09:00:00,2886.18,LDWP
2015-01-02 10:00:00,2786.64,LDWP
2015-01-02 11:00:00,2768.38,LDWP
2015-01-02 12:00:00,2795.46,LDWP
2015-01-02 13:00:00,2856.03,LDWP
2015-01-02 14:00:00,2922.81,LDWP
2015-01-02 15:00:00,2977.47,LDWP
2015-01-02 16:00:00,3309.96,LDWP
2015-01-02 17:00:00,3314.98,LDWP
2015-01-02 18:00:00,3301.87,LDWP
2015-01-02 19:00:00,3305.52,LDWP
2015-01-02 20:00:00,3314.73,LDWP
2015-01-02 21:00:00,3327.3,LDWP
2015-01-02 22:00:00,3331.29,LDWP
2015-01-02 23:00:00,3375.47,LDWP
2015-01-03 00:00:00,3025.14,LDWP
2015-01-03 01:00:00,3449.84,LDWP
2015-01-03 02:00:00,3519.12,LDWP
2015-01-03 03:00:00,3571.57,LDWP
2015-01-03 04:00:00,3563.65,LDWP
2015-01-03 05:00:00,3429.85,LDWP
2015-01-03 06:00:00,3263.12,LDWP
2015-01-03 07:00:00,3081.08,LDWP
2015-01-03 08:00:00,2926.55,LDWP
2015-01-03 09:00:00,2794.65,LDWP
2015-01-03 10:00:00,2690.03,LDWP
2015-01-03 11:00:00,2620.21,LDWP
2015-01-03 12:00:00,2611.21,LDWP
2015-01-03 13:00:00,2605.42,LDWP
2015-01-03 14:00:00,2608.78,LDWP
2015-01-03 15:00:00,2636.79,LDWP
2015-01-03 16:00:00,2700.3,LDWP
2015-01-03 17:00:00,2713.85,LDWP
2015-01-03 18:00:00,2734.83,LDWP
2015-01-03 19:00:00,2754.0,LDWP
2015-01-03 20:00:00,2752.55,LDWP
2015-01-03 21:00:00,2737.15,LDWP
2015-01-03 22:00:00,2722.2,LDWP
2015-01-03 23:00:00,2731.93,LDWP
2015-01-04 00:00:00,2919.52,LDWP
2015-01-04 01:00:00,3345.93,LDWP
2015-01-04 02:00:00,3411.45,LDWP
2015-01-04 03:00:00,3445.84,LDWP
2015-01-04 04:00:00,3433.51,LDWP
2015-01-04 05:00:00,3302.4,LDWP
2015-01-04 06:00:00,3129.31,LDWP
