Time_UTC,Load,BA
2015-01-01 00:00:00,85717.41,MISO
2015-01-01 01:00:00,85680.73,MISO
2015-01-01 02:00:00,84855.32,MISO
2015-01-01 03:00:00,83722.97,MISO
2015-01-01 04:00:00,81541.57,MISO
2015-01-01 05:00:00,79412.33,MISO
2015-01-01 06:00:00,77202.16,MISO
2015-01-01 07:00:00,75008.03,MISO
2015-01-01 08:00:00,73794.2,MISO
2015-01-01 09:00:00,73835.15,MISO
2015-01-01 10:00:00,74840.81,MISO
2015-01-01 11:00:00,76351.53,MISO
2015-01-01 12:00:00,77881.43,MISO
2015-01-01 13:00:00,79292.61,MISO
2015-01-01 14:00:00,81696.99,MISO
2015-01-01 15:00:00,84277.13,MISO
2015-01-01 16:00:00,83811.05,MISO
2015-01-01 17:00:00,82883.88,MISO
2015-01-01 18:00:00,82220.6,MISO
2015-01-01 19:00:00,81420.91,MISO
2015-01-01 20:00:00,80731.0,MISO
2015-01-01 21:00:00,80325.72,MISO
2015-01-01 22:00:00,79277.45,MISO
2015-01-01 23:00:00,79464.18,MISO
2015-01-02 00:00:00,86048.26,MISO
2015-01-02 01:00:00,85839.62,MISO
2015-01-02 02:00:00,85018.33,MISO
2015-01-02 03:00:00,82151.23,MISO
2015-01-02 04:00:00,79264.47,MISO
2015-01-02 05:00:00,76381.48,MISO
2015-01-02 06:00:00,73614.53,MISO
2015-01-02 07:00:00,71053.58,MISO
2015-01-02 08:00:00,70172.92,MISO
2015-01-02 09:00:00,71318.83,MISO
2015-01-02 10:00:00,72944.03,MISO
2015-01-02 11:00:00,74531.81,MISO
2015-01-02 12:00:00,76137.87,MISO
2015-01-02 13:00:00,77822.72,MISO
2015-01-02 14:00:00,80866.43,MISO
2015-01-02 15:00:00,83096.49,MISO
2015-01-02 16:00:00,82708.02,MISO
2015-01-02 17:00:00,82179.77,MISO
2015-01-02 18:00:00,81637.49,MISO
2015-01-02 19:00:00,81044.89,MISO
2015-01-02 20:00:00,80327.58,MISO
2015-01-02 21:00:00,79428.3,MISO
2015-01-02 22:00:00,79126.24,MISO
2015-01-02 23:00:00,79551.79,MISO
2015-01-03 00:00:00,78307.62,MISO
2015-01-03 01:00:00,77777.36,MISO
2015-01-03 02:00:00,77313.24,MISO
2015-01-03 03:00:00,75470.82,MISO
2015-01-03 04:00:00,73169.07,MISO
2015-01-03 05:00:00,70580.77,MISO
2015-01-03 06:00:00,67874.5,MISO
2015-01-03 07:00:00,66266.6,MISO
2015-01-03 08:00:00,64864.6,MISO
2015-01-03 09:00:00,64238.78,MISO
2015-01-03 10:00:00,64337.23,MISO
2015-01-03 11:00:00,65175.34,MISO
2015-01-03 12:00:00,65954.75,MISO
2015-01-03 13:00:00,66824.21,MISO
2015-01-03 14:00:00,68025.82,MISO
2015-01-03 15:00:00,69753.83,MISO
2015-01-03 16:00:00,70644.54,MISO
2015-01-03 17:00:00,70992.59,MISO
2015-01-03 18:00:00,71323.09,MISO
2015-01-03 19:00:00,71662.95,MISO
2015-01-03 20:00:00,71419.86,MISO
2015-01-03 21:00:00,71212.33,MISO
2015-01-03 22:00:00,70815.06,MISO
2015-01-03 23:00:00,70959.49,MISO
2015-01-04 00:00:00,75612.6,MISO
2015-01-04 01:00:00,75214.15,MISO
2015-01-04 02:00:00,75038.27,MISO
2015-01-04 03:00:00,73665.33,MISO
2015-01-04 04:00:00,71456.29,MISO
2015-01-04 05:00:00,69419.02,MISO
2015-01-04 06:00:00,67212.34,MISO
2015-01-04 07:00:00,66218.59,MISO
2015-01-04 08:00:00,65116.16,MISO
2015-01-04 09:00:00,64886.43,MISO
2015-01-04 10:00:00,65490.82,MISO
2015-01-04 11:00:00,66923.72,MISO
2015-01-04 12:00:00,68591.65,MISO
2015-01-04 13:00:00,70260.47,MISO
2015-01-04 14:00:00,72176.78,MISO
2015-01-04 15:00:00,73777.29,MISO
2015-01-04 16:00:00,75759.36,MISO
2015-01-04 17:00:00,77272.81,MISO
2015-01-04 18:00:00,77621.05,MISO
2015-01-04 19:00:00,78015.75,MISO
2015-01-04 20:00:00,77864.36,MISO
2015-01-04 21:00:00,77276.73,MISO
2015-01-04 22:00:00,77100.22,MISO
2015-01-04 23:00:00,77632.6,MISO
2015-01-05 00:00:00,93355.58,MISO
2015-01-05 01:00:00,94034.41,MISO
2015-01-05 02:00:00,92499.9,MISO
2015-01-05 03:00:00,90470.62,MISO
2015-01-05 04:00:00,88844.06,MISO
2015-01-05 05:00:00,87141.12,MISO
2015-01-05 06:00:00,85561.75,MISO
2015-01-05 07:00:00,83893.33,MISO
2015-01-05 08:00:00,83531.09,MISO
2015-01-05 09:00:00,84337.87,MISO
2015-01-05 10:00:00,86365.21,MISO
2015-01-05 11:00:00,88466.94,MISO
2015-01-05 12:00:00,89949.05,MISO
2015-01-05 13:00:00,91373.92,MISO
2015-01-05 14:00:00,95612.07,MISO
2015-01-05 15:00:00,98811.88,MISO
2015-01-05 16:00:00,98671.24,MISO
2015-01-05 17:00:00,97568.03,MISO
2015-01-05 18:00:00,96207.63,MISO
2015-01-05 19:00:00,94667.17,MISO
2015-01-05 20:00:00,93360.69,MISO
2015-01-05 21:00:00,92034.09,MISO
2015-01-05 22:00:00,91303.6,MISO
2015-01-05 23:00:00,91054.41,MISO
2015-01-06 00:00:00,93326.69,MISO
2015-01-06 01:00:00,93107.21,MISO
2015-01-06 02:00:00,91723.03,MISO
2015-01-06 03:00:00,88854.34,MISO
2015-01-06 04:00:00,86025.26,MISO
2015-01-06 05:00:00,83254.52,MISO
2015-01-06 06:00:00,80622.11,MISO
2015-01-06 07:00:00,78569.6,MISO
2015-01-06 08:00:00,78130.94,MISO
2015-01-06 09:00:00,79596.73,MISO
2015-01-06 10:00:00,81493.34,MISO
2015-01-06 11:00:00,83447.03,MISO
2015-01-06 12:00:00,85303.23,MISO
2015-01-06 13:00:00,86929.63,MISO
2015-01-06 14:00:00,90785.32,MISO
2015-01-06 15:00:00,91465.76,MISO
2015-01-06 16:00:00,89657.64,MISO
2015-01-06 17:00:00,88389.62,MISO
2015-01-06 18:00:00,87288.97,MISO
2015-01-06 19:00:00,86285.22,MISO
2015-01-06 20:00:00,85436.37,MISO
2015-01-06 21:00:00,84855.95,MISO
2015-01-06 22:00:00,84986.25,MISO
2015-01-06 23:00:00,85487.33,MISO
2015-01-07 00:00:00,90441.03,MISO
2015-01-07 01:00:00,90794.9,MISO
2015-01-07 02:00:00,89765.21,MISO
2015-01-07 03:00:00,87492.67,MISO
2015-01-07 04:00:00,85186.85,MISO
2015-01-07 05:00:00,83101.63,MISO
2015-01-07 06:00:00,81307.84,MISO
2015-01-07 07:00:00,79923.99,MISO
2015-01-07 08:00:00,79801.16,MISO
2015-01-07 09:00:00,80970.17,MISO
2015-01-07 10:00:00,83182.21,MISO
2015-01-07 11:00:00,85355.56,MISO
2015-01-07 12:00:00,87283.68,MISO
2015-01-07 13:00:00,89160.47,MISO
2015-01-07 14:00:00,93089.49,MISO
2015-01-07 15:00:00,96533.05,MISO
2015-01-07 16:00:00,96943.09,MISO
2015-01-07 17:00:00,96604.05,MISO
2015-01-07 18:00:00,96337.44,MISO
2015-01-07 19:00:00,95691.44,MISO
2015-01-07 20:00:00,95047.13,MISO
2015-01-07 21:00:00,94249.61,MISO
2015-01-07 22:00:00,93878.84,MISO
2015-01-07 23:00:00,94300.5,MISO
2015-01-08 00:00:00,101506.11,MISO
2015-01-08 01:00:00,101516.14,MISO
