Time_UTC,Load,BA
2015-01-01 00:00:00,20988.3,NYIS
2015-01-01 01:00:00,20556.46,NYIS
2015-01-01 02:00:00,20174.08,NYIS
2015-01-01 03:00:00,19536.74,NYIS
2015-01-01 04:00:00,18843.12,NYIS
2015-01-01 05:00:00,18147.19,NYIS
2015-01-01 06:00:00,17383.91,NYIS
2015-01-01 07:00:00,16727.09,NYIS
2015-01-01 08:00:00,16383.91,NYIS
2015-01-01 09:00:00,16417.28,NYIS
2015-01-01 10:00:00,16671.92,NYIS
2015-01-01 11:00:00,17065.62,NYIS
2015-01-01 12:00:00,17575.3,NYIS
2015-01-01 13:00:00,18869.32,NYIS
2015-01-01 14:00:00,19801.22,NYIS
2015-01-01 15:00:00,20076.45,NYIS
2015-01-01 16:00:00,20059.7,NYIS
2015-01-01 17:00:00,19918.94,NYIS
2015-01-01 18:00:00,19866.18,NYIS
2015-01-01 19:00:00,19817.45,NYIS
2015-01-01 20:00:00,19991.38,NYIS
2015-01-01 21:00:00,20229.77,NYIS
2015-01-01 22:00:00,20535.02,NYIS
2015-01-01 23:00:00,21049.96,NYIS
2015-01-02 00:00:00,22368.18,NYIS
2015-01-02 01:00:00,21771.06,NYIS
2015-01-02 02:00:00,21026.99,NYIS
2015-01-02 03:00:00,19898.72,NYIS
2015-01-02 04:00:00,18814.98,NYIS
2015-01-02 05:00:00,17694.06,NYIS
2015-01-02 06:00:00,16552.91,NYIS
2015-01-02 07:00:00,15621.86,NYIS
2015-01-02 08:00:00,15241.2,NYIS
2015-01-02 09:00:00,15505.39,NYIS
2015-01-02 10:00:00,16163.86,NYIS
2015-01-02 11:00:00,16900.43,NYIS
2015-01-02 12:00:00,17593.91,NYIS
2015-01-02 13:00:00,19491.14,NYIS
2015-01-02 14:00:00,20209.45,NYIS
2015-01-02 15:00:00,20174.06,NYIS
2015-01-02 16:00:00,20102.41,NYIS
2015-01-02 17:00:00,19982.94,NYIS
2015-01-02 18:00:00,19968.48,NYIS
2015-01-02 19:00:00,20001.21,NYIS
2015-01-02 20:00:00,20008.36,NYIS
2015-01-02 21:00:00,20259.6,NYIS
2015-01-02 22:00:00,20994.5,NYIS
2015-01-02 23:00:00,21561.23,NYIS
2015-01-03 00:00:00,20435.12,NYIS
2015-01-03 01:00:00,19931.65,NYIS
2015-01-03 02:00:00,19387.32,NYIS
2015-01-03 03:00:00,18573.38,NYIS
2015-01-03 04:00:00,17713.95,NYIS
2015-01-03 05:00:00,16874.11,NYIS
2015-01-03 06:00:00,16034.61,NYIS
2015-01-03 07:00:00,15402.18,NYIS
2015-01-03 08:00:00,15026.46,NYIS
2015-01-03 09:00:00,14855.8,NYIS
2015-01-03 10:00:00,14901.65,NYIS
2015-01-03 11:00:00,15304.48,NYIS
2015-01-03 12:00:00,15871.5,NYIS
2015-01-03 13:00:00,16477.7,NYIS
2015-01-03 14:00:00,16918.07,NYIS
2015-01-03 15:00:00,17216.48,NYIS
2015-01-03 16:00:00,17767.66,NYIS
2015-01-03 17:00:00,18046.3,NYIS
2015-01-03 18:00:00,18237.41,NYIS
2015-01-03 19:00:00,18372.5,NYIS
2015-01-03 20:00:00,18573.93,NYIS
2015-01-03 21:00:00,18832.09,NYIS
2015-01-03 22:00:00,19089.65,NYIS
2015-01-03 23:00:00,19339.19,NYIS
2015-01-04 00:00:00,20064.87,NYIS
2015-01-04 01:00:00,19529.52,NYIS
2015-01-04 02:00:00,18829.25,NYIS
2015-01-04 03:00:00,17800.17,NYIS
2015-01-04 04:00:00,16672.89,NYIS
2015-01-04 05:00:00,15628.99,NYIS
2015-01-04 06:00:00,14675.95,NYIS
2015-01-04 07:00:00,13990.8,NYIS
2015-01-04 08:00:00,13519.22,NYIS
2015-01-04 09:00:00,13435.71,NYIS
2015-01-04 10:00:00,13577.03,NYIS
2015-01-04 11:00:00,13937.99,NYIS
2015-01-04 12:00:00,14320.89,NYIS
2015-01-04 13:00:00,14809.33,NYIS
2015-01-04 14:00:00,15272.77,NYIS
2015-01-04 15:00:00,15638.77,NYIS
2015-01-04 16:00:00,16134.79,NYIS
2015-01-04 17:00:00,16417.51,NYIS
2015-01-04 18:00:00,16859.0,NYIS
2015-01-04 19:00:00,16947.23,NYIS
2015-01-04 20:00:00,17165.81,NYIS
2015-01-04 21:00:00,17424.59,NYIS
2015-01-04 22:00:00,17724.12,NYIS
2015-01-04 23:00:00,18015.18,NYIS
2015-01-05 00:00:00,20404.0,NYIS
2015-01-05 01:00:00,19756.7,NYIS
2015-01-05 02:00:00,19023.78,NYIS
2015-01-05 03:00:00,18201.33,NYIS
2015-01-05 04:00:00,17343.29,NYIS
2015-01-05 05:00:00,16421.98,NYIS
2015-01-05 06:00:00,15257.68,NYIS
2015-01-05 07:00:00,14425.63,NYIS
2015-01-05 08:00:00,14154.97,NYIS
2015-01-05 09:00:00,14529.98,NYIS
2015-01-05 10:00:00,15146.39,NYIS
2015-01-05 11:00:00,15945.58,NYIS
2015-01-05 12:00:00,16772.52,NYIS
2015-01-05 13:00:00,19097.61,NYIS
2015-01-05 14:00:00,20070.03,NYIS
2015-01-05 15:00:00,20506.93,NYIS
2015-01-05 16:00:00,20752.77,NYIS
2015-01-05 17:00:00,20874.32,NYIS
2015-01-05 18:00:00,20942.62,NYIS
2015-01-05 19:00:00,21118.74,NYIS
2015-01-05 20:00:00,21309.45,NYIS
2015-01-05 21:00:00,21495.93,NYIS
2015-01-05 22:00:00,21938.5,NYIS
2015-01-05 23:00:00,22267.43,NYIS
2015-01-06 00:00:00,23227.88,NYIS
2015-01-06 01:00:00,22568.01,NYIS
2015-01-06 02:00:00,21894.2,NYIS
2015-01-06 03:00:00,20910.46,NYIS
2015-01-06 04:00:00,19966.86,NYIS
2015-01-06 05:00:00,19014.54,NYIS
2015-01-06 06:00:00,18049.13,NYIS
2015-01-06 07:00:00,17168.2,NYIS
2015-01-06 08:00:00,16858.21,NYIS
2015-01-06 09:00:00,17150.52,NYIS
2015-01-06 10:00:00,17887.89,NYIS
2015-01-06 11:00:00,18496.83,NYIS
2015-01-06 12:00:00,19158.56,NYIS
2015-01-06 13:00:00,20625.85,NYIS
2015-01-06 14:00:00,22028.1,NYIS
2015-01-06 15:00:00,22403.67,NYIS
2015-01-06 16:00:00,22611.61,NYIS
2015-01-06 17:00:00,22608.76,NYIS
2015-01-06 18:00:00,22357.0,NYIS
2015-01-06 19:00:00,22370.65,NYIS
2015-01-06 20:00:00,22309.64,NYIS
2015-01-06 21:00:00,22076.37,NYIS
2015-01-06 22:00:00,22327.92,NYIS
2015-01-06 23:00:00,22600.39,NYIS
2015-01-07 00:00:00,22712.6,NYIS
2015-01-07 01:00:00,22019.94,NYIS
2015-01-07 02:00:00,21395.66,NYIS
2015-01-07 03:00:00,20679.29,NYIS
2015-01-07 04:00:00,19710.25,NYIS
2015-01-07 05:00:00,18455.38,NYIS
2015-01-07 06:00:00,17652.95,NYIS
2015-01-07 07:00:00,16936.33,NYIS
2015-01-07 08:00:00,16705.62,NYIS
2015-01-07 09:00:00,16933.25,NYIS
2015-01-07 10:00:00,17582.0,NYIS
2015-01-07 11:00:00,18204.75,NYIS
2015-01-07 12:00:00,18828.47,NYIS
2015-01-07 13:00:00,20989.39,NYIS
2015-01-07 14:00:00,21399.55,NYIS
2015-01-07 15:00:00,21530.28,NYIS
2015-01-07 16:00:00,21526.71,NYIS
2015-01-07 17:00:00,21617.52,NYIS
2015-01-07 18:00:00,21799.34,NYIS
2015-01-07 19:00:00,21979.14,NYIS
2015-01-07 20:00:00,22285.53,NYIS
2015-01-07 21:00:00,22655.37,NYIS
2015-01-07 22:00:00,23128.74,NYIS
2015-01-07 23:00:00,23722.75,NYIS
2015-01-08 00:00:00,24719.06,NYIS
2015-01-08 01:00:00,24099.26,NYIS
2015-01-08 02:00:00,23524.85,NYIS
2015-01-08 03:00:00,22762.52,NYIS
2015-01-08 04:00:00,21930.94,NYIS
2015-01-08 05:00:00,21117.31,NYIS
2015-01-08 06:00:00,20289.17,NYIS
2015-01-08 07:00:00,19676.04,NYIS
2015-01-08 08:00:00,19246.72,NYIS
2015-01-08 09:00:00,19211.41,NYIS
2015-01-08 10:00:00,19597.53,NYIS
2015-01-08 11:00:00,20128.48,NYIS
2015-01-08 12:00:00,20652.55,NYIS
2015-01-08 13:00:00,22452.63,NYIS
2015-01-08 14:00:00,22981.31,NYIS
2015-01-08 15:00:00,22732.58,NYIS
