Time_UTC,Load,BA
2015-01-01 00:00:00,2954.11,PACW
2015-01-01 01:00:00,3063.39,PACW
2015-01-01 02:00:00,3163.78,PACW
2015-01-01 03:00:00,3217.28,PACW
2015-01-01 04:00:00,3153.69,PACW
2015-01-01 05:00:00,3042.77,PACW
2015-01-01 06:00:00,2923.18,PACW
2015-01-01 07:00:00,2812.06,PACW
2015-01-01 08:00:00,2693.27,PACW
2015-01-01 09:00:00,2584.08,PACW
2015-01-01 10:00:00,2511.34,PACW
2015-01-01 11:00:00,2539.89,PACW
2015-01-01 12:00:00,2633.41,PACW
2015-01-01 13:00:00,2730.66,PACW
2015-01-01 14:00:00,2835.74,PACW
2015-01-01 15:00:00,2910.15,PACW
2015-01-01 16:00:00,3052.9,PACW
2015-01-01 17:00:00,3277.63,PACW
2015-01-01 18:00:00,3232.21,PACW
2015-01-01 19:00:00,3149.63,PACW
2015-01-01 20:00:00,3071.68,PACW
2015-01-01 21:00:00,3000.85,PACW
2015-01-01 22:00:00,2934.77,PACW
2015-01-01 23:00:00,2885.93,PACW
2015-01-02 00:00:00,3018.86,PACW
2015-01-02 01:00:00,3119.09,PACW
2015-01-02 02:00:00,3198.03,PACW
2015-01-02 03:00:00,3253.53,PACW
2015-01-02 04:00:00,3202.58,PACW
2015-01-02 05:00:00,3086.24,PACW
2015-01-02 06:00:00,2963.86,PACW
2015-01-02 07:00:00,2836.24,PACW
2015-01-02 08:00:00,2705.87,PACW
2015-01-02 09:00:00,2602.78,PACW
2015-01-02 10:00:00,2608.57,PACW
2015-01-02 11:00:00,2691.89,PACW
2015-01-02 12:00:00,2782.54,PACW
2015-01-02 13:00:00,2877.43,PACW
2015-01-02 14:00:00,2986.13,PACW
2015-01-02 15:00:00,3092.25,PACW
2015-01-02 16:00:00,3238.04,PACW
2015-01-02 17:00:00,3437.86,PACW
2015-01-02 18:00:00,3278.78,PACW
2015-01-02 19:00:00,3157.22,PACW
2015-01-02 20:00:00,3055.68,PACW
2015-01-02 21:00:00,2971.84,PACW
2015-01-02 22:00:00,2915.89,PACW
2015-01-02 23:00:00,2905.26,PACW
2015-01-03 00:00:00,2703.62,PACW
2015-01-03 01:00:00,2748.49,PACW
2015-01-03 02:00:00,2860.28,PACW
2015-01-03 03:00:00,2913.54,PACW
2015-01-03 04:00:00,2836.54,PACW
2015-01-03 05:00:00,2740.31,PACW
2015-01-03 06:00:00,2640.47,PACW
