Time_UTC,Load,BA
2015-01-01 00:00:00,104715.98,PJM
2015-01-01 01:00:00,102198.13,PJM
2015-01-01 02:00:00,99552.59,PJM
2015-01-01 03:00:00,96795.53,PJM
2015-01-01 04:00:00,94259.44,PJM
2015-01-01 05:00:00,91401.9,PJM
2015-01-01 06:00:00,88615.82,PJM
2015-01-01 07:00:00,86407.42,PJM
2015-01-01 08:00:00,84647.28,PJM
2015-01-01 09:00:00,84280.85,PJM
2015-01-01 10:00:00,85601.05,PJM
2015-01-01 11:00:00,87405.04,PJM
2015-01-01 12:00:00,89717.51,PJM
2015-01-01 13:00:00,94060.6,PJM
2015-01-01 14:00:00,93629.47,PJM
2015-01-01 15:00:00,90992.85,PJM
2015-01-01 16:00:00,89184.65,PJM
2015-01-01 17:00:00,87672.5,PJM
2015-01-01 18:00:00,86370.59,PJM
2015-01-01 19:00:00,85041.77,PJM
2015-01-01 20:00:00,85009.45,PJM
2015-01-01 21:00:00,87108.25,PJM
2015-01-01 22:00:00,91479.61,PJM
2015-01-01 23:00:00,93700.33,PJM
2015-01-02 00:00:00,106334.67,PJM
2015-01-02 01:00:00,103005.81,PJM
2015-01-02 02:00:00,99794.83,PJM
2015-01-02 03:00:00,96255.88,PJM
2015-01-02 04:00:00,92992.69,PJM
2015-01-02 05:00:00,89325.92,PJM
2015-01-02 06:00:00,86083.7,PJM
2015-01-02 07:00:00,83267.32,PJM
2015-01-02 08:00:00,82142.25,PJM
2015-01-02 09:00:00,84456.77,PJM
2015-01-02 10:00:00,87529.68,PJM
2015-01-02 11:00:00,90470.69,PJM
2015-01-02 12:00:00,93257.81,PJM
2015-01-02 13:00:00,98012.66,PJM
2015-01-02 14:00:00,99294.72,PJM
2015-01-02 15:00:00,97716.03,PJM
2015-01-02 16:00:00,95763.63,PJM
2015-01-02 17:00:00,94265.5,PJM
2015-01-02 18:00:00,93472.04,PJM
2015-01-02 19:00:00,92613.94,PJM
2015-01-02 20:00:00,92158.4,PJM
2015-01-02 21:00:00,92821.73,PJM
2015-01-02 22:00:00,96975.06,PJM
2015-01-02 23:00:00,99075.17,PJM
2015-01-03 00:00:00,98584.78,PJM
2015-01-03 01:00:00,96065.82,PJM
2015-01-03 02:00:00,93624.55,PJM
2015-01-03 03:00:00,90803.72,PJM
2015-01-03 04:00:00,87815.12,PJM
2015-01-03 05:00:00,85464.26,PJM
2015-01-03 06:00:00,83421.57,PJM
2015-01-03 07:00:00,81205.03,PJM
2015-01-03 08:00:00,80381.0,PJM
2015-01-03 09:00:00,80972.78,PJM
2015-01-03 10:00:00,82150.4,PJM
2015-01-03 11:00:00,83314.06,PJM
2015-01-03 12:00:00,84599.22,PJM
2015-01-03 13:00:00,86395.45,PJM
2015-01-03 14:00:00,88571.8,PJM
2015-01-03 15:00:00,89335.81,PJM
2015-01-03 16:00:00,88936.78,PJM
2015-01-03 17:00:00,88463.37,PJM
2015-01-03 18:00:00,87974.49,PJM
2015-01-03 19:00:00,87739.29,PJM
2015-01-03 20:00:00,87428.97,PJM
2015-01-03 21:00:00,87367.1,PJM
2015-01-03 22:00:00,87441.11,PJM
2015-01-03 23:00:00,87471.81,PJM
2015-01-04 00:00:00,93290.33,PJM
2015-01-04 01:00:00,90081.13,PJM
2015-01-04 02:00:00,87167.9,PJM
2015-01-04 03:00:00,84153.96,PJM
2015-01-04 04:00:00,80878.71,PJM
2015-01-04 05:00:00,77854.29,PJM
2015-01-04 06:00:00,74858.15,PJM
2015-01-04 07:00:00,72286.12,PJM
2015-01-04 08:00:00,71148.05,PJM
2015-01-04 09:00:00,70964.01,PJM
2015-01-04 10:00:00,71450.01,PJM
2015-01-04 11:00:00,72320.17,PJM
2015-01-04 12:00:00,73432.34,PJM
2015-01-04 13:00:00,75417.76,PJM
2015-01-04 14:00:00,77425.11,PJM
2015-01-04 15:00:00,78561.74,PJM
2015-01-04 16:00:00,79292.3,PJM
2015-01-04 17:00:00,79468.4,PJM
2015-01-04 18:00:00,80084.0,PJM
2015-01-04 19:00:00,80255.25,PJM
2015-01-04 20:00:00,80341.79,PJM
2015-01-04 21:00:00,80394.96,PJM
