Time_UTC,Load,BA
2015-01-01 00:00:00,1742.27,PNM
2015-01-01 01:00:00,1848.94,PNM
2015-01-01 02:00:00,1890.93,PNM
2015-01-01 03:00:00,1883.14,PNM
2015-01-01 04:00:00,1836.39,PNM
2015-01-01 05:00:00,1766.64,PNM
2015-01-01 06:00:00,1698.13,PNM
2015-01-01 07:00:00,1635.78,PNM
2015-01-01 08:00:00,1586.09,PNM
2015-01-01 09:00:00,1557.02,PNM
2015-01-01 10:00:00,1559.19,PNM
2015-01-01 11:00:00,1564.51,PNM
2015-01-01 12:00:00,1579.5,PNM
2015-01-01 13:00:00,1607.91,PNM
2015-01-01 14:00:00,1644.58,PNM
2015-01-01 15:00:00,1700.11,PNM
2015-01-01 16:00:00,1748.12,PNM
2015-01-01 17:00:00,1753.64,PNM
2015-01-01 18:00:00,1740.94,PNM
2015-01-01 19:00:00,1719.15,PNM
2015-01-01 20:00:00,1700.96,PNM
2015-01-01 21:00:00,1682.82,PNM
2015-01-01 22:00:00,1670.33,PNM
2015-01-01 23:00:00,1665.26,PNM
2015-01-02 00:00:00,1810.61,PNM
2015-01-02 01:00:00,1903.71,PNM
2015-01-02 02:00:00,1982.19,PNM
2015-01-02 03:00:00,1989.22,PNM
2015-01-02 04:00:00,1918.85,PNM
2015-01-02 05:00:00,1835.65,PNM
2015-01-02 06:00:00,1757.12,PNM
2015-01-02 07:00:00,1690.53,PNM
2015-01-02 08:00:00,1641.18,PNM
2015-01-02 09:00:00,1628.82,PNM
2015-01-02 10:00:00,1644.64,PNM
2015-01-02 11:00:00,1677.29,PNM
2015-01-02 12:00:00,1710.49,PNM
2015-01-02 13:00:00,1749.29,PNM
2015-01-02 14:00:00,1789.11,PNM
2015-01-02 15:00:00,1864.56,PNM
2015-01-02 16:00:00,1882.43,PNM
2015-01-02 17:00:00,1844.19,PNM
2015-01-02 18:00:00,1808.75,PNM
2015-01-02 19:00:00,1785.38,PNM
2015-01-02 20:00:00,1781.93,PNM
2015-01-02 21:00:00,1759.82,PNM
2015-01-02 22:00:00,1757.93,PNM
2015-01-02 23:00:00,1772.03,PNM
2015-01-03 00:00:00,1755.35,PNM
2015-01-03 01:00:00,1839.13,PNM
2015-01-03 02:00:00,1911.87,PNM
2015-01-03 03:00:00,1929.73,PNM
2015-01-03 04:00:00,1869.88,PNM
2015-01-03 05:00:00,1788.73,PNM
2015-01-03 06:00:00,1721.33,PNM
2015-01-03 07:00:00,1663.86,PNM
2015-01-03 08:00:00,1611.35,PNM
2015-01-03 09:00:00,1593.49,PNM
2015-01-03 10:00:00,1599.28,PNM
2015-01-03 11:00:00,1609.12,PNM
2015-01-03 12:00:00,1635.26,PNM
2015-01-03 13:00:00,1667.05,PNM
2015-01-03 14:00:00,1692.72,PNM
2015-01-03 15:00:00,1731.29,PNM
2015-01-03 16:00:00,1721.55,PNM
2015-01-03 17:00:00,1697.08,PNM
2015-01-03 18:00:00,1654.98,PNM
2015-01-03 19:00:00,1612.87,PNM
2015-01-03 20:00:00,1582.82,PNM
2015-01-03 21:00:00,1554.68,PNM
2015-01-03 22:00:00,1538.9,PNM
2015-01-03 23:00:00,1548.75,PNM
2015-01-04 00:00:00,1708.77,PNM
2015-01-04 01:00:00,1802.86,PNM
2015-01-04 02:00:00,1876.41,PNM
2015-01-04 03:00:00,1903.39,PNM
2015-01-04 04:00:00,1856.46,PNM
2015-01-04 05:00:00,1784.24,PNM
2015-01-04 06:00:00,1708.99,PNM
2015-01-04 07:00:00,1647.93,PNM
2015-01-04 08:00:00,1600.75,PNM
2015-01-04 09:00:00,1574.22,PNM
2015-01-04 10:00:00,1580.0,PNM
2015-01-04 11:00:00,1600.61,PNM
2015-01-04 12:00:00,1628.67,PNM
2015-01-04 13:00:00,1658.89,PNM
2015-01-04 14:00:00,1682.46,PNM
2015-01-04 15:00:00,1716.46,PNM
2015-01-04 16:00:00,1715.89,PNM
2015-01-04 17:00:00,1707.07,PNM
2015-01-04 18:00:00,1676.06,PNM
2015-01-04 19:00:00,1640.23,PNM
2015-01-04 20:00:00,1615.72,PNM
2015-01-04 21:00:00,1599.01,PNM
2015-01-04 22:00:00,1581.37,PNM
2015-01-04 23:00:00,1577.62,PNM
2015-01-05 00:00:00,1733.96,PNM
2015-01-05 01:00:00,1826.67,PNM
2015-01-05 02:00:00,1898.97,PNM
2015-01-05 03:00:00,1909.86,PNM
2015-01-05 04:00:00,1844.56,PNM
2015-01-05 05:00:00,1754.0,PNM
2015-01-05 06:00:00,1667.79,PNM
2015-01-05 07:00:00,1586.29,PNM
2015-01-05 08:00:00,1529.12,PNM
2015-01-05 09:00:00,1508.71,PNM
2015-01-05 10:00:00,1534.3,PNM
2015-01-05 11:00:00,1570.91,PNM
2015-01-05 12:00:00,1609.85,PNM
2015-01-05 13:00:00,1651.7,PNM
2015-01-05 14:00:00,1691.44,PNM
2015-01-05 15:00:00,1791.23,PNM
2015-01-05 16:00:00,1761.71,PNM
2015-01-05 17:00:00,1726.56,PNM
2015-01-05 18:00:00,1687.88,PNM
2015-01-05 19:00:00,1655.61,PNM
2015-01-05 20:00:00,1628.9,PNM
2015-01-05 21:00:00,1608.61,PNM
2015-01-05 22:00:00,1609.42,PNM
2015-01-05 23:00:00,1640.86,PNM
2015-01-06 00:00:00,1661.63,PNM
2015-01-06 01:00:00,1751.16,PNM
2015-01-06 02:00:00,1823.51,PNM
2015-01-06 03:00:00,1846.43,PNM
2015-01-06 04:00:00,1786.71,PNM
2015-01-06 05:00:00,1696.0,PNM
2015-01-06 06:00:00,1606.38,PNM
2015-01-06 07:00:00,1523.94,PNM
2015-01-06 08:00:00,1465.3,PNM
