Time_UTC,Load,BA
2015-01-01 00:00:00,5969.89,PSCO
2015-01-01 01:00:00,6156.27,PSCO
2015-01-01 02:00:00,6310.86,PSCO
2015-01-01 03:00:00,6117.84,PSCO
2015-01-01 04:00:00,5911.73,PSCO
2015-01-01 05:00:00,5697.29,PSCO
2015-01-01 06:00:00,5471.39,PSCO
2015-01-01 07:00:00,5225.23,PSCO
2015-01-01 08:00:00,4990.28,PSCO
2015-01-01 09:00:00,4811.82,PSCO
2015-01-01 10:00:00,4717.77,PSCO
2015-01-01 11:00:00,4685.22,PSCO
2015-01-01 12:00:00,4789.79,PSCO
2015-01-01 13:00:00,4874.0,PSCO
2015-01-01 14:00:00,4941.56,PSCO
2015-01-01 15:00:00,5291.58,PSCO
2015-01-01 16:00:00,5389.6,PSCO
2015-01-01 17:00:00,5390.99,PSCO
2015-01-01 18:00:00,5404.11,PSCO
2015-01-01 19:00:00,5470.31,PSCO
2015-01-01 20:00:00,5512.0,PSCO
2015-01-01 21:00:00,5566.94,PSCO
2015-01-01 22:00:00,5563.11,PSCO
2015-01-01 23:00:00,5578.16,PSCO
2015-01-02 00:00:00,6198.02,PSCO
2015-01-02 01:00:00,6352.17,PSCO
2015-01-02 02:00:00,6466.34,PSCO
2015-01-02 03:00:00,6332.77,PSCO
2015-01-02 04:00:00,6072.62,PSCO
2015-01-02 05:00:00,5758.3,PSCO
2015-01-02 06:00:00,5446.53,PSCO
2015-01-02 07:00:00,5154.39,PSCO
2015-01-02 08:00:00,4966.26,PSCO
2015-01-02 09:00:00,4894.6,PSCO
2015-01-02 10:00:00,4877.53,PSCO
2015-01-02 11:00:00,4985.73,PSCO
2015-01-02 12:00:00,5135.05,PSCO
2015-01-02 13:00:00,5277.77,PSCO
2015-01-02 14:00:00,5393.09,PSCO
2015-01-02 15:00:00,5766.59,PSCO
2015-01-02 16:00:00,5784.9,PSCO
2015-01-02 17:00:00,5642.61,PSCO
2015-01-02 18:00:00,5555.3,PSCO
2015-01-02 19:00:00,5492.93,PSCO
2015-01-02 20:00:00,5453.9,PSCO
2015-01-02 21:00:00,5427.26,PSCO
2015-01-02 22:00:00,5421.97,PSCO
2015-01-02 23:00:00,5531.23,PSCO
2015-01-03 00:00:00,5643.17,PSCO
2015-01-03 01:00:00,5772.1,PSCO
2015-01-03 02:00:00,5893.95,PSCO
2015-01-03 03:00:00,5909.11,PSCO
2015-01-03 04:00:00,5658.72,PSCO
2015-01-03 05:00:00,5412.74,PSCO
2015-01-03 06:00:00,5144.16,PSCO
2015-01-03 07:00:00,4897.37,PSCO
2015-01-03 08:00:00,4730.16,PSCO
2015-01-03 09:00:00,4635.8,PSCO
2015-01-03 10:00:00,4616.31,PSCO
2015-01-03 11:00:00,4658.36,PSCO
2015-01-03 12:00:00,4722.05,PSCO
2015-01-03 13:00:00,4794.1,PSCO
2015-01-03 14:00:00,4850.14,PSCO
2015-01-03 15:00:00,5116.38,PSCO
2015-01-03 16:00:00,5120.93,PSCO
2015-01-03 17:00:00,5047.06,PSCO
2015-01-03 18:00:00,5001.17,PSCO
2015-01-03 19:00:00,4976.83,PSCO
2015-01-03 20:00:00,5015.49,PSCO
2015-01-03 21:00:00,5121.57,PSCO
2015-01-03 22:00:00,5143.36,PSCO
2015-01-03 23:00:00,5204.86,PSCO
2015-01-04 00:00:00,5824.55,PSCO
2015-01-04 01:00:00,5998.8,PSCO
2015-01-04 02:00:00,6154.39,PSCO
2015-01-04 03:00:00,6141.38,PSCO
2015-01-04 04:00:00,5887.63,PSCO
2015-01-04 05:00:00,5665.05,PSCO
2015-01-04 06:00:00,5437.69,PSCO
2015-01-04 07:00:00,5241.83,PSCO
2015-01-04 08:00:00,5141.93,PSCO
2015-01-04 09:00:00,5051.82,PSCO
2015-01-04 10:00:00,5024.76,PSCO
2015-01-04 11:00:00,5018.93,PSCO
2015-01-04 12:00:00,5074.47,PSCO
2015-01-04 13:00:00,5125.54,PSCO
2015-01-04 14:00:00,5162.02,PSCO
2015-01-04 15:00:00,5383.88,PSCO
2015-01-04 16:00:00,5474.18,PSCO
2015-01-04 17:00:00,5416.46,PSCO
2015-01-04 18:00:00,5326.5,PSCO
2015-01-04 19:00:00,5273.48,PSCO
2015-01-04 20:00:00,5216.12,PSCO
2015-01-04 21:00:00,5163.52,PSCO
2015-01-04 22:00:00,5139.41,PSCO
2015-01-04 23:00:00,5206.94,PSCO
2015-01-05 00:00:00,6022.4,PSCO
2015-01-05 01:00:00,6154.73,PSCO
2015-01-05 02:00:00,6252.78,PSCO
2015-01-05 03:00:00,6151.18,PSCO
2015-01-05 04:00:00,5891.98,PSCO
2015-01-05 05:00:00,5582.67,PSCO
2015-01-05 06:00:00,5274.1,PSCO
2015-01-05 07:00:00,4979.2,PSCO
2015-01-05 08:00:00,4808.4,PSCO
2015-01-05 09:00:00,4726.02,PSCO
2015-01-05 10:00:00,4736.02,PSCO
2015-01-05 11:00:00,4882.1,PSCO
2015-01-05 12:00:00,5030.03,PSCO
2015-01-05 13:00:00,5165.5,PSCO
2015-01-05 14:00:00,5285.45,PSCO
2015-01-05 15:00:00,5655.92,PSCO
2015-01-05 16:00:00,5573.65,PSCO
2015-01-05 17:00:00,5471.66,PSCO
2015-01-05 18:00:00,5402.24,PSCO
2015-01-05 19:00:00,5264.04,PSCO
2015-01-05 20:00:00,5170.89,PSCO
2015-01-05 21:00:00,5171.3,PSCO
2015-01-05 22:00:00,5206.99,PSCO
2015-01-05 23:00:00,5242.47,PSCO
2015-01-06 00:00:00,5582.3,PSCO
2015-01-06 01:00:00,5660.39,PSCO
2015-01-06 02:00:00,5734.07,PSCO
2015-01-06 03:00:00,5731.31,PSCO
2015-01-06 04:00:00,5440.2,PSCO
2015-01-06 05:00:00,5128.96,PSCO
2015-01-06 06:00:00,4798.98,PSCO
2015-01-06 07:00:00,4475.95,PSCO
2015-01-06 08:00:00,4236.49,PSCO
2015-01-06 09:00:00,4153.04,PSCO
2015-01-06 10:00:00,4250.43,PSCO
2015-01-06 11:00:00,4394.16,PSCO
2015-01-06 12:00:00,4540.69,PSCO
2015-01-06 13:00:00,4686.63,PSCO
2015-01-06 14:00:00,4825.97,PSCO
2015-01-06 15:00:00,5198.71,PSCO
2015-01-06 16:00:00,5235.43,PSCO
2015-01-06 17:00:00,5194.67,PSCO
2015-01-06 18:00:00,5149.67,PSCO
2015-01-06 19:00:00,5106.96,PSCO
2015-01-06 20:00:00,5073.78,PSCO
2015-01-06 21:00:00,5058.86,PSCO
2015-01-06 22:00:00,5071.58,PSCO
