Time_UTC,Load,BA
2015-01-01 00:00:00,4340.21,PSEI
2015-01-01 01:00:00,4634.09,PSEI
2015-01-01 02:00:00,4783.31,PSEI
2015-01-01 03:00:00,4867.49,PSEI
2015-01-01 04:00:00,4717.61,PSEI
2015-01-01 05:00:00,4550.36,PSEI
2015-01-01 06:00:00,4387.58,PSEI
2015-01-01 07:00:00,4189.15,PSEI
2015-01-01 08:00:00,3963.18,PSEI
2015-01-01 09:00:00,3761.28,PSEI
2015-01-01 10:00:00,3646.4,PSEI
2015-01-01 11:00:00,3666.0,PSEI
2015-01-01 12:00:00,3787.57,PSEI
2015-01-01 13:00:00,3940.82,PSEI
2015-01-01 14:00:00,4120.25,PSEI
2015-01-01 15:00:00,4311.93,PSEI
2015-01-01 16:00:00,4500.18,PSEI
2015-01-01 17:00:00,4699.7,PSEI
2015-01-01 18:00:00,4734.0,PSEI
2015-01-01 19:00:00,4679.64,PSEI
2015-01-01 20:00:00,4603.35,PSEI
2015-01-01 21:00:00,4510.99,PSEI
2015-01-01 22:00:00,4420.74,PSEI
2015-01-01 23:00:00,4366.01,PSEI
2015-01-02 00:00:00,4449.25,PSEI
2015-01-02 01:00:00,4736.59,PSEI
2015-01-02 02:00:00,4833.65,PSEI
2015-01-02 03:00:00,4907.9,PSEI
2015-01-02 04:00:00,4859.45,PSEI
2015-01-02 05:00:00,4641.58,PSEI
2015-01-02 06:00:00,4394.49,PSEI
2015-01-02 07:00:00,4151.14,PSEI
2015-01-02 08:00:00,3896.07,PSEI
2015-01-02 09:00:00,3633.01,PSEI
2015-01-02 10:00:00,3503.12,PSEI
2015-01-02 11:00:00,3553.79,PSEI
2015-01-02 12:00:00,3766.07,PSEI
2015-01-02 13:00:00,3988.02,PSEI
2015-01-02 14:00:00,4229.71,PSEI
2015-01-02 15:00:00,4456.6,PSEI
2015-01-02 16:00:00,4635.41,PSEI
2015-01-02 17:00:00,4806.45,PSEI
2015-01-02 18:00:00,4731.35,PSEI
2015-01-02 19:00:00,4628.32,PSEI
2015-01-02 20:00:00,4523.72,PSEI
2015-01-02 21:00:00,4444.75,PSEI
2015-01-02 22:00:00,4451.64,PSEI
2015-01-02 23:00:00,4445.32,PSEI
2015-01-03 00:00:00,4417.53,PSEI
2015-01-03 01:00:00,4470.13,PSEI
2015-01-03 02:00:00,4472.43,PSEI
2015-01-03 03:00:00,4450.11,PSEI
2015-01-03 04:00:00,4377.71,PSEI
2015-01-03 05:00:00,4181.49,PSEI
2015-01-03 06:00:00,3987.1,PSEI
2015-01-03 07:00:00,3793.27,PSEI
2015-01-03 08:00:00,3585.16,PSEI
2015-01-03 09:00:00,3412.2,PSEI
2015-01-03 10:00:00,3279.95,PSEI
2015-01-03 11:00:00,3276.9,PSEI
2015-01-03 12:00:00,3356.18,PSEI
2015-01-03 13:00:00,3531.32,PSEI
2015-01-03 14:00:00,3721.34,PSEI
2015-01-03 15:00:00,3897.96,PSEI
2015-01-03 16:00:00,4064.53,PSEI
2015-01-03 17:00:00,4324.94,PSEI
2015-01-03 18:00:00,4426.08,PSEI
2015-01-03 19:00:00,4356.43,PSEI
2015-01-03 20:00:00,4264.7,PSEI
2015-01-03 21:00:00,4163.55,PSEI
2015-01-03 22:00:00,4050.79,PSEI
2015-01-03 23:00:00,3969.52,PSEI
2015-01-04 00:00:00,4145.93,PSEI
2015-01-04 01:00:00,4388.25,PSEI
2015-01-04 02:00:00,4495.36,PSEI
2015-01-04 03:00:00,4546.56,PSEI
2015-01-04 04:00:00,4491.11,PSEI
2015-01-04 05:00:00,4303.38,PSEI
2015-01-04 06:00:00,4099.42,PSEI
2015-01-04 07:00:00,3872.07,PSEI
2015-01-04 08:00:00,3637.41,PSEI
2015-01-04 09:00:00,3429.68,PSEI
2015-01-04 10:00:00,3302.28,PSEI
2015-01-04 11:00:00,3303.65,PSEI
2015-01-04 12:00:00,3370.99,PSEI
2015-01-04 13:00:00,3466.6,PSEI
2015-01-04 14:00:00,3550.33,PSEI
2015-01-04 15:00:00,3649.42,PSEI
2015-01-04 16:00:00,3750.65,PSEI
2015-01-04 17:00:00,3900.61,PSEI
2015-01-04 18:00:00,3997.99,PSEI
2015-01-04 19:00:00,4055.49,PSEI
2015-01-04 20:00:00,4069.61,PSEI
2015-01-04 21:00:00,4058.76,PSEI
2015-01-04 22:00:00,4045.41,PSEI
2015-01-04 23:00:00,4037.31,PSEI
2015-01-05 00:00:00,4376.3,PSEI
2015-01-05 01:00:00,4433.51,PSEI
2015-01-05 02:00:00,4466.7,PSEI
2015-01-05 03:00:00,4444.72,PSEI
2015-01-05 04:00:00,4369.07,PSEI
2015-01-05 05:00:00,4180.75,PSEI
2015-01-05 06:00:00,3907.49,PSEI
2015-01-05 07:00:00,3638.72,PSEI
2015-01-05 08:00:00,3360.58,PSEI
2015-01-05 09:00:00,3090.08,PSEI
2015-01-05 10:00:00,2939.91,PSEI
2015-01-05 11:00:00,2884.98,PSEI
2015-01-05 12:00:00,3016.02,PSEI
2015-01-05 13:00:00,3206.01,PSEI
2015-01-05 14:00:00,3418.53,PSEI
2015-01-05 15:00:00,3629.62,PSEI
2015-01-05 16:00:00,3813.51,PSEI
2015-01-05 17:00:00,3917.41,PSEI
2015-01-05 18:00:00,3940.55,PSEI
2015-01-05 19:00:00,3941.89,PSEI
2015-01-05 20:00:00,3932.25,PSEI
2015-01-05 21:00:00,3917.47,PSEI
2015-01-05 22:00:00,3900.75,PSEI
2015-01-05 23:00:00,3870.87,PSEI
2015-01-06 00:00:00,4004.83,PSEI
2015-01-06 01:00:00,4062.54,PSEI
2015-01-06 02:00:00,4106.82,PSEI
2015-01-06 03:00:00,4085.15,PSEI
2015-01-06 04:00:00,4053.11,PSEI
2015-01-06 05:00:00,3929.12,PSEI
2015-01-06 06:00:00,3677.05,PSEI
2015-01-06 07:00:00,3431.43,PSEI
2015-01-06 08:00:00,3209.01,PSEI
2015-01-06 09:00:00,2995.09,PSEI
2015-01-06 10:00:00,2914.9,PSEI
2015-01-06 11:00:00,2912.4,PSEI
2015-01-06 12:00:00,3079.88,PSEI
2015-01-06 13:00:00,3292.21,PSEI
2015-01-06 14:00:00,3529.58,PSEI
2015-01-06 15:00:00,3774.85,PSEI
2015-01-06 16:00:00,4010.1,PSEI
2015-01-06 17:00:00,4080.75,PSEI
2015-01-06 18:00:00,4000.55,PSEI
2015-01-06 19:00:00,3903.6,PSEI
2015-01-06 20:00:00,3816.25,PSEI
2015-01-06 21:00:00,3745.79,PSEI
2015-01-06 22:00:00,3676.6,PSEI
2015-01-06 23:00:00,3652.92,PSEI
2015-01-07 00:00:00,3779.38,PSEI
2015-01-07 01:00:00,3938.96,PSEI
2015-01-07 02:00:00,4031.01,PSEI
2015-01-07 03:00:00,4105.1,PSEI
2015-01-07 04:00:00,4130.18,PSEI
2015-01-07 05:00:00,3964.31,PSEI
2015-01-07 06:00:00,3736.36,PSEI
2015-01-07 07:00:00,3505.99,PSEI
2015-01-07 08:00:00,3288.84,PSEI
2015-01-07 09:00:00,3098.76,PSEI
2015-01-07 10:00:00,3033.37,PSEI
2015-01-07 11:00:00,3028.31,PSEI
2015-01-07 12:00:00,3184.61,PSEI
2015-01-07 13:00:00,3394.68,PSEI
2015-01-07 14:00:00,3632.75,PSEI
2015-01-07 15:00:00,3870.65,PSEI
2015-01-07 16:00:00,4098.53,PSEI
2015-01-07 17:00:00,4148.08,PSEI
2015-01-07 18:00:00,4077.04,PSEI
2015-01-07 19:00:00,3985.45,PSEI
2015-01-07 20:00:00,3904.23,PSEI
2015-01-07 21:00:00,3805.21,PSEI
2015-01-07 22:00:00,3705.52,PSEI
2015-01-07 23:00:00,3648.91,PSEI
2015-01-08 00:00:00,3711.52,PSEI
2015-01-08 01:00:00,3930.7,PSEI
2015-01-08 02:00:00,4039.52,PSEI
2015-01-08 03:00:00,4120.36,PSEI
2015-01-08 04:00:00,4132.93,PSEI
2015-01-08 05:00:00,3937.16,PSEI
2015-01-08 06:00:00,3691.22,PSEI
2015-01-08 07:00:00,3472.16,PSEI
2015-01-08 08:00:00,3246.45,PSEI
2015-01-08 09:00:00,3051.85,PSEI
2015-01-08 10:00:00,2971.01,PSEI
2015-01-08 11:00:00,2990.25,PSEI
2015-01-08 12:00:00,3166.53,PSEI
2015-01-08 13:00:00,3388.12,PSEI
2015-01-08 14:00:00,3646.43,PSEI
2015-01-08 15:00:00,3903.04,PSEI
2015-01-08 16:00:00,4130.85,PSEI
2015-01-08 17:00:00,4261.21,PSEI
2015-01-08 18:00:00,4176.5,PSEI
2015-01-08 19:00:00,4068.78,PSEI
2015-01-08 20:00:00,3976.05,PSEI
2015-01-08 21:00:00,3887.91,PSEI
2015-01-08 22:00:00,3802.33,PSEI
2015-01-08 23:00:00,3758.02,PSEI
2015-01-09 00:00:00,3776.12,PSEI
2015-01-09 01:00:00,4033.74,PSEI
2015-01-09 02:00:00,4160.87,PSEI
2015-01-09 03:00:00,4234.55,PSEI
2015-01-09 04:00:00,4257.4,PSEI
2015-01-09 05:00:00,4086.4,PSEI
2015-01-09 06:00:00,3855.31,PSEI
2015-01-09 07:00:00,3604.58,PSEI
2015-01-09 08:00:00,3384.09,PSEI
2015-01-09 09:00:00,3195.17,PSEI
2015-01-09 10:00:00,3110.84,PSEI
2015-01-09 11:00:00,3126.84,PSEI
2015-01-09 12:00:00,3332.23,PSEI
2015-01-09 13:00:00,3567.97,PSEI
2015-01-09 14:00:00,3830.12,PSEI
2015-01-09 15:00:00,4082.37,PSEI
2015-01-09 16:00:00,4310.27,PSEI
2015-01-09 17:00:00,4416.21,PSEI
2015-01-09 18:00:00,4317.91,PSEI
2015-01-09 19:00:00,4181.29,PSEI
2015-01-09 20:00:00,4072.65,PSEI
2015-01-09 21:00:00,3975.02,PSEI
2015-01-09 22:00:00,3891.81,PSEI
2015-01-09 23:00:00,3860.53,PSEI
2015-01-10 00:00:00,3804.98,PSEI
2015-01-10 01:00:00,4008.7,PSEI
2015-01-10 02:00:00,4157.19,PSEI
2015-01-10 03:00:00,4223.55,PSEI
2015-01-10 04:00:00,4185.87,PSEI
2015-01-10 05:00:00,4044.3,PSEI
2015-01-10 06:00:00,3867.72,PSEI
2015-01-10 07:00:00,3656.31,PSEI
2015-01-10 08:00:00,3459.19,PSEI
2015-01-10 09:00:00,3278.21,PSEI
2015-01-10 10:00:00,3146.41,PSEI
2015-01-10 11:00:00,3099.27,PSEI
2015-01-10 12:00:00,3124.85,PSEI
2015-01-10 13:00:00,3206.24,PSEI
2015-01-10 14:00:00,3322.28,PSEI
2015-01-10 15:00:00,3454.66,PSEI
2015-01-10 16:00:00,3586.35,PSEI
2015-01-10 17:00:00,3785.23,PSEI
2015-01-10 18:00:00,3953.02,PSEI
2015-01-10 19:00:00,3966.8,PSEI
2015-01-10 20:00:00,3935.92,PSEI
2015-01-10 21:00:00,3872.5,PSEI
2015-01-10 22:00:00,3821.63,PSEI
2015-01-10 23:00:00,3768.86,PSEI
2015-01-11 00:00:00,3894.4,PSEI
2015-01-11 01:00:00,4114.75,PSEI
2015-01-11 02:00:00,4185.88,PSEI
2015-01-11 03:00:00,4239.33,PSEI
2015-01-11 04:00:00,4210.82,PSEI
2015-01-11 05:00:00,4020.73,PSEI
2015-01-11 06:00:00,3812.86,PSEI
2015-01-11 07:00:00,3585.18,PSEI
2015-01-11 08:00:00,3389.14,PSEI
2015-01-11 09:00:00,3242.66,PSEI
2015-01-11 10:00:00,3143.92,PSEI
2015-01-11 11:00:00,3161.58,PSEI
2015-01-11 12:00:00,3199.08,PSEI
2015-01-11 13:00:00,3299.82,PSEI
2015-01-11 14:00:00,3436.05,PSEI
2015-01-11 15:00:00,3575.34,PSEI
2015-01-11 16:00:00,3699.82,PSEI
2015-01-11 17:00:00,3911.58,PSEI
2015-01-11 18:00:00,3999.29,PSEI
2015-01-11 19:00:00,3965.45,PSEI
2015-01-11 20:00:00,3935.21,PSEI
2015-01-11 21:00:00,3902.15,PSEI
2015-01-11 22:00:00,3824.16,PSEI
2015-01-11 23:00:00,3732.09,PSEI
2015-01-12 00:00:00,3993.62,PSEI
2015-01-12 01:00:00,4253.63,PSEI
2015-01-12 02:00:00,4383.02,PSEI
2015-01-12 03:00:00,4457.49,PSEI
2015-01-12 04:00:00,4460.49,PSEI
2015-01-12 05:00:00,4221.59,PSEI
2015-01-12 06:00:00,3985.97,PSEI
2015-01-12 07:00:00,3733.17,PSEI
2015-01-12 08:00:00,3494.78,PSEI
2015-01-12 09:00:00,3290.05,PSEI
2015-01-12 10:00:00,3204.57,PSEI
2015-01-12 11:00:00,3243.37,PSEI
2015-01-12 12:00:00,3466.24,PSEI
2015-01-12 13:00:00,3708.26,PSEI
2015-01-12 14:00:00,3957.66,PSEI
2015-01-12 15:00:00,4208.51,PSEI
2015-01-12 16:00:00,4435.26,PSEI
2015-01-12 17:00:00,4552.95,PSEI
2015-01-12 18:00:00,4394.68,PSEI
2015-01-12 19:00:00,4240.99,PSEI
2015-01-12 20:00:00,4130.12,PSEI
2015-01-12 21:00:00,4030.22,PSEI
2015-01-12 22:00:00,3934.33,PSEI
2015-01-12 23:00:00,3873.28,PSEI
2015-01-13 00:00:00,3880.19,PSEI
2015-01-13 01:00:00,4207.39,PSEI
2015-01-13 02:00:00,4340.64,PSEI
2015-01-13 03:00:00,4441.33,PSEI
2015-01-13 04:00:00,4454.11,PSEI
2015-01-13 05:00:00,4258.12,PSEI
2015-01-13 06:00:00,4021.36,PSEI
2015-01-13 07:00:00,3784.27,PSEI
2015-01-13 08:00:00,3555.16,PSEI
2015-01-13 09:00:00,3348.19,PSEI
2015-01-13 10:00:00,3260.71,PSEI
2015-01-13 11:00:00,3312.63,PSEI
2015-01-13 12:00:00,3532.21,PSEI
2015-01-13 13:00:00,3778.9,PSEI
2015-01-13 14:00:00,4026.04,PSEI
2015-01-13 15:00:00,4276.48,PSEI
2015-01-13 16:00:00,4496.89,PSEI
2015-01-13 17:00:00,4627.29,PSEI
2015-01-13 18:00:00,4484.19,PSEI
2015-01-13 19:00:00,4323.94,PSEI
2015-01-13 20:00:00,4206.39,PSEI
2015-01-13 21:00:00,4103.2,PSEI
2015-01-13 22:00:00,4011.65,PSEI
2015-01-13 23:00:00,3962.31,PSEI
2015-01-14 00:00:00,3993.08,PSEI
2015-01-14 01:00:00,4324.02,PSEI
2015-01-14 02:00:00,4466.77,PSEI
2015-01-14 03:00:00,4546.55,PSEI
2015-01-14 04:00:00,4543.43,PSEI
2015-01-14 05:00:00,4346.64,PSEI
2015-01-14 06:00:00,4125.13,PSEI
2015-01-14 07:00:00,3891.6,PSEI
2015-01-14 08:00:00,3650.62,PSEI
2015-01-14 09:00:00,3418.83,PSEI
2015-01-14 10:00:00,3309.88,PSEI
2015-01-14 11:00:00,3353.25,PSEI
2015-01-14 12:00:00,3568.81,PSEI
2015-01-14 13:00:00,3807.3,PSEI
2015-01-14 14:00:00,4039.62,PSEI
2015-01-14 15:00:00,4267.11,PSEI
2015-01-14 16:00:00,4498.6,PSEI
2015-01-14 17:00:00,4609.51,PSEI
2015-01-14 18:00:00,4498.47,PSEI
2015-01-14 19:00:00,4352.4,PSEI
2015-01-14 20:00:00,4229.95,PSEI
2015-01-14 21:00:00,4113.92,PSEI
