Time_UTC,Load,BA
2015-01-01 00:00:00,3172.73,SCEG
2015-01-01 01:00:00,3208.12,SCEG
2015-01-01 02:00:00,3271.86,SCEG
2015-01-01 03:00:00,3178.22,SCEG
2015-01-01 04:00:00,3074.55,SCEG
2015-01-01 05:00:00,3000.5,SCEG
2015-01-01 06:00:00,2935.21,SCEG
2015-01-01 07:00:00,2921.38,SCEG
2015-01-01 08:00:00,2942.75,SCEG
2015-01-01 09:00:00,3004.97,SCEG
2015-01-01 10:00:00,3084.49,SCEG
2015-01-01 11:00:00,3164.29,SCEG
2015-01-01 12:00:00,3243.15,SCEG
2015-01-01 13:00:00,3426.06,SCEG
2015-01-01 14:00:00,3419.59,SCEG
2015-01-01 15:00:00,3261.06,SCEG
2015-01-01 16:00:00,3097.55,SCEG
2015-01-01 17:00:00,2962.85,SCEG
2015-01-01 18:00:00,2846.65,SCEG
2015-01-01 19:00:00,2759.14,SCEG
2015-01-01 20:00:00,2708.41,SCEG
2015-01-01 21:00:00,2681.75,SCEG
2015-01-01 22:00:00,2747.12,SCEG
2015-01-01 23:00:00,2820.78,SCEG
2015-01-02 00:00:00,2985.02,SCEG
2015-01-02 01:00:00,3021.27,SCEG
2015-01-02 02:00:00,3003.28,SCEG
2015-01-02 03:00:00,2870.42,SCEG
2015-01-02 04:00:00,2747.92,SCEG
2015-01-02 05:00:00,2636.9,SCEG
2015-01-02 06:00:00,2553.96,SCEG
2015-01-02 07:00:00,2540.59,SCEG
2015-01-02 08:00:00,2588.0,SCEG
2015-01-02 09:00:00,2634.06,SCEG
2015-01-02 10:00:00,2704.48,SCEG
2015-01-02 11:00:00,2816.86,SCEG
2015-01-02 12:00:00,2915.2,SCEG
2015-01-02 13:00:00,2998.58,SCEG
2015-01-02 14:00:00,3055.43,SCEG
2015-01-02 15:00:00,2999.13,SCEG
2015-01-02 16:00:00,2888.65,SCEG
2015-01-02 17:00:00,2796.09,SCEG
2015-01-02 18:00:00,2757.89,SCEG
2015-01-02 19:00:00,2749.57,SCEG
2015-01-02 20:00:00,2717.36,SCEG
2015-01-02 21:00:00,2685.67,SCEG
2015-01-02 22:00:00,2678.05,SCEG
2015-01-02 23:00:00,2688.79,SCEG
2015-01-03 00:00:00,2732.09,SCEG
2015-01-03 01:00:00,2726.55,SCEG
2015-01-03 02:00:00,2715.92,SCEG
2015-01-03 03:00:00,2635.61,SCEG
2015-01-03 04:00:00,2501.61,SCEG
2015-01-03 05:00:00,2403.09,SCEG
2015-01-03 06:00:00,2294.15,SCEG
2015-01-03 07:00:00,2222.58,SCEG
2015-01-03 08:00:00,2181.61,SCEG
2015-01-03 09:00:00,2194.52,SCEG
2015-01-03 10:00:00,2244.96,SCEG
2015-01-03 11:00:00,2285.87,SCEG
2015-01-03 12:00:00,2299.54,SCEG
2015-01-03 13:00:00,2319.55,SCEG
2015-01-03 14:00:00,2337.09,SCEG
2015-01-03 15:00:00,2359.96,SCEG
2015-01-03 16:00:00,2374.72,SCEG
2015-01-03 17:00:00,2391.96,SCEG
2015-01-03 18:00:00,2393.52,SCEG
2015-01-03 19:00:00,2387.95,SCEG
2015-01-03 20:00:00,2389.03,SCEG
2015-01-03 21:00:00,2382.03,SCEG
2015-01-03 22:00:00,2377.49,SCEG
2015-01-03 23:00:00,2398.8,SCEG
2015-01-04 00:00:00,2638.15,SCEG
2015-01-04 01:00:00,2603.01,SCEG
2015-01-04 02:00:00,2593.88,SCEG
2015-01-04 03:00:00,2494.2,SCEG
2015-01-04 04:00:00,2349.83,SCEG
2015-01-04 05:00:00,2229.88,SCEG
2015-01-04 06:00:00,2123.95,SCEG
2015-01-04 07:00:00,2049.24,SCEG
2015-01-04 08:00:00,1998.18,SCEG
2015-01-04 09:00:00,1985.61,SCEG
2015-01-04 10:00:00,2006.0,SCEG
2015-01-04 11:00:00,2040.31,SCEG
2015-01-04 12:00:00,2082.31,SCEG
2015-01-04 13:00:00,2115.88,SCEG
2015-01-04 14:00:00,2193.3,SCEG
2015-01-04 15:00:00,2253.73,SCEG
2015-01-04 16:00:00,2311.43,SCEG
2015-01-04 17:00:00,2353.27,SCEG
2015-01-04 18:00:00,2370.35,SCEG
2015-01-04 19:00:00,2419.42,SCEG
2015-01-04 20:00:00,2430.26,SCEG
2015-01-04 21:00:00,2400.24,SCEG
2015-01-04 22:00:00,2371.17,SCEG
2015-01-04 23:00:00,2379.03,SCEG
2015-01-05 00:00:00,2681.14,SCEG
2015-01-05 01:00:00,2645.41,SCEG
2015-01-05 02:00:00,2664.55,SCEG
2015-01-05 03:00:00,2508.33,SCEG
2015-01-05 04:00:00,2361.03,SCEG
2015-01-05 05:00:00,2260.39,SCEG
2015-01-05 06:00:00,2155.56,SCEG
2015-01-05 07:00:00,2117.92,SCEG
2015-01-05 08:00:00,2162.15,SCEG
2015-01-05 09:00:00,2298.55,SCEG
2015-01-05 10:00:00,2462.9,SCEG
2015-01-05 11:00:00,2654.72,SCEG
2015-01-05 12:00:00,2871.89,SCEG
2015-01-05 13:00:00,3178.38,SCEG
2015-01-05 14:00:00,3233.51,SCEG
2015-01-05 15:00:00,3207.19,SCEG
2015-01-05 16:00:00,3132.87,SCEG
2015-01-05 17:00:00,3015.29,SCEG
2015-01-05 18:00:00,2894.18,SCEG
2015-01-05 19:00:00,2794.39,SCEG
2015-01-05 20:00:00,2714.64,SCEG
2015-01-05 21:00:00,2660.6,SCEG
2015-01-05 22:00:00,2699.78,SCEG
2015-01-05 23:00:00,2792.08,SCEG
2015-01-06 00:00:00,3138.35,SCEG
2015-01-06 01:00:00,3165.49,SCEG
2015-01-06 02:00:00,3125.16,SCEG
2015-01-06 03:00:00,3018.66,SCEG
2015-01-06 04:00:00,2932.39,SCEG
2015-01-06 05:00:00,2864.64,SCEG
2015-01-06 06:00:00,2803.53,SCEG
2015-01-06 07:00:00,2782.87,SCEG
2015-01-06 08:00:00,2881.89,SCEG
2015-01-06 09:00:00,3007.71,SCEG
2015-01-06 10:00:00,3169.23,SCEG
2015-01-06 11:00:00,3301.29,SCEG
2015-01-06 12:00:00,3404.02,SCEG
2015-01-06 13:00:00,3584.97,SCEG
2015-01-06 14:00:00,3462.34,SCEG
2015-01-06 15:00:00,3104.61,SCEG
2015-01-06 16:00:00,2792.5,SCEG
2015-01-06 17:00:00,2641.9,SCEG
2015-01-06 18:00:00,2549.83,SCEG
2015-01-06 19:00:00,2482.06,SCEG
2015-01-06 20:00:00,2435.14,SCEG
2015-01-06 21:00:00,2415.5,SCEG
2015-01-06 22:00:00,2480.21,SCEG
2015-01-06 23:00:00,2601.87,SCEG
2015-01-07 00:00:00,2947.48,SCEG
2015-01-07 01:00:00,2976.03,SCEG
2015-01-07 02:00:00,2967.3,SCEG
2015-01-07 03:00:00,2888.56,SCEG
2015-01-07 04:00:00,2829.6,SCEG
2015-01-07 05:00:00,2786.9,SCEG
2015-01-07 06:00:00,2762.38,SCEG
2015-01-07 07:00:00,2783.03,SCEG
2015-01-07 08:00:00,2943.43,SCEG
2015-01-07 09:00:00,3108.25,SCEG
2015-01-07 10:00:00,3248.26,SCEG
2015-01-07 11:00:00,3383.27,SCEG
2015-01-07 12:00:00,3509.37,SCEG
2015-01-07 13:00:00,3719.75,SCEG
2015-01-07 14:00:00,3583.81,SCEG
2015-01-07 15:00:00,3367.56,SCEG
2015-01-07 16:00:00,3178.08,SCEG
2015-01-07 17:00:00,3018.08,SCEG
2015-01-07 18:00:00,2928.2,SCEG
2015-01-07 19:00:00,2938.91,SCEG
2015-01-07 20:00:00,2952.92,SCEG
2015-01-07 21:00:00,2960.88,SCEG
2015-01-07 22:00:00,3071.47,SCEG
2015-01-07 23:00:00,3233.35,SCEG
2015-01-08 00:00:00,3473.03,SCEG
2015-01-08 01:00:00,3634.01,SCEG
2015-01-08 02:00:00,3750.21,SCEG
2015-01-08 03:00:00,3768.51,SCEG
2015-01-08 04:00:00,3785.0,SCEG
2015-01-08 05:00:00,3809.94,SCEG
2015-01-08 06:00:00,3837.82,SCEG
2015-01-08 07:00:00,3882.12,SCEG
2015-01-08 08:00:00,3961.43,SCEG
2015-01-08 09:00:00,4074.56,SCEG
2015-01-08 10:00:00,4210.13,SCEG
2015-01-08 11:00:00,4336.33,SCEG
2015-01-08 12:00:00,4463.49,SCEG
2015-01-08 13:00:00,4702.92,SCEG
2015-01-08 14:00:00,4813.16,SCEG
2015-01-08 15:00:00,4686.74,SCEG
2015-01-08 16:00:00,4502.0,SCEG
2015-01-08 17:00:00,4296.77,SCEG
2015-01-08 18:00:00,4110.49,SCEG
2015-01-08 19:00:00,3973.37,SCEG
2015-01-08 20:00:00,3874.41,SCEG
2015-01-08 21:00:00,3793.21,SCEG
2015-01-08 22:00:00,3811.23,SCEG
2015-01-08 23:00:00,3983.8,SCEG
2015-01-09 00:00:00,4279.3,SCEG
2015-01-09 01:00:00,4337.25,SCEG
2015-01-09 02:00:00,4298.85,SCEG
2015-01-09 03:00:00,4175.08,SCEG
2015-01-09 04:00:00,4075.91,SCEG
2015-01-09 05:00:00,3972.85,SCEG
2015-01-09 06:00:00,3901.55,SCEG
2015-01-09 07:00:00,3912.4,SCEG
2015-01-09 08:00:00,3980.92,SCEG
2015-01-09 09:00:00,4041.59,SCEG
2015-01-09 10:00:00,4058.11,SCEG
2015-01-09 11:00:00,4033.69,SCEG
2015-01-09 12:00:00,4007.73,SCEG
2015-01-09 13:00:00,4006.69,SCEG
2015-01-09 14:00:00,3949.42,SCEG
2015-01-09 15:00:00,3741.74,SCEG
2015-01-09 16:00:00,3471.28,SCEG
2015-01-09 17:00:00,3312.33,SCEG
2015-01-09 18:00:00,3172.2,SCEG
2015-01-09 19:00:00,3046.17,SCEG
2015-01-09 20:00:00,2974.35,SCEG
2015-01-09 21:00:00,2967.44,SCEG
2015-01-09 22:00:00,3141.87,SCEG
2015-01-09 23:00:00,3344.2,SCEG
2015-01-10 00:00:00,3360.75,SCEG
2015-01-10 01:00:00,3424.98,SCEG
2015-01-10 02:00:00,3495.06,SCEG
2015-01-10 03:00:00,3455.13,SCEG
2015-01-10 04:00:00,3397.91,SCEG
2015-01-10 05:00:00,3357.35,SCEG
2015-01-10 06:00:00,3315.1,SCEG
2015-01-10 07:00:00,3319.73,SCEG
2015-01-10 08:00:00,3346.33,SCEG
2015-01-10 09:00:00,3390.1,SCEG
2015-01-10 10:00:00,3443.99,SCEG
2015-01-10 11:00:00,3507.0,SCEG
2015-01-10 12:00:00,3582.26,SCEG
2015-01-10 13:00:00,3695.64,SCEG
2015-01-10 14:00:00,3663.68,SCEG
2015-01-10 15:00:00,3565.21,SCEG
2015-01-10 16:00:00,3393.32,SCEG
2015-01-10 17:00:00,3236.37,SCEG
2015-01-10 18:00:00,3097.73,SCEG
2015-01-10 19:00:00,2969.66,SCEG
2015-01-10 20:00:00,2834.84,SCEG
2015-01-10 21:00:00,2768.64,SCEG
2015-01-10 22:00:00,2885.88,SCEG
2015-01-10 23:00:00,3111.87,SCEG
2015-01-11 00:00:00,3651.4,SCEG
2015-01-11 01:00:00,3727.5,SCEG
2015-01-11 02:00:00,3781.31,SCEG
2015-01-11 03:00:00,3689.44,SCEG
2015-01-11 04:00:00,3579.76,SCEG
2015-01-11 05:00:00,3472.15,SCEG
2015-01-11 06:00:00,3357.35,SCEG
2015-01-11 07:00:00,3295.34,SCEG
2015-01-11 08:00:00,3264.29,SCEG
2015-01-11 09:00:00,3278.95,SCEG
2015-01-11 10:00:00,3285.82,SCEG
2015-01-11 11:00:00,3253.76,SCEG
2015-01-11 12:00:00,3238.84,SCEG
2015-01-11 13:00:00,3236.09,SCEG
2015-01-11 14:00:00,3161.5,SCEG
2015-01-11 15:00:00,3063.75,SCEG
2015-01-11 16:00:00,2977.94,SCEG
2015-01-11 17:00:00,2918.84,SCEG
2015-01-11 18:00:00,2877.15,SCEG
2015-01-11 19:00:00,2877.53,SCEG
2015-01-11 20:00:00,2874.14,SCEG
2015-01-11 21:00:00,2899.93,SCEG
2015-01-11 22:00:00,2944.98,SCEG
2015-01-11 23:00:00,2991.14,SCEG
2015-01-12 00:00:00,3161.32,SCEG
2015-01-12 01:00:00,3137.71,SCEG
2015-01-12 02:00:00,3119.04,SCEG
2015-01-12 03:00:00,3006.5,SCEG
2015-01-12 04:00:00,2852.85,SCEG
2015-01-12 05:00:00,2713.14,SCEG
2015-01-12 06:00:00,2585.11,SCEG
2015-01-12 07:00:00,2538.12,SCEG
2015-01-12 08:00:00,2582.41,SCEG
2015-01-12 09:00:00,2665.43,SCEG
2015-01-12 10:00:00,2723.94,SCEG
2015-01-12 11:00:00,2819.93,SCEG
2015-01-12 12:00:00,2933.02,SCEG
2015-01-12 13:00:00,3013.23,SCEG
2015-01-12 14:00:00,3054.12,SCEG
2015-01-12 15:00:00,3069.59,SCEG
2015-01-12 16:00:00,3042.49,SCEG
2015-01-12 17:00:00,2939.77,SCEG
2015-01-12 18:00:00,2897.46,SCEG
2015-01-12 19:00:00,2825.05,SCEG
2015-01-12 20:00:00,2756.87,SCEG
2015-01-12 21:00:00,2716.29,SCEG
2015-01-12 22:00:00,2728.35,SCEG
2015-01-12 23:00:00,2715.04,SCEG
2015-01-13 00:00:00,2934.02,SCEG
2015-01-13 01:00:00,2929.93,SCEG
2015-01-13 02:00:00,2917.87,SCEG
2015-01-13 03:00:00,2764.1,SCEG
2015-01-13 04:00:00,2603.77,SCEG
2015-01-13 05:00:00,2438.32,SCEG
2015-01-13 06:00:00,2308.64,SCEG
2015-01-13 07:00:00,2268.55,SCEG
2015-01-13 08:00:00,2267.21,SCEG
2015-01-13 09:00:00,2313.22,SCEG
2015-01-13 10:00:00,2376.64,SCEG
2015-01-13 11:00:00,2449.63,SCEG
2015-01-13 12:00:00,2523.52,SCEG
2015-01-13 13:00:00,2601.01,SCEG
2015-01-13 14:00:00,2676.2,SCEG
2015-01-13 15:00:00,2727.61,SCEG
2015-01-13 16:00:00,2813.54,SCEG
2015-01-13 17:00:00,2927.5,SCEG
2015-01-13 18:00:00,3035.32,SCEG
2015-01-13 19:00:00,3137.11,SCEG
2015-01-13 20:00:00,3230.77,SCEG
2015-01-13 21:00:00,3318.68,SCEG
2015-01-13 22:00:00,3398.17,SCEG
2015-01-13 23:00:00,3472.31,SCEG
2015-01-14 00:00:00,3382.26,SCEG
2015-01-14 01:00:00,3423.04,SCEG
2015-01-14 02:00:00,3489.12,SCEG
2015-01-14 03:00:00,3432.19,SCEG
2015-01-14 04:00:00,3347.94,SCEG
2015-01-14 05:00:00,3261.83,SCEG
2015-01-14 06:00:00,3207.73,SCEG
2015-01-14 07:00:00,3174.84,SCEG
2015-01-14 08:00:00,3229.1,SCEG
2015-01-14 09:00:00,3338.07,SCEG
2015-01-14 10:00:00,3443.46,SCEG
2015-01-14 11:00:00,3539.33,SCEG
2015-01-14 12:00:00,3624.55,SCEG
2015-01-14 13:00:00,3712.95,SCEG
2015-01-14 14:00:00,3832.77,SCEG
2015-01-14 15:00:00,3831.59,SCEG
2015-01-14 16:00:00,3791.69,SCEG
2015-01-14 17:00:00,3723.99,SCEG
2015-01-14 18:00:00,3661.22,SCEG
2015-01-14 19:00:00,3587.95,SCEG
2015-01-14 20:00:00,3521.43,SCEG
2015-01-14 21:00:00,3454.95,SCEG
2015-01-14 22:00:00,3443.94,SCEG
2015-01-14 23:00:00,3505.51,SCEG
2015-01-15 00:00:00,3472.91,SCEG
2015-01-15 01:00:00,3478.34,SCEG
2015-01-15 02:00:00,3468.39,SCEG
2015-01-15 03:00:00,3332.9,SCEG
2015-01-15 04:00:00,3202.13,SCEG
2015-01-15 05:00:00,3073.31,SCEG
2015-01-15 06:00:00,2985.38,SCEG
2015-01-15 07:00:00,2961.17,SCEG
2015-01-15 08:00:00,3007.49,SCEG
2015-01-15 09:00:00,3083.84,SCEG
2015-01-15 10:00:00,3173.15,SCEG
2015-01-15 11:00:00,3279.72,SCEG
2015-01-15 12:00:00,3393.88,SCEG
2015-01-15 13:00:00,3514.85,SCEG
2015-01-15 14:00:00,3559.18,SCEG
2015-01-15 15:00:00,3512.29,SCEG
2015-01-15 16:00:00,3407.48,SCEG
2015-01-15 17:00:00,3306.18,SCEG
2015-01-15 18:00:00,3237.33,SCEG
2015-01-15 19:00:00,3120.53,SCEG
2015-01-15 20:00:00,2993.41,SCEG
2015-01-15 21:00:00,2880.06,SCEG
2015-01-15 22:00:00,2912.14,SCEG
2015-01-15 23:00:00,3012.26,SCEG
2015-01-16 00:00:00,3172.33,SCEG
2015-01-16 01:00:00,3168.02,SCEG
2015-01-16 02:00:00,3176.8,SCEG
2015-01-16 03:00:00,3042.07,SCEG
2015-01-16 04:00:00,2889.75,SCEG
2015-01-16 05:00:00,2748.79,SCEG
2015-01-16 06:00:00,2636.28,SCEG
2015-01-16 07:00:00,2579.67,SCEG
2015-01-16 08:00:00,2642.22,SCEG
2015-01-16 09:00:00,2781.12,SCEG
2015-01-16 10:00:00,2956.28,SCEG
2015-01-16 11:00:00,3129.38,SCEG
2015-01-16 12:00:00,3298.82,SCEG
2015-01-16 13:00:00,3542.98,SCEG
2015-01-16 14:00:00,3447.27,SCEG
2015-01-16 15:00:00,3272.26,SCEG
2015-01-16 16:00:00,3101.83,SCEG
2015-01-16 17:00:00,2923.44,SCEG
2015-01-16 18:00:00,2804.65,SCEG
2015-01-16 19:00:00,2706.07,SCEG
2015-01-16 20:00:00,2616.55,SCEG
2015-01-16 21:00:00,2570.93,SCEG
2015-01-16 22:00:00,2590.59,SCEG
2015-01-16 23:00:00,2664.08,SCEG
2015-01-17 00:00:00,2910.17,SCEG
2015-01-17 01:00:00,2936.67,SCEG
2015-01-17 02:00:00,2960.77,SCEG
2015-01-17 03:00:00,2861.18,SCEG
2015-01-17 04:00:00,2784.18,SCEG
2015-01-17 05:00:00,2706.62,SCEG
2015-01-17 06:00:00,2634.84,SCEG
2015-01-17 07:00:00,2611.44,SCEG
2015-01-17 08:00:00,2615.98,SCEG
2015-01-17 09:00:00,2654.12,SCEG
2015-01-17 10:00:00,2724.65,SCEG
2015-01-17 11:00:00,2806.63,SCEG
2015-01-17 12:00:00,2924.29,SCEG
2015-01-17 13:00:00,3040.99,SCEG
2015-01-17 14:00:00,2968.05,SCEG
2015-01-17 15:00:00,2856.61,SCEG
2015-01-17 16:00:00,2751.44,SCEG
2015-01-17 17:00:00,2631.5,SCEG
2015-01-17 18:00:00,2531.22,SCEG
2015-01-17 19:00:00,2449.14,SCEG
2015-01-17 20:00:00,2402.82,SCEG
2015-01-17 21:00:00,2370.18,SCEG
2015-01-17 22:00:00,2383.7,SCEG
2015-01-17 23:00:00,2439.85,SCEG
2015-01-18 00:00:00,2731.64,SCEG
2015-01-18 01:00:00,2768.01,SCEG
2015-01-18 02:00:00,2801.51,SCEG
2015-01-18 03:00:00,2713.64,SCEG
2015-01-18 04:00:00,2619.84,SCEG
2015-01-18 05:00:00,2511.01,SCEG
2015-01-18 06:00:00,2411.55,SCEG
2015-01-18 07:00:00,2341.47,SCEG
2015-01-18 08:00:00,2316.18,SCEG
2015-01-18 09:00:00,2352.17,SCEG
2015-01-18 10:00:00,2420.46,SCEG
2015-01-18 11:00:00,2489.58,SCEG
2015-01-18 12:00:00,2547.84,SCEG
2015-01-18 13:00:00,2621.47,SCEG
2015-01-18 14:00:00,2632.37,SCEG
2015-01-18 15:00:00,2583.31,SCEG
2015-01-18 16:00:00,2493.84,SCEG
2015-01-18 17:00:00,2451.06,SCEG
2015-01-18 18:00:00,2411.27,SCEG
2015-01-18 19:00:00,2369.93,SCEG
2015-01-18 20:00:00,2335.41,SCEG
2015-01-18 21:00:00,2312.63,SCEG
2015-01-18 22:00:00,2304.56,SCEG
2015-01-18 23:00:00,2360.35,SCEG
2015-01-19 00:00:00,2576.37,SCEG
2015-01-19 01:00:00,2622.42,SCEG
2015-01-19 02:00:00,2658.85,SCEG
2015-01-19 03:00:00,2578.82,SCEG
2015-01-19 04:00:00,2507.58,SCEG
