Time_UTC,Load,BA
2015-01-01 00:00:00,1388.77,SCL
2015-01-01 01:00:00,1458.96,SCL
2015-01-01 02:00:00,1501.03,SCL
2015-01-01 03:00:00,1522.09,SCL
2015-01-01 04:00:00,1515.73,SCL
2015-01-01 05:00:00,1461.16,SCL
2015-01-01 06:00:00,1398.28,SCL
2015-01-01 07:00:00,1331.16,SCL
2015-01-01 08:00:00,1263.97,SCL
2015-01-01 09:00:00,1207.18,SCL
2015-01-01 10:00:00,1156.73,SCL
2015-01-01 11:00:00,1142.58,SCL
2015-01-01 12:00:00,1183.15,SCL
2015-01-01 13:00:00,1239.37,SCL
2015-01-01 14:00:00,1296.81,SCL
2015-01-01 15:00:00,1355.87,SCL
2015-01-01 16:00:00,1418.82,SCL
2015-01-01 17:00:00,1498.32,SCL
2015-01-01 18:00:00,1511.37,SCL
2015-01-01 19:00:00,1505.39,SCL
2015-01-01 20:00:00,1479.42,SCL
2015-01-01 21:00:00,1459.5,SCL
2015-01-01 22:00:00,1432.26,SCL
2015-01-01 23:00:00,1418.28,SCL
2015-01-02 00:00:00,1488.07,SCL
2015-01-02 01:00:00,1581.06,SCL
2015-01-02 02:00:00,1592.14,SCL
2015-01-02 03:00:00,1593.52,SCL
2015-01-02 04:00:00,1585.88,SCL
2015-01-02 05:00:00,1510.84,SCL
2015-01-02 06:00:00,1427.69,SCL
2015-01-02 07:00:00,1343.12,SCL
2015-01-02 08:00:00,1255.69,SCL
2015-01-02 09:00:00,1170.89,SCL
2015-01-02 10:00:00,1111.06,SCL
2015-01-02 11:00:00,1122.14,SCL
2015-01-02 12:00:00,1191.81,SCL
2015-01-02 13:00:00,1266.43,SCL
2015-01-02 14:00:00,1343.67,SCL
2015-01-02 15:00:00,1417.89,SCL
2015-01-02 16:00:00,1493.54,SCL
2015-01-02 17:00:00,1581.72,SCL
2015-01-02 18:00:00,1564.14,SCL
2015-01-02 19:00:00,1546.95,SCL
2015-01-02 20:00:00,1528.09,SCL
2015-01-02 21:00:00,1529.86,SCL
2015-01-02 22:00:00,1530.89,SCL
2015-01-02 23:00:00,1531.18,SCL
2015-01-03 00:00:00,1440.56,SCL
2015-01-03 01:00:00,1438.23,SCL
2015-01-03 02:00:00,1435.6,SCL
2015-01-03 03:00:00,1425.14,SCL
2015-01-03 04:00:00,1400.85,SCL
2015-01-03 05:00:00,1342.27,SCL
2015-01-03 06:00:00,1279.35,SCL
2015-01-03 07:00:00,1235.91,SCL
2015-01-03 08:00:00,1172.13,SCL
2015-01-03 09:00:00,1116.67,SCL
2015-01-03 10:00:00,1065.32,SCL
2015-01-03 11:00:00,1042.37,SCL
2015-01-03 12:00:00,1044.38,SCL
2015-01-03 13:00:00,1088.77,SCL
2015-01-03 14:00:00,1146.65,SCL
2015-01-03 15:00:00,1201.61,SCL
2015-01-03 16:00:00,1255.02,SCL
2015-01-03 17:00:00,1354.85,SCL
2015-01-03 18:00:00,1393.15,SCL
2015-01-03 19:00:00,1374.71,SCL
2015-01-03 20:00:00,1361.0,SCL
2015-01-03 21:00:00,1348.17,SCL
2015-01-03 22:00:00,1326.43,SCL
2015-01-03 23:00:00,1318.68,SCL
2015-01-04 00:00:00,1335.81,SCL
2015-01-04 01:00:00,1423.37,SCL
2015-01-04 02:00:00,1451.06,SCL
2015-01-04 03:00:00,1466.31,SCL
2015-01-04 04:00:00,1441.3,SCL
2015-01-04 05:00:00,1390.12,SCL
2015-01-04 06:00:00,1329.74,SCL
2015-01-04 07:00:00,1261.95,SCL
2015-01-04 08:00:00,1183.8,SCL
2015-01-04 09:00:00,1108.07,SCL
2015-01-04 10:00:00,1052.19,SCL
2015-01-04 11:00:00,1038.78,SCL
2015-01-04 12:00:00,1066.85,SCL
2015-01-04 13:00:00,1105.31,SCL
2015-01-04 14:00:00,1130.62,SCL
2015-01-04 15:00:00,1164.97,SCL
2015-01-04 16:00:00,1202.65,SCL
2015-01-04 17:00:00,1266.14,SCL
2015-01-04 18:00:00,1321.13,SCL
2015-01-04 19:00:00,1355.18,SCL
2015-01-04 20:00:00,1356.94,SCL
2015-01-04 21:00:00,1351.6,SCL
2015-01-04 22:00:00,1343.19,SCL
2015-01-04 23:00:00,1342.78,SCL
2015-01-05 00:00:00,1480.8,SCL
2015-01-05 01:00:00,1488.16,SCL
2015-01-05 02:00:00,1474.89,SCL
2015-01-05 03:00:00,1452.96,SCL
2015-01-05 04:00:00,1425.56,SCL
2015-01-05 05:00:00,1373.89,SCL
2015-01-05 06:00:00,1285.9,SCL
2015-01-05 07:00:00,1203.3,SCL
2015-01-05 08:00:00,1119.01,SCL
2015-01-05 09:00:00,1041.53,SCL
2015-01-05 10:00:00,978.83,SCL
2015-01-05 11:00:00,967.01,SCL
2015-01-05 12:00:00,1013.85,SCL
2015-01-05 13:00:00,1076.44,SCL
2015-01-05 14:00:00,1141.91,SCL
2015-01-05 15:00:00,1209.26,SCL
2015-01-05 16:00:00,1274.31,SCL
2015-01-05 17:00:00,1332.51,SCL
2015-01-05 18:00:00,1336.32,SCL
2015-01-05 19:00:00,1342.37,SCL
2015-01-05 20:00:00,1347.54,SCL
2015-01-05 21:00:00,1347.8,SCL
2015-01-05 22:00:00,1343.63,SCL
2015-01-05 23:00:00,1338.98,SCL
2015-01-06 00:00:00,1340.43,SCL
2015-01-06 01:00:00,1341.77,SCL
2015-01-06 02:00:00,1339.34,SCL
2015-01-06 03:00:00,1333.8,SCL
2015-01-06 04:00:00,1325.71,SCL
2015-01-06 05:00:00,1296.85,SCL
2015-01-06 06:00:00,1215.13,SCL
2015-01-06 07:00:00,1134.61,SCL
2015-01-06 08:00:00,1060.81,SCL
2015-01-06 09:00:00,994.43,SCL
2015-01-06 10:00:00,945.8,SCL
2015-01-06 11:00:00,938.86,SCL
2015-01-06 12:00:00,979.27,SCL
2015-01-06 13:00:00,1052.29,SCL
2015-01-06 14:00:00,1129.31,SCL
2015-01-06 15:00:00,1206.35,SCL
2015-01-06 16:00:00,1284.05,SCL
2015-01-06 17:00:00,1372.52,SCL
2015-01-06 18:00:00,1359.44,SCL
2015-01-06 19:00:00,1340.49,SCL
2015-01-06 20:00:00,1322.79,SCL
2015-01-06 21:00:00,1309.43,SCL
2015-01-06 22:00:00,1297.18,SCL
2015-01-06 23:00:00,1291.81,SCL
2015-01-07 00:00:00,1246.97,SCL
2015-01-07 01:00:00,1290.51,SCL
2015-01-07 02:00:00,1300.48,SCL
2015-01-07 03:00:00,1305.61,SCL
2015-01-07 04:00:00,1298.29,SCL
2015-01-07 05:00:00,1261.42,SCL
2015-01-07 06:00:00,1186.46,SCL
2015-01-07 07:00:00,1113.74,SCL
2015-01-07 08:00:00,1052.29,SCL
