Time_UTC,Load,BA
2015-01-01 00:00:00,3592.69,SC
2015-01-01 01:00:00,3627.89,SC
2015-01-01 02:00:00,3633.19,SC
2015-01-01 03:00:00,3586.82,SC
2015-01-01 04:00:00,3522.55,SC
2015-01-01 05:00:00,3437.09,SC
2015-01-01 06:00:00,3347.41,SC
2015-01-01 07:00:00,3280.52,SC
2015-01-01 08:00:00,3277.95,SC
2015-01-01 09:00:00,3330.8,SC
2015-01-01 10:00:00,3388.88,SC
2015-01-01 11:00:00,3447.49,SC
2015-01-01 12:00:00,3512.19,SC
2015-01-01 13:00:00,3625.55,SC
2015-01-01 14:00:00,3657.78,SC
2015-01-01 15:00:00,3415.54,SC
2015-01-01 16:00:00,3186.95,SC
2015-01-01 17:00:00,2991.72,SC
2015-01-01 18:00:00,2832.77,SC
2015-01-01 19:00:00,2706.42,SC
2015-01-01 20:00:00,2607.5,SC
2015-01-01 21:00:00,2544.45,SC
2015-01-01 22:00:00,2520.65,SC
2015-01-01 23:00:00,2588.59,SC
2015-01-02 00:00:00,2974.18,SC
2015-01-02 01:00:00,3003.11,SC
2015-01-02 02:00:00,2981.07,SC
2015-01-02 03:00:00,2902.3,SC
2015-01-02 04:00:00,2815.42,SC
2015-01-02 05:00:00,2721.61,SC
2015-01-02 06:00:00,2652.85,SC
2015-01-02 07:00:00,2665.68,SC
2015-01-02 08:00:00,2710.63,SC
2015-01-02 09:00:00,2739.85,SC
2015-01-02 10:00:00,2779.08,SC
2015-01-02 11:00:00,2845.93,SC
2015-01-02 12:00:00,2897.22,SC
2015-01-02 13:00:00,2921.24,SC
2015-01-02 14:00:00,2914.44,SC
2015-01-02 15:00:00,2819.73,SC
2015-01-02 16:00:00,2700.34,SC
2015-01-02 17:00:00,2614.33,SC
2015-01-02 18:00:00,2560.16,SC
2015-01-02 19:00:00,2532.97,SC
2015-01-02 20:00:00,2518.8,SC
2015-01-02 21:00:00,2524.55,SC
2015-01-02 22:00:00,2570.8,SC
2015-01-02 23:00:00,2613.48,SC
2015-01-03 00:00:00,2824.0,SC
2015-01-03 01:00:00,2782.07,SC
