Time_UTC,Load,BA
2015-01-01 00:00:00,165.96,SEC
2015-01-01 01:00:00,151.68,SEC
2015-01-01 02:00:00,137.99,SEC
2015-01-01 03:00:00,125.45,SEC
2015-01-01 04:00:00,113.2,SEC
2015-01-01 05:00:00,103.07,SEC
2015-01-01 06:00:00,92.73,SEC
2015-01-01 07:00:00,85.52,SEC
2015-01-01 08:00:00,82.02,SEC
2015-01-01 09:00:00,82.39,SEC
2015-01-01 10:00:00,88.04,SEC
2015-01-01 11:00:00,95.34,SEC
2015-01-01 12:00:00,103.5,SEC
2015-01-01 13:00:00,112.6,SEC
2015-01-01 14:00:00,116.34,SEC
2015-01-01 15:00:00,118.95,SEC
2015-01-01 16:00:00,122.73,SEC
2015-01-01 17:00:00,126.96,SEC
2015-01-01 18:00:00,129.75,SEC
2015-01-01 19:00:00,132.45,SEC
2015-01-01 20:00:00,128.38,SEC
2015-01-01 21:00:00,121.03,SEC
2015-01-01 22:00:00,117.84,SEC
2015-01-01 23:00:00,124.11,SEC
2015-01-02 00:00:00,172.77,SEC
2015-01-02 01:00:00,160.11,SEC
2015-01-02 02:00:00,147.13,SEC
2015-01-02 03:00:00,134.18,SEC
2015-01-02 04:00:00,120.82,SEC
2015-01-02 05:00:00,106.83,SEC
2015-01-02 06:00:00,95.43,SEC
2015-01-02 07:00:00,88.47,SEC
2015-01-02 08:00:00,89.28,SEC
2015-01-02 09:00:00,92.96,SEC
2015-01-02 10:00:00,98.39,SEC
2015-01-02 11:00:00,103.46,SEC
2015-01-02 12:00:00,107.0,SEC
2015-01-02 13:00:00,109.93,SEC
2015-01-02 14:00:00,113.93,SEC
2015-01-02 15:00:00,118.22,SEC
2015-01-02 16:00:00,121.29,SEC
2015-01-02 17:00:00,122.23,SEC
2015-01-02 18:00:00,125.11,SEC
2015-01-02 19:00:00,130.16,SEC
2015-01-02 20:00:00,133.15,SEC
2015-01-02 21:00:00,132.25,SEC
2015-01-02 22:00:00,130.14,SEC
2015-01-02 23:00:00,132.7,SEC
2015-01-03 00:00:00,154.07,SEC
2015-01-03 01:00:00,144.25,SEC
2015-01-03 02:00:00,133.62,SEC
2015-01-03 03:00:00,123.3,SEC
2015-01-03 04:00:00,111.98,SEC
2015-01-03 05:00:00,100.36,SEC
2015-01-03 06:00:00,89.13,SEC
2015-01-03 07:00:00,81.43,SEC
2015-01-03 08:00:00,79.49,SEC
2015-01-03 09:00:00,81.33,SEC
2015-01-03 10:00:00,85.42,SEC
2015-01-03 11:00:00,89.87,SEC
2015-01-03 12:00:00,93.97,SEC
2015-01-03 13:00:00,101.9,SEC
2015-01-03 14:00:00,117.31,SEC
2015-01-03 15:00:00,136.82,SEC
2015-01-03 16:00:00,148.93,SEC
2015-01-03 17:00:00,156.94,SEC
2015-01-03 18:00:00,164.24,SEC
2015-01-03 19:00:00,170.0,SEC
2015-01-03 20:00:00,173.09,SEC
2015-01-03 21:00:00,167.33,SEC
2015-01-03 22:00:00,154.45,SEC
2015-01-03 23:00:00,149.73,SEC
2015-01-04 00:00:00,160.4,SEC
2015-01-04 01:00:00,148.09,SEC
2015-01-04 02:00:00,137.02,SEC
2015-01-04 03:00:00,126.68,SEC
2015-01-04 04:00:00,115.83,SEC
2015-01-04 05:00:00,104.36,SEC
2015-01-04 06:00:00,93.93,SEC
2015-01-04 07:00:00,86.28,SEC
2015-01-04 08:00:00,84.23,SEC
2015-01-04 09:00:00,84.23,SEC
2015-01-04 10:00:00,85.75,SEC
2015-01-04 11:00:00,90.01,SEC
2015-01-04 12:00:00,94.84,SEC
2015-01-04 13:00:00,105.15,SEC
2015-01-04 14:00:00,126.24,SEC
2015-01-04 15:00:00,138.13,SEC
2015-01-04 16:00:00,147.56,SEC
2015-01-04 17:00:00,156.89,SEC
2015-01-04 18:00:00,163.91,SEC
2015-01-04 19:00:00,168.36,SEC
2015-01-04 20:00:00,170.37,SEC
2015-01-04 21:00:00,165.64,SEC
2015-01-04 22:00:00,158.7,SEC
2015-01-04 23:00:00,153.56,SEC
2015-01-05 00:00:00,173.41,SEC
2015-01-05 01:00:00,154.15,SEC
2015-01-05 02:00:00,138.93,SEC
2015-01-05 03:00:00,123.85,SEC
2015-01-05 04:00:00,112.64,SEC
2015-01-05 05:00:00,103.66,SEC
2015-01-05 06:00:00,94.41,SEC
2015-01-05 07:00:00,88.17,SEC
2015-01-05 08:00:00,86.83,SEC
2015-01-05 09:00:00,88.57,SEC
2015-01-05 10:00:00,92.46,SEC
2015-01-05 11:00:00,98.76,SEC
2015-01-05 12:00:00,107.63,SEC
2015-01-05 13:00:00,121.9,SEC
2015-01-05 14:00:00,140.65,SEC
2015-01-05 15:00:00,158.49,SEC
2015-01-05 16:00:00,171.19,SEC
2015-01-05 17:00:00,177.48,SEC
2015-01-05 18:00:00,179.69,SEC
2015-01-05 19:00:00,177.3,SEC
2015-01-05 20:00:00,173.49,SEC
2015-01-05 21:00:00,168.19,SEC
2015-01-05 22:00:00,156.74,SEC
2015-01-05 23:00:00,160.79,SEC
2015-01-06 00:00:00,181.79,SEC
2015-01-06 01:00:00,170.82,SEC
2015-01-06 02:00:00,160.43,SEC
2015-01-06 03:00:00,150.15,SEC
2015-01-06 04:00:00,139.35,SEC
2015-01-06 05:00:00,128.45,SEC
2015-01-06 06:00:00,118.96,SEC
2015-01-06 07:00:00,116.9,SEC
2015-01-06 08:00:00,118.68,SEC
2015-01-06 09:00:00,121.96,SEC
2015-01-06 10:00:00,125.47,SEC
2015-01-06 11:00:00,130.61,SEC
2015-01-06 12:00:00,136.46,SEC
2015-01-06 13:00:00,139.77,SEC
2015-01-06 14:00:00,136.96,SEC
2015-01-06 15:00:00,125.12,SEC
2015-01-06 16:00:00,121.89,SEC
2015-01-06 17:00:00,124.95,SEC
2015-01-06 18:00:00,135.53,SEC
2015-01-06 19:00:00,143.35,SEC
2015-01-06 20:00:00,146.04,SEC
2015-01-06 21:00:00,144.26,SEC
2015-01-06 22:00:00,138.92,SEC
2015-01-06 23:00:00,139.92,SEC
2015-01-07 00:00:00,163.07,SEC
2015-01-07 01:00:00,150.41,SEC
2015-01-07 02:00:00,142.02,SEC
2015-01-07 03:00:00,135.01,SEC
2015-01-07 04:00:00,129.91,SEC
2015-01-07 05:00:00,126.08,SEC
2015-01-07 06:00:00,124.58,SEC
2015-01-07 07:00:00,131.66,SEC
2015-01-07 08:00:00,144.26,SEC
2015-01-07 09:00:00,157.47,SEC
2015-01-07 10:00:00,171.82,SEC
2015-01-07 11:00:00,187.16,SEC
2015-01-07 12:00:00,201.45,SEC
2015-01-07 13:00:00,203.2,SEC
2015-01-07 14:00:00,182.78,SEC
2015-01-07 15:00:00,164.16,SEC
2015-01-07 16:00:00,153.83,SEC
2015-01-07 17:00:00,145.9,SEC
2015-01-07 18:00:00,139.74,SEC
2015-01-07 19:00:00,133.67,SEC
2015-01-07 20:00:00,130.42,SEC
2015-01-07 21:00:00,128.84,SEC
2015-01-07 22:00:00,129.78,SEC
2015-01-07 23:00:00,150.68,SEC
2015-01-08 00:00:00,184.84,SEC
2015-01-08 01:00:00,184.75,SEC
2015-01-08 02:00:00,184.27,SEC
2015-01-08 03:00:00,187.59,SEC
2015-01-08 04:00:00,192.63,SEC
2015-01-08 05:00:00,203.75,SEC
2015-01-08 06:00:00,217.26,SEC
2015-01-08 07:00:00,230.38,SEC
2015-01-08 08:00:00,249.84,SEC
2015-01-08 09:00:00,273.52,SEC
2015-01-08 10:00:00,290.97,SEC
2015-01-08 11:00:00,303.11,SEC
2015-01-08 12:00:00,311.94,SEC
2015-01-08 13:00:00,315.07,SEC
2015-01-08 14:00:00,299.08,SEC
2015-01-08 15:00:00,269.57,SEC
2015-01-08 16:00:00,239.99,SEC
2015-01-08 17:00:00,219.88,SEC
2015-01-08 18:00:00,206.43,SEC
2015-01-08 19:00:00,196.62,SEC
2015-01-08 20:00:00,193.15,SEC
2015-01-08 21:00:00,189.68,SEC
2015-01-08 22:00:00,186.87,SEC
2015-01-08 23:00:00,200.2,SEC
2015-01-09 00:00:00,226.42,SEC
2015-01-09 01:00:00,217.8,SEC
2015-01-09 02:00:00,215.5,SEC
2015-01-09 03:00:00,212.01,SEC
2015-01-09 04:00:00,206.66,SEC
2015-01-09 05:00:00,206.26,SEC
2015-01-09 06:00:00,210.88,SEC
2015-01-09 07:00:00,211.41,SEC
2015-01-09 08:00:00,214.03,SEC
2015-01-09 09:00:00,216.66,SEC
2015-01-09 10:00:00,221.01,SEC
2015-01-09 11:00:00,224.3,SEC
2015-01-09 12:00:00,225.89,SEC
2015-01-09 13:00:00,224.52,SEC
2015-01-09 14:00:00,223.36,SEC
2015-01-09 15:00:00,219.64,SEC
2015-01-09 16:00:00,212.89,SEC
2015-01-09 17:00:00,206.98,SEC
2015-01-09 18:00:00,201.47,SEC
2015-01-09 19:00:00,192.72,SEC
2015-01-09 20:00:00,187.07,SEC
2015-01-09 21:00:00,180.7,SEC
2015-01-09 22:00:00,173.5,SEC
2015-01-09 23:00:00,184.19,SEC
2015-01-10 00:00:00,203.83,SEC
2015-01-10 01:00:00,199.27,SEC
2015-01-10 02:00:00,194.17,SEC
2015-01-10 03:00:00,189.52,SEC
2015-01-10 04:00:00,186.91,SEC
2015-01-10 05:00:00,187.34,SEC
