Time_UTC,Load,BA
2015-01-01 00:00:00,2809.01,SRP
2015-01-01 01:00:00,2994.76,SRP
2015-01-01 02:00:00,3125.08,SRP
2015-01-01 03:00:00,3181.24,SRP
2015-01-01 04:00:00,3161.59,SRP
2015-01-01 05:00:00,3084.32,SRP
2015-01-01 06:00:00,3045.38,SRP
2015-01-01 07:00:00,3023.94,SRP
2015-01-01 08:00:00,3034.72,SRP
2015-01-01 09:00:00,3046.78,SRP
2015-01-01 10:00:00,3085.73,SRP
2015-01-01 11:00:00,3201.23,SRP
2015-01-01 12:00:00,3305.08,SRP
2015-01-01 13:00:00,3384.64,SRP
2015-01-01 14:00:00,3488.05,SRP
2015-01-01 15:00:00,3548.98,SRP
2015-01-01 16:00:00,3634.91,SRP
2015-01-01 17:00:00,3588.93,SRP
2015-01-01 18:00:00,3515.76,SRP
2015-01-01 19:00:00,3423.9,SRP
2015-01-01 20:00:00,3363.4,SRP
2015-01-01 21:00:00,3306.13,SRP
2015-01-01 22:00:00,3250.36,SRP
2015-01-01 23:00:00,3236.18,SRP
2015-01-02 00:00:00,3041.31,SRP
2015-01-02 01:00:00,3440.41,SRP
2015-01-02 02:00:00,3581.75,SRP
2015-01-02 03:00:00,3721.84,SRP
2015-01-02 04:00:00,3733.96,SRP
2015-01-02 05:00:00,3642.77,SRP
2015-01-02 06:00:00,3552.21,SRP
2015-01-02 07:00:00,3466.03,SRP
2015-01-02 08:00:00,3425.95,SRP
2015-01-02 09:00:00,3421.39,SRP
2015-01-02 10:00:00,3466.17,SRP
2015-01-02 11:00:00,3546.08,SRP
2015-01-02 12:00:00,3643.47,SRP
2015-01-02 13:00:00,3742.33,SRP
2015-01-02 14:00:00,3817.59,SRP
2015-01-02 15:00:00,3900.72,SRP
2015-01-02 16:00:00,3812.7,SRP
2015-01-02 17:00:00,3609.21,SRP
2015-01-02 18:00:00,3408.0,SRP
2015-01-02 19:00:00,3269.08,SRP
2015-01-02 20:00:00,3166.25,SRP
2015-01-02 21:00:00,3122.2,SRP
2015-01-02 22:00:00,3149.73,SRP
2015-01-02 23:00:00,3214.26,SRP
2015-01-03 00:00:00,3051.89,SRP
2015-01-03 01:00:00,3377.77,SRP
2015-01-03 02:00:00,3458.54,SRP
2015-01-03 03:00:00,3484.31,SRP
2015-01-03 04:00:00,3473.29,SRP
2015-01-03 05:00:00,3411.56,SRP
2015-01-03 06:00:00,3342.45,SRP
2015-01-03 07:00:00,3271.97,SRP
2015-01-03 08:00:00,3203.03,SRP
2015-01-03 09:00:00,3155.17,SRP
2015-01-03 10:00:00,3143.14,SRP
2015-01-03 11:00:00,3198.76,SRP
2015-01-03 12:00:00,3242.99,SRP
2015-01-03 13:00:00,3305.02,SRP
2015-01-03 14:00:00,3355.32,SRP
2015-01-03 15:00:00,3415.18,SRP
2015-01-03 16:00:00,3389.7,SRP
2015-01-03 17:00:00,3265.96,SRP
2015-01-03 18:00:00,3188.23,SRP
2015-01-03 19:00:00,3106.87,SRP
2015-01-03 20:00:00,3017.2,SRP
2015-01-03 21:00:00,2902.75,SRP
2015-01-03 22:00:00,2813.74,SRP
2015-01-03 23:00:00,2764.56,SRP
2015-01-04 00:00:00,2887.36,SRP
2015-01-04 01:00:00,3247.32,SRP
2015-01-04 02:00:00,3262.14,SRP
2015-01-04 03:00:00,3272.14,SRP
2015-01-04 04:00:00,3299.07,SRP
2015-01-04 05:00:00,3252.44,SRP
2015-01-04 06:00:00,3175.92,SRP
2015-01-04 07:00:00,3097.15,SRP
2015-01-04 08:00:00,3021.62,SRP
2015-01-04 09:00:00,2956.82,SRP
2015-01-04 10:00:00,2954.69,SRP
2015-01-04 11:00:00,3027.1,SRP
2015-01-04 12:00:00,3096.64,SRP
2015-01-04 13:00:00,3178.91,SRP
2015-01-04 14:00:00,3255.36,SRP
2015-01-04 15:00:00,3303.73,SRP
2015-01-04 16:00:00,3265.33,SRP
2015-01-04 17:00:00,3106.57,SRP
2015-01-04 18:00:00,2963.97,SRP
2015-01-04 19:00:00,2839.48,SRP
2015-01-04 20:00:00,2755.05,SRP
2015-01-04 21:00:00,2677.1,SRP
2015-01-04 22:00:00,2589.95,SRP
2015-01-04 23:00:00,2549.75,SRP
2015-01-05 00:00:00,2743.87,SRP
2015-01-05 01:00:00,3022.86,SRP
2015-01-05 02:00:00,3130.05,SRP
2015-01-05 03:00:00,3232.68,SRP
2015-01-05 04:00:00,3257.68,SRP
2015-01-05 05:00:00,3113.31,SRP
2015-01-05 06:00:00,2960.99,SRP
2015-01-05 07:00:00,2808.41,SRP
2015-01-05 08:00:00,2698.09,SRP
2015-01-05 09:00:00,2649.5,SRP
2015-01-05 10:00:00,2720.85,SRP
2015-01-05 11:00:00,2855.21,SRP
2015-01-05 12:00:00,2991.12,SRP
2015-01-05 13:00:00,3132.96,SRP
2015-01-05 14:00:00,3275.69,SRP
2015-01-05 15:00:00,3393.42,SRP
2015-01-05 16:00:00,3291.74,SRP
2015-01-05 17:00:00,3035.64,SRP
2015-01-05 18:00:00,2874.29,SRP
2015-01-05 19:00:00,2775.26,SRP
2015-01-05 20:00:00,2703.31,SRP
2015-01-05 21:00:00,2641.19,SRP
2015-01-05 22:00:00,2595.14,SRP
2015-01-05 23:00:00,2606.51,SRP
2015-01-06 00:00:00,2619.18,SRP
2015-01-06 01:00:00,2940.93,SRP
2015-01-06 02:00:00,3026.21,SRP
2015-01-06 03:00:00,3119.97,SRP
2015-01-06 04:00:00,3134.58,SRP
2015-01-06 05:00:00,2976.49,SRP
2015-01-06 06:00:00,2801.93,SRP
2015-01-06 07:00:00,2641.8,SRP
2015-01-06 08:00:00,2487.59,SRP
2015-01-06 09:00:00,2385.21,SRP
2015-01-06 10:00:00,2475.71,SRP
2015-01-06 11:00:00,2628.87,SRP
2015-01-06 12:00:00,2778.24,SRP
2015-01-06 13:00:00,2910.93,SRP
2015-01-06 14:00:00,3040.02,SRP
2015-01-06 15:00:00,3153.89,SRP
2015-01-06 16:00:00,3074.36,SRP
2015-01-06 17:00:00,2891.77,SRP
2015-01-06 18:00:00,2780.96,SRP
2015-01-06 19:00:00,2696.82,SRP
2015-01-06 20:00:00,2647.55,SRP
2015-01-06 21:00:00,2611.03,SRP
2015-01-06 22:00:00,2574.6,SRP
2015-01-06 23:00:00,2553.6,SRP
2015-01-07 00:00:00,2699.19,SRP
2015-01-07 01:00:00,2943.07,SRP
2015-01-07 02:00:00,3009.46,SRP
2015-01-07 03:00:00,3088.99,SRP
2015-01-07 04:00:00,3096.13,SRP
2015-01-07 05:00:00,2925.93,SRP
2015-01-07 06:00:00,2747.57,SRP
2015-01-07 07:00:00,2581.37,SRP
2015-01-07 08:00:00,2425.6,SRP
2015-01-07 09:00:00,2309.12,SRP
2015-01-07 10:00:00,2361.38,SRP
2015-01-07 11:00:00,2493.77,SRP
2015-01-07 12:00:00,2623.12,SRP
2015-01-07 13:00:00,2753.8,SRP
2015-01-07 14:00:00,2889.42,SRP
2015-01-07 15:00:00,3019.84,SRP
2015-01-07 16:00:00,2956.93,SRP
2015-01-07 17:00:00,2825.03,SRP
2015-01-07 18:00:00,2737.79,SRP
2015-01-07 19:00:00,2678.9,SRP
2015-01-07 20:00:00,2641.01,SRP
2015-01-07 21:00:00,2623.25,SRP
2015-01-07 22:00:00,2573.98,SRP
2015-01-07 23:00:00,2599.28,SRP
2015-01-08 00:00:00,2641.23,SRP
2015-01-08 01:00:00,2922.18,SRP
2015-01-08 02:00:00,2985.78,SRP
2015-01-08 03:00:00,3062.88,SRP
2015-01-08 04:00:00,3097.05,SRP
2015-01-08 05:00:00,2917.59,SRP
2015-01-08 06:00:00,2728.74,SRP
2015-01-08 07:00:00,2553.76,SRP
2015-01-08 08:00:00,2392.11,SRP
2015-01-08 09:00:00,2273.92,SRP
2015-01-08 10:00:00,2275.45,SRP
2015-01-08 11:00:00,2351.96,SRP
2015-01-08 12:00:00,2482.8,SRP
2015-01-08 13:00:00,2624.21,SRP
2015-01-08 14:00:00,2742.82,SRP
2015-01-08 15:00:00,2871.39,SRP
2015-01-08 16:00:00,2866.43,SRP
2015-01-08 17:00:00,2775.56,SRP
2015-01-08 18:00:00,2746.03,SRP
2015-01-08 19:00:00,2710.29,SRP
2015-01-08 20:00:00,2664.69,SRP
2015-01-08 21:00:00,2655.44,SRP
2015-01-08 22:00:00,2648.27,SRP
2015-01-08 23:00:00,2655.43,SRP
2015-01-09 00:00:00,2597.67,SRP
2015-01-09 01:00:00,2945.21,SRP
2015-01-09 02:00:00,3021.63,SRP
2015-01-09 03:00:00,3090.72,SRP
2015-01-09 04:00:00,3084.1,SRP
2015-01-09 05:00:00,2906.96,SRP
2015-01-09 06:00:00,2731.84,SRP
2015-01-09 07:00:00,2564.84,SRP
2015-01-09 08:00:00,2404.13,SRP
2015-01-09 09:00:00,2278.48,SRP
2015-01-09 10:00:00,2343.18,SRP
2015-01-09 11:00:00,2464.22,SRP
2015-01-09 12:00:00,2584.75,SRP
2015-01-09 13:00:00,2712.78,SRP
2015-01-09 14:00:00,2838.56,SRP
2015-01-09 15:00:00,2953.46,SRP
2015-01-09 16:00:00,2899.99,SRP
2015-01-09 17:00:00,2788.89,SRP
2015-01-09 18:00:00,2737.81,SRP
2015-01-09 19:00:00,2688.36,SRP
2015-01-09 20:00:00,2656.76,SRP
2015-01-09 21:00:00,2624.58,SRP
2015-01-09 22:00:00,2590.54,SRP
2015-01-09 23:00:00,2625.69,SRP
2015-01-10 00:00:00,2657.67,SRP
2015-01-10 01:00:00,2925.17,SRP
2015-01-10 02:00:00,2890.95,SRP
2015-01-10 03:00:00,2867.0,SRP
2015-01-10 04:00:00,2841.24,SRP
2015-01-10 05:00:00,2768.45,SRP
2015-01-10 06:00:00,2649.36,SRP
2015-01-10 07:00:00,2513.92,SRP
2015-01-10 08:00:00,2403.56,SRP
2015-01-10 09:00:00,2309.37,SRP
2015-01-10 10:00:00,2318.79,SRP
2015-01-10 11:00:00,2346.54,SRP
2015-01-10 12:00:00,2412.73,SRP
2015-01-10 13:00:00,2478.37,SRP
2015-01-10 14:00:00,2570.63,SRP
2015-01-10 15:00:00,2691.26,SRP
2015-01-10 16:00:00,2716.67,SRP
2015-01-10 17:00:00,2691.13,SRP
2015-01-10 18:00:00,2658.92,SRP
2015-01-10 19:00:00,2634.04,SRP
2015-01-10 20:00:00,2620.3,SRP
2015-01-10 21:00:00,2590.11,SRP
2015-01-10 22:00:00,2548.98,SRP
2015-01-10 23:00:00,2488.15,SRP
2015-01-11 00:00:00,2544.17,SRP
2015-01-11 01:00:00,2899.59,SRP
2015-01-11 02:00:00,2898.92,SRP
2015-01-11 03:00:00,2899.91,SRP
2015-01-11 04:00:00,2873.25,SRP
2015-01-11 05:00:00,2771.63,SRP
2015-01-11 06:00:00,2637.59,SRP
2015-01-11 07:00:00,2506.43,SRP
2015-01-11 08:00:00,2378.83,SRP
2015-01-11 09:00:00,2272.67,SRP
2015-01-11 10:00:00,2284.05,SRP
2015-01-11 11:00:00,2328.29,SRP
2015-01-11 12:00:00,2385.55,SRP
2015-01-11 13:00:00,2448.87,SRP
2015-01-11 14:00:00,2536.82,SRP
2015-01-11 15:00:00,2642.04,SRP
2015-01-11 16:00:00,2644.85,SRP
2015-01-11 17:00:00,2596.62,SRP
2015-01-11 18:00:00,2570.06,SRP
2015-01-11 19:00:00,2566.42,SRP
2015-01-11 20:00:00,2561.06,SRP
2015-01-11 21:00:00,2540.33,SRP
2015-01-11 22:00:00,2530.73,SRP
2015-01-11 23:00:00,2489.14,SRP
2015-01-12 00:00:00,2657.54,SRP
2015-01-12 01:00:00,2940.05,SRP
2015-01-12 02:00:00,3042.64,SRP
2015-01-12 03:00:00,3096.38,SRP
2015-01-12 04:00:00,3047.7,SRP
2015-01-12 05:00:00,2876.83,SRP
2015-01-12 06:00:00,2714.66,SRP
2015-01-12 07:00:00,2548.01,SRP
2015-01-12 08:00:00,2386.1,SRP
2015-01-12 09:00:00,2307.95,SRP
2015-01-12 10:00:00,2350.19,SRP
2015-01-12 11:00:00,2453.84,SRP
2015-01-12 12:00:00,2550.31,SRP
2015-01-12 13:00:00,2636.92,SRP
2015-01-12 14:00:00,2718.38,SRP
2015-01-12 15:00:00,2797.85,SRP
2015-01-12 16:00:00,2847.38,SRP
2015-01-12 17:00:00,2770.13,SRP
2015-01-12 18:00:00,2702.28,SRP
