Time_UTC,Load,BA
2015-01-01 00:00:00,314.5,TAL
2015-01-01 01:00:00,310.14,TAL
2015-01-01 02:00:00,308.89,TAL
2015-01-01 03:00:00,293.21,TAL
2015-01-01 04:00:00,278.46,TAL
2015-01-01 05:00:00,265.24,TAL
2015-01-01 06:00:00,251.75,TAL
2015-01-01 07:00:00,242.88,TAL
2015-01-01 08:00:00,241.65,TAL
2015-01-01 09:00:00,256.57,TAL
2015-01-01 10:00:00,272.55,TAL
2015-01-01 11:00:00,288.78,TAL
2015-01-01 12:00:00,302.64,TAL
2015-01-01 13:00:00,326.9,TAL
2015-01-01 14:00:00,332.4,TAL
2015-01-01 15:00:00,319.7,TAL
2015-01-01 16:00:00,301.33,TAL
2015-01-01 17:00:00,285.16,TAL
2015-01-01 18:00:00,272.39,TAL
2015-01-01 19:00:00,261.72,TAL
2015-01-01 20:00:00,250.69,TAL
2015-01-01 21:00:00,238.31,TAL
2015-01-01 22:00:00,233.19,TAL
2015-01-01 23:00:00,234.16,TAL
2015-01-02 00:00:00,324.04,TAL
2015-01-02 01:00:00,312.29,TAL
2015-01-02 02:00:00,302.76,TAL
2015-01-02 03:00:00,285.26,TAL
2015-01-02 04:00:00,263.59,TAL
2015-01-02 05:00:00,244.83,TAL
2015-01-02 06:00:00,229.55,TAL
2015-01-02 07:00:00,223.79,TAL
2015-01-02 08:00:00,224.97,TAL
2015-01-02 09:00:00,232.24,TAL
2015-01-02 10:00:00,241.21,TAL
2015-01-02 11:00:00,251.18,TAL
2015-01-02 12:00:00,257.83,TAL
2015-01-02 13:00:00,274.53,TAL
2015-01-02 14:00:00,300.69,TAL
2015-01-02 15:00:00,299.59,TAL
2015-01-02 16:00:00,291.43,TAL
2015-01-02 17:00:00,282.65,TAL
2015-01-02 18:00:00,282.23,TAL
2015-01-02 19:00:00,290.51,TAL
2015-01-02 20:00:00,295.13,TAL
2015-01-02 21:00:00,293.15,TAL
2015-01-02 22:00:00,283.61,TAL
2015-01-02 23:00:00,276.94,TAL
2015-01-03 00:00:00,310.24,TAL
2015-01-03 01:00:00,300.23,TAL
2015-01-03 02:00:00,291.88,TAL
2015-01-03 03:00:00,273.18,TAL
2015-01-03 04:00:00,253.83,TAL
2015-01-03 05:00:00,237.37,TAL
2015-01-03 06:00:00,220.29,TAL
2015-01-03 07:00:00,208.55,TAL
2015-01-03 08:00:00,202.62,TAL
2015-01-03 09:00:00,204.74,TAL
2015-01-03 10:00:00,210.57,TAL
2015-01-03 11:00:00,214.44,TAL
2015-01-03 12:00:00,218.29,TAL
2015-01-03 13:00:00,222.5,TAL
2015-01-03 14:00:00,229.54,TAL
2015-01-03 15:00:00,238.3,TAL
2015-01-03 16:00:00,249.51,TAL
2015-01-03 17:00:00,260.14,TAL
2015-01-03 18:00:00,269.4,TAL
2015-01-03 19:00:00,275.15,TAL
2015-01-03 20:00:00,280.7,TAL
2015-01-03 21:00:00,282.64,TAL
2015-01-03 22:00:00,273.55,TAL
2015-01-03 23:00:00,263.58,TAL
2015-01-04 00:00:00,318.3,TAL
2015-01-04 01:00:00,310.8,TAL
2015-01-04 02:00:00,303.51,TAL
2015-01-04 03:00:00,279.05,TAL
2015-01-04 04:00:00,257.28,TAL
2015-01-04 05:00:00,239.26,TAL
2015-01-04 06:00:00,221.94,TAL
2015-01-04 07:00:00,211.04,TAL
2015-01-04 08:00:00,206.13,TAL
2015-01-04 09:00:00,210.07,TAL
2015-01-04 10:00:00,215.11,TAL
2015-01-04 11:00:00,220.49,TAL
2015-01-04 12:00:00,223.54,TAL
2015-01-04 13:00:00,227.58,TAL
2015-01-04 14:00:00,241.02,TAL
2015-01-04 15:00:00,256.13,TAL
2015-01-04 16:00:00,261.31,TAL
2015-01-04 17:00:00,262.85,TAL
2015-01-04 18:00:00,261.63,TAL
2015-01-04 19:00:00,260.02,TAL
2015-01-04 20:00:00,265.4,TAL
2015-01-04 21:00:00,265.95,TAL
2015-01-04 22:00:00,265.34,TAL
2015-01-04 23:00:00,267.67,TAL
2015-01-05 00:00:00,320.32,TAL
2015-01-05 01:00:00,303.02,TAL
2015-01-05 02:00:00,300.47,TAL
2015-01-05 03:00:00,287.79,TAL
2015-01-05 04:00:00,268.25,TAL
2015-01-05 05:00:00,248.49,TAL
2015-01-05 06:00:00,231.84,TAL
