Time_UTC,Load,BA
2015-01-01 00:00:00,229.7,TIDC
2015-01-01 01:00:00,264.97,TIDC
2015-01-01 02:00:00,271.97,TIDC
2015-01-01 03:00:00,274.97,TIDC
2015-01-01 04:00:00,270.02,TIDC
2015-01-01 05:00:00,259.9,TIDC
2015-01-01 06:00:00,248.36,TIDC
2015-01-01 07:00:00,238.58,TIDC
2015-01-01 08:00:00,227.47,TIDC
2015-01-01 09:00:00,220.19,TIDC
2015-01-01 10:00:00,216.51,TIDC
2015-01-01 11:00:00,215.37,TIDC
2015-01-01 12:00:00,215.58,TIDC
2015-01-01 13:00:00,216.68,TIDC
2015-01-01 14:00:00,219.93,TIDC
2015-01-01 15:00:00,227.31,TIDC
2015-01-01 16:00:00,246.53,TIDC
2015-01-01 17:00:00,249.49,TIDC
2015-01-01 18:00:00,246.04,TIDC
2015-01-01 19:00:00,241.5,TIDC
2015-01-01 20:00:00,241.54,TIDC
2015-01-01 21:00:00,243.81,TIDC
2015-01-01 22:00:00,242.91,TIDC
2015-01-01 23:00:00,239.41,TIDC
2015-01-02 00:00:00,263.36,TIDC
2015-01-02 01:00:00,296.19,TIDC
2015-01-02 02:00:00,302.61,TIDC
2015-01-02 03:00:00,309.8,TIDC
2015-01-02 04:00:00,310.7,TIDC
2015-01-02 05:00:00,298.4,TIDC
2015-01-02 06:00:00,286.94,TIDC
2015-01-02 07:00:00,278.39,TIDC
2015-01-02 08:00:00,270.29,TIDC
2015-01-02 09:00:00,264.58,TIDC
2015-01-02 10:00:00,261.16,TIDC
2015-01-02 11:00:00,264.26,TIDC
2015-01-02 12:00:00,268.24,TIDC
2015-01-02 13:00:00,274.37,TIDC
2015-01-02 14:00:00,282.1,TIDC
2015-01-02 15:00:00,289.78,TIDC
2015-01-02 16:00:00,310.95,TIDC
2015-01-02 17:00:00,309.95,TIDC
2015-01-02 18:00:00,301.04,TIDC
2015-01-02 19:00:00,292.44,TIDC
2015-01-02 20:00:00,288.93,TIDC
2015-01-02 21:00:00,288.04,TIDC
2015-01-02 22:00:00,287.79,TIDC
2015-01-02 23:00:00,296.39,TIDC
2015-01-03 00:00:00,245.7,TIDC
2015-01-03 01:00:00,283.42,TIDC
2015-01-03 02:00:00,288.09,TIDC
2015-01-03 03:00:00,290.83,TIDC
2015-01-03 04:00:00,286.24,TIDC
2015-01-03 05:00:00,277.64,TIDC
2015-01-03 06:00:00,267.32,TIDC
2015-01-03 07:00:00,255.73,TIDC
2015-01-03 08:00:00,243.16,TIDC
2015-01-03 09:00:00,237.36,TIDC
2015-01-03 10:00:00,233.23,TIDC
2015-01-03 11:00:00,231.94,TIDC
2015-01-03 12:00:00,232.94,TIDC
2015-01-03 13:00:00,236.15,TIDC
2015-01-03 14:00:00,240.04,TIDC
2015-01-03 15:00:00,246.06,TIDC
2015-01-03 16:00:00,251.16,TIDC
2015-01-03 17:00:00,250.1,TIDC
2015-01-03 18:00:00,245.66,TIDC
2015-01-03 19:00:00,242.81,TIDC
2015-01-03 20:00:00,239.5,TIDC
2015-01-03 21:00:00,234.79,TIDC
2015-01-03 22:00:00,231.69,TIDC
2015-01-03 23:00:00,236.19,TIDC
2015-01-04 00:00:00,234.91,TIDC
2015-01-04 01:00:00,276.28,TIDC
2015-01-04 02:00:00,279.76,TIDC
2015-01-04 03:00:00,282.91,TIDC
2015-01-04 04:00:00,282.31,TIDC
2015-01-04 05:00:00,272.15,TIDC
2015-01-04 06:00:00,257.21,TIDC
2015-01-04 07:00:00,244.83,TIDC
2015-01-04 08:00:00,235.18,TIDC
2015-01-04 09:00:00,227.45,TIDC
2015-01-04 10:00:00,225.97,TIDC
2015-01-04 11:00:00,227.65,TIDC
2015-01-04 12:00:00,230.0,TIDC
2015-01-04 13:00:00,233.81,TIDC
2015-01-04 14:00:00,239.53,TIDC
2015-01-04 15:00:00,243.76,TIDC
2015-01-04 16:00:00,248.14,TIDC
2015-01-04 17:00:00,251.58,TIDC
2015-01-04 18:00:00,240.59,TIDC
2015-01-04 19:00:00,236.83,TIDC
2015-01-04 20:00:00,235.15,TIDC
2015-01-04 21:00:00,229.34,TIDC
2015-01-04 22:00:00,228.67,TIDC
2015-01-04 23:00:00,234.02,TIDC
2015-01-05 00:00:00,253.94,TIDC
2015-01-05 01:00:00,285.9,TIDC
2015-01-05 02:00:00,292.54,TIDC
2015-01-05 03:00:00,298.15,TIDC
2015-01-05 04:00:00,301.25,TIDC
2015-01-05 05:00:00,289.79,TIDC
2015-01-05 06:00:00,275.09,TIDC
2015-01-05 07:00:00,262.03,TIDC
2015-01-05 08:00:00,251.98,TIDC
2015-01-05 09:00:00,245.55,TIDC
2015-01-05 10:00:00,241.62,TIDC
2015-01-05 11:00:00,244.21,TIDC
2015-01-05 12:00:00,248.76,TIDC
2015-01-05 13:00:00,253.17,TIDC
2015-01-05 14:00:00,259.94,TIDC
2015-01-05 15:00:00,268.04,TIDC
2015-01-05 16:00:00,293.61,TIDC
2015-01-05 17:00:00,293.08,TIDC
2015-01-05 18:00:00,287.5,TIDC
2015-01-05 19:00:00,282.54,TIDC
2015-01-05 20:00:00,276.84,TIDC
2015-01-05 21:00:00,273.83,TIDC
2015-01-05 22:00:00,271.46,TIDC
2015-01-05 23:00:00,275.78,TIDC
2015-01-06 00:00:00,245.16,TIDC
2015-01-06 01:00:00,280.36,TIDC
2015-01-06 02:00:00,285.8,TIDC
2015-01-06 03:00:00,290.63,TIDC
2015-01-06 04:00:00,293.83,TIDC
2015-01-06 05:00:00,283.44,TIDC
2015-01-06 06:00:00,271.28,TIDC
2015-01-06 07:00:00,259.21,TIDC
2015-01-06 08:00:00,247.32,TIDC
2015-01-06 09:00:00,237.15,TIDC
2015-01-06 10:00:00,232.83,TIDC
2015-01-06 11:00:00,235.34,TIDC
2015-01-06 12:00:00,237.99,TIDC
2015-01-06 13:00:00,243.29,TIDC
2015-01-06 14:00:00,251.25,TIDC
2015-01-06 15:00:00,258.52,TIDC
2015-01-06 16:00:00,281.68,TIDC
2015-01-06 17:00:00,284.4,TIDC
2015-01-06 18:00:00,280.83,TIDC
2015-01-06 19:00:00,276.73,TIDC
2015-01-06 20:00:00,271.98,TIDC
2015-01-06 21:00:00,267.49,TIDC
2015-01-06 22:00:00,264.01,TIDC
2015-01-06 23:00:00,261.77,TIDC
2015-01-07 00:00:00,242.79,TIDC
2015-01-07 01:00:00,277.93,TIDC
2015-01-07 02:00:00,283.53,TIDC
2015-01-07 03:00:00,287.02,TIDC
2015-01-07 04:00:00,289.78,TIDC
2015-01-07 05:00:00,278.0,TIDC
2015-01-07 06:00:00,270.41,TIDC
2015-01-07 07:00:00,256.24,TIDC
2015-01-07 08:00:00,242.04,TIDC
2015-01-07 09:00:00,230.31,TIDC
2015-01-07 10:00:00,226.23,TIDC
2015-01-07 11:00:00,228.37,TIDC
2015-01-07 12:00:00,231.96,TIDC
2015-01-07 13:00:00,236.16,TIDC
2015-01-07 14:00:00,243.35,TIDC
2015-01-07 15:00:00,250.92,TIDC
2015-01-07 16:00:00,276.96,TIDC
2015-01-07 17:00:00,276.74,TIDC
2015-01-07 18:00:00,273.89,TIDC
2015-01-07 19:00:00,270.59,TIDC
2015-01-07 20:00:00,266.73,TIDC
2015-01-07 21:00:00,264.07,TIDC
2015-01-07 22:00:00,261.11,TIDC
2015-01-07 23:00:00,258.19,TIDC
2015-01-08 00:00:00,239.28,TIDC
2015-01-08 01:00:00,275.81,TIDC
2015-01-08 02:00:00,281.31,TIDC
2015-01-08 03:00:00,284.87,TIDC
2015-01-08 04:00:00,289.28,TIDC
2015-01-08 05:00:00,280.7,TIDC
2015-01-08 06:00:00,266.98,TIDC
2015-01-08 07:00:00,255.67,TIDC
2015-01-08 08:00:00,241.92,TIDC
2015-01-08 09:00:00,230.25,TIDC
2015-01-08 10:00:00,227.2,TIDC
2015-01-08 11:00:00,229.22,TIDC
2015-01-08 12:00:00,233.4,TIDC
2015-01-08 13:00:00,237.64,TIDC
2015-01-08 14:00:00,243.56,TIDC
2015-01-08 15:00:00,249.0,TIDC
2015-01-08 16:00:00,273.16,TIDC
2015-01-08 17:00:00,278.91,TIDC
2015-01-08 18:00:00,278.14,TIDC
2015-01-08 19:00:00,275.21,TIDC
2015-01-08 20:00:00,271.86,TIDC
2015-01-08 21:00:00,268.27,TIDC
2015-01-08 22:00:00,267.82,TIDC
2015-01-08 23:00:00,268.33,TIDC
2015-01-09 00:00:00,241.9,TIDC
2015-01-09 01:00:00,274.35,TIDC
2015-01-09 02:00:00,280.59,TIDC
