Time_UTC,Load,BA
2015-01-01 00:00:00,3568.28,WACM
2015-01-01 01:00:00,3609.39,WACM
2015-01-01 02:00:00,3652.23,WACM
2015-01-01 03:00:00,3594.79,WACM
2015-01-01 04:00:00,3538.48,WACM
2015-01-01 05:00:00,3485.84,WACM
2015-01-01 06:00:00,3429.43,WACM
2015-01-01 07:00:00,3369.1,WACM
2015-01-01 08:00:00,3321.47,WACM
2015-01-01 09:00:00,3289.24,WACM
2015-01-01 10:00:00,3267.96,WACM
2015-01-01 11:00:00,3279.31,WACM
2015-01-01 12:00:00,3294.31,WACM
2015-01-01 13:00:00,3310.94,WACM
2015-01-01 14:00:00,3325.04,WACM
2015-01-01 15:00:00,3379.97,WACM
2015-01-01 16:00:00,3420.53,WACM
2015-01-01 17:00:00,3403.99,WACM
2015-01-01 18:00:00,3399.85,WACM
2015-01-01 19:00:00,3390.83,WACM
2015-01-01 20:00:00,3363.18,WACM
2015-01-01 21:00:00,3346.91,WACM
2015-01-01 22:00:00,3300.81,WACM
2015-01-01 23:00:00,3216.5,WACM
2015-01-02 00:00:00,3505.94,WACM
2015-01-02 01:00:00,3539.27,WACM
2015-01-02 02:00:00,3564.24,WACM
2015-01-02 03:00:00,3525.73,WACM
2015-01-02 04:00:00,3442.8,WACM
2015-01-02 05:00:00,3363.57,WACM
2015-01-02 06:00:00,3288.41,WACM
2015-01-02 07:00:00,3219.49,WACM
2015-01-02 08:00:00,3186.11,WACM
2015-01-02 09:00:00,3174.68,WACM
2015-01-02 10:00:00,3177.33,WACM
2015-01-02 11:00:00,3204.43,WACM
2015-01-02 12:00:00,3241.26,WACM
2015-01-02 13:00:00,3274.21,WACM
2015-01-02 14:00:00,3309.81,WACM
2015-01-02 15:00:00,3404.69,WACM
2015-01-02 16:00:00,3436.96,WACM
2015-01-02 17:00:00,3374.64,WACM
2015-01-02 18:00:00,3317.23,WACM
2015-01-02 19:00:00,3258.2,WACM
2015-01-02 20:00:00,3205.03,WACM
2015-01-02 21:00:00,3168.73,WACM
2015-01-02 22:00:00,3139.98,WACM
2015-01-02 23:00:00,3135.36,WACM
2015-01-03 00:00:00,3287.22,WACM
2015-01-03 01:00:00,3363.55,WACM
2015-01-03 02:00:00,3420.62,WACM
2015-01-03 03:00:00,3401.53,WACM
2015-01-03 04:00:00,3335.41,WACM
2015-01-03 05:00:00,3261.28,WACM
2015-01-03 06:00:00,3193.45,WACM
2015-01-03 07:00:00,3139.53,WACM
2015-01-03 08:00:00,3081.74,WACM
2015-01-03 09:00:00,3049.0,WACM
2015-01-03 10:00:00,3062.94,WACM
2015-01-03 11:00:00,3083.4,WACM
2015-01-03 12:00:00,3107.72,WACM
2015-01-03 13:00:00,3134.86,WACM
2015-01-03 14:00:00,3153.8,WACM
2015-01-03 15:00:00,3214.64,WACM
2015-01-03 16:00:00,3235.99,WACM
2015-01-03 17:00:00,3200.36,WACM
2015-01-03 18:00:00,3176.02,WACM
2015-01-03 19:00:00,3214.98,WACM
2015-01-03 20:00:00,3249.35,WACM
2015-01-03 21:00:00,3247.94,WACM
2015-01-03 22:00:00,3224.86,WACM
2015-01-03 23:00:00,3228.08,WACM
2015-01-04 00:00:00,3504.6,WACM
2015-01-04 01:00:00,3576.89,WACM
2015-01-04 02:00:00,3614.83,WACM
2015-01-04 03:00:00,3563.26,WACM
2015-01-04 04:00:00,3483.36,WACM
2015-01-04 05:00:00,3416.8,WACM
2015-01-04 06:00:00,3371.82,WACM
2015-01-04 07:00:00,3314.78,WACM
2015-01-04 08:00:00,3260.45,WACM
2015-01-04 09:00:00,3233.24,WACM
2015-01-04 10:00:00,3219.66,WACM
2015-01-04 11:00:00,3218.18,WACM
2015-01-04 12:00:00,3235.66,WACM
2015-01-04 13:00:00,3253.27,WACM
2015-01-04 14:00:00,3266.05,WACM
2015-01-04 15:00:00,3305.92,WACM
2015-01-04 16:00:00,3359.36,WACM
2015-01-04 17:00:00,3334.08,WACM
2015-01-04 18:00:00,3270.45,WACM
2015-01-04 19:00:00,3220.02,WACM
2015-01-04 20:00:00,3177.71,WACM
2015-01-04 21:00:00,3152.73,WACM
2015-01-04 22:00:00,3115.45,WACM
2015-01-04 23:00:00,3087.35,WACM
2015-01-05 00:00:00,3481.89,WACM
2015-01-05 01:00:00,3516.81,WACM
2015-01-05 02:00:00,3542.58,WACM
2015-01-05 03:00:00,3505.88,WACM
2015-01-05 04:00:00,3429.08,WACM
2015-01-05 05:00:00,3354.98,WACM
2015-01-05 06:00:00,3282.04,WACM
2015-01-05 07:00:00,3216.04,WACM
2015-01-05 08:00:00,3192.71,WACM
2015-01-05 09:00:00,3180.21,WACM
2015-01-05 10:00:00,3184.7,WACM
2015-01-05 11:00:00,3212.65,WACM
2015-01-05 12:00:00,3235.28,WACM
2015-01-05 13:00:00,3254.03,WACM
2015-01-05 14:00:00,3263.41,WACM
2015-01-05 15:00:00,3330.1,WACM
2015-01-05 16:00:00,3366.5,WACM
2015-01-05 17:00:00,3319.27,WACM
2015-01-05 18:00:00,3258.95,WACM
2015-01-05 19:00:00,3165.18,WACM
2015-01-05 20:00:00,3082.84,WACM
2015-01-05 21:00:00,3057.94,WACM
2015-01-05 22:00:00,3056.87,WACM
2015-01-05 23:00:00,3061.1,WACM
2015-01-06 00:00:00,3184.91,WACM
2015-01-06 01:00:00,3215.29,WACM
2015-01-06 02:00:00,3225.89,WACM
2015-01-06 03:00:00,3231.27,WACM
2015-01-06 04:00:00,3140.42,WACM
2015-01-06 05:00:00,3058.75,WACM
2015-01-06 06:00:00,2979.65,WACM
2015-01-06 07:00:00,2899.67,WACM
2015-01-06 08:00:00,2855.91,WACM
2015-01-06 09:00:00,2873.67,WACM
2015-01-06 10:00:00,2915.23,WACM
2015-01-06 11:00:00,2951.05,WACM
2015-01-06 12:00:00,2987.27,WACM
2015-01-06 13:00:00,3023.71,WACM
2015-01-06 14:00:00,3059.9,WACM
