Time_UTC,Load,BA
2018-01-01 00:00:00,262.08,DOPD
2018-01-01 01:00:00,268.85,DOPD
2018-01-01 02:00:00,271.06,DOPD
2018-01-01 03:00:00,273.78,DOPD
2018-01-01 04:00:00,273.56,DOPD
2018-01-01 05:00:00,266.75,DOPD
2018-01-01 06:00:00,259.58,DOPD
2018-01-01 07:00:00,252.75,DOPD
2018-01-01 08:00:00,246.25,DOPD
2018-01-01 09:00:00,240.79,DOPD
2018-01-01 10:00:00,240.56,DOPD
2018-01-01 11:00:00,245.45,DOPD
2018-01-01 12:00:00,251.71,DOPD
2018-01-01 13:00:00,258.74,DOPD
2018-01-01 14:00:00,267.35,DOPD
2018-01-01 15:00:00,276.15,DOPD
2018-01-01 16:00:00,283.54,DOPD
2018-01-01 17:00:00,295.61,DOPD
2018-01-01 18:00:00,285.89,DOPD
2018-01-01 19:00:00,272.59,DOPD
2018-01-01 20:00:00,262.11,DOPD
2018-01-01 21:00:00,255.03,DOPD
2018-01-01 22:00:00,250.66,DOPD
2018-01-01 23:00:00,257.66,DOPD
2018-01-02 00:00:00,268.37,DOPD
2018-01-02 01:00:00,277.69,DOPD
2018-01-02 02:00:00,279.47,DOPD
2018-01-02 03:00:00,281.36,DOPD
2018-01-02 04:00:00,279.55,DOPD
2018-01-02 05:00:00,271.94,DOPD
2018-01-02 06:00:00,263.78,DOPD
2018-01-02 07:00:00,255.51,DOPD
2018-01-02 08:00:00,248.74,DOPD
2018-01-02 09:00:00,246.42,DOPD
2018-01-02 10:00:00,249.75,DOPD
2018-01-02 11:00:00,257.58,DOPD
2018-01-02 12:00:00,266.08,DOPD
2018-01-02 13:00:00,275.72,DOPD
2018-01-02 14:00:00,287.8,DOPD
2018-01-02 15:00:00,300.25,DOPD
2018-01-02 16:00:00,308.95,DOPD
2018-01-02 17:00:00,310.2,DOPD
2018-01-02 18:00:00,295.39,DOPD
2018-01-02 19:00:00,278.01,DOPD
2018-01-02 20:00:00,265.51,DOPD
2018-01-02 21:00:00,259.76,DOPD
2018-01-02 22:00:00,262.8,DOPD
2018-01-02 23:00:00,269.66,DOPD
2018-01-03 00:00:00,275.37,DOPD
