Time_UTC,Load,BA
2018-01-01 00:00:00,46601.04,ERCO
2018-01-01 01:00:00,48459.17,ERCO
2018-01-01 02:00:00,50190.6,ERCO
2018-01-01 03:00:00,50197.95,ERCO
2018-01-01 04:00:00,49744.35,ERCO
2018-01-01 05:00:00,49288.43,ERCO
2018-01-01 06:00:00,48874.64,ERCO
2018-01-01 07:00:00,48286.8,ERCO
2018-01-01 08:00:00,47926.04,ERCO
2018-01-01 09:00:00,48368.28,ERCO
2018-01-01 10:00:00,49110.22,ERCO
2018-01-01 11:00:00,50306.74,ERCO
2018-01-01 12:00:00,51476.65,ERCO
2018-01-01 13:00:00,52586.18,ERCO
2018-01-01 14:00:00,53979.93,ERCO
2018-01-01 15:00:00,56045.51,ERCO
2018-01-01 16:00:00,56502.63,ERCO
2018-01-01 17:00:00,56237.49,ERCO
2018-01-01 18:00:00,55326.75,ERCO
2018-01-01 19:00:00,53828.02,ERCO
2018-01-01 20:00:00,52275.73,ERCO
2018-01-01 21:00:00,50860.15,ERCO
2018-01-01 22:00:00,49465.32,ERCO
2018-01-01 23:00:00,48658.53,ERCO
2018-01-02 00:00:00,55608.71,ERCO
2018-01-02 01:00:00,56721.1,ERCO
2018-01-02 02:00:00,57942.69,ERCO
2018-01-02 03:00:00,57137.85,ERCO
2018-01-02 04:00:00,56014.9,ERCO
2018-01-02 05:00:00,54749.18,ERCO
2018-01-02 06:00:00,53549.8,ERCO
2018-01-02 07:00:00,53422.32,ERCO
2018-01-02 08:00:00,53369.89,ERCO
2018-01-02 09:00:00,53304.81,ERCO
2018-01-02 10:00:00,54081.28,ERCO
2018-01-02 11:00:00,55102.17,ERCO
2018-01-02 12:00:00,56259.45,ERCO
2018-01-02 13:00:00,57647.73,ERCO
2018-01-02 14:00:00,59061.58,ERCO
2018-01-02 15:00:00,59551.49,ERCO
2018-01-02 16:00:00,59799.32,ERCO
2018-01-02 17:00:00,59220.5,ERCO
2018-01-02 18:00:00,58440.63,ERCO
2018-01-02 19:00:00,57379.04,ERCO
2018-01-02 20:00:00,56102.38,ERCO
2018-01-02 21:00:00,54637.07,ERCO
2018-01-02 22:00:00,52701.99,ERCO
2018-01-02 23:00:00,51899.73,ERCO
2018-01-03 00:00:00,53942.21,ERCO
2018-01-03 01:00:00,55279.04,ERCO
2018-01-03 02:00:00,56228.16,ERCO
2018-01-03 03:00:00,55213.06,ERCO
2018-01-03 04:00:00,54144.48,ERCO
2018-01-03 05:00:00,52962.78,ERCO
2018-01-03 06:00:00,51878.77,ERCO
2018-01-03 07:00:00,52281.74,ERCO
2018-01-03 08:00:00,52781.54,ERCO
2018-01-03 09:00:00,53153.01,ERCO
2018-01-03 10:00:00,54293.26,ERCO
2018-01-03 11:00:00,55302.18,ERCO
2018-01-03 12:00:00,56367.92,ERCO
2018-01-03 13:00:00,57437.36,ERCO
2018-01-03 14:00:00,58260.11,ERCO
2018-01-03 15:00:00,56082.82,ERCO
2018-01-03 16:00:00,53690.1,ERCO
2018-01-03 17:00:00,51243.72,ERCO
2018-01-03 18:00:00,48493.21,ERCO
2018-01-03 19:00:00,46061.14,ERCO
2018-01-03 20:00:00,43810.55,ERCO
2018-01-03 21:00:00,41973.19,ERCO
2018-01-03 22:00:00,40320.98,ERCO
2018-01-03 23:00:00,41554.03,ERCO
2018-01-04 00:00:00,45073.52,ERCO
2018-01-04 01:00:00,47518.33,ERCO
