Time_UTC,Load,BA
2018-01-01 00:00:00,2002.69,FMPP
2018-01-01 01:00:00,1927.5,FMPP
2018-01-01 02:00:00,1853.73,FMPP
2018-01-01 03:00:00,1787.7,FMPP
2018-01-01 04:00:00,1716.92,FMPP
2018-01-01 05:00:00,1622.77,FMPP
2018-01-01 06:00:00,1524.7,FMPP
2018-01-01 07:00:00,1461.91,FMPP
2018-01-01 08:00:00,1424.39,FMPP
2018-01-01 09:00:00,1477.95,FMPP
2018-01-01 10:00:00,1522.99,FMPP
2018-01-01 11:00:00,1574.47,FMPP
2018-01-01 12:00:00,1637.27,FMPP
2018-01-01 13:00:00,1737.62,FMPP
2018-01-01 14:00:00,1819.26,FMPP
2018-01-01 15:00:00,1867.39,FMPP
2018-01-01 16:00:00,1896.06,FMPP
2018-01-01 17:00:00,1959.18,FMPP
2018-01-01 18:00:00,2019.29,FMPP
2018-01-01 19:00:00,2050.41,FMPP
2018-01-01 20:00:00,2063.91,FMPP
2018-01-01 21:00:00,2108.73,FMPP
2018-01-01 22:00:00,2188.68,FMPP
2018-01-01 23:00:00,2275.0,FMPP
2018-01-02 00:00:00,2427.42,FMPP
2018-01-02 01:00:00,2335.24,FMPP
2018-01-02 02:00:00,2240.15,FMPP
2018-01-02 03:00:00,2147.81,FMPP
2018-01-02 04:00:00,2054.99,FMPP
2018-01-02 05:00:00,1968.73,FMPP
2018-01-02 06:00:00,1889.84,FMPP
2018-01-02 07:00:00,1856.88,FMPP
2018-01-02 08:00:00,1878.99,FMPP
2018-01-02 09:00:00,1935.32,FMPP
2018-01-02 10:00:00,1990.33,FMPP
2018-01-02 11:00:00,2029.32,FMPP
2018-01-02 12:00:00,2071.92,FMPP
2018-01-02 13:00:00,2125.29,FMPP
2018-01-02 14:00:00,2202.24,FMPP
2018-01-02 15:00:00,2246.05,FMPP
2018-01-02 16:00:00,2270.42,FMPP
2018-01-02 17:00:00,2278.43,FMPP
2018-01-02 18:00:00,2284.02,FMPP
2018-01-02 19:00:00,2293.42,FMPP
2018-01-02 20:00:00,2286.8,FMPP
2018-01-02 21:00:00,2295.59,FMPP
2018-01-02 22:00:00,2311.36,FMPP
2018-01-02 23:00:00,2334.28,FMPP
2018-01-03 00:00:00,2387.36,FMPP
2018-01-03 01:00:00,2266.98,FMPP
2018-01-03 02:00:00,2134.28,FMPP
2018-01-03 03:00:00,2001.48,FMPP
2018-01-03 04:00:00,1870.78,FMPP
2018-01-03 05:00:00,1737.81,FMPP
2018-01-03 06:00:00,1607.44,FMPP
2018-01-03 07:00:00,1504.48,FMPP
2018-01-03 08:00:00,1504.28,FMPP
2018-01-03 09:00:00,1561.71,FMPP
2018-01-03 10:00:00,1637.1,FMPP
2018-01-03 11:00:00,1701.8,FMPP
2018-01-03 12:00:00,1788.17,FMPP
2018-01-03 13:00:00,1905.87,FMPP
2018-01-03 14:00:00,2001.63,FMPP
2018-01-03 15:00:00,2101.25,FMPP
2018-01-03 16:00:00,2264.17,FMPP
2018-01-03 17:00:00,2457.05,FMPP
2018-01-03 18:00:00,2564.0,FMPP
2018-01-03 19:00:00,2582.67,FMPP
2018-01-03 20:00:00,2521.08,FMPP
2018-01-03 21:00:00,2390.68,FMPP
2018-01-03 22:00:00,2321.48,FMPP
2018-01-03 23:00:00,2340.93,FMPP
2018-01-04 00:00:00,2595.78,FMPP
2018-01-04 01:00:00,2508.77,FMPP
2018-01-04 02:00:00,2434.36,FMPP
2018-01-04 03:00:00,2375.91,FMPP
2018-01-04 04:00:00,2335.34,FMPP
2018-01-04 05:00:00,2308.98,FMPP
2018-01-04 06:00:00,2344.32,FMPP
2018-01-04 07:00:00,2387.84,FMPP
2018-01-04 08:00:00,2507.09,FMPP
2018-01-04 09:00:00,2611.09,FMPP
2018-01-04 10:00:00,2720.67,FMPP
2018-01-04 11:00:00,2805.49,FMPP
2018-01-04 12:00:00,2886.85,FMPP
2018-01-04 13:00:00,3008.72,FMPP
2018-01-04 14:00:00,3039.55,FMPP
2018-01-04 15:00:00,2953.57,FMPP
2018-01-04 16:00:00,2859.3,FMPP
2018-01-04 17:00:00,2763.24,FMPP
2018-01-04 18:00:00,2635.91,FMPP
2018-01-04 19:00:00,2510.88,FMPP
2018-01-04 20:00:00,2373.51,FMPP
2018-01-04 21:00:00,2257.78,FMPP
2018-01-04 22:00:00,2232.35,FMPP
2018-01-04 23:00:00,2367.19,FMPP
2018-01-05 00:00:00,2776.36,FMPP
2018-01-05 01:00:00,2760.61,FMPP
2018-01-05 02:00:00,2724.87,FMPP
2018-01-05 03:00:00,2668.49,FMPP
2018-01-05 04:00:00,2609.38,FMPP
2018-01-05 05:00:00,2547.45,FMPP
2018-01-05 06:00:00,2522.17,FMPP
2018-01-05 07:00:00,2541.38,FMPP
2018-01-05 08:00:00,2625.66,FMPP
2018-01-05 09:00:00,2733.05,FMPP
2018-01-05 10:00:00,2869.91,FMPP
2018-01-05 11:00:00,3002.49,FMPP
2018-01-05 12:00:00,3122.33,FMPP
2018-01-05 13:00:00,3255.82,FMPP
2018-01-05 14:00:00,3285.45,FMPP
2018-01-05 15:00:00,3121.58,FMPP
2018-01-05 16:00:00,2913.6,FMPP
2018-01-05 17:00:00,2733.5,FMPP
2018-01-05 18:00:00,2565.53,FMPP
2018-01-05 19:00:00,2441.69,FMPP
2018-01-05 20:00:00,2304.25,FMPP
2018-01-05 21:00:00,2181.82,FMPP
2018-01-05 22:00:00,2154.43,FMPP
2018-01-05 23:00:00,2356.95,FMPP
2018-01-06 00:00:00,2514.5,FMPP
2018-01-06 01:00:00,2476.68,FMPP
2018-01-06 02:00:00,2422.7,FMPP
2018-01-06 03:00:00,2385.6,FMPP
2018-01-06 04:00:00,2341.33,FMPP
2018-01-06 05:00:00,2308.66,FMPP
2018-01-06 06:00:00,2286.77,FMPP
2018-01-06 07:00:00,2263.1,FMPP
2018-01-06 08:00:00,2256.2,FMPP
2018-01-06 09:00:00,2293.04,FMPP
2018-01-06 10:00:00,2351.43,FMPP
2018-01-06 11:00:00,2419.73,FMPP
2018-01-06 12:00:00,2490.3,FMPP
2018-01-06 13:00:00,2559.13,FMPP
2018-01-06 14:00:00,2475.69,FMPP
