Time_UTC,Load,BA
2018-01-01 00:00:00,5607.53,FPC
2018-01-01 01:00:00,5591.14,FPC
2018-01-01 02:00:00,5437.1,FPC
2018-01-01 03:00:00,5255.17,FPC
2018-01-01 04:00:00,4995.99,FPC
2018-01-01 05:00:00,4715.15,FPC
2018-01-01 06:00:00,4402.31,FPC
2018-01-01 07:00:00,4193.79,FPC
2018-01-01 08:00:00,4051.57,FPC
2018-01-01 09:00:00,4017.75,FPC
2018-01-01 10:00:00,4106.9,FPC
2018-01-01 11:00:00,4338.64,FPC
2018-01-01 12:00:00,4594.68,FPC
2018-01-01 13:00:00,4965.64,FPC
2018-01-01 14:00:00,5356.02,FPC
2018-01-01 15:00:00,5682.14,FPC
2018-01-01 16:00:00,6004.24,FPC
2018-01-01 17:00:00,6466.14,FPC
2018-01-01 18:00:00,6822.78,FPC
2018-01-01 19:00:00,7051.43,FPC
2018-01-01 20:00:00,7138.84,FPC
2018-01-01 21:00:00,7338.16,FPC
2018-01-01 22:00:00,7498.29,FPC
2018-01-01 23:00:00,7651.42,FPC
2018-01-02 00:00:00,8844.93,FPC
2018-01-02 01:00:00,8729.53,FPC
2018-01-02 02:00:00,8572.32,FPC
2018-01-02 03:00:00,8286.98,FPC
2018-01-02 04:00:00,8026.71,FPC
2018-01-02 05:00:00,7814.81,FPC
2018-01-02 06:00:00,7666.01,FPC
2018-01-02 07:00:00,7654.12,FPC
2018-01-02 08:00:00,7729.25,FPC
2018-01-02 09:00:00,7865.75,FPC
2018-01-02 10:00:00,7997.4,FPC
2018-01-02 11:00:00,8146.59,FPC
2018-01-02 12:00:00,8269.34,FPC
2018-01-02 13:00:00,8471.73,FPC
2018-01-02 14:00:00,8759.68,FPC
2018-01-02 15:00:00,8708.85,FPC
2018-01-02 16:00:00,8622.74,FPC
2018-01-02 17:00:00,8372.61,FPC
2018-01-02 18:00:00,8122.74,FPC
2018-01-02 19:00:00,7865.95,FPC
2018-01-02 20:00:00,7575.24,FPC
2018-01-02 21:00:00,7433.83,FPC
2018-01-02 22:00:00,7371.79,FPC
2018-01-02 23:00:00,7509.23,FPC
2018-01-03 00:00:00,8234.99,FPC
2018-01-03 01:00:00,8032.86,FPC
2018-01-03 02:00:00,7582.95,FPC
2018-01-03 03:00:00,7084.27,FPC
2018-01-03 04:00:00,6543.82,FPC
2018-01-03 05:00:00,6063.85,FPC
2018-01-03 06:00:00,5724.29,FPC
2018-01-03 07:00:00,5488.86,FPC
2018-01-03 08:00:00,5512.56,FPC
2018-01-03 09:00:00,5742.7,FPC
2018-01-03 10:00:00,6114.2,FPC
2018-01-03 11:00:00,6460.04,FPC
2018-01-03 12:00:00,6754.78,FPC
2018-01-03 13:00:00,7027.63,FPC
