Time_UTC,Load,BA
2018-01-01 00:00:00,56.53,HST
2018-01-01 01:00:00,56.15,HST
2018-01-01 02:00:00,55.81,HST
2018-01-01 03:00:00,50.91,HST
2018-01-01 04:00:00,45.05,HST
2018-01-01 05:00:00,40.16,HST
2018-01-01 06:00:00,35.99,HST
2018-01-01 07:00:00,33.16,HST
2018-01-01 08:00:00,31.79,HST
2018-01-01 09:00:00,31.22,HST
2018-01-01 10:00:00,31.67,HST
2018-01-01 11:00:00,32.4,HST
2018-01-01 12:00:00,33.64,HST
2018-01-01 13:00:00,35.81,HST
2018-01-01 14:00:00,38.04,HST
2018-01-01 15:00:00,43.11,HST
2018-01-01 16:00:00,49.26,HST
2018-01-01 17:00:00,53.93,HST
2018-01-01 18:00:00,57.6,HST
2018-01-01 19:00:00,59.99,HST
2018-01-01 20:00:00,61.08,HST
2018-01-01 21:00:00,61.86,HST
2018-01-01 22:00:00,61.49,HST
2018-01-01 23:00:00,57.26,HST
2018-01-02 00:00:00,67.33,HST
2018-01-02 01:00:00,65.06,HST
2018-01-02 02:00:00,62.63,HST
2018-01-02 03:00:00,56.01,HST
2018-01-02 04:00:00,48.36,HST
2018-01-02 05:00:00,40.66,HST
2018-01-02 06:00:00,35.92,HST
2018-01-02 07:00:00,33.95,HST
2018-01-02 08:00:00,33.56,HST
2018-01-02 09:00:00,33.95,HST
2018-01-02 10:00:00,34.59,HST
2018-01-02 11:00:00,35.92,HST
2018-01-02 12:00:00,37.08,HST
2018-01-02 13:00:00,38.39,HST
2018-01-02 14:00:00,39.58,HST
2018-01-02 15:00:00,41.16,HST
2018-01-02 16:00:00,42.47,HST
2018-01-02 17:00:00,43.81,HST
2018-01-02 18:00:00,45.2,HST
2018-01-02 19:00:00,46.14,HST
2018-01-02 20:00:00,47.08,HST
2018-01-02 21:00:00,48.01,HST
2018-01-02 22:00:00,49.57,HST
2018-01-02 23:00:00,51.26,HST
2018-01-03 00:00:00,56.67,HST
2018-01-03 01:00:00,57.65,HST
2018-01-03 02:00:00,59.01,HST
2018-01-03 03:00:00,53.78,HST
2018-01-03 04:00:00,48.46,HST
2018-01-03 05:00:00,43.18,HST
2018-01-03 06:00:00,39.37,HST
2018-01-03 07:00:00,37.81,HST
2018-01-03 08:00:00,37.12,HST
2018-01-03 09:00:00,36.89,HST
