Time_UTC,Load,BA
2018-01-01 00:00:00,5549.32,LGEE
2018-01-01 01:00:00,5481.76,LGEE
2018-01-01 02:00:00,5424.15,LGEE
2018-01-01 03:00:00,5364.02,LGEE
2018-01-01 04:00:00,5302.77,LGEE
2018-01-01 05:00:00,5240.91,LGEE
2018-01-01 06:00:00,5209.47,LGEE
2018-01-01 07:00:00,5195.11,LGEE
2018-01-01 08:00:00,5253.35,LGEE
2018-01-01 09:00:00,5370.1,LGEE
2018-01-01 10:00:00,5498.33,LGEE
2018-01-01 11:00:00,5633.67,LGEE
2018-01-01 12:00:00,5752.52,LGEE
2018-01-01 13:00:00,5867.77,LGEE
2018-01-01 14:00:00,5972.4,LGEE
2018-01-01 15:00:00,5960.8,LGEE
2018-01-01 16:00:00,5854.58,LGEE
2018-01-01 17:00:00,5703.01,LGEE
2018-01-01 18:00:00,5569.82,LGEE
2018-01-01 19:00:00,5441.0,LGEE
2018-01-01 20:00:00,5305.83,LGEE
2018-01-01 21:00:00,5222.35,LGEE
2018-01-01 22:00:00,5160.29,LGEE
2018-01-01 23:00:00,5288.4,LGEE
2018-01-02 00:00:00,6339.71,LGEE
2018-01-02 01:00:00,6288.34,LGEE
2018-01-02 02:00:00,6237.06,LGEE
2018-01-02 03:00:00,6193.08,LGEE
2018-01-02 04:00:00,6148.33,LGEE
2018-01-02 05:00:00,6079.42,LGEE
2018-01-02 06:00:00,6017.05,LGEE
2018-01-02 07:00:00,5976.49,LGEE
2018-01-02 08:00:00,6080.96,LGEE
2018-01-02 09:00:00,6227.5,LGEE
2018-01-02 10:00:00,6370.33,LGEE
2018-01-02 11:00:00,6517.61,LGEE
2018-01-02 12:00:00,6675.42,LGEE
2018-01-02 13:00:00,6827.01,LGEE
2018-01-02 14:00:00,6922.56,LGEE
2018-01-02 15:00:00,6693.85,LGEE
2018-01-02 16:00:00,6471.72,LGEE
2018-01-02 17:00:00,6216.1,LGEE
2018-01-02 18:00:00,5973.42,LGEE
2018-01-02 19:00:00,5783.04,LGEE
2018-01-02 20:00:00,5626.73,LGEE
2018-01-02 21:00:00,5495.79,LGEE
2018-01-02 22:00:00,5511.33,LGEE
2018-01-02 23:00:00,5623.14,LGEE
2018-01-03 00:00:00,6106.66,LGEE
2018-01-03 01:00:00,6066.92,LGEE
2018-01-03 02:00:00,6028.93,LGEE
2018-01-03 03:00:00,5952.98,LGEE
2018-01-03 04:00:00,5878.17,LGEE
2018-01-03 05:00:00,5770.24,LGEE
2018-01-03 06:00:00,5658.6,LGEE
2018-01-03 07:00:00,5575.18,LGEE
2018-01-03 08:00:00,5611.18,LGEE
2018-01-03 09:00:00,5695.25,LGEE
2018-01-03 10:00:00,5820.57,LGEE
2018-01-03 11:00:00,5952.04,LGEE
2018-01-03 12:00:00,6076.52,LGEE
