Time_UTC,Load,BA
2018-01-01 00:00:00,3473.67,NEVP
2018-01-01 01:00:00,3750.9,NEVP
2018-01-01 02:00:00,3871.21,NEVP
2018-01-01 03:00:00,3936.63,NEVP
2018-01-01 04:00:00,3908.89,NEVP
2018-01-01 05:00:00,3836.22,NEVP
2018-01-01 06:00:00,3680.6,NEVP
2018-01-01 07:00:00,3553.43,NEVP
2018-01-01 08:00:00,3435.75,NEVP
2018-01-01 09:00:00,3312.13,NEVP
2018-01-01 10:00:00,3218.71,NEVP
2018-01-01 11:00:00,3199.67,NEVP
2018-01-01 12:00:00,3200.17,NEVP
2018-01-01 13:00:00,3222.9,NEVP
2018-01-01 14:00:00,3255.48,NEVP
2018-01-01 15:00:00,3288.22,NEVP
2018-01-01 16:00:00,3278.16,NEVP
2018-01-01 17:00:00,3258.97,NEVP
2018-01-01 18:00:00,3263.74,NEVP
2018-01-01 19:00:00,3263.77,NEVP
2018-01-01 20:00:00,3261.46,NEVP
2018-01-01 21:00:00,3246.14,NEVP
2018-01-01 22:00:00,3246.77,NEVP
2018-01-01 23:00:00,3278.55,NEVP
2018-01-02 00:00:00,3459.92,NEVP
2018-01-02 01:00:00,3748.69,NEVP
2018-01-02 02:00:00,3843.51,NEVP
2018-01-02 03:00:00,3936.42,NEVP
2018-01-02 04:00:00,3925.92,NEVP
2018-01-02 05:00:00,3886.58,NEVP
2018-01-02 06:00:00,3709.88,NEVP
2018-01-02 07:00:00,3535.03,NEVP
2018-01-02 08:00:00,3369.71,NEVP
2018-01-02 09:00:00,3210.57,NEVP
2018-01-02 10:00:00,3147.86,NEVP
2018-01-02 11:00:00,3183.16,NEVP
2018-01-02 12:00:00,3243.88,NEVP
2018-01-02 13:00:00,3315.63,NEVP
2018-01-02 14:00:00,3394.65,NEVP
2018-01-02 15:00:00,3472.73,NEVP
2018-01-02 16:00:00,3564.01,NEVP
2018-01-02 17:00:00,3560.6,NEVP
2018-01-02 18:00:00,3542.66,NEVP
2018-01-02 19:00:00,3518.95,NEVP
2018-01-02 20:00:00,3508.89,NEVP
2018-01-02 21:00:00,3510.33,NEVP
2018-01-02 22:00:00,3518.75,NEVP
2018-01-02 23:00:00,3573.21,NEVP
2018-01-03 00:00:00,3558.7,NEVP
2018-01-03 01:00:00,3780.69,NEVP
2018-01-03 02:00:00,3866.87,NEVP
2018-01-03 03:00:00,3961.95,NEVP
2018-01-03 04:00:00,3982.11,NEVP
2018-01-03 05:00:00,3910.32,NEVP
2018-01-03 06:00:00,3744.41,NEVP
2018-01-03 07:00:00,3572.99,NEVP
2018-01-03 08:00:00,3400.8,NEVP
2018-01-03 09:00:00,3235.49,NEVP
2018-01-03 10:00:00,3180.37,NEVP
2018-01-03 11:00:00,3204.52,NEVP
2018-01-03 12:00:00,3267.55,NEVP
2018-01-03 13:00:00,3341.87,NEVP
2018-01-03 14:00:00,3421.31,NEVP
2018-01-03 15:00:00,3501.77,NEVP
2018-01-03 16:00:00,3580.79,NEVP
2018-01-03 17:00:00,3571.9,NEVP
2018-01-03 18:00:00,3538.09,NEVP
2018-01-03 19:00:00,3504.24,NEVP
2018-01-03 20:00:00,3493.77,NEVP
2018-01-03 21:00:00,3491.81,NEVP
2018-01-03 22:00:00,3516.13,NEVP
2018-01-03 23:00:00,3570.48,NEVP
2018-01-04 00:00:00,3522.18,NEVP
2018-01-04 01:00:00,3795.13,NEVP
2018-01-04 02:00:00,3893.33,NEVP
2018-01-04 03:00:00,3993.63,NEVP
2018-01-04 04:00:00,3979.45,NEVP
2018-01-04 05:00:00,3933.5,NEVP
2018-01-04 06:00:00,3781.2,NEVP
2018-01-04 07:00:00,3651.56,NEVP
2018-01-04 08:00:00,3497.42,NEVP
2018-01-04 09:00:00,3332.0,NEVP
2018-01-04 10:00:00,3266.32,NEVP
2018-01-04 11:00:00,3243.55,NEVP
2018-01-04 12:00:00,3286.35,NEVP
2018-01-04 13:00:00,3355.74,NEVP
2018-01-04 14:00:00,3439.8,NEVP
2018-01-04 15:00:00,3521.01,NEVP
2018-01-04 16:00:00,3597.89,NEVP
2018-01-04 17:00:00,3600.17,NEVP
2018-01-04 18:00:00,3593.18,NEVP
2018-01-04 19:00:00,3563.62,NEVP
2018-01-04 20:00:00,3554.32,NEVP
2018-01-04 21:00:00,3540.62,NEVP
2018-01-04 22:00:00,3558.16,NEVP
2018-01-04 23:00:00,3610.24,NEVP
2018-01-05 00:00:00,3565.63,NEVP
2018-01-05 01:00:00,3788.87,NEVP
2018-01-05 02:00:00,3885.0,NEVP
2018-01-05 03:00:00,3972.73,NEVP
2018-01-05 04:00:00,3953.16,NEVP
2018-01-05 05:00:00,3881.16,NEVP
2018-01-05 06:00:00,3694.27,NEVP
2018-01-05 07:00:00,3516.89,NEVP
2018-01-05 08:00:00,3354.63,NEVP
2018-01-05 09:00:00,3217.44,NEVP
2018-01-05 10:00:00,3154.52,NEVP
2018-01-05 11:00:00,3173.59,NEVP
2018-01-05 12:00:00,3232.97,NEVP
2018-01-05 13:00:00,3302.01,NEVP
2018-01-05 14:00:00,3376.09,NEVP
2018-01-05 15:00:00,3457.13,NEVP
2018-01-05 16:00:00,3538.8,NEVP
2018-01-05 17:00:00,3538.31,NEVP
2018-01-05 18:00:00,3511.2,NEVP
2018-01-05 19:00:00,3484.87,NEVP
2018-01-05 20:00:00,3489.73,NEVP
2018-01-05 21:00:00,3510.03,NEVP
2018-01-05 22:00:00,3531.25,NEVP
2018-01-05 23:00:00,3621.46,NEVP
2018-01-06 00:00:00,3525.03,NEVP
2018-01-06 01:00:00,3719.46,NEVP
2018-01-06 02:00:00,3829.83,NEVP
2018-01-06 03:00:00,3906.94,NEVP
2018-01-06 04:00:00,3873.47,NEVP
2018-01-06 05:00:00,3817.38,NEVP
2018-01-06 06:00:00,3662.46,NEVP
2018-01-06 07:00:00,3473.66,NEVP
2018-01-06 08:00:00,3314.39,NEVP
2018-01-06 09:00:00,3217.52,NEVP
2018-01-06 10:00:00,3187.71,NEVP
2018-01-06 11:00:00,3192.14,NEVP
2018-01-06 12:00:00,3207.49,NEVP
2018-01-06 13:00:00,3247.77,NEVP
2018-01-06 14:00:00,3285.2,NEVP
2018-01-06 15:00:00,3324.67,NEVP
2018-01-06 16:00:00,3334.59,NEVP
2018-01-06 17:00:00,3310.04,NEVP
2018-01-06 18:00:00,3321.24,NEVP
2018-01-06 19:00:00,3349.9,NEVP
2018-01-06 20:00:00,3383.08,NEVP
2018-01-06 21:00:00,3404.93,NEVP
2018-01-06 22:00:00,3449.62,NEVP
2018-01-06 23:00:00,3550.79,NEVP
2018-01-07 00:00:00,3479.66,NEVP
2018-01-07 01:00:00,3730.04,NEVP
2018-01-07 02:00:00,3844.39,NEVP
2018-01-07 03:00:00,3918.9,NEVP
2018-01-07 04:00:00,3908.69,NEVP
2018-01-07 05:00:00,3878.07,NEVP
2018-01-07 06:00:00,3736.37,NEVP
2018-01-07 07:00:00,3581.18,NEVP
2018-01-07 08:00:00,3440.27,NEVP
2018-01-07 09:00:00,3316.55,NEVP
2018-01-07 10:00:00,3247.66,NEVP
2018-01-07 11:00:00,3248.27,NEVP
2018-01-07 12:00:00,3272.39,NEVP
2018-01-07 13:00:00,3308.67,NEVP
2018-01-07 14:00:00,3345.8,NEVP
2018-01-07 15:00:00,3389.33,NEVP
2018-01-07 16:00:00,3342.19,NEVP
2018-01-07 17:00:00,3335.75,NEVP
2018-01-07 18:00:00,3344.33,NEVP
2018-01-07 19:00:00,3334.91,NEVP
2018-01-07 20:00:00,3329.94,NEVP
2018-01-07 21:00:00,3332.08,NEVP
2018-01-07 22:00:00,3349.42,NEVP
2018-01-07 23:00:00,3451.82,NEVP
2018-01-08 00:00:00,3495.85,NEVP
2018-01-08 01:00:00,3801.36,NEVP
2018-01-08 02:00:00,3902.86,NEVP
2018-01-08 03:00:00,3999.27,NEVP
2018-01-08 04:00:00,4006.13,NEVP
2018-01-08 05:00:00,3934.42,NEVP
2018-01-08 06:00:00,3750.6,NEVP
2018-01-08 07:00:00,3573.55,NEVP
2018-01-08 08:00:00,3415.39,NEVP
2018-01-08 09:00:00,3294.65,NEVP
2018-01-08 10:00:00,3273.82,NEVP
2018-01-08 11:00:00,3273.6,NEVP
2018-01-08 12:00:00,3318.67,NEVP
2018-01-08 13:00:00,3374.9,NEVP
2018-01-08 14:00:00,3441.78,NEVP
2018-01-08 15:00:00,3508.1,NEVP
2018-01-08 16:00:00,3580.67,NEVP
2018-01-08 17:00:00,3647.61,NEVP
2018-01-08 18:00:00,3669.31,NEVP
2018-01-08 19:00:00,3688.86,NEVP
2018-01-08 20:00:00,3690.39,NEVP
2018-01-08 21:00:00,3715.93,NEVP
2018-01-08 22:00:00,3746.36,NEVP
2018-01-08 23:00:00,3773.81,NEVP
2018-01-09 00:00:00,3729.93,NEVP
2018-01-09 01:00:00,3893.26,NEVP
2018-01-09 02:00:00,3973.96,NEVP
2018-01-09 03:00:00,4058.55,NEVP
2018-01-09 04:00:00,4051.68,NEVP
2018-01-09 05:00:00,3982.84,NEVP
2018-01-09 06:00:00,3801.78,NEVP
2018-01-09 07:00:00,3610.44,NEVP
