Time_UTC,Load,BA
2018-01-01 00:00:00,52.19,NSB
2018-01-01 01:00:00,49.49,NSB
2018-01-01 02:00:00,46.86,NSB
2018-01-01 03:00:00,44.19,NSB
2018-01-01 04:00:00,40.43,NSB
2018-01-01 05:00:00,37.2,NSB
2018-01-01 06:00:00,35.58,NSB
2018-01-01 07:00:00,32.46,NSB
2018-01-01 08:00:00,31.94,NSB
2018-01-01 09:00:00,32.15,NSB
2018-01-01 10:00:00,33.04,NSB
2018-01-01 11:00:00,34.34,NSB
2018-01-01 12:00:00,36.08,NSB
2018-01-01 13:00:00,38.19,NSB
2018-01-01 14:00:00,40.84,NSB
2018-01-01 15:00:00,44.11,NSB
2018-01-01 16:00:00,44.99,NSB
2018-01-01 17:00:00,47.61,NSB
2018-01-01 18:00:00,49.69,NSB
2018-01-01 19:00:00,50.55,NSB
2018-01-01 20:00:00,52.37,NSB
2018-01-01 21:00:00,54.27,NSB
2018-01-01 22:00:00,55.44,NSB
2018-01-01 23:00:00,55.94,NSB
2018-01-02 00:00:00,55.94,NSB
2018-01-02 01:00:00,53.14,NSB
2018-01-02 02:00:00,50.96,NSB
2018-01-02 03:00:00,47.96,NSB
2018-01-02 04:00:00,46.26,NSB
2018-01-02 05:00:00,45.12,NSB
2018-01-02 06:00:00,43.49,NSB
2018-01-02 07:00:00,42.39,NSB
2018-01-02 08:00:00,42.52,NSB
2018-01-02 09:00:00,43.19,NSB
2018-01-02 10:00:00,44.25,NSB
2018-01-02 11:00:00,45.06,NSB
2018-01-02 12:00:00,46.09,NSB
2018-01-02 13:00:00,47.21,NSB
2018-01-02 14:00:00,49.29,NSB
2018-01-02 15:00:00,51.56,NSB
2018-01-02 16:00:00,52.76,NSB
2018-01-02 17:00:00,54.69,NSB
2018-01-02 18:00:00,54.63,NSB
2018-01-02 19:00:00,55.11,NSB
2018-01-02 20:00:00,56.11,NSB
2018-01-02 21:00:00,56.79,NSB
2018-01-02 22:00:00,56.81,NSB
2018-01-02 23:00:00,55.15,NSB
2018-01-03 00:00:00,54.64,NSB
2018-01-03 01:00:00,51.27,NSB
2018-01-03 02:00:00,47.59,NSB
2018-01-03 03:00:00,43.92,NSB
2018-01-03 04:00:00,40.53,NSB
2018-01-03 05:00:00,36.92,NSB
2018-01-03 06:00:00,33.81,NSB
2018-01-03 07:00:00,31.39,NSB
2018-01-03 08:00:00,30.89,NSB
2018-01-03 09:00:00,31.8,NSB
2018-01-03 10:00:00,33.86,NSB
2018-01-03 11:00:00,37.74,NSB
2018-01-03 12:00:00,41.14,NSB
2018-01-03 13:00:00,42.39,NSB
2018-01-03 14:00:00,43.01,NSB
2018-01-03 15:00:00,42.15,NSB
2018-01-03 16:00:00,52.81,NSB
2018-01-03 17:00:00,68.27,NSB
2018-01-03 18:00:00,73.65,NSB
2018-01-03 19:00:00,74.0,NSB
2018-01-03 20:00:00,70.28,NSB
2018-01-03 21:00:00,68.94,NSB
