Time_UTC,Load,BA
2018-01-01 00:00:00,1605.68,NWMT
2018-01-01 01:00:00,1639.83,NWMT
2018-01-01 02:00:00,1652.87,NWMT
2018-01-01 03:00:00,1652.52,NWMT
2018-01-01 04:00:00,1617.32,NWMT
2018-01-01 05:00:00,1562.58,NWMT
2018-01-01 06:00:00,1507.63,NWMT
2018-01-01 07:00:00,1460.61,NWMT
2018-01-01 08:00:00,1420.83,NWMT
2018-01-01 09:00:00,1389.76,NWMT
2018-01-01 10:00:00,1369.72,NWMT
2018-01-01 11:00:00,1373.04,NWMT
2018-01-01 12:00:00,1407.85,NWMT
2018-01-01 13:00:00,1446.55,NWMT
2018-01-01 14:00:00,1486.27,NWMT
2018-01-01 15:00:00,1525.58,NWMT
2018-01-01 16:00:00,1603.72,NWMT
2018-01-01 17:00:00,1647.32,NWMT
2018-01-01 18:00:00,1639.61,NWMT
2018-01-01 19:00:00,1620.65,NWMT
2018-01-01 20:00:00,1605.08,NWMT
2018-01-01 21:00:00,1594.23,NWMT
2018-01-01 22:00:00,1586.26,NWMT
2018-01-01 23:00:00,1590.16,NWMT
2018-01-02 00:00:00,1659.45,NWMT
2018-01-02 01:00:00,1701.06,NWMT
2018-01-02 02:00:00,1706.82,NWMT
2018-01-02 03:00:00,1704.9,NWMT
2018-01-02 04:00:00,1662.92,NWMT
2018-01-02 05:00:00,1597.03,NWMT
2018-01-02 06:00:00,1537.38,NWMT
2018-01-02 07:00:00,1478.97,NWMT
2018-01-02 08:00:00,1433.83,NWMT
2018-01-02 09:00:00,1399.25,NWMT
2018-01-02 10:00:00,1383.42,NWMT
2018-01-02 11:00:00,1409.53,NWMT
2018-01-02 12:00:00,1447.74,NWMT
2018-01-02 13:00:00,1487.76,NWMT
2018-01-02 14:00:00,1526.95,NWMT
2018-01-02 15:00:00,1564.27,NWMT
2018-01-02 16:00:00,1616.12,NWMT
2018-01-02 17:00:00,1586.38,NWMT
2018-01-02 18:00:00,1548.59,NWMT
2018-01-02 19:00:00,1520.34,NWMT
2018-01-02 20:00:00,1495.67,NWMT
2018-01-02 21:00:00,1479.88,NWMT
2018-01-02 22:00:00,1476.71,NWMT
2018-01-02 23:00:00,1494.33,NWMT
2018-01-03 00:00:00,1549.99,NWMT
2018-01-03 01:00:00,1593.89,NWMT
2018-01-03 02:00:00,1617.72,NWMT
2018-01-03 03:00:00,1614.19,NWMT
2018-01-03 04:00:00,1576.74,NWMT
2018-01-03 05:00:00,1505.68,NWMT
2018-01-03 06:00:00,1434.2,NWMT
2018-01-03 07:00:00,1363.25,NWMT
2018-01-03 08:00:00,1303.28,NWMT
2018-01-03 09:00:00,1274.01,NWMT
2018-01-03 10:00:00,1271.02,NWMT
2018-01-03 11:00:00,1302.98,NWMT
2018-01-03 12:00:00,1345.05,NWMT
2018-01-03 13:00:00,1388.84,NWMT
2018-01-03 14:00:00,1433.35,NWMT
2018-01-03 15:00:00,1477.29,NWMT
2018-01-03 16:00:00,1541.47,NWMT
2018-01-03 17:00:00,1531.62,NWMT
2018-01-03 18:00:00,1503.49,NWMT
2018-01-03 19:00:00,1483.46,NWMT
2018-01-03 20:00:00,1468.18,NWMT
2018-01-03 21:00:00,1456.26,NWMT
2018-01-03 22:00:00,1450.82,NWMT
2018-01-03 23:00:00,1456.55,NWMT
2018-01-04 00:00:00,1478.67,NWMT
2018-01-04 01:00:00,1523.02,NWMT
2018-01-04 02:00:00,1552.54,NWMT
2018-01-04 03:00:00,1550.9,NWMT
2018-01-04 04:00:00,1520.45,NWMT
2018-01-04 05:00:00,1452.58,NWMT
2018-01-04 06:00:00,1383.49,NWMT
2018-01-04 07:00:00,1315.92,NWMT
2018-01-04 08:00:00,1261.44,NWMT
2018-01-04 09:00:00,1248.57,NWMT
2018-01-04 10:00:00,1250.63,NWMT
2018-01-04 11:00:00,1292.0,NWMT
2018-01-04 12:00:00,1340.29,NWMT
2018-01-04 13:00:00,1388.26,NWMT
2018-01-04 14:00:00,1436.2,NWMT
2018-01-04 15:00:00,1484.33,NWMT
2018-01-04 16:00:00,1533.57,NWMT
2018-01-04 17:00:00,1508.42,NWMT
2018-01-04 18:00:00,1477.99,NWMT
2018-01-04 19:00:00,1453.2,NWMT
2018-01-04 20:00:00,1435.08,NWMT
2018-01-04 21:00:00,1423.2,NWMT
2018-01-04 22:00:00,1417.9,NWMT
2018-01-04 23:00:00,1440.03,NWMT
2018-01-05 00:00:00,1461.32,NWMT
2018-01-05 01:00:00,1517.09,NWMT
2018-01-05 02:00:00,1550.79,NWMT
2018-01-05 03:00:00,1548.72,NWMT
2018-01-05 04:00:00,1511.32,NWMT
2018-01-05 05:00:00,1440.19,NWMT
2018-01-05 06:00:00,1367.55,NWMT
2018-01-05 07:00:00,1297.84,NWMT
2018-01-05 08:00:00,1237.89,NWMT
2018-01-05 09:00:00,1214.94,NWMT
2018-01-05 10:00:00,1214.71,NWMT
2018-01-05 11:00:00,1255.35,NWMT
2018-01-05 12:00:00,1299.82,NWMT
2018-01-05 13:00:00,1342.83,NWMT
2018-01-05 14:00:00,1388.45,NWMT
2018-01-05 15:00:00,1437.22,NWMT
2018-01-05 16:00:00,1494.19,NWMT
2018-01-05 17:00:00,1489.14,NWMT
2018-01-05 18:00:00,1471.97,NWMT
2018-01-05 19:00:00,1455.79,NWMT
2018-01-05 20:00:00,1443.12,NWMT
2018-01-05 21:00:00,1437.19,NWMT
2018-01-05 22:00:00,1434.04,NWMT
2018-01-05 23:00:00,1436.48,NWMT
2018-01-06 00:00:00,1394.14,NWMT
2018-01-06 01:00:00,1431.4,NWMT
2018-01-06 02:00:00,1448.23,NWMT
2018-01-06 03:00:00,1439.98,NWMT
2018-01-06 04:00:00,1422.03,NWMT
2018-01-06 05:00:00,1357.23,NWMT
2018-01-06 06:00:00,1300.04,NWMT
2018-01-06 07:00:00,1250.45,NWMT
2018-01-06 08:00:00,1217.78,NWMT
2018-01-06 09:00:00,1199.3,NWMT
2018-01-06 10:00:00,1185.07,NWMT
2018-01-06 11:00:00,1189.1,NWMT
2018-01-06 12:00:00,1203.19,NWMT
2018-01-06 13:00:00,1224.26,NWMT
2018-01-06 14:00:00,1247.74,NWMT
2018-01-06 15:00:00,1272.29,NWMT
2018-01-06 16:00:00,1316.12,NWMT
2018-01-06 17:00:00,1347.51,NWMT
2018-01-06 18:00:00,1364.97,NWMT
2018-01-06 19:00:00,1374.23,NWMT
2018-01-06 20:00:00,1380.13,NWMT
2018-01-06 21:00:00,1375.53,NWMT
2018-01-06 22:00:00,1361.58,NWMT
2018-01-06 23:00:00,1345.14,NWMT
2018-01-07 00:00:00,1415.07,NWMT
2018-01-07 01:00:00,1449.75,NWMT
2018-01-07 02:00:00,1474.79,NWMT
2018-01-07 03:00:00,1468.71,NWMT
2018-01-07 04:00:00,1459.51,NWMT
2018-01-07 05:00:00,1404.65,NWMT
2018-01-07 06:00:00,1343.69,NWMT
2018-01-07 07:00:00,1290.07,NWMT
2018-01-07 08:00:00,1244.63,NWMT
2018-01-07 09:00:00,1228.53,NWMT
2018-01-07 10:00:00,1216.06,NWMT
2018-01-07 11:00:00,1218.1,NWMT
2018-01-07 12:00:00,1240.64,NWMT
2018-01-07 13:00:00,1264.62,NWMT
2018-01-07 14:00:00,1287.67,NWMT
2018-01-07 15:00:00,1312.48,NWMT
2018-01-07 16:00:00,1362.36,NWMT
2018-01-07 17:00:00,1393.36,NWMT
2018-01-07 18:00:00,1398.33,NWMT
2018-01-07 19:00:00,1397.09,NWMT
2018-01-07 20:00:00,1392.09,NWMT
2018-01-07 21:00:00,1386.07,NWMT
2018-01-07 22:00:00,1371.9,NWMT
2018-01-07 23:00:00,1351.74,NWMT
2018-01-08 00:00:00,1452.3,NWMT
2018-01-08 01:00:00,1493.36,NWMT
2018-01-08 02:00:00,1525.34,NWMT
2018-01-08 03:00:00,1515.53,NWMT
2018-01-08 04:00:00,1487.52,NWMT
2018-01-08 05:00:00,1417.63,NWMT
2018-01-08 06:00:00,1346.65,NWMT
2018-01-08 07:00:00,1273.03,NWMT
2018-01-08 08:00:00,1222.04,NWMT
2018-01-08 09:00:00,1204.0,NWMT
2018-01-08 10:00:00,1196.17,NWMT
2018-01-08 11:00:00,1232.7,NWMT
2018-01-08 12:00:00,1279.7,NWMT
2018-01-08 13:00:00,1326.44,NWMT
2018-01-08 14:00:00,1372.8,NWMT
2018-01-08 15:00:00,1416.63,NWMT
2018-01-08 16:00:00,1474.96,NWMT
2018-01-08 17:00:00,1478.3,NWMT
2018-01-08 18:00:00,1468.61,NWMT
2018-01-08 19:00:00,1454.48,NWMT
2018-01-08 20:00:00,1439.01,NWMT
2018-01-08 21:00:00,1424.72,NWMT
2018-01-08 22:00:00,1412.97,NWMT
2018-01-08 23:00:00,1411.1,NWMT
2018-01-09 00:00:00,1397.39,NWMT
2018-01-09 01:00:00,1441.38,NWMT
2018-01-09 02:00:00,1477.58,NWMT
2018-01-09 03:00:00,1478.56,NWMT
2018-01-09 04:00:00,1452.9,NWMT
2018-01-09 05:00:00,1384.17,NWMT
2018-01-09 06:00:00,1314.31,NWMT
2018-01-09 07:00:00,1247.84,NWMT
2018-01-09 08:00:00,1208.56,NWMT
2018-01-09 09:00:00,1190.74,NWMT
2018-01-09 10:00:00,1181.0,NWMT
2018-01-09 11:00:00,1218.97,NWMT
2018-01-09 12:00:00,1262.46,NWMT
2018-01-09 13:00:00,1307.43,NWMT
2018-01-09 14:00:00,1352.28,NWMT
2018-01-09 15:00:00,1396.03,NWMT
2018-01-09 16:00:00,1456.35,NWMT
2018-01-09 17:00:00,1461.81,NWMT
2018-01-09 18:00:00,1454.39,NWMT
2018-01-09 19:00:00,1447.37,NWMT
2018-01-09 20:00:00,1440.86,NWMT
2018-01-09 21:00:00,1432.93,NWMT
2018-01-09 22:00:00,1427.23,NWMT
2018-01-09 23:00:00,1423.22,NWMT
2018-01-10 00:00:00,1399.94,NWMT
2018-01-10 01:00:00,1447.03,NWMT
2018-01-10 02:00:00,1477.95,NWMT
2018-01-10 03:00:00,1474.57,NWMT
2018-01-10 04:00:00,1462.99,NWMT
2018-01-10 05:00:00,1399.35,NWMT
2018-01-10 06:00:00,1340.78,NWMT
2018-01-10 07:00:00,1286.25,NWMT
2018-01-10 08:00:00,1236.63,NWMT
2018-01-10 09:00:00,1219.49,NWMT
2018-01-10 10:00:00,1231.17,NWMT
2018-01-10 11:00:00,1280.23,NWMT
2018-01-10 12:00:00,1345.47,NWMT
2018-01-10 13:00:00,1407.11,NWMT
2018-01-10 14:00:00,1467.32,NWMT
2018-01-10 15:00:00,1527.78,NWMT
