Time_UTC,Load,BA
2018-01-01 00:00:00,5348.71,PACE
2018-01-01 01:00:00,5549.21,PACE
2018-01-01 02:00:00,5657.98,PACE
2018-01-01 03:00:00,5729.59,PACE
2018-01-01 04:00:00,5769.89,PACE
2018-01-01 05:00:00,5598.7,PACE
2018-01-01 06:00:00,5419.35,PACE
2018-01-01 07:00:00,5241.31,PACE
2018-01-01 08:00:00,5064.34,PACE
2018-01-01 09:00:00,4891.79,PACE
2018-01-01 10:00:00,4864.46,PACE
2018-01-01 11:00:00,4921.31,PACE
2018-01-01 12:00:00,4993.21,PACE
2018-01-01 13:00:00,5068.97,PACE
2018-01-01 14:00:00,5153.5,PACE
2018-01-01 15:00:00,5266.38,PACE
2018-01-01 16:00:00,5472.98,PACE
2018-01-01 17:00:00,5422.74,PACE
2018-01-01 18:00:00,5340.35,PACE
2018-01-01 19:00:00,5295.75,PACE
2018-01-01 20:00:00,5279.06,PACE
2018-01-01 21:00:00,5260.91,PACE
2018-01-01 22:00:00,5248.72,PACE
2018-01-01 23:00:00,5278.75,PACE
2018-01-02 00:00:00,5753.35,PACE
2018-01-02 01:00:00,5833.2,PACE
2018-01-02 02:00:00,5863.4,PACE
2018-01-02 03:00:00,5891.81,PACE
2018-01-02 04:00:00,5870.2,PACE
2018-01-02 05:00:00,5652.87,PACE
2018-01-02 06:00:00,5416.04,PACE
2018-01-02 07:00:00,5187.49,PACE
2018-01-02 08:00:00,5010.55,PACE
2018-01-02 09:00:00,4955.77,PACE
2018-01-02 10:00:00,5035.08,PACE
2018-01-02 11:00:00,5139.98,PACE
2018-01-02 12:00:00,5248.9,PACE
2018-01-02 13:00:00,5364.36,PACE
2018-01-02 14:00:00,5476.51,PACE
2018-01-02 15:00:00,5567.63,PACE
2018-01-02 16:00:00,5761.0,PACE
2018-01-02 17:00:00,5709.05,PACE
2018-01-02 18:00:00,5668.08,PACE
2018-01-02 19:00:00,5628.57,PACE
2018-01-02 20:00:00,5598.23,PACE
2018-01-02 21:00:00,5576.7,PACE
2018-01-02 22:00:00,5575.31,PACE
2018-01-02 23:00:00,5629.11,PACE
2018-01-03 00:00:00,5831.22,PACE
2018-01-03 01:00:00,5909.84,PACE
2018-01-03 02:00:00,5941.96,PACE
2018-01-03 03:00:00,5956.3,PACE
2018-01-03 04:00:00,5920.16,PACE
2018-01-03 05:00:00,5700.69,PACE
2018-01-03 06:00:00,5463.53,PACE
2018-01-03 07:00:00,5229.25,PACE
2018-01-03 08:00:00,5081.28,PACE
2018-01-03 09:00:00,5018.37,PACE
2018-01-03 10:00:00,5081.08,PACE
2018-01-03 11:00:00,5178.24,PACE
2018-01-03 12:00:00,5283.0,PACE
2018-01-03 13:00:00,5399.35,PACE
2018-01-03 14:00:00,5510.1,PACE
2018-01-03 15:00:00,5627.72,PACE
2018-01-03 16:00:00,5823.61,PACE
2018-01-03 17:00:00,5763.44,PACE
2018-01-03 18:00:00,5705.0,PACE
2018-01-03 19:00:00,5648.25,PACE
2018-01-03 20:00:00,5612.59,PACE
2018-01-03 21:00:00,5586.69,PACE
2018-01-03 22:00:00,5582.93,PACE
2018-01-03 23:00:00,5653.24,PACE
2018-01-04 00:00:00,5767.91,PACE
2018-01-04 01:00:00,5864.82,PACE
2018-01-04 02:00:00,5902.26,PACE
2018-01-04 03:00:00,5920.26,PACE
2018-01-04 04:00:00,5903.17,PACE
2018-01-04 05:00:00,5689.68,PACE
2018-01-04 06:00:00,5458.37,PACE
2018-01-04 07:00:00,5220.92,PACE
2018-01-04 08:00:00,5029.1,PACE
2018-01-04 09:00:00,4942.55,PACE
2018-01-04 10:00:00,5008.14,PACE
2018-01-04 11:00:00,5111.3,PACE
2018-01-04 12:00:00,5211.05,PACE
2018-01-04 13:00:00,5315.74,PACE
2018-01-04 14:00:00,5433.48,PACE
2018-01-04 15:00:00,5579.33,PACE
2018-01-04 16:00:00,5803.38,PACE
2018-01-04 17:00:00,5765.93,PACE
2018-01-04 18:00:00,5699.64,PACE
2018-01-04 19:00:00,5659.97,PACE
2018-01-04 20:00:00,5641.98,PACE
2018-01-04 21:00:00,5621.24,PACE
2018-01-04 22:00:00,5604.29,PACE
2018-01-04 23:00:00,5666.1,PACE
2018-01-05 00:00:00,5742.11,PACE
2018-01-05 01:00:00,5811.95,PACE
2018-01-05 02:00:00,5851.41,PACE
2018-01-05 03:00:00,5880.38,PACE
2018-01-05 04:00:00,5867.39,PACE
2018-01-05 05:00:00,5654.32,PACE
2018-01-05 06:00:00,5423.87,PACE
2018-01-05 07:00:00,5187.93,PACE
2018-01-05 08:00:00,4995.05,PACE
2018-01-05 09:00:00,4894.49,PACE
2018-01-05 10:00:00,4943.32,PACE
2018-01-05 11:00:00,5046.9,PACE
2018-01-05 12:00:00,5148.53,PACE
2018-01-05 13:00:00,5252.55,PACE
2018-01-05 14:00:00,5362.97,PACE
2018-01-05 15:00:00,5513.6,PACE
2018-01-05 16:00:00,5712.13,PACE
2018-01-05 17:00:00,5739.6,PACE
2018-01-05 18:00:00,5670.3,PACE
2018-01-05 19:00:00,5595.71,PACE
2018-01-05 20:00:00,5556.59,PACE
2018-01-05 21:00:00,5543.68,PACE
2018-01-05 22:00:00,5542.92,PACE
2018-01-05 23:00:00,5608.54,PACE
2018-01-06 00:00:00,5537.63,PACE
2018-01-06 01:00:00,5626.45,PACE
2018-01-06 02:00:00,5702.97,PACE
2018-01-06 03:00:00,5773.88,PACE
2018-01-06 04:00:00,5714.47,PACE
2018-01-06 05:00:00,5527.88,PACE
2018-01-06 06:00:00,5348.59,PACE
2018-01-06 07:00:00,5142.95,PACE
2018-01-06 08:00:00,4998.1,PACE
2018-01-06 09:00:00,4935.35,PACE
2018-01-06 10:00:00,4916.3,PACE
2018-01-06 11:00:00,4934.46,PACE
2018-01-06 12:00:00,4969.49,PACE
2018-01-06 13:00:00,5010.2,PACE
2018-01-06 14:00:00,5060.13,PACE
2018-01-06 15:00:00,5121.8,PACE
2018-01-06 16:00:00,5204.48,PACE
2018-01-06 17:00:00,5238.02,PACE
2018-01-06 18:00:00,5276.53,PACE
2018-01-06 19:00:00,5346.55,PACE
2018-01-06 20:00:00,5409.35,PACE
2018-01-06 21:00:00,5405.65,PACE
2018-01-06 22:00:00,5422.81,PACE
2018-01-06 23:00:00,5447.6,PACE
2018-01-07 00:00:00,5651.78,PACE
2018-01-07 01:00:00,5735.83,PACE
2018-01-07 02:00:00,5779.33,PACE
