Time_UTC,Load,BA
2018-01-01 00:00:00,2663.37,PGE
2018-01-01 01:00:00,2775.81,PGE
2018-01-01 02:00:00,2845.02,PGE
2018-01-01 03:00:00,2911.29,PGE
2018-01-01 04:00:00,2852.75,PGE
2018-01-01 05:00:00,2774.26,PGE
2018-01-01 06:00:00,2650.99,PGE
2018-01-01 07:00:00,2489.91,PGE
2018-01-01 08:00:00,2336.15,PGE
2018-01-01 09:00:00,2213.03,PGE
2018-01-01 10:00:00,2154.22,PGE
2018-01-01 11:00:00,2130.22,PGE
2018-01-01 12:00:00,2174.44,PGE
2018-01-01 13:00:00,2295.72,PGE
2018-01-01 14:00:00,2433.23,PGE
2018-01-01 15:00:00,2561.64,PGE
2018-01-01 16:00:00,2702.17,PGE
2018-01-01 17:00:00,2895.5,PGE
2018-01-01 18:00:00,2919.34,PGE
2018-01-01 19:00:00,2866.66,PGE
2018-01-01 20:00:00,2820.1,PGE
2018-01-01 21:00:00,2791.81,PGE
2018-01-01 22:00:00,2802.09,PGE
2018-01-01 23:00:00,2831.56,PGE
2018-01-02 00:00:00,2784.78,PGE
2018-01-02 01:00:00,2964.07,PGE
2018-01-02 02:00:00,3058.33,PGE
2018-01-02 03:00:00,3125.38,PGE
2018-01-02 04:00:00,3158.99,PGE
2018-01-02 05:00:00,2991.93,PGE
2018-01-02 06:00:00,2795.24,PGE
2018-01-02 07:00:00,2594.76,PGE
2018-01-02 08:00:00,2403.88,PGE
2018-01-02 09:00:00,2239.51,PGE
2018-01-02 10:00:00,2158.52,PGE
2018-01-02 11:00:00,2140.69,PGE
2018-01-02 12:00:00,2259.72,PGE
2018-01-02 13:00:00,2417.39,PGE
2018-01-02 14:00:00,2580.53,PGE
2018-01-02 15:00:00,2737.2,PGE
2018-01-02 16:00:00,2904.81,PGE
2018-01-02 17:00:00,3114.2,PGE
2018-01-02 18:00:00,3099.3,PGE
2018-01-02 19:00:00,3068.44,PGE
2018-01-02 20:00:00,3031.99,PGE
2018-01-02 21:00:00,2993.48,PGE
2018-01-02 22:00:00,2995.54,PGE
2018-01-02 23:00:00,3026.46,PGE
2018-01-03 00:00:00,3056.83,PGE
2018-01-03 01:00:00,3159.71,PGE
2018-01-03 02:00:00,3220.16,PGE
2018-01-03 03:00:00,3254.74,PGE
2018-01-03 04:00:00,3246.51,PGE
2018-01-03 05:00:00,3064.07,PGE
2018-01-03 06:00:00,2852.55,PGE
2018-01-03 07:00:00,2638.0,PGE
2018-01-03 08:00:00,2426.14,PGE
2018-01-03 09:00:00,2234.38,PGE
2018-01-03 10:00:00,2139.74,PGE
2018-01-03 11:00:00,2143.11,PGE
2018-01-03 12:00:00,2280.62,PGE
2018-01-03 13:00:00,2409.77,PGE
2018-01-03 14:00:00,2553.58,PGE
2018-01-03 15:00:00,2701.43,PGE
2018-01-03 16:00:00,2857.74,PGE
2018-01-03 17:00:00,3030.69,PGE
2018-01-03 18:00:00,2973.5,PGE
2018-01-03 19:00:00,2910.94,PGE
2018-01-03 20:00:00,2855.59,PGE
2018-01-03 21:00:00,2818.61,PGE
2018-01-03 22:00:00,2791.69,PGE
2018-01-03 23:00:00,2795.56,PGE
2018-01-04 00:00:00,2776.14,PGE
2018-01-04 01:00:00,2925.29,PGE
2018-01-04 02:00:00,2998.19,PGE
2018-01-04 03:00:00,3044.79,PGE
2018-01-04 04:00:00,3069.34,PGE
2018-01-04 05:00:00,2921.6,PGE
2018-01-04 06:00:00,2730.33,PGE
2018-01-04 07:00:00,2550.88,PGE
2018-01-04 08:00:00,2348.82,PGE
2018-01-04 09:00:00,2172.97,PGE
2018-01-04 10:00:00,2075.58,PGE
2018-01-04 11:00:00,2053.76,PGE
2018-01-04 12:00:00,2175.97,PGE
2018-01-04 13:00:00,2363.11,PGE
2018-01-04 14:00:00,2544.95,PGE
2018-01-04 15:00:00,2702.32,PGE
2018-01-04 16:00:00,2857.29,PGE
2018-01-04 17:00:00,3037.7,PGE
2018-01-04 18:00:00,2954.65,PGE
2018-01-04 19:00:00,2876.96,PGE
2018-01-04 20:00:00,2820.43,PGE
2018-01-04 21:00:00,2789.0,PGE
2018-01-04 22:00:00,2774.18,PGE
2018-01-04 23:00:00,2767.54,PGE
2018-01-05 00:00:00,2748.48,PGE
2018-01-05 01:00:00,2902.31,PGE
2018-01-05 02:00:00,3016.77,PGE
2018-01-05 03:00:00,3076.97,PGE
2018-01-05 04:00:00,3067.36,PGE
2018-01-05 05:00:00,2900.06,PGE
2018-01-05 06:00:00,2687.66,PGE
2018-01-05 07:00:00,2471.53,PGE
2018-01-05 08:00:00,2281.06,PGE
2018-01-05 09:00:00,2115.57,PGE
2018-01-05 10:00:00,2013.36,PGE
2018-01-05 11:00:00,1976.1,PGE
2018-01-05 12:00:00,2095.13,PGE
2018-01-05 13:00:00,2240.45,PGE
2018-01-05 14:00:00,2401.79,PGE
2018-01-05 15:00:00,2537.73,PGE
2018-01-05 16:00:00,2700.45,PGE
2018-01-05 17:00:00,2850.22,PGE
2018-01-05 18:00:00,2801.71,PGE
2018-01-05 19:00:00,2746.91,PGE
2018-01-05 20:00:00,2690.9,PGE
2018-01-05 21:00:00,2634.91,PGE
2018-01-05 22:00:00,2606.12,PGE
2018-01-05 23:00:00,2612.92,PGE
2018-01-06 00:00:00,2505.88,PGE
2018-01-06 01:00:00,2624.21,PGE
2018-01-06 02:00:00,2702.77,PGE
2018-01-06 03:00:00,2738.24,PGE
2018-01-06 04:00:00,2750.52,PGE
2018-01-06 05:00:00,2679.9,PGE
2018-01-06 06:00:00,2525.17,PGE
2018-01-06 07:00:00,2346.59,PGE
2018-01-06 08:00:00,2184.39,PGE
2018-01-06 09:00:00,2037.92,PGE
2018-01-06 10:00:00,1943.67,PGE
2018-01-06 11:00:00,1890.44,PGE
2018-01-06 12:00:00,1869.23,PGE
2018-01-06 13:00:00,1927.2,PGE
2018-01-06 14:00:00,2017.35,PGE
2018-01-06 15:00:00,2110.1,PGE
2018-01-06 16:00:00,2236.12,PGE
2018-01-06 17:00:00,2420.22,PGE
2018-01-06 18:00:00,2507.3,PGE
2018-01-06 19:00:00,2549.48,PGE
2018-01-06 20:00:00,2563.21,PGE
2018-01-06 21:00:00,2570.76,PGE
2018-01-06 22:00:00,2590.16,PGE
2018-01-06 23:00:00,2608.53,PGE
2018-01-07 00:00:00,2628.8,PGE
2018-01-07 01:00:00,2699.15,PGE
2018-01-07 02:00:00,2732.37,PGE
2018-01-07 03:00:00,2775.0,PGE
2018-01-07 04:00:00,2781.95,PGE
2018-01-07 05:00:00,2638.43,PGE
2018-01-07 06:00:00,2485.88,PGE
2018-01-07 07:00:00,2346.35,PGE
2018-01-07 08:00:00,2215.71,PGE
2018-01-07 09:00:00,2106.16,PGE
2018-01-07 10:00:00,2033.07,PGE
2018-01-07 11:00:00,1972.73,PGE
2018-01-07 12:00:00,1960.11,PGE
2018-01-07 13:00:00,2049.14,PGE
2018-01-07 14:00:00,2169.09,PGE
2018-01-07 15:00:00,2256.93,PGE
2018-01-07 16:00:00,2346.19,PGE
2018-01-07 17:00:00,2532.66,PGE
2018-01-07 18:00:00,2612.81,PGE
2018-01-07 19:00:00,2609.81,PGE
2018-01-07 20:00:00,2599.34,PGE
2018-01-07 21:00:00,2594.52,PGE
2018-01-07 22:00:00,2609.24,PGE
2018-01-07 23:00:00,2621.47,PGE
2018-01-08 00:00:00,2759.11,PGE
2018-01-08 01:00:00,2841.77,PGE
2018-01-08 02:00:00,2890.92,PGE
2018-01-08 03:00:00,2914.09,PGE
2018-01-08 04:00:00,2893.65,PGE
2018-01-08 05:00:00,2742.53,PGE
2018-01-08 06:00:00,2543.75,PGE
2018-01-08 07:00:00,2341.23,PGE
2018-01-08 08:00:00,2163.47,PGE
2018-01-08 09:00:00,2031.03,PGE
2018-01-08 10:00:00,1951.57,PGE
2018-01-08 11:00:00,1924.4,PGE
2018-01-08 12:00:00,2015.44,PGE
2018-01-08 13:00:00,2179.72,PGE
2018-01-08 14:00:00,2355.28,PGE
2018-01-08 15:00:00,2533.18,PGE
2018-01-08 16:00:00,2712.96,PGE
2018-01-08 17:00:00,2854.78,PGE
2018-01-08 18:00:00,2814.45,PGE
2018-01-08 19:00:00,2770.52,PGE
2018-01-08 20:00:00,2740.72,PGE
2018-01-08 21:00:00,2720.78,PGE
2018-01-08 22:00:00,2736.65,PGE
2018-01-08 23:00:00,2759.38,PGE
2018-01-09 00:00:00,2761.3,PGE
2018-01-09 01:00:00,2832.1,PGE
2018-01-09 02:00:00,2886.45,PGE
2018-01-09 03:00:00,2943.4,PGE
2018-01-09 04:00:00,2938.54,PGE
2018-01-09 05:00:00,2782.04,PGE
2018-01-09 06:00:00,2561.32,PGE
2018-01-09 07:00:00,2356.18,PGE
2018-01-09 08:00:00,2142.94,PGE
2018-01-09 09:00:00,2011.32,PGE
2018-01-09 10:00:00,1926.85,PGE
2018-01-09 11:00:00,1879.7,PGE
2018-01-09 12:00:00,1954.25,PGE
2018-01-09 13:00:00,2096.12,PGE
2018-01-09 14:00:00,2243.29,PGE
2018-01-09 15:00:00,2400.82,PGE
2018-01-09 16:00:00,2558.83,PGE
2018-01-09 17:00:00,2670.66,PGE
2018-01-09 18:00:00,2724.76,PGE
2018-01-09 19:00:00,2764.51,PGE
2018-01-09 20:00:00,2781.65,PGE
2018-01-09 21:00:00,2774.62,PGE
2018-01-09 22:00:00,2754.67,PGE
2018-01-09 23:00:00,2750.68,PGE
2018-01-10 00:00:00,2679.91,PGE
2018-01-10 01:00:00,2804.64,PGE
2018-01-10 02:00:00,2867.19,PGE
2018-01-10 03:00:00,2948.43,PGE
2018-01-10 04:00:00,2964.27,PGE
2018-01-10 05:00:00,2829.41,PGE
2018-01-10 06:00:00,2626.68,PGE
2018-01-10 07:00:00,2420.46,PGE
2018-01-10 08:00:00,2217.64,PGE
2018-01-10 09:00:00,2090.18,PGE
2018-01-10 10:00:00,2025.61,PGE
