Time_UTC,Load,BA
2018-01-01 00:00:00,30669.79,SOCO
2018-01-01 01:00:00,31644.25,SOCO
2018-01-01 02:00:00,32204.8,SOCO
2018-01-01 03:00:00,31966.64,SOCO
2018-01-01 04:00:00,31485.08,SOCO
2018-01-01 05:00:00,30899.01,SOCO
2018-01-01 06:00:00,30673.03,SOCO
2018-01-01 07:00:00,30836.02,SOCO
2018-01-01 08:00:00,31286.64,SOCO
2018-01-01 09:00:00,32094.36,SOCO
2018-01-01 10:00:00,32993.29,SOCO
2018-01-01 11:00:00,33805.01,SOCO
2018-01-01 12:00:00,34804.08,SOCO
2018-01-01 13:00:00,36135.91,SOCO
2018-01-01 14:00:00,37385.71,SOCO
2018-01-01 15:00:00,37688.81,SOCO
2018-01-01 16:00:00,37070.96,SOCO
2018-01-01 17:00:00,36027.84,SOCO
2018-01-01 18:00:00,35138.17,SOCO
2018-01-01 19:00:00,34288.37,SOCO
2018-01-01 20:00:00,33405.51,SOCO
2018-01-01 21:00:00,32530.59,SOCO
2018-01-01 22:00:00,31732.72,SOCO
2018-01-01 23:00:00,33111.92,SOCO
2018-01-02 00:00:00,37766.2,SOCO
2018-01-02 01:00:00,38770.36,SOCO
2018-01-02 02:00:00,38447.22,SOCO
2018-01-02 03:00:00,37908.75,SOCO
2018-01-02 04:00:00,37312.34,SOCO
2018-01-02 05:00:00,36635.51,SOCO
2018-01-02 06:00:00,36255.11,SOCO
2018-01-02 07:00:00,36777.78,SOCO
2018-01-02 08:00:00,37665.08,SOCO
2018-01-02 09:00:00,38818.97,SOCO
2018-01-02 10:00:00,40075.06,SOCO
2018-01-02 11:00:00,41294.3,SOCO
2018-01-02 12:00:00,42494.81,SOCO
2018-01-02 13:00:00,43850.17,SOCO
2018-01-02 14:00:00,45158.77,SOCO
2018-01-02 15:00:00,43366.76,SOCO
2018-01-02 16:00:00,41303.17,SOCO
2018-01-02 17:00:00,39554.11,SOCO
2018-01-02 18:00:00,37753.39,SOCO
2018-01-02 19:00:00,36246.97,SOCO
2018-01-02 20:00:00,35146.59,SOCO
2018-01-02 21:00:00,34467.0,SOCO
2018-01-02 22:00:00,34784.46,SOCO
2018-01-02 23:00:00,36852.68,SOCO
2018-01-03 00:00:00,39145.8,SOCO
2018-01-03 01:00:00,40025.82,SOCO
2018-01-03 02:00:00,39087.26,SOCO
2018-01-03 03:00:00,38527.63,SOCO
2018-01-03 04:00:00,37616.93,SOCO
2018-01-03 05:00:00,36533.59,SOCO
2018-01-03 06:00:00,35589.94,SOCO
2018-01-03 07:00:00,35177.03,SOCO
2018-01-03 08:00:00,35340.81,SOCO
2018-01-03 09:00:00,35755.88,SOCO
2018-01-03 10:00:00,36366.49,SOCO
2018-01-03 11:00:00,36785.53,SOCO
2018-01-03 12:00:00,37171.39,SOCO
2018-01-03 13:00:00,37800.0,SOCO
2018-01-03 14:00:00,39657.25,SOCO
2018-01-03 15:00:00,38543.81,SOCO
2018-01-03 16:00:00,36754.26,SOCO
2018-01-03 17:00:00,35604.62,SOCO
2018-01-03 18:00:00,34297.29,SOCO
2018-01-03 19:00:00,33035.88,SOCO
2018-01-03 20:00:00,31975.58,SOCO
2018-01-03 21:00:00,31223.44,SOCO
2018-01-03 22:00:00,31291.36,SOCO
2018-01-03 23:00:00,33477.59,SOCO
2018-01-04 00:00:00,35983.51,SOCO
2018-01-04 01:00:00,36990.2,SOCO
2018-01-04 02:00:00,36583.94,SOCO
2018-01-04 03:00:00,35913.43,SOCO
2018-01-04 04:00:00,35252.04,SOCO
2018-01-04 05:00:00,34424.36,SOCO
2018-01-04 06:00:00,33390.04,SOCO
2018-01-04 07:00:00,32999.43,SOCO
2018-01-04 08:00:00,33599.03,SOCO
2018-01-04 09:00:00,33907.71,SOCO
2018-01-04 10:00:00,34739.33,SOCO
2018-01-04 11:00:00,35417.09,SOCO
2018-01-04 12:00:00,36268.65,SOCO
2018-01-04 13:00:00,37449.75,SOCO
2018-01-04 14:00:00,39298.07,SOCO
2018-01-04 15:00:00,38533.28,SOCO
2018-01-04 16:00:00,37779.27,SOCO
2018-01-04 17:00:00,36616.09,SOCO
2018-01-04 18:00:00,35415.04,SOCO
2018-01-04 19:00:00,34452.62,SOCO
2018-01-04 20:00:00,33728.94,SOCO
2018-01-04 21:00:00,33456.56,SOCO
2018-01-04 22:00:00,33773.68,SOCO
2018-01-04 23:00:00,35068.67,SOCO
2018-01-05 00:00:00,38094.81,SOCO
2018-01-05 01:00:00,39116.37,SOCO
2018-01-05 02:00:00,38790.51,SOCO
2018-01-05 03:00:00,38316.42,SOCO
2018-01-05 04:00:00,38008.49,SOCO
2018-01-05 05:00:00,37731.92,SOCO
2018-01-05 06:00:00,37562.04,SOCO
2018-01-05 07:00:00,38031.39,SOCO
2018-01-05 08:00:00,38772.64,SOCO
2018-01-05 09:00:00,39442.79,SOCO
2018-01-05 10:00:00,40141.92,SOCO
2018-01-05 11:00:00,40864.91,SOCO
2018-01-05 12:00:00,41480.41,SOCO
2018-01-05 13:00:00,42122.08,SOCO
2018-01-05 14:00:00,42807.14,SOCO
2018-01-05 15:00:00,40643.94,SOCO
2018-01-05 16:00:00,38745.11,SOCO
2018-01-05 17:00:00,36746.04,SOCO
2018-01-05 18:00:00,34857.62,SOCO
2018-01-05 19:00:00,33403.36,SOCO
2018-01-05 20:00:00,32483.36,SOCO
2018-01-05 21:00:00,31868.1,SOCO
2018-01-05 22:00:00,31799.1,SOCO
2018-01-05 23:00:00,32950.32,SOCO
