Time_UTC,Load,BA
2018-01-01 00:00:00,99.26,SPA
2018-01-01 01:00:00,99.47,SPA
2018-01-01 02:00:00,99.56,SPA
2018-01-01 03:00:00,99.77,SPA
2018-01-01 04:00:00,100.07,SPA
2018-01-01 05:00:00,100.54,SPA
2018-01-01 06:00:00,101.16,SPA
2018-01-01 07:00:00,101.93,SPA
2018-01-01 08:00:00,102.72,SPA
2018-01-01 09:00:00,103.69,SPA
2018-01-01 10:00:00,105.0,SPA
2018-01-01 11:00:00,106.12,SPA
2018-01-01 12:00:00,106.92,SPA
2018-01-01 13:00:00,107.37,SPA
2018-01-01 14:00:00,108.86,SPA
2018-01-01 15:00:00,110.52,SPA
2018-01-01 16:00:00,111.01,SPA
2018-01-01 17:00:00,110.15,SPA
2018-01-01 18:00:00,108.61,SPA
2018-01-01 19:00:00,106.44,SPA
2018-01-01 20:00:00,103.59,SPA
2018-01-01 21:00:00,101.09,SPA
2018-01-01 22:00:00,97.33,SPA
2018-01-01 23:00:00,94.94,SPA
2018-01-02 00:00:00,113.87,SPA
2018-01-02 01:00:00,113.13,SPA
2018-01-02 02:00:00,112.18,SPA
2018-01-02 03:00:00,111.39,SPA
2018-01-02 04:00:00,110.67,SPA
2018-01-02 05:00:00,110.46,SPA
2018-01-02 06:00:00,110.49,SPA
2018-01-02 07:00:00,110.93,SPA
2018-01-02 08:00:00,112.04,SPA
2018-01-02 09:00:00,113.54,SPA
2018-01-02 10:00:00,115.29,SPA
2018-01-02 11:00:00,117.23,SPA
2018-01-02 12:00:00,118.74,SPA
2018-01-02 13:00:00,119.9,SPA
2018-01-02 14:00:00,120.69,SPA
2018-01-02 15:00:00,120.32,SPA
2018-01-02 16:00:00,117.69,SPA
2018-01-02 17:00:00,114.57,SPA
2018-01-02 18:00:00,112.19,SPA
2018-01-02 19:00:00,110.21,SPA
2018-01-02 20:00:00,108.32,SPA
2018-01-02 21:00:00,107.12,SPA
2018-01-02 22:00:00,104.9,SPA
2018-01-02 23:00:00,103.74,SPA
2018-01-03 00:00:00,109.09,SPA
2018-01-03 01:00:00,108.41,SPA
2018-01-03 02:00:00,107.42,SPA
2018-01-03 03:00:00,106.63,SPA
2018-01-03 04:00:00,105.38,SPA
2018-01-03 05:00:00,103.94,SPA
2018-01-03 06:00:00,103.0,SPA
2018-01-03 07:00:00,102.69,SPA
2018-01-03 08:00:00,103.19,SPA
2018-01-03 09:00:00,104.9,SPA
2018-01-03 10:00:00,107.26,SPA
2018-01-03 11:00:00,109.68,SPA
2018-01-03 12:00:00,111.89,SPA
2018-01-03 13:00:00,113.01,SPA
2018-01-03 14:00:00,113.34,SPA
2018-01-03 15:00:00,112.39,SPA
2018-01-03 16:00:00,109.42,SPA
2018-01-03 17:00:00,106.2,SPA
2018-01-03 18:00:00,103.86,SPA
2018-01-03 19:00:00,102.03,SPA
2018-01-03 20:00:00,100.56,SPA
2018-01-03 21:00:00,98.84,SPA
2018-01-03 22:00:00,96.59,SPA
2018-01-03 23:00:00,96.92,SPA
2018-01-04 00:00:00,102.79,SPA
2018-01-04 01:00:00,102.55,SPA
2018-01-04 02:00:00,101.85,SPA
2018-01-04 03:00:00,101.62,SPA
2018-01-04 04:00:00,101.28,SPA
2018-01-04 05:00:00,100.72,SPA
2018-01-04 06:00:00,99.95,SPA
2018-01-04 07:00:00,100.45,SPA
2018-01-04 08:00:00,101.66,SPA
2018-01-04 09:00:00,103.61,SPA
2018-01-04 10:00:00,106.05,SPA
2018-01-04 11:00:00,108.7,SPA
2018-01-04 12:00:00,111.27,SPA
2018-01-04 13:00:00,112.85,SPA
2018-01-04 14:00:00,113.82,SPA
2018-01-04 15:00:00,114.74,SPA
2018-01-04 16:00:00,111.62,SPA
2018-01-04 17:00:00,108.98,SPA
2018-01-04 18:00:00,106.54,SPA
2018-01-04 19:00:00,104.48,SPA
2018-01-04 20:00:00,102.74,SPA
2018-01-04 21:00:00,101.46,SPA
2018-01-04 22:00:00,99.92,SPA
2018-01-04 23:00:00,98.51,SPA
2018-01-05 00:00:00,103.74,SPA
2018-01-05 01:00:00,102.99,SPA
2018-01-05 02:00:00,102.33,SPA
2018-01-05 03:00:00,101.57,SPA
2018-01-05 04:00:00,100.73,SPA
2018-01-05 05:00:00,99.65,SPA
2018-01-05 06:00:00,98.64,SPA
2018-01-05 07:00:00,98.36,SPA
2018-01-05 08:00:00,98.98,SPA
2018-01-05 09:00:00,100.71,SPA
2018-01-05 10:00:00,102.69,SPA
2018-01-05 11:00:00,104.69,SPA
2018-01-05 12:00:00,106.68,SPA
2018-01-05 13:00:00,108.39,SPA
2018-01-05 14:00:00,108.91,SPA
2018-01-05 15:00:00,108.11,SPA
2018-01-05 16:00:00,104.49,SPA
2018-01-05 17:00:00,101.32,SPA
2018-01-05 18:00:00,98.43,SPA
2018-01-05 19:00:00,96.34,SPA
2018-01-05 20:00:00,94.98,SPA
2018-01-05 21:00:00,93.85,SPA
2018-01-05 22:00:00,92.39,SPA
2018-01-05 23:00:00,92.26,SPA
2018-01-06 00:00:00,89.15,SPA
2018-01-06 01:00:00,88.85,SPA
2018-01-06 02:00:00,88.32,SPA
2018-01-06 03:00:00,87.76,SPA
2018-01-06 04:00:00,87.38,SPA
2018-01-06 05:00:00,86.98,SPA
2018-01-06 06:00:00,87.39,SPA
2018-01-06 07:00:00,87.87,SPA
2018-01-06 08:00:00,88.35,SPA
2018-01-06 09:00:00,89.09,SPA
2018-01-06 10:00:00,90.24,SPA
2018-01-06 11:00:00,91.88,SPA
2018-01-06 12:00:00,93.57,SPA
2018-01-06 13:00:00,95.03,SPA
2018-01-06 14:00:00,95.8,SPA
