Time_UTC,Load,BA
2018-01-01 00:00:00,39078.17,SWPP
2018-01-01 01:00:00,39706.88,SWPP
2018-01-01 02:00:00,39246.24,SWPP
2018-01-01 03:00:00,38435.06,SWPP
2018-01-01 04:00:00,37582.38,SWPP
2018-01-01 05:00:00,36886.54,SWPP
2018-01-01 06:00:00,36203.02,SWPP
2018-01-01 07:00:00,35761.31,SWPP
2018-01-01 08:00:00,35430.5,SWPP
2018-01-01 09:00:00,35581.43,SWPP
2018-01-01 10:00:00,36132.56,SWPP
2018-01-01 11:00:00,36732.28,SWPP
2018-01-01 12:00:00,37444.58,SWPP
2018-01-01 13:00:00,38114.42,SWPP
2018-01-01 14:00:00,39126.43,SWPP
2018-01-01 15:00:00,40323.69,SWPP
2018-01-01 16:00:00,39938.5,SWPP
2018-01-01 17:00:00,39228.83,SWPP
2018-01-01 18:00:00,38500.66,SWPP
2018-01-01 19:00:00,37695.12,SWPP
2018-01-01 20:00:00,36980.6,SWPP
2018-01-01 21:00:00,36365.59,SWPP
2018-01-01 22:00:00,35635.03,SWPP
2018-01-01 23:00:00,35497.11,SWPP
2018-01-02 00:00:00,40569.98,SWPP
2018-01-02 01:00:00,41539.86,SWPP
2018-01-02 02:00:00,41617.41,SWPP
2018-01-02 03:00:00,40830.79,SWPP
2018-01-02 04:00:00,39833.9,SWPP
2018-01-02 05:00:00,38964.34,SWPP
2018-01-02 06:00:00,38151.99,SWPP
2018-01-02 07:00:00,37564.03,SWPP
2018-01-02 08:00:00,37299.85,SWPP
2018-01-02 09:00:00,37457.22,SWPP
2018-01-02 10:00:00,37955.22,SWPP
2018-01-02 11:00:00,38610.28,SWPP
2018-01-02 12:00:00,39269.55,SWPP
2018-01-02 13:00:00,39970.96,SWPP
2018-01-02 14:00:00,41032.1,SWPP
2018-01-02 15:00:00,41209.0,SWPP
2018-01-02 16:00:00,40054.33,SWPP
2018-01-02 17:00:00,38916.42,SWPP
2018-01-02 18:00:00,37981.16,SWPP
2018-01-02 19:00:00,37160.46,SWPP
2018-01-02 20:00:00,36332.28,SWPP
2018-01-02 21:00:00,35586.1,SWPP
2018-01-02 22:00:00,34789.61,SWPP
2018-01-02 23:00:00,34818.2,SWPP
2018-01-03 00:00:00,37191.44,SWPP
2018-01-03 01:00:00,38137.25,SWPP
2018-01-03 02:00:00,38539.13,SWPP
2018-01-03 03:00:00,37641.35,SWPP
2018-01-03 04:00:00,36362.51,SWPP
2018-01-03 05:00:00,35264.88,SWPP
2018-01-03 06:00:00,34337.19,SWPP
2018-01-03 07:00:00,33494.58,SWPP
2018-01-03 08:00:00,32889.99,SWPP
2018-01-03 09:00:00,33023.67,SWPP
2018-01-03 10:00:00,33790.35,SWPP
2018-01-03 11:00:00,34662.55,SWPP
2018-01-03 12:00:00,35551.22,SWPP
2018-01-03 13:00:00,36386.07,SWPP
2018-01-03 14:00:00,37745.09,SWPP
2018-01-03 15:00:00,37676.86,SWPP
2018-01-03 16:00:00,36869.94,SWPP
2018-01-03 17:00:00,36212.82,SWPP
2018-01-03 18:00:00,35576.45,SWPP
2018-01-03 19:00:00,34904.22,SWPP
2018-01-03 20:00:00,34270.93,SWPP
2018-01-03 21:00:00,33815.91,SWPP
2018-01-03 22:00:00,33403.67,SWPP
2018-01-03 23:00:00,33728.2,SWPP
2018-01-04 00:00:00,35929.89,SWPP
2018-01-04 01:00:00,36909.65,SWPP
2018-01-04 02:00:00,37589.58,SWPP
2018-01-04 03:00:00,36886.09,SWPP
2018-01-04 04:00:00,35951.46,SWPP
2018-01-04 05:00:00,34940.18,SWPP
2018-01-04 06:00:00,34109.05,SWPP
2018-01-04 07:00:00,33504.79,SWPP
2018-01-04 08:00:00,33292.32,SWPP
2018-01-04 09:00:00,33567.92,SWPP
2018-01-04 10:00:00,34310.36,SWPP
2018-01-04 11:00:00,35129.81,SWPP
2018-01-04 12:00:00,35981.26,SWPP
2018-01-04 13:00:00,36777.38,SWPP
2018-01-04 14:00:00,37913.36,SWPP
2018-01-04 15:00:00,38214.5,SWPP
2018-01-04 16:00:00,37304.44,SWPP
2018-01-04 17:00:00,36380.83,SWPP
2018-01-04 18:00:00,35541.32,SWPP
2018-01-04 19:00:00,34692.95,SWPP
2018-01-04 20:00:00,33912.19,SWPP
2018-01-04 21:00:00,33186.06,SWPP
2018-01-04 22:00:00,32485.75,SWPP
2018-01-04 23:00:00,32640.48,SWPP
2018-01-05 00:00:00,34232.28,SWPP
2018-01-05 01:00:00,35304.76,SWPP
2018-01-05 02:00:00,36124.73,SWPP
2018-01-05 03:00:00,35476.07,SWPP
2018-01-05 04:00:00,34491.09,SWPP
2018-01-05 05:00:00,33477.55,SWPP
2018-01-05 06:00:00,32543.31,SWPP
2018-01-05 07:00:00,31905.73,SWPP
2018-01-05 08:00:00,31731.78,SWPP
2018-01-05 09:00:00,32034.58,SWPP
2018-01-05 10:00:00,32801.45,SWPP
2018-01-05 11:00:00,33697.16,SWPP
2018-01-05 12:00:00,34576.94,SWPP
2018-01-05 13:00:00,35408.24,SWPP
2018-01-05 14:00:00,36623.05,SWPP
2018-01-05 15:00:00,36940.24,SWPP
2018-01-05 16:00:00,35901.24,SWPP
2018-01-05 17:00:00,35038.46,SWPP
2018-01-05 18:00:00,34232.17,SWPP
2018-01-05 19:00:00,33461.88,SWPP
2018-01-05 20:00:00,32740.75,SWPP
2018-01-05 21:00:00,32207.36,SWPP
2018-01-05 22:00:00,31724.89,SWPP
2018-01-05 23:00:00,31929.61,SWPP
2018-01-06 00:00:00,31911.1,SWPP
2018-01-06 01:00:00,32498.98,SWPP
2018-01-06 02:00:00,32810.19,SWPP
2018-01-06 03:00:00,32652.71,SWPP
2018-01-06 04:00:00,32163.89,SWPP
2018-01-06 05:00:00,31582.64,SWPP
2018-01-06 06:00:00,31050.9,SWPP
2018-01-06 07:00:00,30636.5,SWPP
2018-01-06 08:00:00,30343.07,SWPP
2018-01-06 09:00:00,30427.96,SWPP
2018-01-06 10:00:00,30870.1,SWPP
2018-01-06 11:00:00,31343.77,SWPP
2018-01-06 12:00:00,31869.92,SWPP
2018-01-06 13:00:00,32461.25,SWPP
2018-01-06 14:00:00,33079.0,SWPP
2018-01-06 15:00:00,33187.37,SWPP
2018-01-06 16:00:00,32780.23,SWPP
2018-01-06 17:00:00,31939.11,SWPP
2018-01-06 18:00:00,30950.39,SWPP
2018-01-06 19:00:00,30105.95,SWPP
2018-01-06 20:00:00,29485.25,SWPP
