Time_UTC,Load,BA
2018-01-01 00:00:00,2332.37,TEC
2018-01-01 01:00:00,2206.25,TEC
2018-01-01 02:00:00,2094.39,TEC
2018-01-01 03:00:00,1972.55,TEC
2018-01-01 04:00:00,1848.23,TEC
2018-01-01 05:00:00,1724.51,TEC
2018-01-01 06:00:00,1614.74,TEC
2018-01-01 07:00:00,1535.08,TEC
2018-01-01 08:00:00,1493.63,TEC
2018-01-01 09:00:00,1479.11,TEC
2018-01-01 10:00:00,1511.21,TEC
2018-01-01 11:00:00,1568.47,TEC
2018-01-01 12:00:00,1629.96,TEC
2018-01-01 13:00:00,1728.72,TEC
2018-01-01 14:00:00,1834.02,TEC
2018-01-01 15:00:00,1926.32,TEC
2018-01-01 16:00:00,2046.68,TEC
2018-01-01 17:00:00,2137.12,TEC
2018-01-01 18:00:00,2223.65,TEC
2018-01-01 19:00:00,2316.61,TEC
2018-01-01 20:00:00,2402.75,TEC
2018-01-01 21:00:00,2507.04,TEC
2018-01-01 22:00:00,2623.09,TEC
2018-01-01 23:00:00,2737.72,TEC
2018-01-02 00:00:00,3165.51,TEC
2018-01-02 01:00:00,3064.44,TEC
2018-01-02 02:00:00,2985.17,TEC
2018-01-02 03:00:00,2910.19,TEC
2018-01-02 04:00:00,2834.79,TEC
2018-01-02 05:00:00,2769.9,TEC
2018-01-02 06:00:00,2722.16,TEC
2018-01-02 07:00:00,2729.44,TEC
2018-01-02 08:00:00,2780.06,TEC
2018-01-02 09:00:00,2823.87,TEC
2018-01-02 10:00:00,2900.32,TEC
2018-01-02 11:00:00,2953.8,TEC
2018-01-02 12:00:00,2993.96,TEC
2018-01-02 13:00:00,3070.69,TEC
2018-01-02 14:00:00,3162.48,TEC
2018-01-02 15:00:00,3144.76,TEC
2018-01-02 16:00:00,3123.81,TEC
2018-01-02 17:00:00,3019.35,TEC
2018-01-02 18:00:00,2903.76,TEC
2018-01-02 19:00:00,2836.26,TEC
2018-01-02 20:00:00,2779.2,TEC
2018-01-02 21:00:00,2725.55,TEC
2018-01-02 22:00:00,2689.46,TEC
2018-01-02 23:00:00,2734.97,TEC
2018-01-03 00:00:00,2955.77,TEC
2018-01-03 01:00:00,2838.58,TEC
2018-01-03 02:00:00,2698.14,TEC
2018-01-03 03:00:00,2563.17,TEC
2018-01-03 04:00:00,2392.9,TEC
2018-01-03 05:00:00,2236.4,TEC
2018-01-03 06:00:00,2106.17,TEC
2018-01-03 07:00:00,2034.24,TEC
2018-01-03 08:00:00,2035.35,TEC
2018-01-03 09:00:00,2091.23,TEC
2018-01-03 10:00:00,2203.93,TEC
2018-01-03 11:00:00,2289.76,TEC
2018-01-03 12:00:00,2373.1,TEC
2018-01-03 13:00:00,2500.91,TEC
2018-01-03 14:00:00,2691.25,TEC
2018-01-03 15:00:00,2811.15,TEC
2018-01-03 16:00:00,2893.64,TEC
2018-01-03 17:00:00,2950.26,TEC
2018-01-03 18:00:00,2892.32,TEC
2018-01-03 19:00:00,2769.81,TEC
2018-01-03 20:00:00,2692.84,TEC
2018-01-03 21:00:00,2606.65,TEC
2018-01-03 22:00:00,2539.87,TEC
2018-01-03 23:00:00,2587.36,TEC
2018-01-04 00:00:00,2836.57,TEC
2018-01-04 01:00:00,2732.39,TEC
2018-01-04 02:00:00,2663.69,TEC
2018-01-04 03:00:00,2628.23,TEC
2018-01-04 04:00:00,2648.58,TEC
2018-01-04 05:00:00,2708.76,TEC
2018-01-04 06:00:00,2695.84,TEC
2018-01-04 07:00:00,2674.06,TEC
2018-01-04 08:00:00,2728.07,TEC
2018-01-04 09:00:00,2803.55,TEC
2018-01-04 10:00:00,2901.48,TEC
2018-01-04 11:00:00,3012.56,TEC
2018-01-04 12:00:00,3124.65,TEC
2018-01-04 13:00:00,3241.76,TEC
2018-01-04 14:00:00,3256.78,TEC
2018-01-04 15:00:00,3165.74,TEC
2018-01-04 16:00:00,3072.01,TEC
2018-01-04 17:00:00,2980.68,TEC
2018-01-04 18:00:00,2881.8,TEC
2018-01-04 19:00:00,2779.0,TEC
2018-01-04 20:00:00,2688.14,TEC
2018-01-04 21:00:00,2625.31,TEC
2018-01-04 22:00:00,2599.8,TEC
2018-01-04 23:00:00,2693.53,TEC
2018-01-05 00:00:00,2960.33,TEC
2018-01-05 01:00:00,2854.95,TEC
2018-01-05 02:00:00,2743.24,TEC
2018-01-05 03:00:00,2646.55,TEC
2018-01-05 04:00:00,2603.46,TEC
2018-01-05 05:00:00,2577.62,TEC
2018-01-05 06:00:00,2643.0,TEC
2018-01-05 07:00:00,2766.4,TEC
2018-01-05 08:00:00,2939.52,TEC
2018-01-05 09:00:00,3153.96,TEC
2018-01-05 10:00:00,3363.27,TEC
2018-01-05 11:00:00,3518.29,TEC
2018-01-05 12:00:00,3620.1,TEC
2018-01-05 13:00:00,3756.52,TEC
2018-01-05 14:00:00,3804.77,TEC
2018-01-05 15:00:00,3619.72,TEC
2018-01-05 16:00:00,3388.71,TEC
2018-01-05 17:00:00,3188.81,TEC
2018-01-05 18:00:00,2985.52,TEC
2018-01-05 19:00:00,2846.26,TEC
2018-01-05 20:00:00,2738.95,TEC
2018-01-05 21:00:00,2623.47,TEC
2018-01-05 22:00:00,2610.03,TEC
2018-01-05 23:00:00,2888.39,TEC
2018-01-06 00:00:00,3056.82,TEC
2018-01-06 01:00:00,3010.51,TEC
2018-01-06 02:00:00,2987.91,TEC
2018-01-06 03:00:00,2952.8,TEC
2018-01-06 04:00:00,2895.51,TEC
2018-01-06 05:00:00,2860.58,TEC
2018-01-06 06:00:00,2817.73,TEC
2018-01-06 07:00:00,2789.76,TEC
2018-01-06 08:00:00,2755.65,TEC
2018-01-06 09:00:00,2780.91,TEC
2018-01-06 10:00:00,2808.64,TEC
2018-01-06 11:00:00,2868.79,TEC
2018-01-06 12:00:00,2922.86,TEC
2018-01-06 13:00:00,2982.62,TEC
2018-01-06 14:00:00,2943.52,TEC
2018-01-06 15:00:00,2785.83,TEC
2018-01-06 16:00:00,2715.44,TEC
2018-01-06 17:00:00,2652.99,TEC
2018-01-06 18:00:00,2584.74,TEC
2018-01-06 19:00:00,2515.82,TEC
2018-01-06 20:00:00,2419.35,TEC
2018-01-06 21:00:00,2337.85,TEC
2018-01-06 22:00:00,2257.29,TEC
2018-01-06 23:00:00,2347.93,TEC
2018-01-07 00:00:00,2870.15,TEC
2018-01-07 01:00:00,2853.74,TEC
2018-01-07 02:00:00,2814.11,TEC
2018-01-07 03:00:00,2774.12,TEC
2018-01-07 04:00:00,2741.39,TEC
2018-01-07 05:00:00,2713.3,TEC
2018-01-07 06:00:00,2670.35,TEC
2018-01-07 07:00:00,2642.8,TEC
2018-01-07 08:00:00,2605.83,TEC
2018-01-07 09:00:00,2596.15,TEC
2018-01-07 10:00:00,2622.64,TEC
2018-01-07 11:00:00,2658.15,TEC
2018-01-07 12:00:00,2701.7,TEC
2018-01-07 13:00:00,2829.37,TEC
2018-01-07 14:00:00,2863.09,TEC
2018-01-07 15:00:00,2674.6,TEC
2018-01-07 16:00:00,2515.2,TEC
2018-01-07 17:00:00,2402.3,TEC
2018-01-07 18:00:00,2297.85,TEC
2018-01-07 19:00:00,2206.18,TEC
2018-01-07 20:00:00,2123.36,TEC
2018-01-07 21:00:00,2090.08,TEC
2018-01-07 22:00:00,2092.77,TEC
2018-01-07 23:00:00,2090.05,TEC
2018-01-08 00:00:00,2626.38,TEC
