Time_UTC,Load,BA
2018-01-01 00:00:00,1606.95,TEPC
2018-01-01 01:00:00,1668.45,TEPC
2018-01-01 02:00:00,1655.77,TEPC
2018-01-01 03:00:00,1636.25,TEPC
2018-01-01 04:00:00,1611.73,TEPC
2018-01-01 05:00:00,1555.53,TEPC
2018-01-01 06:00:00,1485.97,TEPC
2018-01-01 07:00:00,1418.48,TEPC
2018-01-01 08:00:00,1365.68,TEPC
2018-01-01 09:00:00,1341.03,TEPC
2018-01-01 10:00:00,1343.6,TEPC
2018-01-01 11:00:00,1365.82,TEPC
2018-01-01 12:00:00,1392.3,TEPC
2018-01-01 13:00:00,1419.4,TEPC
2018-01-01 14:00:00,1451.88,TEPC
2018-01-01 15:00:00,1495.37,TEPC
2018-01-01 16:00:00,1480.29,TEPC
2018-01-01 17:00:00,1424.8,TEPC
2018-01-01 18:00:00,1398.3,TEPC
2018-01-01 19:00:00,1401.01,TEPC
2018-01-01 20:00:00,1416.97,TEPC
2018-01-01 21:00:00,1428.94,TEPC
2018-01-01 22:00:00,1447.1,TEPC
2018-01-01 23:00:00,1479.5,TEPC
2018-01-02 00:00:00,1501.54,TEPC
2018-01-02 01:00:00,1585.88,TEPC
2018-01-02 02:00:00,1593.29,TEPC
2018-01-02 03:00:00,1592.04,TEPC
2018-01-02 04:00:00,1530.72,TEPC
2018-01-02 05:00:00,1457.5,TEPC
2018-01-02 06:00:00,1383.08,TEPC
2018-01-02 07:00:00,1317.77,TEPC
2018-01-02 08:00:00,1269.54,TEPC
2018-01-02 09:00:00,1275.97,TEPC
2018-01-02 10:00:00,1289.09,TEPC
2018-01-02 11:00:00,1322.64,TEPC
2018-01-02 12:00:00,1364.08,TEPC
2018-01-02 13:00:00,1412.5,TEPC
2018-01-02 14:00:00,1453.65,TEPC
2018-01-02 15:00:00,1495.01,TEPC
2018-01-02 16:00:00,1493.45,TEPC
2018-01-02 17:00:00,1444.09,TEPC
2018-01-02 18:00:00,1405.78,TEPC
2018-01-02 19:00:00,1377.54,TEPC
2018-01-02 20:00:00,1367.53,TEPC
2018-01-02 21:00:00,1371.58,TEPC
2018-01-02 22:00:00,1402.93,TEPC
2018-01-02 23:00:00,1459.1,TEPC
2018-01-03 00:00:00,1505.81,TEPC
2018-01-03 01:00:00,1596.43,TEPC
2018-01-03 02:00:00,1601.2,TEPC
2018-01-03 03:00:00,1601.97,TEPC
2018-01-03 04:00:00,1560.45,TEPC
2018-01-03 05:00:00,1495.4,TEPC
2018-01-03 06:00:00,1423.14,TEPC
