Time_UTC,Load,BA
2018-01-01 00:00:00,713.76,TPWR
2018-01-01 01:00:00,755.57,TPWR
2018-01-01 02:00:00,774.02,TPWR
2018-01-01 03:00:00,787.8,TPWR
2018-01-01 04:00:00,780.7,TPWR
2018-01-01 05:00:00,754.65,TPWR
2018-01-01 06:00:00,723.52,TPWR
2018-01-01 07:00:00,691.98,TPWR
2018-01-01 08:00:00,663.18,TPWR
2018-01-01 09:00:00,635.35,TPWR
2018-01-01 10:00:00,619.06,TPWR
2018-01-01 11:00:00,615.69,TPWR
2018-01-01 12:00:00,634.89,TPWR
2018-01-01 13:00:00,659.13,TPWR
2018-01-01 14:00:00,689.06,TPWR
2018-01-01 15:00:00,717.98,TPWR
2018-01-01 16:00:00,744.79,TPWR
2018-01-01 17:00:00,789.45,TPWR
2018-01-01 18:00:00,770.79,TPWR
2018-01-01 19:00:00,744.16,TPWR
2018-01-01 20:00:00,725.08,TPWR
2018-01-01 21:00:00,715.78,TPWR
2018-01-01 22:00:00,713.78,TPWR
2018-01-01 23:00:00,720.22,TPWR
2018-01-02 00:00:00,713.09,TPWR
2018-01-02 01:00:00,757.83,TPWR
2018-01-02 02:00:00,771.49,TPWR
2018-01-02 03:00:00,777.16,TPWR
2018-01-02 04:00:00,771.55,TPWR
2018-01-02 05:00:00,736.24,TPWR
2018-01-02 06:00:00,698.41,TPWR
2018-01-02 07:00:00,660.64,TPWR
2018-01-02 08:00:00,623.15,TPWR
2018-01-02 09:00:00,589.32,TPWR
2018-01-02 10:00:00,579.28,TPWR
2018-01-02 11:00:00,600.78,TPWR
2018-01-02 12:00:00,630.48,TPWR
2018-01-02 13:00:00,662.16,TPWR
2018-01-02 14:00:00,691.46,TPWR
2018-01-02 15:00:00,721.2,TPWR
2018-01-02 16:00:00,745.94,TPWR
2018-01-02 17:00:00,775.52,TPWR
2018-01-02 18:00:00,767.27,TPWR
2018-01-02 19:00:00,750.57,TPWR
2018-01-02 20:00:00,736.3,TPWR
2018-01-02 21:00:00,729.49,TPWR
2018-01-02 22:00:00,728.34,TPWR
2018-01-02 23:00:00,735.59,TPWR
2018-01-03 00:00:00,753.24,TPWR
2018-01-03 01:00:00,779.7,TPWR
2018-01-03 02:00:00,784.42,TPWR
2018-01-03 03:00:00,781.91,TPWR
2018-01-03 04:00:00,780.23,TPWR
2018-01-03 05:00:00,738.15,TPWR
2018-01-03 06:00:00,704.54,TPWR
2018-01-03 07:00:00,678.01,TPWR
2018-01-03 08:00:00,625.57,TPWR
2018-01-03 09:00:00,577.01,TPWR
2018-01-03 10:00:00,571.18,TPWR
2018-01-03 11:00:00,594.82,TPWR
2018-01-03 12:00:00,623.74,TPWR
2018-01-03 13:00:00,652.8,TPWR
2018-01-03 14:00:00,684.12,TPWR
2018-01-03 15:00:00,715.04,TPWR
2018-01-03 16:00:00,742.95,TPWR
2018-01-03 17:00:00,767.64,TPWR
2018-01-03 18:00:00,741.69,TPWR
2018-01-03 19:00:00,713.71,TPWR
2018-01-03 20:00:00,695.84,TPWR
