Time_UTC,Load,BA
2018-01-01 00:00:00,25880.36,TVA
2018-01-01 01:00:00,26556.91,TVA
2018-01-01 02:00:00,26631.04,TVA
2018-01-01 03:00:00,26376.5,TVA
2018-01-01 04:00:00,25782.49,TVA
2018-01-01 05:00:00,25285.75,TVA
2018-01-01 06:00:00,25061.36,TVA
2018-01-01 07:00:00,24926.05,TVA
2018-01-01 08:00:00,25090.36,TVA
2018-01-01 09:00:00,25546.4,TVA
2018-01-01 10:00:00,26089.93,TVA
2018-01-01 11:00:00,26660.11,TVA
2018-01-01 12:00:00,27175.49,TVA
2018-01-01 13:00:00,27657.97,TVA
2018-01-01 14:00:00,29080.82,TVA
2018-01-01 15:00:00,29294.78,TVA
2018-01-01 16:00:00,28487.67,TVA
2018-01-01 17:00:00,27527.65,TVA
2018-01-01 18:00:00,26552.12,TVA
2018-01-01 19:00:00,25600.67,TVA
2018-01-01 20:00:00,24890.06,TVA
2018-01-01 21:00:00,24535.87,TVA
2018-01-01 22:00:00,24572.96,TVA
2018-01-01 23:00:00,24975.41,TVA
2018-01-02 00:00:00,28116.06,TVA
2018-01-02 01:00:00,28660.42,TVA
2018-01-02 02:00:00,29022.86,TVA
2018-01-02 03:00:00,28809.0,TVA
2018-01-02 04:00:00,28403.92,TVA
2018-01-02 05:00:00,27979.78,TVA
2018-01-02 06:00:00,27857.17,TVA
2018-01-02 07:00:00,28049.29,TVA
2018-01-02 08:00:00,28429.6,TVA
2018-01-02 09:00:00,29014.07,TVA
2018-01-02 10:00:00,29583.99,TVA
2018-01-02 11:00:00,30217.44,TVA
2018-01-02 12:00:00,30789.22,TVA
2018-01-02 13:00:00,31319.35,TVA
2018-01-02 14:00:00,32101.68,TVA
2018-01-02 15:00:00,30883.93,TVA
2018-01-02 16:00:00,29814.52,TVA
2018-01-02 17:00:00,28691.89,TVA
2018-01-02 18:00:00,27347.44,TVA
2018-01-02 19:00:00,26063.09,TVA
2018-01-02 20:00:00,24980.5,TVA
2018-01-02 21:00:00,24528.87,TVA
2018-01-02 22:00:00,24617.27,TVA
2018-01-02 23:00:00,25736.01,TVA
2018-01-03 00:00:00,27221.96,TVA
2018-01-03 01:00:00,27743.28,TVA
2018-01-03 02:00:00,28075.63,TVA
2018-01-03 03:00:00,27630.01,TVA
2018-01-03 04:00:00,26950.28,TVA
2018-01-03 05:00:00,26272.33,TVA
2018-01-03 06:00:00,26072.96,TVA
2018-01-03 07:00:00,26275.53,TVA
2018-01-03 08:00:00,26606.5,TVA
2018-01-03 09:00:00,26921.98,TVA
2018-01-03 10:00:00,27259.43,TVA
2018-01-03 11:00:00,27686.17,TVA
2018-01-03 12:00:00,28026.31,TVA
2018-01-03 13:00:00,28509.33,TVA
2018-01-03 14:00:00,29266.23,TVA
2018-01-03 15:00:00,27944.67,TVA
2018-01-03 16:00:00,26293.65,TVA
2018-01-03 17:00:00,24838.33,TVA
2018-01-03 18:00:00,23555.04,TVA
2018-01-03 19:00:00,22579.73,TVA
2018-01-03 20:00:00,21931.56,TVA
2018-01-03 21:00:00,21644.3,TVA
2018-01-03 22:00:00,21970.9,TVA
2018-01-03 23:00:00,23478.66,TVA
2018-01-04 00:00:00,24882.69,TVA
2018-01-04 01:00:00,25532.56,TVA
2018-01-04 02:00:00,25660.0,TVA
2018-01-04 03:00:00,25136.87,TVA
2018-01-04 04:00:00,24461.39,TVA
2018-01-04 05:00:00,23989.76,TVA
2018-01-04 06:00:00,23602.02,TVA
2018-01-04 07:00:00,23665.67,TVA
2018-01-04 08:00:00,24197.69,TVA
2018-01-04 09:00:00,24911.42,TVA
2018-01-04 10:00:00,25735.92,TVA
2018-01-04 11:00:00,26603.8,TVA
2018-01-04 12:00:00,27499.57,TVA
2018-01-04 13:00:00,28188.11,TVA
2018-01-04 14:00:00,29870.47,TVA
2018-01-04 15:00:00,29769.23,TVA
2018-01-04 16:00:00,28873.8,TVA
2018-01-04 17:00:00,27819.56,TVA
2018-01-04 18:00:00,26781.62,TVA
2018-01-04 19:00:00,25692.06,TVA
2018-01-04 20:00:00,24829.14,TVA
2018-01-04 21:00:00,24537.75,TVA
2018-01-04 22:00:00,24404.53,TVA
2018-01-04 23:00:00,25455.98,TVA
2018-01-05 00:00:00,27239.45,TVA
2018-01-05 01:00:00,27839.43,TVA
2018-01-05 02:00:00,28245.54,TVA
2018-01-05 03:00:00,27946.33,TVA
2018-01-05 04:00:00,27481.26,TVA
2018-01-05 05:00:00,26937.77,TVA
2018-01-05 06:00:00,26764.12,TVA
2018-01-05 07:00:00,26792.49,TVA
2018-01-05 08:00:00,26995.17,TVA
2018-01-05 09:00:00,27448.35,TVA
2018-01-05 10:00:00,27996.61,TVA
2018-01-05 11:00:00,28558.49,TVA
2018-01-05 12:00:00,29052.83,TVA
2018-01-05 13:00:00,29419.23,TVA
2018-01-05 14:00:00,30121.31,TVA
2018-01-05 15:00:00,29188.91,TVA
2018-01-05 16:00:00,27846.9,TVA
2018-01-05 17:00:00,26584.55,TVA
2018-01-05 18:00:00,25367.87,TVA
2018-01-05 19:00:00,24287.15,TVA
2018-01-05 20:00:00,23586.85,TVA
2018-01-05 21:00:00,23383.06,TVA
2018-01-05 22:00:00,23342.82,TVA
2018-01-05 23:00:00,24586.39,TVA
2018-01-06 00:00:00,24540.69,TVA
2018-01-06 01:00:00,25274.28,TVA
2018-01-06 02:00:00,25695.51,TVA
2018-01-06 03:00:00,25362.23,TVA
2018-01-06 04:00:00,24849.11,TVA
2018-01-06 05:00:00,24369.85,TVA
2018-01-06 06:00:00,24292.11,TVA
2018-01-06 07:00:00,24492.38,TVA
2018-01-06 08:00:00,24729.92,TVA
2018-01-06 09:00:00,24962.47,TVA
2018-01-06 10:00:00,25403.13,TVA
2018-01-06 11:00:00,25858.5,TVA
2018-01-06 12:00:00,26293.29,TVA
2018-01-06 13:00:00,26820.65,TVA
2018-01-06 14:00:00,27544.85,TVA
2018-01-06 15:00:00,26430.93,TVA
2018-01-06 16:00:00,25417.12,TVA
2018-01-06 17:00:00,24461.43,TVA
2018-01-06 18:00:00,23496.64,TVA
2018-01-06 19:00:00,22632.14,TVA
2018-01-06 20:00:00,21918.39,TVA
2018-01-06 21:00:00,21482.7,TVA
2018-01-06 22:00:00,21412.25,TVA
2018-01-06 23:00:00,22688.25,TVA
2018-01-07 00:00:00,24858.97,TVA
2018-01-07 01:00:00,25677.22,TVA
2018-01-07 02:00:00,26122.16,TVA
2018-01-07 03:00:00,25849.03,TVA
2018-01-07 04:00:00,25330.23,TVA
2018-01-07 05:00:00,24811.02,TVA
2018-01-07 06:00:00,24556.65,TVA
2018-01-07 07:00:00,24512.05,TVA
2018-01-07 08:00:00,24560.64,TVA
2018-01-07 09:00:00,24554.84,TVA
2018-01-07 10:00:00,24730.72,TVA
2018-01-07 11:00:00,24834.96,TVA
2018-01-07 12:00:00,24903.61,TVA
2018-01-07 13:00:00,24969.09,TVA
2018-01-07 14:00:00,25286.89,TVA
2018-01-07 15:00:00,23507.71,TVA
2018-01-07 16:00:00,21969.41,TVA
2018-01-07 17:00:00,20518.22,TVA
2018-01-07 18:00:00,19542.97,TVA
2018-01-07 19:00:00,18947.5,TVA
2018-01-07 20:00:00,18770.32,TVA
2018-01-07 21:00:00,18778.86,TVA
2018-01-07 22:00:00,18860.18,TVA
2018-01-07 23:00:00,19186.51,TVA
2018-01-08 00:00:00,22191.27,TVA
2018-01-08 01:00:00,22623.47,TVA
2018-01-08 02:00:00,22815.58,TVA
2018-01-08 03:00:00,22083.68,TVA
2018-01-08 04:00:00,21290.03,TVA
2018-01-08 05:00:00,20587.28,TVA
2018-01-08 06:00:00,19780.55,TVA
2018-01-08 07:00:00,19161.22,TVA
2018-01-08 08:00:00,18992.53,TVA
2018-01-08 09:00:00,19365.33,TVA
2018-01-08 10:00:00,19733.48,TVA
2018-01-08 11:00:00,20154.05,TVA
2018-01-08 12:00:00,20542.98,TVA
2018-01-08 13:00:00,20961.44,TVA
2018-01-08 14:00:00,21668.07,TVA
2018-01-08 15:00:00,21904.58,TVA
2018-01-08 16:00:00,22026.31,TVA
2018-01-08 17:00:00,21788.31,TVA
2018-01-08 18:00:00,21433.95,TVA
2018-01-08 19:00:00,21091.1,TVA
2018-01-08 20:00:00,20857.47,TVA
2018-01-08 21:00:00,20833.89,TVA
2018-01-08 22:00:00,20964.06,TVA
2018-01-08 23:00:00,21149.71,TVA
2018-01-09 00:00:00,21149.99,TVA
2018-01-09 01:00:00,21515.29,TVA
2018-01-09 02:00:00,21516.79,TVA
2018-01-09 03:00:00,20740.73,TVA
2018-01-09 04:00:00,19957.16,TVA
2018-01-09 05:00:00,19175.87,TVA
2018-01-09 06:00:00,18363.77,TVA
2018-01-09 07:00:00,17876.34,TVA
2018-01-09 08:00:00,17775.78,TVA
2018-01-09 09:00:00,18087.04,TVA
2018-01-09 10:00:00,18449.92,TVA
2018-01-09 11:00:00,18842.12,TVA
2018-01-09 12:00:00,19313.08,TVA
2018-01-09 13:00:00,19732.4,TVA
2018-01-09 14:00:00,20338.98,TVA
2018-01-09 15:00:00,19724.07,TVA
2018-01-09 16:00:00,18948.59,TVA
2018-01-09 17:00:00,18286.88,TVA
2018-01-09 18:00:00,18000.92,TVA
2018-01-09 19:00:00,17763.24,TVA
2018-01-09 20:00:00,17588.52,TVA
2018-01-09 21:00:00,17533.5,TVA
2018-01-09 22:00:00,17441.35,TVA
2018-01-09 23:00:00,17713.59,TVA
2018-01-10 00:00:00,18030.86,TVA
2018-01-10 01:00:00,18388.82,TVA
2018-01-10 02:00:00,18618.77,TVA
2018-01-10 03:00:00,17983.93,TVA
2018-01-10 04:00:00,17238.55,TVA
2018-01-10 05:00:00,16464.76,TVA
2018-01-10 06:00:00,15741.97,TVA
2018-01-10 07:00:00,15076.55,TVA
2018-01-10 08:00:00,14887.06,TVA
2018-01-10 09:00:00,15139.19,TVA
2018-01-10 10:00:00,15546.53,TVA
2018-01-10 11:00:00,16036.37,TVA
2018-01-10 12:00:00,16458.86,TVA
2018-01-10 13:00:00,16831.51,TVA
2018-01-10 14:00:00,17643.78,TVA
2018-01-10 15:00:00,17324.57,TVA
2018-01-10 16:00:00,16998.63,TVA
2018-01-10 17:00:00,16833.11,TVA
2018-01-10 18:00:00,16718.7,TVA
2018-01-10 19:00:00,16560.63,TVA
2018-01-10 20:00:00,16526.38,TVA
2018-01-10 21:00:00,16540.44,TVA
2018-01-10 22:00:00,16607.31,TVA
2018-01-10 23:00:00,16679.08,TVA
2018-01-11 00:00:00,17589.66,TVA
2018-01-11 01:00:00,17992.23,TVA
2018-01-11 02:00:00,18229.63,TVA
2018-01-11 03:00:00,17368.87,TVA
2018-01-11 04:00:00,16428.35,TVA
2018-01-11 05:00:00,15541.78,TVA
2018-01-11 06:00:00,14731.55,TVA
2018-01-11 07:00:00,14009.85,TVA
2018-01-11 08:00:00,13588.2,TVA
2018-01-11 09:00:00,13555.64,TVA
2018-01-11 10:00:00,13944.15,TVA
2018-01-11 11:00:00,14584.03,TVA
2018-01-11 12:00:00,15136.61,TVA
2018-01-11 13:00:00,15637.09,TVA
2018-01-11 14:00:00,16454.2,TVA
2018-01-11 15:00:00,16723.98,TVA
2018-01-11 16:00:00,16654.43,TVA
2018-01-11 17:00:00,16538.6,TVA
2018-01-11 18:00:00,16456.18,TVA
2018-01-11 19:00:00,16489.56,TVA
2018-01-11 20:00:00,16517.08,TVA
2018-01-11 21:00:00,16544.92,TVA
2018-01-11 22:00:00,16595.33,TVA
2018-01-11 23:00:00,16565.56,TVA
2018-01-12 00:00:00,17388.47,TVA
2018-01-12 01:00:00,17602.3,TVA
2018-01-12 02:00:00,17832.63,TVA
2018-01-12 03:00:00,16964.86,TVA
2018-01-12 04:00:00,16209.5,TVA
2018-01-12 05:00:00,15410.08,TVA
2018-01-12 06:00:00,14713.4,TVA
2018-01-12 07:00:00,14117.28,TVA
2018-01-12 08:00:00,13832.04,TVA
2018-01-12 09:00:00,14080.37,TVA
2018-01-12 10:00:00,15013.75,TVA
2018-01-12 11:00:00,15978.4,TVA
2018-01-12 12:00:00,16850.84,TVA
2018-01-12 13:00:00,17821.18,TVA
2018-01-12 14:00:00,19035.53,TVA
2018-01-12 15:00:00,20130.26,TVA
2018-01-12 16:00:00,21015.98,TVA
2018-01-12 17:00:00,21559.97,TVA
2018-01-12 18:00:00,22026.93,TVA
2018-01-12 19:00:00,22433.23,TVA
2018-01-12 20:00:00,22858.51,TVA
2018-01-12 21:00:00,23166.89,TVA
