Time_UTC,Load,BA
2018-01-01 00:00:00,836.66,WALC
2018-01-01 01:00:00,857.67,WALC
2018-01-01 02:00:00,853.79,WALC
2018-01-01 03:00:00,855.7,WALC
2018-01-01 04:00:00,851.65,WALC
2018-01-01 05:00:00,839.32,WALC
2018-01-01 06:00:00,824.31,WALC
2018-01-01 07:00:00,815.96,WALC
2018-01-01 08:00:00,820.2,WALC
2018-01-01 09:00:00,835.34,WALC
2018-01-01 10:00:00,842.82,WALC
2018-01-01 11:00:00,852.36,WALC
2018-01-01 12:00:00,865.2,WALC
2018-01-01 13:00:00,879.36,WALC
2018-01-01 14:00:00,896.72,WALC
2018-01-01 15:00:00,909.32,WALC
2018-01-01 16:00:00,875.35,WALC
2018-01-01 17:00:00,827.02,WALC
2018-01-01 18:00:00,794.89,WALC
2018-01-01 19:00:00,790.03,WALC
2018-01-01 20:00:00,778.73,WALC
2018-01-01 21:00:00,762.87,WALC
2018-01-01 22:00:00,747.64,WALC
2018-01-01 23:00:00,750.23,WALC
2018-01-02 00:00:00,826.66,WALC
2018-01-02 01:00:00,860.97,WALC
2018-01-02 02:00:00,854.81,WALC
2018-01-02 03:00:00,845.6,WALC
2018-01-02 04:00:00,834.73,WALC
2018-01-02 05:00:00,826.45,WALC
2018-01-02 06:00:00,825.73,WALC
2018-01-02 07:00:00,828.19,WALC
2018-01-02 08:00:00,830.83,WALC
2018-01-02 09:00:00,834.44,WALC
2018-01-02 10:00:00,839.55,WALC
2018-01-02 11:00:00,847.17,WALC
2018-01-02 12:00:00,857.91,WALC
2018-01-02 13:00:00,869.76,WALC
2018-01-02 14:00:00,882.55,WALC
2018-01-02 15:00:00,895.1,WALC
2018-01-02 16:00:00,874.06,WALC
2018-01-02 17:00:00,838.26,WALC
2018-01-02 18:00:00,811.01,WALC
2018-01-02 19:00:00,789.47,WALC
2018-01-02 20:00:00,780.42,WALC
2018-01-02 21:00:00,775.48,WALC
2018-01-02 22:00:00,778.92,WALC
2018-01-02 23:00:00,784.04,WALC
2018-01-03 00:00:00,862.96,WALC
2018-01-03 01:00:00,883.11,WALC
2018-01-03 02:00:00,864.9,WALC
2018-01-03 03:00:00,856.6,WALC
2018-01-03 04:00:00,846.09,WALC
2018-01-03 05:00:00,833.1,WALC
2018-01-03 06:00:00,826.26,WALC
2018-01-03 07:00:00,829.09,WALC
2018-01-03 08:00:00,834.39,WALC
2018-01-03 09:00:00,839.22,WALC
2018-01-03 10:00:00,838.83,WALC
2018-01-03 11:00:00,844.15,WALC
2018-01-03 12:00:00,853.51,WALC
2018-01-03 13:00:00,866.62,WALC
2018-01-03 14:00:00,884.37,WALC
2018-01-03 15:00:00,897.59,WALC
2018-01-03 16:00:00,877.68,WALC
2018-01-03 17:00:00,846.83,WALC
2018-01-03 18:00:00,826.74,WALC
2018-01-03 19:00:00,810.25,WALC
2018-01-03 20:00:00,806.75,WALC
2018-01-03 21:00:00,809.68,WALC
2018-01-03 22:00:00,818.51,WALC
2018-01-03 23:00:00,830.86,WALC
2018-01-04 00:00:00,917.08,WALC
2018-01-04 01:00:00,939.1,WALC
2018-01-04 02:00:00,924.94,WALC
2018-01-04 03:00:00,907.91,WALC
2018-01-04 04:00:00,875.37,WALC
2018-01-04 05:00:00,858.79,WALC
2018-01-04 06:00:00,850.89,WALC
2018-01-04 07:00:00,854.09,WALC
2018-01-04 08:00:00,854.94,WALC
2018-01-04 09:00:00,854.35,WALC
2018-01-04 10:00:00,849.28,WALC
2018-01-04 11:00:00,850.46,WALC
2018-01-04 12:00:00,856.61,WALC
2018-01-04 13:00:00,868.25,WALC
2018-01-04 14:00:00,882.02,WALC
2018-01-04 15:00:00,892.04,WALC
2018-01-04 16:00:00,868.73,WALC
2018-01-04 17:00:00,835.07,WALC
2018-01-04 18:00:00,809.84,WALC
2018-01-04 19:00:00,789.27,WALC
2018-01-04 20:00:00,773.38,WALC
2018-01-04 21:00:00,764.67,WALC
2018-01-04 22:00:00,758.66,WALC
2018-01-04 23:00:00,767.72,WALC
2018-01-05 00:00:00,843.64,WALC
2018-01-05 01:00:00,865.18,WALC
2018-01-05 02:00:00,853.59,WALC
2018-01-05 03:00:00,844.62,WALC
2018-01-05 04:00:00,832.64,WALC
2018-01-05 05:00:00,816.14,WALC
2018-01-05 06:00:00,803.1,WALC
2018-01-05 07:00:00,800.77,WALC
2018-01-05 08:00:00,797.53,WALC
2018-01-05 09:00:00,795.17,WALC
2018-01-05 10:00:00,799.19,WALC
2018-01-05 11:00:00,806.79,WALC
2018-01-05 12:00:00,821.18,WALC
2018-01-05 13:00:00,835.09,WALC
2018-01-05 14:00:00,851.75,WALC
2018-01-05 15:00:00,859.14,WALC
2018-01-05 16:00:00,831.2,WALC
2018-01-05 17:00:00,785.85,WALC
2018-01-05 18:00:00,768.06,WALC
2018-01-05 19:00:00,757.49,WALC
2018-01-05 20:00:00,749.98,WALC
2018-01-05 21:00:00,740.68,WALC
2018-01-05 22:00:00,752.3,WALC
2018-01-05 23:00:00,769.49,WALC
2018-01-06 00:00:00,850.45,WALC
2018-01-06 01:00:00,866.78,WALC
2018-01-06 02:00:00,861.06,WALC
2018-01-06 03:00:00,848.38,WALC
