Time_UTC,Load,BA
2018-01-01 00:00:00,141.76,WAUW
2018-01-01 01:00:00,141.42,WAUW
2018-01-01 02:00:00,140.95,WAUW
2018-01-01 03:00:00,139.02,WAUW
2018-01-01 04:00:00,136.68,WAUW
2018-01-01 05:00:00,134.51,WAUW
2018-01-01 06:00:00,131.77,WAUW
2018-01-01 07:00:00,129.08,WAUW
2018-01-01 08:00:00,127.06,WAUW
2018-01-01 09:00:00,126.16,WAUW
2018-01-01 10:00:00,125.37,WAUW
2018-01-01 11:00:00,124.72,WAUW
2018-01-01 12:00:00,125.44,WAUW
2018-01-01 13:00:00,126.52,WAUW
2018-01-01 14:00:00,127.79,WAUW
2018-01-01 15:00:00,128.81,WAUW
2018-01-01 16:00:00,132.71,WAUW
2018-01-01 17:00:00,134.71,WAUW
2018-01-01 18:00:00,133.77,WAUW
2018-01-01 19:00:00,131.69,WAUW
2018-01-01 20:00:00,129.97,WAUW
2018-01-01 21:00:00,128.93,WAUW
2018-01-01 22:00:00,128.6,WAUW
2018-01-01 23:00:00,128.08,WAUW
2018-01-02 00:00:00,134.76,WAUW
2018-01-02 01:00:00,134.62,WAUW
2018-01-02 02:00:00,133.62,WAUW
2018-01-02 03:00:00,131.32,WAUW
2018-01-02 04:00:00,128.53,WAUW
2018-01-02 05:00:00,125.45,WAUW
2018-01-02 06:00:00,122.38,WAUW
2018-01-02 07:00:00,119.27,WAUW
2018-01-02 08:00:00,116.62,WAUW
2018-01-02 09:00:00,114.53,WAUW
2018-01-02 10:00:00,112.79,WAUW
2018-01-02 11:00:00,111.25,WAUW
2018-01-02 12:00:00,111.17,WAUW
2018-01-02 13:00:00,112.04,WAUW
2018-01-02 14:00:00,113.03,WAUW
2018-01-02 15:00:00,113.88,WAUW
2018-01-02 16:00:00,119.05,WAUW
2018-01-02 17:00:00,117.08,WAUW
2018-01-02 18:00:00,113.91,WAUW
2018-01-02 19:00:00,110.57,WAUW
2018-01-02 20:00:00,108.48,WAUW
2018-01-02 21:00:00,107.3,WAUW
2018-01-02 22:00:00,107.73,WAUW
2018-01-02 23:00:00,108.57,WAUW
2018-01-03 00:00:00,115.06,WAUW
2018-01-03 01:00:00,115.39,WAUW
2018-01-03 02:00:00,114.45,WAUW
2018-01-03 03:00:00,113.48,WAUW
2018-01-03 04:00:00,111.57,WAUW
2018-01-03 05:00:00,108.74,WAUW
2018-01-03 06:00:00,106.11,WAUW
2018-01-03 07:00:00,103.49,WAUW
2018-01-03 08:00:00,100.59,WAUW
2018-01-03 09:00:00,98.57,WAUW
2018-01-03 10:00:00,98.68,WAUW
2018-01-03 11:00:00,100.26,WAUW
2018-01-03 12:00:00,101.8,WAUW
2018-01-03 13:00:00,103.46,WAUW
2018-01-03 14:00:00,105.16,WAUW
2018-01-03 15:00:00,106.53,WAUW
2018-01-03 16:00:00,111.76,WAUW
2018-01-03 17:00:00,110.33,WAUW
2018-01-03 18:00:00,107.79,WAUW
2018-01-03 19:00:00,105.61,WAUW
2018-01-03 20:00:00,104.23,WAUW
2018-01-03 21:00:00,103.56,WAUW
2018-01-03 22:00:00,103.66,WAUW
2018-01-03 23:00:00,104.48,WAUW
2018-01-04 00:00:00,111.78,WAUW
2018-01-04 01:00:00,111.38,WAUW
2018-01-04 02:00:00,110.75,WAUW
2018-01-04 03:00:00,110.1,WAUW
2018-01-04 04:00:00,108.02,WAUW
2018-01-04 05:00:00,104.88,WAUW
2018-01-04 06:00:00,101.84,WAUW
2018-01-04 07:00:00,99.0,WAUW
2018-01-04 08:00:00,96.49,WAUW
2018-01-04 09:00:00,94.86,WAUW
2018-01-04 10:00:00,96.0,WAUW
2018-01-04 11:00:00,97.97,WAUW
2018-01-04 12:00:00,99.95,WAUW
2018-01-04 13:00:00,101.91,WAUW
2018-01-04 14:00:00,103.73,WAUW
2018-01-04 15:00:00,105.48,WAUW
2018-01-04 16:00:00,109.67,WAUW
2018-01-04 17:00:00,107.84,WAUW
2018-01-04 18:00:00,104.58,WAUW
2018-01-04 19:00:00,103.17,WAUW
2018-01-04 20:00:00,102.35,WAUW
2018-01-04 21:00:00,102.02,WAUW
2018-01-04 22:00:00,101.74,WAUW
2018-01-04 23:00:00,103.33,WAUW
2018-01-05 00:00:00,112.42,WAUW
2018-01-05 01:00:00,112.93,WAUW
2018-01-05 02:00:00,112.44,WAUW
2018-01-05 03:00:00,111.18,WAUW
2018-01-05 04:00:00,108.07,WAUW
2018-01-05 05:00:00,104.99,WAUW
2018-01-05 06:00:00,101.85,WAUW
2018-01-05 07:00:00,98.4,WAUW
2018-01-05 08:00:00,95.6,WAUW
2018-01-05 09:00:00,94.19,WAUW
2018-01-05 10:00:00,95.43,WAUW
2018-01-05 11:00:00,97.07,WAUW
2018-01-05 12:00:00,98.6,WAUW
2018-01-05 13:00:00,100.05,WAUW
2018-01-05 14:00:00,101.07,WAUW
2018-01-05 15:00:00,102.76,WAUW
2018-01-05 16:00:00,106.77,WAUW
2018-01-05 17:00:00,106.23,WAUW
2018-01-05 18:00:00,105.13,WAUW
2018-01-05 19:00:00,103.88,WAUW
2018-01-05 20:00:00,103.14,WAUW
2018-01-05 21:00:00,103.06,WAUW
2018-01-05 22:00:00,102.56,WAUW
2018-01-05 23:00:00,102.66,WAUW
2018-01-06 00:00:00,101.91,WAUW
2018-01-06 01:00:00,101.99,WAUW
2018-01-06 02:00:00,101.55,WAUW
2018-01-06 03:00:00,100.64,WAUW
2018-01-06 04:00:00,98.59,WAUW
2018-01-06 05:00:00,95.65,WAUW
2018-01-06 06:00:00,92.68,WAUW
2018-01-06 07:00:00,89.85,WAUW
2018-01-06 08:00:00,87.15,WAUW
2018-01-06 09:00:00,85.82,WAUW
2018-01-06 10:00:00,86.07,WAUW
2018-01-06 11:00:00,87.12,WAUW
2018-01-06 12:00:00,87.83,WAUW
2018-01-06 13:00:00,88.6,WAUW
2018-01-06 14:00:00,89.86,WAUW
2018-01-06 15:00:00,91.02,WAUW
2018-01-06 16:00:00,93.83,WAUW
2018-01-06 17:00:00,96.61,WAUW
2018-01-06 18:00:00,98.06,WAUW
2018-01-06 19:00:00,98.79,WAUW
2018-01-06 20:00:00,99.1,WAUW
2018-01-06 21:00:00,99.18,WAUW
2018-01-06 22:00:00,98.74,WAUW
2018-01-06 23:00:00,97.04,WAUW
2018-01-07 00:00:00,100.94,WAUW
2018-01-07 01:00:00,100.5,WAUW
2018-01-07 02:00:00,99.89,WAUW
2018-01-07 03:00:00,99.1,WAUW
2018-01-07 04:00:00,98.23,WAUW
2018-01-07 05:00:00,95.98,WAUW
2018-01-07 06:00:00,93.41,WAUW
2018-01-07 07:00:00,90.83,WAUW
2018-01-07 08:00:00,88.22,WAUW
2018-01-07 09:00:00,86.8,WAUW
2018-01-07 10:00:00,86.68,WAUW
2018-01-07 11:00:00,88.04,WAUW
2018-01-07 12:00:00,89.81,WAUW
2018-01-07 13:00:00,91.25,WAUW
2018-01-07 14:00:00,92.71,WAUW
2018-01-07 15:00:00,94.23,WAUW
2018-01-07 16:00:00,97.55,WAUW
2018-01-07 17:00:00,99.6,WAUW
2018-01-07 18:00:00,99.42,WAUW
2018-01-07 19:00:00,99.48,WAUW
2018-01-07 20:00:00,99.24,WAUW
2018-01-07 21:00:00,99.09,WAUW
2018-01-07 22:00:00,98.03,WAUW
2018-01-07 23:00:00,96.22,WAUW
2018-01-08 00:00:00,108.41,WAUW
2018-01-08 01:00:00,107.74,WAUW
2018-01-08 02:00:00,106.53,WAUW
2018-01-08 03:00:00,105.3,WAUW
2018-01-08 04:00:00,102.66,WAUW
2018-01-08 05:00:00,99.36,WAUW
2018-01-08 06:00:00,96.32,WAUW
2018-01-08 07:00:00,93.26,WAUW
2018-01-08 08:00:00,90.41,WAUW
2018-01-08 09:00:00,88.35,WAUW
2018-01-08 10:00:00,89.87,WAUW
2018-01-08 11:00:00,91.57,WAUW
2018-01-08 12:00:00,93.56,WAUW
2018-01-08 13:00:00,95.74,WAUW
2018-01-08 14:00:00,97.74,WAUW
2018-01-08 15:00:00,99.37,WAUW
2018-01-08 16:00:00,103.25,WAUW
2018-01-08 17:00:00,103.24,WAUW
2018-01-08 18:00:00,103.02,WAUW
2018-01-08 19:00:00,102.74,WAUW
2018-01-08 20:00:00,102.4,WAUW
2018-01-08 21:00:00,101.86,WAUW
2018-01-08 22:00:00,100.82,WAUW
2018-01-08 23:00:00,100.28,WAUW
2018-01-09 00:00:00,106.25,WAUW
2018-01-09 01:00:00,105.01,WAUW
2018-01-09 02:00:00,103.9,WAUW
2018-01-09 03:00:00,102.51,WAUW
2018-01-09 04:00:00,99.52,WAUW
2018-01-09 05:00:00,96.2,WAUW
2018-01-09 06:00:00,93.13,WAUW
2018-01-09 07:00:00,90.2,WAUW
2018-01-09 08:00:00,87.51,WAUW
2018-01-09 09:00:00,86.16,WAUW
2018-01-09 10:00:00,87.59,WAUW
2018-01-09 11:00:00,89.14,WAUW
2018-01-09 12:00:00,90.67,WAUW
2018-01-09 13:00:00,92.35,WAUW
2018-01-09 14:00:00,94.21,WAUW
